"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"RonaTas-2011-512-90"	90	"farewell, indulgence, dedication festival, annual parish-feast"	3554	"GOODBYE"
"RonaTas-2011-512-91"	91	"ox; also ox, goat, ram without or with small or unusual horns;stupid"	1502	"GOAT"
"RonaTas-2011-512-92"	92	"Volga Bulgar"		
"RonaTas-2011-512-93"	93	"steam, vapour, fumes; heat"	1193	"STEAM"
"RonaTas-2011-512-94"	94	"wheat, Triticum"	1077	"WHEAT"
"RonaTas-2011-512-95"	95	"club, mace, reed-mace"	1763	"CLUB"
"RonaTas-2011-512-96"	96	"beech"	1950	"BEECH"
"RonaTas-2011-512-97"	97	"sin"	2971	"SIN"
"RonaTas-2011-512-98"	98	"(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill"		
"RonaTas-2011-512-99"	99	"magical"		
"RonaTas-2011-512-100"	100	"a kind of willow, Salix elægnos"		
"RonaTas-2011-512-101"	101	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"RonaTas-2011-512-102"	102	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"RonaTas-2011-512-103"	103	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"RonaTas-2011-512-104"	104	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"RonaTas-2011-512-105"	105	"a kind of willow, used for baskets and in viticulture, Salix purpurea"		
"RonaTas-2011-512-106"	106	"a kind of willow"		
"RonaTas-2011-512-107"	107	"a kind of wolfs milk, Easter flower, Euphorbia"		
"RonaTas-2011-512-108"	108	"a kind of wolfs milk, Easter flower, Euphorbia"		
"RonaTas-2011-512-109"	109	"a fish, Leuciscus souffia agassizi"	227	"FISH"
"RonaTas-2011-512-110"	110	"only, just"	1580	"ONLY"
"RonaTas-2011-512-111"	111	"pick-axe; mace; a small axe; war hammer"		
"RonaTas-2011-512-112"	112	"nettle, Urtica"	33	"NETTLE"
"RonaTas-2011-512-113"	113	"nettle, Urtica"	33	"NETTLE"
"RonaTas-2011-512-114"	114	"nettle, Urtica"	33	"NETTLE"
"RonaTas-2011-512-115"	115	"thicket, brushwood, dry foliage, grove, meadow"	2819	"GRASSLAND"
"RonaTas-2011-512-116"	116	"thicket, brushwood; dry foliage, grove, meadow"	2819	"GRASSLAND"
"RonaTas-2011-512-117"	117	"(silver) cup, wooden ladle, earthenware bowl"	476	"CUP"
"RonaTas-2011-512-118"	118	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"RonaTas-2011-512-119"	119	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"RonaTas-2011-512-120"	120	"to add, to join; to buckle up something"	1743	"JOIN"
"RonaTas-2011-512-121"	121	"clasp"		
"RonaTas-2011-512-122"	122	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"RonaTas-2011-512-123"	123	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"RonaTas-2011-512-124"	124	"to bind (something)"	1917	"TIE"
"RonaTas-2011-512-125"	125	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"RonaTas-2011-512-126"	126	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"RonaTas-2011-512-127"	127	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"RonaTas-2011-512-128"	128	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"RonaTas-2011-512-129"	129	"snail, Helix; snail-shell, pulley, vertebra"	1543	"SNAIL"
"RonaTas-2011-512-130"	130	"a wine of low quality, a fruit wine"		
"RonaTas-2011-512-131"	131	"a wine of low quality, a fruit wine"		
"RonaTas-2011-512-132"	132	"secretion, mucus discharged from the eyes"		
"RonaTas-2011-512-133"	133	"squint-eyed, blind in one eye, onearmed, one-legged"	87	"SQUINT-EYED"
"RonaTas-2011-512-134"	134	"a carpenters axe with a long helve"		
"RonaTas-2011-512-135"	135	"stallion"	936	"STALLION"
"RonaTas-2011-512-136"	136	"stallion"	936	"STALLION"
"RonaTas-2011-512-137"	137	"stallion"	936	"STALLION"
"RonaTas-2011-512-138"	138	"sexual organ of large male animals, of a bull; a whip made from it"		
"RonaTas-2011-512-139"	139	"feast, christening feast (at baptism)"		
"RonaTas-2011-512-140"	140	"to become smaller, remain small, to sway, to totter, tosprain"	573	"SWAY"
"RonaTas-2011-512-141"	141	"stubborn"	3634	"STUBBORN"
"RonaTas-2011-512-142"	142	"field-guard; herald; Turkish envoy"		
"RonaTas-2011-512-143"	143	"rough, coarse; ugly; wild, unbridled"	1923	"ROUGH"
"RonaTas-2011-512-144"	144	"to wind, to turn, to distrort, misinterpret, to spin a yarn"	1588	"TURN"
"RonaTas-2011-512-145"	145	"bobbin, spindle"	277	"SPINDLE"
"RonaTas-2011-512-146"	146	"excellent; worthless"		
"RonaTas-2011-512-147"	147	"a short fur coat"		
"RonaTas-2011-512-148"	148	"grist, groats, soft hail"		
"RonaTas-2011-512-149"	149	"grist, groats, soft hail"		
"RonaTas-2011-512-150"	150	"noon, south"	12	"MIDDAY"
"RonaTas-2011-512-151"	151	"noon, south"	12	"MIDDAY"
"RonaTas-2011-512-152"	152	"nut; walnut, Juglans"	2042	"WALNUT"
"RonaTas-2011-512-153"	153	"nut; walnut, Juglans"	2042	"WALNUT"
"RonaTas-2011-512-154"	154	"pig, Sus domestica"	1337	"PIG"
"RonaTas-2011-512-155"	155	"to lean, topple over, stream down"	3619	"LEAN"
"RonaTas-2011-512-156"	156	"to lean, topple over, stream down"	3619	"LEAN"
"RonaTas-2011-512-157"	157	"to squeeze, to thrust into"	1414	"SQUEEZE"
"RonaTas-2011-512-158"	158	"to squeeze, to thrust into"	1414	"SQUEEZE"
"RonaTas-2011-512-159"	159	"church (building and organisation)"	1349	"CHURCH"
"RonaTas-2011-512-160"	160	"church (building and organisation)"	1349	"CHURCH"
"RonaTas-2011-512-161"	161	"wedge"		
"RonaTas-2011-512-162"	162	"plough"	2154	"PLOUGH (INSTRUMENT)"
"RonaTas-2011-512-163"	163	"to allow, permit, concede; yield, give way"	3238	"ALLOW"
"RonaTas-2011-512-164"	164	"to propitiate"		
"RonaTas-2011-512-165"	165	"community work in agriculture, a kind of corvée"		
"RonaTas-2011-512-166"	166	"to arrive, to reach, get to"	1387	"ARRIVE"
"RonaTas-2011-512-167"	167	"merit"		
"RonaTas-2011-512-168"	168	"morals, morality"		
"RonaTas-2011-512-169"	169	"to tire, lose vitality, slacken, relax"	168	"REST"
"RonaTas-2011-512-170"	170	"strength, power"	2526	"POWER"
"RonaTas-2011-512-171"	171	"oath"	1712	"OATH"
"RonaTas-2011-512-172"	172	"oath"	1712	"OATH"
"RonaTas-2011-512-173"	173	"reason, mind"	1562	"MIND"
"RonaTas-2011-512-174"	174	"river, name of a river"	666	"RIVER"
"RonaTas-2011-512-175"	175	"river, name of a river"	666	"RIVER"
"RonaTas-2011-512-176"	176	"weed"	3288	"WEED"
"RonaTas-2011-512-177"	177	"pelican, Pelicanus"	472	"PELICAN"
