"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"RonaTas-2011-512-364"	364	"flood, deluge, stream"	947	"STREAM"
"RonaTas-2011-512-365"	365	"cheese"	1569	"CHEESE"
"RonaTas-2011-512-366"	366	"cheese"	1569	"CHEESE"
"RonaTas-2011-512-367"	367	"mud, marsh"	640	"MUD"
"RonaTas-2011-512-368"	368	"yellow"	1424	"YELLOW"
"RonaTas-2011-512-369"	369	"yellow"	1424	"YELLOW"
"RonaTas-2011-512-370"	370	"dragon"	2038	"DRAGON"
"RonaTas-2011-512-371"	371	"sickle"	341	"SICKLE"
"RonaTas-2011-512-372"	372	"a type of wild onion, Ornithogalum"		
"RonaTas-2011-512-373"	373	"footwear, sandals"		
"RonaTas-2011-512-374"	374	"tent"	1316	"TENT"
"RonaTas-2011-512-375"	375	"fast, quick"	1631	"FAST"
"RonaTas-2011-512-376"	376	"to sweep, to broom"	230	"SWEEP"
"RonaTas-2011-512-377"	377	"broom"	245	"BROOM"
"RonaTas-2011-512-378"	378	"draff, lees, dregs of wine"		
"RonaTas-2011-512-379"	379	"draff, lees, dregs of wine"		
"RonaTas-2011-512-380"	380	"to injure, to hurt"	44	"INJURE"
"RonaTas-2011-512-381"	381	"army, troops, crowd"	1561	"ARMY"
"RonaTas-2011-512-382"	382	"a nit"	267	"NIT"
"RonaTas-2011-512-383"	383	"cup, goblet"	476	"CUP"
"RonaTas-2011-512-384"	384	"bristles, also short sheaves used to strengthen a thatched roof"		
"RonaTas-2011-512-385"	385	"even, flat, open (water)"	1633	"FLAT"
"RonaTas-2011-512-386"	386	"smooth, simít"	1234	"SMOOTH"
"RonaTas-2011-512-387"	387	"running water, running channel under a mill"		
"RonaTas-2011-512-388"	388	"spring, well, brook"	1537	"SPRINGTIME"
"RonaTas-2011-512-389"	389	"much, many"	1198	"MANY"
"RonaTas-2011-512-390"	390	"falcon"	3258	"FALCON"
"RonaTas-2011-512-391"	391	"falcon"	3258	"FALCON"
"RonaTas-2011-512-392"	392	"dogwood (tree), cornel, Cornus"		
"RonaTas-2011-512-393"	393	"dogwood (tree), cornel, Cornus"		
"RonaTas-2011-512-394"	394	"beer"	1639	"BEER"
"RonaTas-2011-512-395"	395	"sterlet, sturgeon, Acipenser stellatus, ruthenus"	3606	"STURGEON"
"RonaTas-2011-512-396"	396	"pike perch, zander, Stizostedion lucioperca"		
"RonaTas-2011-512-397"	397	"scurvy"		
"RonaTas-2011-512-398"	398	"dense, thick (of woods or soup)"	2239	"DENSE"
"RonaTas-2011-512-399"	399	"brother-in-law"	2314	"BROTHER-IN-LAW"
"RonaTas-2011-512-400"	400	"brother-in-law"	2314	"BROTHER-IN-LAW"
"RonaTas-2011-512-401"	401	"mirage"		
"RonaTas-2011-512-402"	402	"uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken"	2293	"UVULA"
"RonaTas-2011-512-403"	403	"beard"	678	"BEARD"
