ID	NUMBER	DUTCH	ENGLISH	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	TYPE	DUTCH_CATEGORY	DUTCH_AROUSAL_MEAN	DUTCH_VALENCE_MEAN	DUTCH_TABOO_GENERAL_MEAN	DUTCH_TABOO_PERSONAL_MEAN	DUTCH_INSULT_MEAN
Roest-2018-672-1	1	aanslag	assault/keystroke/taxes/attack	aanslag	722	ATTACK	N	Negative	neg high arousal	4.27	1.86	2.76	2.41	1.7
Roest-2018-672-2	2	aarslog	butthole	aarslog			N	Taboo	taboo	3.45	2.7	3.1	2.72	3.36
Roest-2018-672-3	3	aarsneger	lit. buttnigger	aarsneger			N	Taboo	taboo	4.34	1.6	5.28	4.71	5.37
Roest-2018-672-4	4	aarsridder	lit. buttknight	aarsridder			N	Taboo	taboo	3.64	2.49	3.84	3.15	3.93
Roest-2018-672-5	5	abortus	abortion	abortus	3866	ABORTION	N	Taboo	taboo	3.8	2.77	4.39	2.57	1.91
Roest-2018-672-6	6	abortuskind	abortion child	abortuskind			N	Taboo	taboo	04.05	1.98	4.7	3.52	4.4
Roest-2018-672-7	7	aftrekken	to jerk off/ substract/ deduct	aftrekken			V	Taboo	taboo	04.09	3.79	4.47	3.29	1.51
Roest-2018-672-8	8	afvalturk	lit. garbage Turk	afvalturk			N	Taboo	taboo	4.11	1.91	4.32	3.82	4.77
Roest-2018-672-9	9	agressief	aggressive	agressief			A	Negative	neg high arousal	3.61	2.74	02.02	1.69	1.79
Roest-2018-672-10	10	aids	AIDS	aids			N	Taboo	taboo	3.73	1.86	4.11	2.75	2.62
Roest-2018-672-11	11	alleen	alone	alleen	1964	ALONE	A	Negative	neg low arousal	2.27	2.93	1.69	1.46	1.36
Roest-2018-672-12	12	allesneuker	lit. anything fucker	allesneuker			N	Taboo	taboo	4.16	02.02	4.87	04.08	5.21
Roest-2018-672-13	13	allochtoon	immigrant/foreigner	allochtoon			N	Taboo	taboo	03.07	3.23	3.1	1.77	2.39
Roest-2018-672-14	14	ambitie	ambition	ambitie			N	Positive	pos high arousal	3.34	5.49	1.13	01.02	01.05
Roest-2018-672-15	15	ambitieus	ambitious	ambitieus			A	Positive	pos high arousal	3.43	5.6	1.18	1.13	1
Roest-2018-672-16	16	amputatie	amputation	amputatie			N	Taboo	taboo	3.66	2.4	2.28	1.64	1.3
Roest-2018-672-17	17	anaal	anal	anaal			A	Taboo	taboo	4.2	3.12	4.43	3.47	1.87
Roest-2018-672-18	18	angst	fear	angst	781	FEAR (FRIGHT)	N	Negative	neg high arousal	3.41	2.65	1.91	1.57	1.3
Roest-2018-672-19	19	anus	anus	anus	1935	ANUS	N	Taboo	taboo	3.84	3.21	3.53	2.6	02.01
Roest-2018-672-20	20	anusgezwel	anusgrowth/anus tumour	anusgezwel			N	Taboo	taboo	4.44	1.93	4.9	4.33	4.24
Roest-2018-672-21	21	anuslikker	lit. person who licks ass/anus	anuslikker			N	Taboo	taboo	4.61	1.74	5.26	4.46	5.3
Roest-2018-672-22	22	apathie	apathy	apathie			N	Negative	neg low arousal	2.67	3.16	1.66	1.59	1.69
Roest-2018-672-23	23	apathisch	apathetic	apathisch			A	Negative	neg low arousal	2.95	3.16	1.7	1.53	2.11
Roest-2018-672-24	24	applaus	applause	applaus			N	Positive	pos high arousal	3.25	5.4	01.01	1	1
Roest-2018-672-25	25	avontuurlijk	adventurous	avontuurlijk			A	Positive	pos high arousal	3.36	5.23	1.1	01.01	1
Roest-2018-672-26	26	baggerslet	lit. dredging/mud slut	baggerslet			N	Taboo	taboo	4.68	1.81	4.85	4.29	5.63
Roest-2018-672-27	27	ballen	balls	ballen			N	Taboo	taboo	03.02	3.93	2.21	1.67	1.25
Roest-2018-672-28	28	balzak	scrotum/ballsack	balzak	2834	SCROTUM	N	Taboo	taboo	3.59	3.33	3.24	2.4	2.25
Roest-2018-672-29	29	batsen	to get laid/ to fuck	batsen	549	COPULATE	V	Taboo	taboo	3.89	03.09	3.68	2.79	1.79
Roest-2018-672-30	30	bed	bed	bed	1663	BED	N	Positive	pos low arousal	02.05	4.98	01.02	1	01.01
Roest-2018-672-31	31	bedreiging	threat	bedreiging			N	Negative	neg high arousal	3.61	2.49	1.91	1.7	1.66
Roest-2018-672-32	32	beffen	cunnilingus/ eat cunt	beffen			V	Taboo	taboo	4.23	3.74	4.7	3.36	1.54
Roest-2018-672-33	33	begrafenis	funeral	begrafenis	3336	FUNERAL	N	Negative	neg low arousal	3.25	2.19	02.07	1.71	1.18
Roest-2018-672-34	34	bescheiden	modest	bescheiden	4053	MODEST	A	Positive	pos low arousal	2.48	4.79	1.18	01.09	1.11
Roest-2018-672-35	35	beul	executioner/ being butch	beul			N	Negative	neg high arousal	3.32	2.42	2.29	2	2.7
Roest-2018-672-36	36	bitch	bitch	bitch			N	Taboo	taboo	3.77	2.33	03.06	2.41	04.07
Roest-2018-672-37	37	blij	happy	blij	1495	HAPPY	A	Positive	pos high arousal	3.66	06.07	01.03	01.01	01.01
Roest-2018-672-38	38	bloedbad	bloodbath	bloedbad			N	Negative	neg high arousal	4.66	1.93	03.06	2.61	1.67
Roest-2018-672-39	39	bloem	flower/flour	bloem	239	FLOWER	N	Positive	pos low arousal	2.41	4.95	01.01	1	1
Roest-2018-672-40	40	bloesem	blossom	bloesem			N	Positive	pos low arousal	2.23	4.77	1	1	1
Roest-2018-672-41	41	boeket	bouquet	boeket			N	Positive	pos low arousal	2.39	4.91	01.02	1	1
Roest-2018-672-42	42	bom	bomb	bom	1804	BOMB	N	Negative	neg high arousal	3.66	2.19	2.16	1.9	1.18
Roest-2018-672-43	43	borsten	breasts	borsten	1402	BREAST	N	Taboo	taboo	3.61	4.7	2.63	1.69	1.18
Roest-2018-672-44	44	braaf	good/ honest	braaf	1120	HONEST	A	Positive	pos low arousal	02.05	4.72	1.21	1.1	1.26
Roest-2018-672-45	45	bruiloft	wedding	bruiloft	1259	WEDDING	N	Positive	pos high arousal	3.34	5.72	01.07	01.07	01.01
Roest-2018-672-46	46	bruinen	to get tanned	bruinen			V	Positive	pos low arousal	2.52	04.09	1.24	1.14	1.3
Roest-2018-672-47	47	buttplug	buttplug	buttplug			N	Taboo	taboo	04.05	2.86	4.67	3.57	1.99
Roest-2018-672-48	48	castreren	to castrate	castreren	2563	CASTRATE	V	Taboo	taboo	3.84	2.95	3.26	2.3	1.63
Roest-2018-672-49	49	climax	climax	climax			N	Taboo	taboo	3.52	4.91	1.95	1.43	1.11
Roest-2018-672-50	50	clitoris	clitoris	clitoris	3257	CLITORIS	N	Taboo	taboo	4.16	4	3.92	2.79	1.51
Roest-2018-672-51	51	coma	coma	coma			N	Negative	neg low arousal	03.02	2.4	1.8	1.41	1.26
Roest-2018-672-52	52	comfort	comfort	comfort			N	Positive	pos low arousal	02.07	05.09	01.03	01.01	01.01
Roest-2018-672-53	53	condoom	condom	condoom			N	Taboo	taboo	3.68	3.95	3.24	2.1	1.21
Roest-2018-672-54	54	crimineel	criminal	crimineel	3875	CRIMINAL	N	Negative	neg high arousal	3.23	2.49	02.01	1.76	2.64
