ID	NUMBER	BASQUE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Forni-2013-201-1	1	aho	mouth	674	MOUTH
Forni-2013-201-2	2	ai(n)tzin / antzin	before, in front of	1882	BEFORE
Forni-2013-201-3	3	aita	father	1217	FATHER
Forni-2013-201-4	4	anae, anai(a/e)	brother	560	BROTHER (OF WOMAN)
Forni-2013-201-5	5	ar	male	1553	MALE
Forni-2013-201-6	6	argi	light (noun), bright	630	LIGHT (RADIATION)
Forni-2013-201-7	7	ats / hats	breath	870	BREATH
Forni-2013-201-8	8	-ba	kinship suffix		
Forni-2013-201-9	9	barre	smile, laugh	1451	SMILE
Forni-2013-201-10	10	bederatzi	nine	1483	NINE
Forni-2013-201-11	11	beltz	black	163	BLACK
Forni-2013-201-12	12	ber-	self	1993	SELF
Forni-2013-201-13	13	bero	hot, heat	1286	HOT
Forni-2013-201-14	14	beso	arm	1673	ARM
Forni-2013-201-15	15	bi(ga)	two	1498	TWO
Forni-2013-201-16	16	-bil	round	1395	ROUND
Forni-2013-201-17	17	bizi	alive, life	1422	BE ALIVE
Forni-2013-201-18	18	buztan	tail	1220	TAIL
Forni-2013-201-19	19	ebaki	to cut	1432	CUT
Forni-2013-201-20	20	edan / eran	to drink	1401	DRINK
Forni-2013-201-21	21	*edun	to have	773	HAVE
Forni-2013-201-22	22	egin	to do, make	734	MAKE
Forni-2013-201-23	23	eman	to give	1447	GIVE
Forni-2013-201-24	24	entzun	to hear	1408	HEAR
Forni-2013-201-25	25	erori	to fall	1280	FALL
Forni-2013-201-26	26	erre	burn, bake, grill, roast	1962	ROAST (SOMETHING)
Forni-2013-201-27	27	errun	to lay eggs	2464	LAY EGGS
Forni-2013-201-28	28	erra(n) / esa(n)	to say	1458	SAY
Forni-2013-201-29	29	eta	and	1577	AND
Forni-2013-201-30	30	etorri	to come	1446	COME
Forni-2013-201-31	31	ebi, ebri / euri	rain	658	RAIN (PRECIPATION)
Forni-2013-201-32	32	ez / ze	no, not	2279	NO OR NOT
Forni-2013-201-33	33	azur / ezur / hezur	bone	1394	BONE
Forni-2013-201-34	34	gaitz	bad	1292	BAD
Forni-2013-201-35	35	gain	top; on top	1753	TOP
Forni-2013-201-36	36	gar	flame	889	FLAME
Forni-2013-201-37	37	garai	high place, height		
Forni-2013-201-38	38	garbi	clean	704	CLEAN
Forni-2013-201-39	39	gibel	liver	1224	LIVER
Forni-2013-201-40	40	gizon	man	1554	MAN
Forni-2013-201-41	41	goi	high place, height; high	1265	HIGH
Forni-2013-201-42	42	goiz	morning	1339	MORNING
Forni-2013-201-43	43	gora	up	1591	UP
Forni-2013-201-44	44	gorotz	dung	2057	DUNG (ANIMAL FAECES)
Forni-2013-201-45	45	gu	we	1212	WE
Forni-2013-201-46	46	hartu	to take	1749	TAKE
Forni-2013-201-47	47	hortz	tooth (incisor)	1380	TOOTH
Forni-2013-201-48	48	ibai	river	666	RIVER
Forni-2013-201-49	49	igan / igo(n)	ascend	705	GO UP, ASCEND
Forni-2013-201-50	50	igari, igeri	swimming	1439	SWIM
Forni-2013-201-51	51	ikusi	to see	1409	SEE
Forni-2013-201-52	52	ikuzi	to wash	1453	WASH
Forni-2013-201-53	53	ilun	dark, darkness, night	706	DARK
Forni-2013-201-54	54	itsaso	sea	1474	SEA
Forni-2013-201-55	55	hitz / itz	word	1599	WORD
Forni-2013-201-56	56	itzuli	to turn	1588	TURN
Forni-2013-201-57	57	izan	to be	1579	BE
