ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Marrison-1967-917-1	1	above	1741	ABOVE	above
Marrison-1967-917-2	2	after	1685	AFTER	after
Marrison-1967-917-3	3	again	204	AGAIN	again
Marrison-1967-917-4	4	all	98	ALL	all
Marrison-1967-917-5	5	alone	1964	ALONE	alone
Marrison-1967-917-6	6	also			also
Marrison-1967-917-7	7	among			among
Marrison-1967-917-8	8	and	1577	AND	and
Marrison-1967-917-9	9	angry	1826	ANGRY	angry
Marrison-1967-917-10	10	animal	619	ANIMAL	animal
Marrison-1967-917-11	11	ankle	803	ANKLE	ankle
Marrison-1967-917-12	12	to answer	1275	ANSWER	answer//to answer
Marrison-1967-917-13	13	ant (generic)	587	ANT	ant (generic)
Marrison-1967-917-14	14	ant (black)			ant (black)
Marrison-1967-917-15	15	ant (red)			ant (red)
Marrison-1967-917-16	16	ant (white-termite)	883	TERMITE	ant (white), termite//ant (white-termite)
Marrison-1967-917-17	17	arm	1673	ARM	arm
Marrison-1967-917-18	18	armlet			armlet
Marrison-1967-917-19	19	to arrive	1387	ARRIVE	arrive//to arrive
Marrison-1967-917-20	20	arrow	977	ARROW	arrow
Marrison-1967-917-21	21	to ascend	705	GO UP (ASCEND)	ascend//to ascend
Marrison-1967-917-22	22	ashes	646	ASH	ashes
Marrison-1967-917-23	23	to ask (a question)	1309	ASK (INQUIRE)	ask (a question)//to ask (a question)
Marrison-1967-917-24	24	to ask for	1828	ASK (REQUEST)	ask for//to ask for
Marrison-1967-917-25	25	at	1461	AT	at
Marrison-1967-917-26	26	aunt	1272	AUNT	aunt
Marrison-1967-917-27	27	to awake, to awaken	825	AWAKE	awake / awaken//to awake;  to awaken
Marrison-1967-917-28	28	axe	677	AXE	axe
Marrison-1967-917-29	29	baby	1289	BABY	baby
Marrison-1967-917-30	30	Back (of the body)	1291	BACK	back (body)//back (of the body)
Marrison-1967-917-31	31	bad	1292	BAD	bad
Marrison-1967-917-32	32	bag	2468	BAG	bag
Marrison-1967-917-33	33	bamboo	1927	BAMBOO	bamboo
Marrison-1967-917-34	34	banana	868	BANANA	banana
Marrison-1967-917-35	35	Bank (edge)	3463	RIVERBANK	bank (edge)
Marrison-1967-917-36	36	Bark (of tree)	1204	BARK	bark (of tree)
Marrison-1967-917-37	37	Basket (generic)	1539	BASKET	basket (generic)
Marrison-1967-917-38	38	Basket (back,man's)			basket (back, man's)
Marrison-1967-917-39	39	Basket (back,woman's)			basket (back, woman's)
Marrison-1967-917-40	40	Basket (large,storage)			basket (large, storage)
Marrison-1967-917-41	41	Bat (animal)	1793	BAT	bat (animal)
Marrison-1967-917-42	42	to be	1579	BE	be//to be
Marrison-1967-917-43	43	bead	1860	BEAD	bead
Marrison-1967-917-44	44	beam	1132	BEAM	beam
Marrison-1967-917-45	45	bean	832	BEAN	bean
Marrison-1967-917-46	46	a bear	1820	BEAR	bear (animal)//a bear
Marrison-1967-917-47	47	to bear (a child)	1195	GIVE BIRTH	to bear (a child)//birth, give
Marrison-1967-917-48	48	to bear (fruit)	3054	BEAR FRUIT	bear (fruit)//to bear (fruit)//bear fruit
Marrison-1967-917-49	49	beard	678	BEARD	beard
Marrison-1967-917-50	50	to beat	1665	BEAT	beat//to beat
Marrison-1967-917-51	51	beautiful	1427	BEAUTIFUL	beautiful
Marrison-1967-917-52	52	because	1157	BECAUSE	because
Marrison-1967-917-53	53	to become	1990	BECOME	become//to become
Marrison-1967-917-54	54	bed	1663	BED	bed
Marrison-1967-917-55	55	bee	665	BEE	bee
Marrison-1967-917-56	56	beetle	2242	BEETLE	beetle
Marrison-1967-917-57	57	before	1882	BEFORE	before//before; at; to
Marrison-1967-917-58	58	to begin	3447	BEGIN OR START	begin//to begin
Marrison-1967-917-59	59	to believe	1890	BELIEVE	believe//to believe
Marrison-1967-917-60	60	bellows	3658	BELLOWS	bellows//belows
Marrison-1967-917-61	61	belly	1251	BELLY	belly
Marrison-1967-917-62	62	belt (girdle)	772	BELT	belt (girdle)
Marrison-1967-917-63	63	belt (for weaving)			belt (for weaving)
Marrison-1967-917-64	64	betel (leaf)			betel (leaf)
Marrison-1967-917-65	65	betel (nut)			betel (nut)
Marrison-1967-917-66	66	between	689	BETWEEN	between
Marrison-1967-917-67	67	big	1202	BIG	big
Marrison-1967-917-68	68	to bind	1917	TIE	bind//to bind
Marrison-1967-917-69	69	bird	937	BIRD	bird
Marrison-1967-917-70	70	to bite	1403	BITE	bite//to bite
Marrison-1967-917-71	71	bitter	887	BITTER	bitter
Marrison-1967-917-72	72	black	163	BLACK	black
Marrison-1967-917-73	73	bladder	1746	BLADDER	bladder
Marrison-1967-917-74	74	to bless	391	BLESS	bless//to bless
Marrison-1967-917-75	75	blind	1653	BLIND	blind
Marrison-1967-917-76	76	blood	946	BLOOD	blood
Marrison-1967-917-77	77	to blow	176	BLOW (WITH MOUTH)	blow//to blow
Marrison-1967-917-78	78	blunt	379	BLUNT	blunt
Marrison-1967-917-79	79	boat	1844	BOAT	boat
Marrison-1967-917-80	80	body	1480	BODY	body
Marrison-1967-917-81	81	to boil	2493	BOIL	boil//to boil
Marrison-1967-917-82	82	bone	1394	BONE	bone
Marrison-1967-917-83	83	book	963	BOOK	book
Marrison-1967-917-84	84	bow (for shooting)	994	BOW	bow (for shooting)
Marrison-1967-917-85	85	box	1465	BOX	box//box / chest
Marrison-1967-917-86	86	boy	1366	BOY	boy
Marrison-1967-917-87	87	bracelet	1754	BRACELET	bracelet
Marrison-1967-917-88	88	brain	1583	BRAIN	brain
Marrison-1967-917-89	89	branch	1531	BRANCH	branch
Marrison-1967-917-90	90	brass	3743	BRASS	brass
Marrison-1967-917-91	91	brave	3	BRAVE	brave
Marrison-1967-917-92	92	bread	1368	BREAD	bread
Marrison-1967-917-93	93	to break	680	BREAK (DESTROY OR GET DESTROYED)	break//to break
Marrison-1967-917-94	94	breast	1402	BREAST	breast
Marrison-1967-917-95	95	to breathe	1407	BREATHE	breathe//to breathe
Marrison-1967-917-96	96	bride	1266	BRIDE	bride
Marrison-1967-917-97	97	bridge	1011	BRIDGE	bridge
Marrison-1967-917-98	98	to bring	692	BRING	bring//to bring
Marrison-1967-917-99	99	brinjal (bengan, egg plant)	1146	AUBERGINE	brinjal (bengan, eggplant)//brinjal (bengan  egg plant)
Marrison-1967-917-100	100	broad	2531	BROAD	broad
Marrison-1967-917-101	101	broom	245	BROOM	broom
Marrison-1967-917-102	102	brother (elder)	1759	OLDER BROTHER	brother (elder)
Marrison-1967-917-103	103	brother (younger)	1760	YOUNGER BROTHER	brother (younger)
Marrison-1967-917-104	104	bud	1684	BUD	bud
Marrison-1967-917-105	105	buffalo	934	BUFFALO	buffalo
Marrison-1967-917-106	106	bug	1027	BUG	bug
Marrison-1967-917-107	107	to build	1840	BUILD	build//to build
Marrison-1967-917-108	108	bull	1008	BULL	bull
Marrison-1967-917-109	109	bullet	1114	BULLET	bullet
Marrison-1967-917-110	110	to burn	2102	BURN	burn//to burn
Marrison-1967-917-111	111	to bury	1719	BURY	bury//to bury
Marrison-1967-917-112	112	bush	1683	BUSH	bush
Marrison-1967-917-113	113	but	3843	BUT	but
Marrison-1967-917-114	114	butterfly	1791	BUTTERFLY	butterfly
Marrison-1967-917-115	115	to buy	1869	BUY	buy//to buy
Marrison-1967-917-116	116	by means of			by means of
Marrison-1967-917-117	117	calf (of cow)	1989	CALF	calf (of cow)
Marrison-1967-917-118	118	calf (of leg)	498	CALF OF LEG	calf (of leg)
Marrison-1967-917-119	119	to call	1084	CALL	to call
Marrison-1967-917-120	120	can, able	972	BE ABLE	can, able
Marrison-1967-917-121	121	cane			cane
Marrison-1967-917-122	122	to carry (generic)	700	CARRY	carry (generic)//to carry (generic)
Marrison-1967-917-123	123	to carry (in hand)	412	CARRY IN HAND	carry (in hand)//to carry (in hand)
Marrison-1967-917-124	124	to carry (on back)	465	CARRY ON BACK	carry (on back)//to carry (on back)
Marrison-1967-917-125	125	cat	1208	CAT	cat
Marrison-1967-917-126	126	to catch	702	CATCH	catch//to catch
Marrison-1967-917-127	127	caterpillar	2247	CATERPILLAR	caterpillar
Marrison-1967-917-128	128	cattle	1153	CATTLE	cattle
Marrison-1967-917-129	129	cave	1155	CAVE	cave
Marrison-1967-917-130	130	centipede	1974	CENTIPEDE	centipede
Marrison-1967-917-131	131	chaff	2363	CHAFF (HUSK)	chaff
Marrison-1967-917-132	132	chair	1476	CHAIR	chair
Marrison-1967-917-133	133	charcoal	1188	CHARCOAL	charcoal
Marrison-1967-917-134	134	cheap	1887	CHEAP	cheap
Marrison-1967-917-135	135	cheek	1730	CHEEK	cheek
Marrison-1967-917-136	136	chest (of body)	1592	CHEST	chest//chest (of body)
Marrison-1967-917-137	137	chicken	1318	CHICKEN	chicken
Marrison-1967-917-138	138	a chief	301	CHIEFTAIN	chief//a chief
Marrison-1967-917-139	139	child	2099	CHILD	child
Marrison-1967-917-140	140	chillie	919	CHILI PEPPER	chillie
Marrison-1967-917-141	141	the chin	1510	CHIN	chin//the chin
Marrison-1967-917-142	142	to choose	1750	CHOOSE	choose//to choose
Marrison-1967-917-143	143	claw	72	CLAW	claw
Marrison-1967-917-144	144	clay	1399	CLAY	clay
Marrison-1967-917-145	145	clean	704	CLEAN	clean
Marrison-1967-917-146	146	to climb	1102	CLIMB	climb//to climb
Marrison-1967-917-147	147	clock	1323	CLOCK	clock
Marrison-1967-917-148	148	cloth	1616	CLOTH	cloth
Marrison-1967-917-149	149	clothes	1895	CLOTHES	clothes
Marrison-1967-917-150	150	cloud	1489	CLOUD	cloud
Marrison-1967-917-151	151	coat	603	COAT	coat
Marrison-1967-917-152	152	cock	1511	ROOSTER	cock
Marrison-1967-917-153	153	cold	1287	COLD	cold
Marrison-1967-917-154	154	comb	1475	COMB	comb
Marrison-1967-917-155	155	to come	1446	COME	come//to come
Marrison-1967-917-156	156	to cook	1100	COOK (SOMETHING)	cook//to cook//cook3
Marrison-1967-917-157	157	copper	1825	COPPER	copper
Marrison-1967-917-158	158	cotton	1850	COTTON	cotton
Marrison-1967-917-159	159	to cough	879	COUGH	cough//to cough
Marrison-1967-917-160	160	to count	1420	COUNT	count//to count
Marrison-1967-917-161	161	country	1300	COUNTRY	country
Marrison-1967-917-162	162	to cover	761	COVER	cover//to cover
Marrison-1967-917-163	163	cow	1007	COW	cow
Marrison-1967-917-164	164	cowrie	3663	COWRIE SHELL	cowrie
Marrison-1967-917-165	165	crab	2348	CRAB	crab
Marrison-1967-917-166	166	creeper			creeper
Marrison-1967-917-167	167	crooked	297	CROOKED	crooked
Marrison-1967-917-168	168	a crow	913	CROW	crow (bird)//a crow
Marrison-1967-917-169	169	cruel	500	CRUEL	cruel
Marrison-1967-917-170	170	to cry (to weep)	1839	CRY	cry (weep)//to cry (to weep)
Marrison-1967-917-171	171	cucumber	496	CUCUMBER	cucumber
Marrison-1967-917-172	172	cup	476	CUP	cup
Marrison-1967-917-173	173	curry			curry
Marrison-1967-917-174	174	to curse	8	CURSE	curse//to curse
Marrison-1967-917-175	175	to cut (generic)	1432	CUT	cut (generic)//to cut (generic)
Marrison-1967-917-176	176	to cut (with knife)	2156	CUT (WITH KNIFE)	cut (with knife)//to cut (with knife)
Marrison-1967-917-177	177	to cut (with axe)	3151	CUT (WITH AXE)	cut (with axe)//to cut (with axe)
Marrison-1967-917-178	178	to dance	1879	DANCE	dance//to dance
Marrison-1967-917-179	179	dao			dao
Marrison-1967-917-180	180	dark	706	DARK	dark
Marrison-1967-917-181	181	daughter	1357	DAUGHTER	daughter
Marrison-1967-917-182	182	dawn	729	DAWN	dawn
Marrison-1967-917-183	183	day	1225	DAY (NOT NIGHT)	day
Marrison-1967-917-184	184	deaf	996	DEAF	deaf
Marrison-1967-917-185	185	dear (expensive)	1426	EXPENSIVE	dear (expensive)
Marrison-1967-917-186	186	to deceive	3230	DECEIVE	deceive//to deceive
Marrison-1967-917-187	187	deep	1593	DEEP	deep
Marrison-1967-917-188	188	deer (generic)	1936	DEER	deer (generic)
Marrison-1967-917-189	189	deer (barking)	3152	MUNTJACS	deer (barking)
Marrison-1967-917-190	190	deer (sambhur)			deer (sambhur)
Marrison-1967-917-191	191	to descend	2014	GO DOWN (DESCEND)	descend//to descend
Marrison-1967-917-192	192	to desire	2117	DESIRE	desire//to desire
Marrison-1967-917-193	193	dew	1977	DEW	dew
Marrison-1967-917-194	194	diarrhoea	1177	DIARRHEA	diarrhea//diarrhoea//shite
Marrison-1967-917-195	195	to die	1494	DIE	die//to die
Marrison-1967-917-196	196	difficult	584	DIFFICULT	difficult
Marrison-1967-917-197	197	to dig	1418	DIG	dig//to dig
Marrison-1967-917-198	198	dirty	1230	DIRTY	dirty
Marrison-1967-917-199	199	dish	481	DISH	dish
Marrison-1967-917-200	200	ditch 	2002	DITCH	ditch//ditch
Marrison-1967-917-201	201	to divide	1119	DIVIDE	divide//to divide
Marrison-1967-917-202	202	to do	813	DO	do//to do
Marrison-1967-917-203	203	dog	2009	DOG	dog
Marrison-1967-917-204	204	door	1567	DOOR	door
Marrison-1967-917-205	205	dove	1853	DOVE	dove
Marrison-1967-917-206	206	down	1326	DOWN	down
Marrison-1967-917-207	207	a dream	2374	DREAM	dream//a dream
Marrison-1967-917-208	208	to drink	1401	DRINK	drink//to drink
Marrison-1967-917-209	209	drum	908	DRUM	drum
Marrison-1967-917-210	210	dry	1398	DRY	dry
Marrison-1967-917-211	211	duck	1360	DUCK	duck
Marrison-1967-917-212	212	dumb	1492	DUMB	dumb
Marrison-1967-917-213	213	dung	2057	DUNG (ANIMAL FAECES)	dung
Marrison-1967-917-214	214	dust	2	DUST	dust
