ID	NUMBER	ENGLISH	VARIANTS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sims-2020-253-101	101	joint	joint	999	JOINT
Sims-2020-253-102	102	lamb, kid	lamb, kid	820	LAMB
Sims-2020-253-103	103	laugh	laugh	1355	LAUGH
Sims-2020-253-104	104	lay egg	lay egg	2464	LAY EGGS
Sims-2020-253-105	105	leaf	leaf	628	LEAF
Sims-2020-253-106	106	lean (of meat)	lean (of meat)	2219	LEAN (MEAT)
Sims-2020-253-107	107	learn, teach	learn, teach	504	LEARN
Sims-2020-253-108	108	learn/teach	learn/teach	504	LEARN
Sims-2020-253-109	109	left	left	244	LEFT
Sims-2020-253-110	110	left (hand)	left (hand)	244	LEFT
Sims-2020-253-111	111	left-side	left-side	244	LEFT
Sims-2020-253-112	112	life	life	210	LIFE
Sims-2020-253-113	113	lifespan	lifespan		
Sims-2020-253-114	114	live	live²¹	1422	BE ALIVE
Sims-2020-253-115	115	liver	liver	1224	LIVER
Sims-2020-253-116	116	lock	lock		
Sims-2020-253-117	117	lower seat (not honored)	lower seat (not honored)		
Sims-2020-253-118	118	lung	lung	688	LUNG
Sims-2020-253-119	119	mandarin duck	mandarin duck		
Sims-2020-253-120	120	meat/flesh	meat/flesh	2615	FLESH OR MEAT
Sims-2020-253-121	121	melt	melt	2334	MELT
Sims-2020-253-122	122	moon	moon	1313	MOON
Sims-2020-253-123	123	mountain	mountain	639	MOUNTAIN
Sims-2020-253-124	124	mushroom	mushroom	641	MUSHROOM
Sims-2020-253-125	125	name	name		
Sims-2020-253-126	126	narrow	narrow	1267	NARROW
Sims-2020-253-127	127	needle	needle⁵⁴	1382	NEEDLE (FOR SEWING)
Sims-2020-253-128	128	nephew	nephwe	1063	NEPHEW
Sims-2020-253-129	129	nephew, paternal	nephew, paternal	1056	SON-IN-LAW
Sims-2020-253-130	130	new	new	1231	NEW
Sims-2020-253-131	131	nod off	nod off		
Sims-2020-253-132	132	nose	nose⁶⁶	1221	NOSE
Sims-2020-253-133	133	obstruct	obstruct	2762	BLOCK (THE WAY)
Sims-2020-253-134	134	obtain	obtain	694	GET
Sims-2020-253-135	135	one year	one year	1226	YEAR
Sims-2020-253-136	136	open	open	1156	OPEN
Sims-2020-253-137	137	open (eye)	open (eye)	3234	OPEN (EYES)
Sims-2020-253-138	138	overflow	overflow		
Sims-2020-253-139	139	owl	owl	735	OWL
Sims-2020-253-140	140	pant leg	pant leg		
Sims-2020-253-141	141	pants/trousers	pants/trousers	809	TROUSERS
Sims-2020-253-142	142	patch (n)	patch (n)		
Sims-2020-253-143	143	patch (n.)	patch (n.)		
Sims-2020-253-144	144	patch (v.)	patch (v.)	3550	PATCH
Sims-2020-253-145	145	penis	penis	1222	PENIS
Sims-2020-253-146	146	people, clan	people, clan	302	CLAN
Sims-2020-253-147	147	people; clan	people; clan	302	CLAN
Sims-2020-253-148	148	pig	pig	1337	PIG
Sims-2020-253-149	149	pit, stone; bullet	pit, stone; bullet		
Sims-2020-253-150	150	plate, dish	plate, dish	481	DISH
Sims-2020-253-151	151	plow (n.)	plow (n.)	2154	PLOUGH (INSTRUMENT)
Sims-2020-253-152	152	power, authority	power, authority	1637	AUTHORITY
Sims-2020-253-153	153	pretend	pretend³⁴	3631	PRETEND
Sims-2020-253-154	154	pretend, feign	pretend, feign	3631	PRETEND
Sims-2020-253-155	155	price	price⁴⁵	657	PRICE
Sims-2020-253-156	156	priest	priest	852	PRIEST
Sims-2020-253-157	157	pus	pus	1808	PUS
Sims-2020-253-158	158	raw	raw	1959	RAW
Sims-2020-253-159	159	red	red	156	RED
Sims-2020-253-160	160	red, unripe, green, blue	red, unripe, green, blue		
Sims-2020-253-161	161	return	return	581	COME BACK
Sims-2020-253-162	162	return to a place	return to a place	581	COME BACK
Sims-2020-253-163	163	return, transport	return, transport		
Sims-2020-253-164	164	rice (raw)	rice (raw)	3289	UNCOOKED RICE
Sims-2020-253-165	165	rinse/flush	rinse/flush	2904	RINSE
Sims-2020-253-166	166	rope	rope	1218	ROPE
Sims-2020-253-167	167	seed	seed	714	SEED
Sims-2020-253-168	168	separate (v.)	separate (v.)	1359	SEPARATE
Sims-2020-253-169	169	separate, sever	separate, sever		
Sims-2020-253-170	170	sew	sew	1457	SEW
Sims-2020-253-171	171	sharpen, grind	sharpen, grind	251	SHARPEN (SOMETHING)
Sims-2020-253-172	172	sheep	sheep	1331	SHEEP
Sims-2020-253-173	173	sheep, male; ram	sheep, male; ram	1344	RAM
Sims-2020-253-174	174	shepherd (v.)	shepherd (v.)	2544	SHEPHERD
Sims-2020-253-175	175	shit	shit	675	FAECES (EXCREMENT)
Sims-2020-253-176	176	shoe	shoe	1381	SHOE
Sims-2020-253-177	177	shoot (v.)	shoot (v.)⁵⁵	1172	SHOOT
Sims-2020-253-178	178	shoulder	shoulder	1482	SHOULDER
Sims-2020-253-179	179	shìbi	shìbi	394	SHAMAN (FOLK HEALER)
Sims-2020-253-180	180	silver	silver	759	SILVER
Sims-2020-253-181	181	sinew	sinew	1137	TENDON
Sims-2020-253-182	182	sit down	sit down⁴²	1649	SIT DOWN
Sims-2020-253-183	183	sit on/hatch (egg)	sit on/hatch (egg)	2075	BROOD (VERB)
Sims-2020-253-184	184	skin	skin	763	SKIN
Sims-2020-253-185	185	sleep	sleep⁶⁸	1585	SLEEP
Sims-2020-253-186	186	small	small	1246	SMALL
Sims-2020-253-187	187	snake	snake⁴⁴	730	SNAKE
Sims-2020-253-188	188	snap (v.i.)	snap (v.i.)	460	BREAK (OF ROPE)
Sims-2020-253-189	189	snivel	snivel		
Sims-2020-253-190	190	snot	snot	208	NASAL MUCUS (SNOT)
Sims-2020-253-191	191	snow	snow	784	SNOW
Sims-2020-253-192	192	snow, hail (v.)	snow, hail (v.)		
Sims-2020-253-193	193	soldier	soldier²⁴	1941	SOLDIER
Sims-2020-253-194	194	solid, durable	solid, durable		
Sims-2020-253-195	195	sorcerer	sorcerer	823	SORCERER
Sims-2020-253-196	196	soup	soup	1547	SOUP
Sims-2020-253-197	197	spew	spew		
Sims-2020-253-198	198	spit (v.)	spit (v.)⁴⁶	1440	SPIT
Sims-2020-253-199	199	splash/sprinkle	splash/sprinkle	365	SPLASH
Sims-2020-253-200	200	split open, rend	split open, rend	3080	SPLIT OPEN
Sims-2020-253-201	201	stab	stab	1434	STAB
Sims-2020-253-202	202	stand up, rise, jump	stand up, rise, jump		
Sims-2020-253-203	203	star	star⁶⁷	1430	STAR
Sims-2020-253-204	204	sticky	sticky	3703	STICKY
Sims-2020-253-205	205	sticky, glutinous	sticky, glutinous	3703	STICKY
Sims-2020-253-206	206	stone	stone	857	STONE
Sims-2020-253-207	207	straight	straight⁶⁵	1404	STRAIGHT
Sims-2020-253-208	208	straight, erect	straight, erect		
Sims-2020-253-209	209	strength	strength	202	STRENGTH
Sims-2020-253-210	210	stretch	stretch	214	STRETCH
Sims-2020-253-211	211	sun	sun	1343	SUN
Sims-2020-253-212	212	sweat	sweat	125	SWEAT (SUBSTANCE)
Sims-2020-253-213	213	tail	tail²⁵//tail	1220	TAIL
Sims-2020-253-214	214	teach	teach	709	TEACH
Sims-2020-253-215	215	temple	temple	911	TEMPLE
Sims-2020-253-216	216	testicle	testicle	797	TESTICLES
Sims-2020-253-217	217	thick	thick	1244	THICK
Sims-2020-253-218	218	thick, sticky	thick, sticky		
Sims-2020-253-219	219	throw out	throw out	3696	THROW AWAY
Sims-2020-253-220	220	throw, abandon	throw, abandon		
Sims-2020-253-221	221	to do	to do	813	DO
Sims-2020-253-222	222	to exist	to exist		
Sims-2020-253-223	223	to hammer	to hammer⁴⁹	3115	HAMMER (SOMETHING)
Sims-2020-253-224	224	tongue	tongue	1205	TONGUE
Sims-2020-253-225	225	tooth	tooth	1380	TOOTH
Sims-2020-253-226	226	tread	tread	575	TREAD
Sims-2020-253-227	227	tree	tree³⁵	906	TREE
Sims-2020-253-228	228	trip hammer for hulling rice	trip hammer for hulling rice⁵⁰		
Sims-2020-253-229	229	untie	untie//untie²⁷	352	UNTIE
Sims-2020-253-230	230	uphold, stretch	uphold, stretch		
Sims-2020-253-231	231	urinate	urinate	592	PISS
Sims-2020-253-232	232	urine	urine⁶²	1142	URINE
Sims-2020-253-233	233	vagina	vagina	1836	VAGINA
Sims-2020-253-234	234	vapor	vapor	1193	STEAM
Sims-2020-253-235	235	vast, wide, extensive	vast, wide, extensive²⁶		
Sims-2020-253-236	236	vulva	vulva	1837	VULVA
Sims-2020-253-237	237	wait	wait	1590	WAIT (FOR)
Sims-2020-253-238	238	warm self by fire	warm self by fire		
Sims-2020-253-239	239	water directional-thirst	water directional-thirst	848	THIRST
Sims-2020-253-240	240	weave	weave⁵¹	133	WEAVE
Sims-2020-253-241	241	weep	weep³⁹	1839	CRY
Sims-2020-253-242	242	weigh	weigh	1098	WEIGH
Sims-2020-253-243	243	weigh (food)	weigh (food)		
Sims-2020-253-244	244	weigh (grain)	weigh (grain)		
Sims-2020-253-245	245	weight (grain)	weight (grain)		
Sims-2020-253-246	246	white	white⁶¹	1335	WHITE
Sims-2020-253-247	247	who	who⁴⁰	1235	WHO
Sims-2020-253-248	248	wide/broad	wide/broad	2652	BROAD OR WIDE
Sims-2020-253-249	249	wound (n.)	wound (n.)	1109	WOUND
Sims-2020-253-250	250	wound, scar	wound, scar		
Sims-2020-253-251	251	write	write⁵⁷	1672	WRITE
Sims-2020-253-252	252	yawn	yawn	1028	YAWN
Sims-2020-253-253	253	year	year	1226	YEAR
