ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-403	403	Nine	1483	NINE	Numerals
BirketSmith-1928-510-404	404	Ten	1515	TEN	Numerals
BirketSmith-1928-510-405	405	Eleven	1706	ELEVEN	Numerals
BirketSmith-1928-510-406	406	Twelve	1707	TWELVE	Numerals
BirketSmith-1928-510-407	407	Thirteen	1708	THIRTEEN	Numerals
BirketSmith-1928-510-408	408	Fourteen	2451	FOURTEEN	Numerals
BirketSmith-1928-510-409	409	Fifteen	1709	FIFTEEN	Numerals
BirketSmith-1928-510-410	410	Sixteen	2454	SIXTEEN	Numerals
BirketSmith-1928-510-411	411	Seventeen	2453	SEVENTEEN	Numerals
BirketSmith-1928-510-412	412	Eighteen	1713	EIGHTEEN	Numerals
BirketSmith-1928-510-413	413	Nineteen	1714	NINETEEN	Numerals
BirketSmith-1928-510-414	414	Twenty	1710	TWENTY	Numerals
BirketSmith-1928-510-415	415	Many	1198	MANY	Numerals
BirketSmith-1928-510-416	416	How	1239	HOW	Particles
BirketSmith-1928-510-417	417	Last, at	1529	LAST (FINAL)	Particles
BirketSmith-1928-510-418	418	Long ago	373	LONG AGO	Particles
BirketSmith-1928-510-419	419	No	1269	NO	Particles
BirketSmith-1928-510-420	420	Perhaps	2278	PERHAPS	Particles
BirketSmith-1928-510-421	421	Thank you			Particles
BirketSmith-1928-510-422	422	When (past)			Particles
BirketSmith-1928-510-423	423	When (future)			Particles
BirketSmith-1928-510-424	424	Why	1270	WHY	Particles
BirketSmith-1928-510-425	425	Yes	1268	YES	Particles
BirketSmith-1928-510-426	426	Yet, still			Particles
BirketSmith-1928-510-427	427	Answers him	1275	ANSWER	Verbs
BirketSmith-1928-510-428	428	Arrives	1387	ARRIVE	Verbs
BirketSmith-1928-510-429	429	Asks him	1309	ASK (INQUIRE)	Verbs
BirketSmith-1928-510-430	430	Asks st. of him	1828	ASK (REQUEST)	Verbs
BirketSmith-1928-510-431	431	Bad, it is	1292	BAD	Verbs
BirketSmith-1928-510-432	432	Big, it is	1202	BIG	Verbs
BirketSmith-1928-510-433	433	Birth, gives	1195	GIVE BIRTH	Verbs
BirketSmith-1928-510-434	434	Blows			Verbs
BirketSmith-1928-510-435	435	Boils st. with a lamp			Verbs
BirketSmith-1928-510-436	436	Boils st. with a fire			Verbs
BirketSmith-1928-510-437	437	Builds a house			Verbs
BirketSmith-1928-510-438	438	Builds a kayak			Verbs
BirketSmith-1928-510-439	439	Buys st.	1869	BUY	Verbs
BirketSmith-1928-510-440	440	Chews	321	CHEW	Verbs
BirketSmith-1928-510-441	441	Covers a boat with skin			Verbs
BirketSmith-1928-510-442	442	Cures him	499	CURE	Verbs
BirketSmith-1928-510-443	443	Cuts st. in pieces			Verbs
BirketSmith-1928-510-444	444	Dies	1494	DIE	Verbs
BirketSmith-1928-510-445	445	Drifts (snow)			Verbs
BirketSmith-1928-510-446	446	Drills	1501	BORE	Verbs
BirketSmith-1928-510-447	447	Drinks	1401	DRINK	Verbs
BirketSmith-1928-510-448	448	Drums	111	DRUMMING	Verbs
BirketSmith-1928-510-449	449	Drums in a certain way			Verbs
BirketSmith-1928-510-450	450	Eats	1336	EAT	Verbs
BirketSmith-1928-510-451	451	Feels st.			Verbs
BirketSmith-1928-510-452	452	Feels cold			Verbs
BirketSmith-1928-510-453	453	Fishes	2638	FISHING	Verbs
BirketSmith-1928-510-454	454	Follows him	1085	FOLLOW	Verbs
BirketSmith-1928-510-455	455	Forgets him	1523	FORGET	Verbs
BirketSmith-1928-510-456	456	Good, it is	1035	GOOD	Verbs
BirketSmith-1928-510-457	457	Harpoons a sea mammal			Verbs
BirketSmith-1928-510-458	458	Hears	1408	HEAR	Verbs
BirketSmith-1928-510-459	459	Helps him	1897	HELP	Verbs
BirketSmith-1928-510-460	460	Hunts caribou			Verbs
BirketSmith-1928-510-461	461	Hunts seal in kayak			Verbs
BirketSmith-1928-510-462	462	Hunts seal at breathing hole			Verbs
BirketSmith-1928-510-463	463	Hunts seal crawling on the ice			Verbs
BirketSmith-1928-510-464	464	Kills st.	1417	KILL	Verbs
BirketSmith-1928-510-465	465	Laughs	1355	LAUGH	Verbs
BirketSmith-1928-510-466	466	Lies (falsehood)	601	LIE (MISLEAD)	Verbs
BirketSmith-1928-510-467	467	Lights a fire			Verbs
BirketSmith-1928-510-468	468	Obeys	1635	OBEY	Verbs
BirketSmith-1928-510-469	469	Paddles	3668	PADDLE (MOVEMENT)	Verbs
BirketSmith-1928-510-470	470	Pays him	718	PAY	Verbs
BirketSmith-1928-510-471	471	Plays	1413	PLAY	Verbs
BirketSmith-1928-510-472	472	Presents him with st.			Verbs
BirketSmith-1928-510-473	473	Puts a boat ashore			Verbs
BirketSmith-1928-510-474	474	Rains	1253	RAIN (RAINING)	Verbs
BirketSmith-1928-510-475	475	Remembers st.	707	REMEMBER	Verbs
BirketSmith-1928-510-476	476	Repairs st.	2243	REPAIR	Verbs
BirketSmith-1928-510-477	477	Rests	168	REST	Verbs
BirketSmith-1928-510-478	478	Revenge, takes	495	REVENGE	Verbs
BirketSmith-1928-510-479	479	Rows	1849	ROW	Verbs
BirketSmith-1928-510-480	480	Runs (man)			Verbs
BirketSmith-1928-510-481	481	Runs (animal)			Verbs
BirketSmith-1928-510-482	482	Says	1458	SAY	Verbs
BirketSmith-1928-510-483	483	Scrapes a skin soft			Verbs
BirketSmith-1928-510-484	484	Scrapes fat off a skin			Verbs
BirketSmith-1928-510-485	485	Scrapes a skin thin			Verbs
BirketSmith-1928-510-486	486	Sees st.	1409	SEE	Verbs
BirketSmith-1928-510-487	487	Sews	1457	SEW	Verbs
BirketSmith-1928-510-488	488	Shines	708	SHINE	Verbs
BirketSmith-1928-510-489	489	Sits	1416	SIT	Verbs
BirketSmith-1928-510-490	490	Skins a deer			Verbs
BirketSmith-1928-510-491	491	Skins a seal			Verbs
BirketSmith-1928-510-492	492	Skins a fox			Verbs
BirketSmith-1928-510-493	493	Skins a bird			Verbs
BirketSmith-1928-510-494	494	Sleeps	1585	SLEEP	Verbs
BirketSmith-1928-510-495	495	Small, it is	1246	SMALL	Verbs
BirketSmith-1928-510-496	496	Smells st.	1586	SMELL (PERCEIVE)	Verbs
BirketSmith-1928-510-497	497	Snows	1255	SNOWING	Verbs
BirketSmith-1928-510-498	498	Soaks a skin			Verbs
BirketSmith-1928-510-499	499	Speaks	1623	SPEAK	Verbs
BirketSmith-1928-510-500	500	Stretches a skin in a frame			Verbs
BirketSmith-1928-510-501	501	Tells (in general)	1711	TELL	Verbs
BirketSmith-1928-510-502	502	Tells a myth			Verbs
BirketSmith-1928-510-503	503	Travels	3665	TRAVEL	Verbs
BirketSmith-1928-510-504	504	Taboo, is subject to			Verbs
BirketSmith-1928-510-505	505	Tastes st.	21	TASTE (SOMETHING)	Verbs
BirketSmith-1928-510-506	506	Ties on to			Verbs
BirketSmith-1928-510-507	507	Ties together	1917	TIE	Verbs
BirketSmith-1928-510-508	508	Uses st.	2072	USE (VERB)	Verbs
BirketSmith-1928-510-509	509	Walks	1443	WALK	Verbs
BirketSmith-1928-510-510	510	Weeps	1839	CRY	Verbs
