ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-97	97	Halibut, ordinary			Animals
BirketSmith-1928-510-98	98	Halibut, Greenland			Animals
BirketSmith-1928-510-99	99	Hare, arctic Kittiwake v. Gull			Animals
BirketSmith-1928-510-100	100	Lemming			Animals
BirketSmith-1928-510-101	101	Louse	1392	LOUSE	Animals
BirketSmith-1928-510-102	102	Marmot, arctic Merganser, v. Duck			Animals
BirketSmith-1928-510-103	103	Mosquito	1509	MOSQUITO	Animals
BirketSmith-1928-510-104	104	Musk-ox			Animals
BirketSmith-1928-510-105	105	Mussel	2829	MUSSELS	Animals
BirketSmith-1928-510-106	106	Narwhal			Animals
BirketSmith-1928-510-107	107	Owl, snow			Animals
BirketSmith-1928-510-108	108	Pike	2967	PIKE (FISH)	Animals
BirketSmith-1928-510-109	109	Ptarmigan, rock			Animals
BirketSmith-1928-510-110	110	Ptarmigan, willow			Animals
BirketSmith-1928-510-111	111	Raven	2543	RAVEN	Animals
BirketSmith-1928-510-112	112	Salmon	944	SALMON	Animals
BirketSmith-1928-510-113	113	Sea scorpion			Animals
BirketSmith-1928-510-114	114	Seal, hooded			Animals
BirketSmith-1928-510-115	115	Seal, saddleback			Animals
BirketSmith-1928-510-116	116	Seal, saddleback, young			Animals
BirketSmith-1928-510-117	117	Seal, ringed			Animals
BirketSmith-1928-510-118	118	Seal, ringed (stinking)			Animals
BirketSmith-1928-510-119	119	Seal, spotted			Animals
BirketSmith-1928-510-120	120	Seal, bearded			Animals
BirketSmith-1928-510-121	121	Seal, beareded (young)			Animals
BirketSmith-1928-510-122	122	Shark, Greenland			Animals
BirketSmith-1928-510-123	123	Spider	843	SPIDER	Animals
BirketSmith-1928-510-124	124	Spider, earth			Animals
BirketSmith-1928-510-125	125	Starfish	3032	STARFISH	Animals
BirketSmith-1928-510-126	126	Swan	2837	SWAN	Animals
BirketSmith-1928-510-127	127	Tern			Animals
BirketSmith-1928-510-128	128	Trout			Animals
BirketSmith-1928-510-129	129	Trout, freshwater	795	TROUT	Animals
BirketSmith-1928-510-130	130	Walrus			Animals
BirketSmith-1928-510-131	131	Whale, right			Animals
BirketSmith-1928-510-132	132	Whale, sperm			Animals
BirketSmith-1928-510-133	133	Whale, humpback			Animals
BirketSmith-1928-510-134	134	Whale, killer			Animals
BirketSmith-1928-510-135	135	Whale, white			Animals
BirketSmith-1928-510-136	136	Wolf	522	WOLF	Animals
BirketSmith-1928-510-137	137	Wolverene			Animals
BirketSmith-1928-510-138	138	Birch, dwarf			Plants
BirketSmith-1928-510-139	139	Cassiope			Plants
BirketSmith-1928-510-140	140	Cowberry			Plants
BirketSmith-1928-510-141	141	Crowberry			Plants
BirketSmith-1928-510-142	142	Grass, stalk of			Plants
BirketSmith-1928-510-143	143	Moss, lamp			Plants
BirketSmith-1928-510-144	144	Moss, reindeer			Plants
BirketSmith-1928-510-145	145	Whortleberry	2809	BLUEBERRY	Plants
BirketSmith-1928-510-146	146	Willow	818	WILLOW	Plants
BirketSmith-1928-510-147	147	Ankle	803	ANKLE	Man and the Human Body
BirketSmith-1928-510-148	148	Anus	1935	ANUS	Man and the Human Body
BirketSmith-1928-510-149	149	Arm	1673	ARM	Man and the Human Body
BirketSmith-1928-510-150	150	Arm, upper	431	UPPER ARM	Man and the Human Body
BirketSmith-1928-510-151	151	Beard	678	BEARD	Man and the Human Body
BirketSmith-1928-510-152	152	Blood	946	BLOOD	Man and the Human Body
BirketSmith-1928-510-153	153	Bone	1394	BONE	Man and the Human Body
BirketSmith-1928-510-154	154	Breast (mamma)	1402	BREAST	Man and the Human Body
BirketSmith-1928-510-155	155	Brow	1173	EYEBROW	Man and the Human Body
BirketSmith-1928-510-156	156	Cheak	1730	CHEEK	Man and the Human Body
BirketSmith-1928-510-157	157	Chest	1592	CHEST	Man and the Human Body
BirketSmith-1928-510-158	158	Child (able to walk)	2099	CHILD	Man and the Human Body
BirketSmith-1928-510-159	159	Chin	1510	CHIN	Man and the Human Body
BirketSmith-1928-510-160	160	Cunnus	1837	VULVA	Man and the Human Body
BirketSmith-1928-510-161	161	Ear	1247	EAR	Man and the Human Body
BirketSmith-1928-510-162	162	Elbow	981	ELBOW	Man and the Human Body
BirketSmith-1928-510-163	163	Eye	1248	EYE	Man and the Human Body
BirketSmith-1928-510-164	164	Face	1560	FACE	Man and the Human Body
BirketSmith-1928-510-165	165	Finger, thumb	1781	THUMB	Man and the Human Body
BirketSmith-1928-510-166	166	Finger, fore	577	FOREFINGER	Man and the Human Body
BirketSmith-1928-510-167	167	Finger, middle	3387	MIDDLE FINGER	Man and the Human Body
BirketSmith-1928-510-168	168	Finger, ring			Man and the Human Body
BirketSmith-1928-510-169	169	Finger, little	2774	LITTLE FINGER	Man and the Human Body
BirketSmith-1928-510-170	170	Foot	1301	FOOT	Man and the Human Body
BirketSmith-1928-510-171	171	Hair (plur.)	1040	HAIR	Man and the Human Body
BirketSmith-1928-510-172	172	Hand	1277	HAND	Man and the Human Body
BirketSmith-1928-510-173	173	Head	1256	HEAD	Man and the Human Body
BirketSmith-1928-510-174	174	Heart	1223	HEART	Man and the Human Body
BirketSmith-1928-510-175	175	Heel	980	HEEL	Man and the Human Body
BirketSmith-1928-510-176	176	Knee	1371	KNEE	Man and the Human Body
BirketSmith-1928-510-177	177	Leg	1297	LEG	Man and the Human Body
BirketSmith-1928-510-178	178	Man (homo)	683	PERSON	Man and the Human Body
BirketSmith-1928-510-179	179	Man (vir)	1554	MAN	Man and the Human Body
BirketSmith-1928-510-180	180	Mouth	674	MOUTH	Man and the Human Body
BirketSmith-1928-510-181	181	Nail	1896	FINGERNAIL OR TOENAIL	Man and the Human Body
BirketSmith-1928-510-182	182	Navel	1838	NAVEL	Man and the Human Body
BirketSmith-1928-510-183	183	Neck	1333	NECK	Man and the Human Body
BirketSmith-1928-510-184	184	Neck, back of	1347	NAPE (OF NECK)	Man and the Human Body
BirketSmith-1928-510-185	185	Nose	1221	NOSE	Man and the Human Body
BirketSmith-1928-510-186	186	Penis	1222	PENIS	Man and the Human Body
BirketSmith-1928-510-187	187	Posterior	834	BUTTOCKS	Man and the Human Body
BirketSmith-1928-510-188	188	Testicle	797	TESTICLES	Man and the Human Body
BirketSmith-1928-510-189	189	Thigh	471	UPPER LEG (THIGH)	Man and the Human Body
