ID	NUMBER	CHINESE	PINYIN	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PEN_STROKES	ICONICITY	PICTURABILITY	CURRICULUM_ORDER	FREQ_PER_MILLION
Xiao-2012-213-100	100	犬	quan3	dog	DOG	2009	4	0.65	6.81	207	8.4
Xiao-2012-213-101	101	乌	wu1	dark	DARK	706	4	0.74	3.39	106.5	74.2
Xiao-2012-213-102	102	木	mu4	tree	TREE	906	4	0.75	6.77	53.5	315.9
Xiao-2012-213-103	103	戈	ge1	dagger			4	0.75	6.13	205	27.3
Xiao-2012-213-104	104	火	huo3	fire	FIRE	221	4	0.75	6.65	21.5	447.8
Xiao-2012-213-105	105	互	hu4	mutual			4	0.75	1.58	128.5	280.9
Xiao-2012-213-106	106	少	shao3	few, little	FEW	1242	4	0.75	2.48	99	1000.8
Xiao-2012-213-107	107	巨	ju4	huge			4	0.75	3.81	154.5	106.9
Xiao-2012-213-108	108	丹	dan1	pill	PILL	395	4	0.75	5.87	183	83.7
Xiao-2012-213-109	109	瓦	wa3	tile	TILE	3404	4	0.75	5.23	180.5	170.1
Xiao-2012-213-110	110	中	zhong1	middle	MIDDLE	1093	4	0.8	3.94	15.5	5957.1
Xiao-2012-213-111	111	心	xin1	heart	HEART	1223	4	0.8	6.71	77.5	1638.2
Xiao-2012-213-112	112	为	wei2	for the sake of			4	0.8	1.19	133	5260.2
Xiao-2012-213-113	113	云	yun2	cloud	CLOUD	1489	4	0.85	6.55	37.5	281.1
Xiao-2012-213-114	114	贝	bei4	shell	SHELL	598	4	0.9	6.48	113	66.4
Xiao-2012-213-115	115	气	qi4	air	AIR	27	4	0.9	2.45	37.5	1457.4
Xiao-2012-213-116	116	爪	zhua3	claw	CLAW	72	4	0.95	5.97	57.5	42.2
Xiao-2012-213-117	117	内	nei4	inner			4	0.95	2.77	167	1550.5
Xiao-2012-213-118	118	母	mu3	mother	MOTHER	1216	5	0.25	4.94	154.5	279.3
Xiao-2012-213-119	119	用	yong4	to use	USE (VERB)	2072	5	0.3	1.84	83.5	4730.2
Xiao-2012-213-120	120	目	mu4	eye	EYE	1248	5	0.3	6.84	48.5	623.2
Xiao-2012-213-121	121	术	shu4	technique			5	0.3	1.35	87	637.4
Xiao-2012-213-122	122	玉	yu4	jade			5	0.35	3.1	89.5	157.6
Xiao-2012-213-123	123	末	mo4	the end			5	0.35	2.58	163.5	194.6
Xiao-2012-213-124	124	卡	ka3	to get stuck			5	0.35	2.67	177.5	197.2
Xiao-2012-213-125	125	申	shen1	to state to a superior			5	0.35	1.35	113	31.8
Xiao-2012-213-126	126	且	qie3	for the time being			5	0.35	1.19	187	614.5
Xiao-2012-213-127	127	冉	ran3	slowly	SLOW	701	5	0.35	1.9	197.5	0.4
Xiao-2012-213-128	128	主	zhu3	owner	OWNER	1036	5	0.35	2.68	99	6095
Xiao-2012-213-129	129	未	wei4	future	FUTURE	2427	5	0.4	1.81	163.5	234.2
Xiao-2012-213-130	130	失	shi1	to lose	MISPLACE	3072	5	0.4	2.29	99	338.9
Xiao-2012-213-131	131	生	sheng1	life	LIFE	210	5	0.4	2.1	68.5	3664.4
Xiao-2012-213-132	132	丙	bing3	third	THIRD	1859	5	0.4	3.81	188	66.8
Xiao-2012-213-133	133	业	ye4	business	BUSINESS	2931	5	0.4	2.9	147.5	1455.6
Xiao-2012-213-134	134	头	tou2	head	HEAD	1256	5	0.4	6.35	48.5	1271.3
Xiao-2012-213-135	135	禾	he2	rice plant	RICE PLANT	2026	5	0.45	4.65	53.5	30.9
Xiao-2012-213-136	136	史	shi3	history			5	0.45	1.87	192	701
Xiao-2012-213-137	137	东	dong1	east	EAST	1877	5	0.45	4.29	158	808.8
Xiao-2012-213-138	138	半	ban4	half	HALF	816	5	0.45	4.29	165.5	522
Xiao-2012-213-139	139	立	li4	to stand	STAND	1442	5	0.5	3.03	72	1115.4
Xiao-2012-213-140	140	矛	mao2	spear	SPEAR	945	5	0.5	6.48	210	219.8
Xiao-2012-213-141	141	弗	fu2	not	NOT	1240	5	0.55	2.65	201	45.2
Xiao-2012-213-142	142	正	zheng4	correct	CORRECT (RIGHT)	1725	5	0.55	3.1	137	1780.3
Xiao-2012-213-143	143	世	shi4	world	WORLD	965	5	0.55	5.81	80.5	694.7
Xiao-2012-213-144	144	民	min2	citizen	CITIZEN	1032	5	0.55	2.68	72	3085.1
Xiao-2012-213-145	145	击	ji1	to attack			5	0.55	3.48	192	423.2
Xiao-2012-213-146	146	由	you2	by			5	0.6	1.57	179	1488.7
Xiao-2012-213-147	147	龙	long2	dragon	DRAGON	2038	5	0.6	6.48	144.5	131.6
Xiao-2012-213-148	148	鸟	niao3	bird	BIRD	937	5	0.6	6.61	57.5	31
