ID	NUMBER	GLOSS	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gabelentz-1861-24-1	1	sun	Sonne	1343	SUN
Gabelentz-1861-24-2	2	moon	Mond	1313	MOON
Gabelentz-1861-24-3	3	earth	Erde	1228	EARTH (SOIL)
Gabelentz-1861-24-4	4	water	Wasser	948	WATER
Gabelentz-1861-24-5	5	fire	Feuer	221	FIRE
Gabelentz-1861-24-6	6	human being	Mensch	683	PERSON
Gabelentz-1861-24-7	7	eye	Auge	1248	EYE
Gabelentz-1861-24-8	8	head	Kopf	1256	HEAD
Gabelentz-1861-24-9	9	hair	Haar	1040	HAIR
Gabelentz-1861-24-10	10	nose	Nase	1221	NOSE
Gabelentz-1861-24-11	11	mouth	Mund	674	MOUTH
Gabelentz-1861-24-12	12	tooth	Zahn	1380	TOOTH
Gabelentz-1861-24-13	13	hand	Hand	1277	HAND
Gabelentz-1861-24-14	14	foot	Fuss	1301	FOOT
Gabelentz-1861-24-15	15	one	ein	1493	ONE
Gabelentz-1861-24-16	16	two	zwei	1498	TWO
Gabelentz-1861-24-17	17	three	drei	492	THREE
Gabelentz-1861-24-18	18	four	vier	1500	FOUR
Gabelentz-1861-24-19	19	five	fünf	493	FIVE
Gabelentz-1861-24-20	20	six	sechs	1703	SIX
Gabelentz-1861-24-21	21	seven	sieben	1704	SEVEN
Gabelentz-1861-24-22	22	eight	acht	1705	EIGHT
Gabelentz-1861-24-23	23	nine	neun	1483	NINE
Gabelentz-1861-24-24	24	ten	zehn	1515	TEN
