ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN
Starostin-1991-110-1	98	ALL	1	all	весь
Starostin-1991-110-2	646	ASH	2	ashes	пепел
Starostin-1991-110-3	1204	BARK	3	bark	кора
Starostin-1991-110-4	1251	BELLY	4	belly	живот
Starostin-1991-110-5	1202	BIG	5	big	большой
Starostin-1991-110-6	937	BIRD	6	bird	птица
Starostin-1991-110-7	1403	BITE	7	bite	кусать
Starostin-1991-110-8	163	BLACK	8	black	черный
Starostin-1991-110-9	946	BLOOD	9	blood	кровь
Starostin-1991-110-10	1394	BONE	10	bone	кость
Starostin-1991-110-11	1402	BREAST	11	breast	грудь
Starostin-1991-110-12	141	BURN (SOMETHING)	12	burn tr.	жечь
Starostin-1991-110-13	2128	NAIL OR CLAW	13	claw (nail)	ноготь
Starostin-1991-110-14	1489	CLOUD	14	cloud	облако
Starostin-1991-110-15	1287	COLD (OF TEMPERATURE)	15	cold	холодный
Starostin-1991-110-16	1446	COME	16	come	приходить
Starostin-1991-110-17	1494	DIE	17	die	умирать
Starostin-1991-110-18	2009	DOG	18	dog	собака
Starostin-1991-110-19	1401	DRINK	19	drink	пить
Starostin-1991-110-20	1398	DRY	20	dry	сухой
Starostin-1991-110-21	1247	EAR	21	ear	ухо
Starostin-1991-110-22	1228	EARTH (SOIL)	22	earth	земля
Starostin-1991-110-23	1336	EAT	23	eat	есть
Starostin-1991-110-24	744	EGG	24	egg	яйцо
Starostin-1991-110-25	1248	EYE	25	eye	глаз
Starostin-1991-110-26	323	GREASE	26	fat n.	жир
Starostin-1991-110-27	1201	FEATHER	27	feather	перо
Starostin-1991-110-28	221	FIRE	28	fire	огонь
Starostin-1991-110-29	227	FISH	29	fish	рыба
Starostin-1991-110-30	1441	FLY (MOVE THROUGH AIR)	30	fly v.	лететь
Starostin-1991-110-31	1301	FOOT	31	foot	нога
Starostin-1991-110-32	1429	FULL	32	full	полный
Starostin-1991-110-33	1447	GIVE	33	give	давать
Starostin-1991-110-34	1035	GOOD	34	good	хороший
Starostin-1991-110-35	1425	GREEN	35	green	зеленый
Starostin-1991-110-36	1040	HAIR	36	hair	волос
Starostin-1991-110-37	1277	HAND	37	hand	рука
Starostin-1991-110-38	1256	HEAD	38	head	голова
Starostin-1991-110-39	1408	HEAR	39	hear	слышать
Starostin-1991-110-40	1223	HEART	40	heart	сердце
Starostin-1991-110-41	1393	HORN (KERATINIZED SKIN)	41	horn	рог
Starostin-1991-110-42	1209	I	42	I	я
Starostin-1991-110-43	1417	KILL	43	kill	убивать
Starostin-1991-110-44	1371	KNEE	44	knee	колено
Starostin-1991-110-45	1410	KNOW (SOMETHING)	45	know	знать
Starostin-1991-110-46	628	LEAF	46	leaf	лист
Starostin-1991-110-47	1411	LIE (REST)	47	lie	лежать
Starostin-1991-110-48	1224	LIVER	48	liver	печень
Starostin-1991-110-49	1203	LONG	49	long	длинний
Starostin-1991-110-50	1392	LOUSE	50	louse	вошь
Starostin-1991-110-51	1554	MAN	51	man	мужчина
Starostin-1991-110-52	1198	MANY	52	many	много
Starostin-1991-110-53	634	MEAT	53	meat	мясо
Starostin-1991-110-54	1313	MOON	54	moon	луна
Starostin-1991-110-55	639	MOUNTAIN	55	mountain	гора
Starostin-1991-110-56	674	MOUTH	56	mouth	рот
Starostin-1991-110-57	1405	NAME	57	name	имя
Starostin-1991-110-58	1333	NECK	58	neck	шея
Starostin-1991-110-59	1231	NEW	59	new	новый
Starostin-1991-110-60	1233	NIGHT	60	night	ночь
Starostin-1991-110-61	1221	NOSE	61	nose	нос
Starostin-1991-110-62	1240	NOT	62	not	не
Starostin-1991-110-63	1493	ONE	63	one	один
Starostin-1991-110-64	683	PERSON	64	person	человек
Starostin-1991-110-65	658	RAIN (PRECIPATION)	65	rain	дождь
Starostin-1991-110-66	156	RED	66	red	красный
Starostin-1991-110-67	667	ROAD	67	road	дорога
Starostin-1991-110-68	670	ROOT	68	root	корень
Starostin-1991-110-69	1395	ROUND	69	round	круглый
Starostin-1991-110-70	671	SAND	70	sand	песок
Starostin-1991-110-71	1458	SAY	71	say	сказать
Starostin-1991-110-72	1409	SEE	72	see	видеть
Starostin-1991-110-73	714	SEED	73	seed	семя
Starostin-1991-110-74	1416	SIT	74	sit	сидеть
Starostin-1991-110-75	763	SKIN	75	skin	кожа
Starostin-1991-110-76	1585	SLEEP	76	sleep	спать
