ID	NUMBER	ENGLISH	NCHARS	COMPLEXITY	_ConfidenceIntervalHigh	_ConfidenceIntervalLow	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lewis-2016-499-1	1	a	1	1.375	0.5	0.375		
Lewis-2016-499-2	2	am	2	1.1538461538	0.2307692308	0.1538461538		
Lewis-2016-499-3	3	an	2	1.4705882353	0.4705882353	0.3529411765		
Lewis-2016-499-4	4	as	2	2.3571428571	1.0714285714	0.9285714286		
Lewis-2016-499-5	5	at	2	1.9523809524	0.5714285714	0.4761904762		
Lewis-2016-499-6	6	be	2	2.3636363636	1.1818181818	1	1579	BE
Lewis-2016-499-7	7	by	2	2	0.9285714286	0.7142857143		
Lewis-2016-499-8	8	if	2	3.4615384615	1.0769230769	1.1538461538	1459	IF
Lewis-2016-499-9	9	of	2	1.7	0.8	0.6		
Lewis-2016-499-10	10	oh	2	1.8333333333	0.6666666667	0.5833333333		
Lewis-2016-499-11	11	so	2	2.1578947368	0.9473684211	0.7894736842		
Lewis-2016-499-12	12	to	2	2.2352941176	0.7058823529	0.5882352941		
Lewis-2016-499-13	13	up	2	1.25	0.4166666667	0.25	1591	UP
Lewis-2016-499-14	14	age	3	2.1764705882	0.6470588235	0.6470588235		
Lewis-2016-499-15	15	aid	3	1.625	0.75	0.625		
Lewis-2016-499-16	16	all	3	2.6666666667	1.4444444444	1.2222222222	98	ALL
Lewis-2016-499-17	17	and	3	2.05	0.65125	0.55	1577	AND
Lewis-2016-499-18	18	ape	3	2.4705882353	0.8235294118	0.7647058824		
Lewis-2016-499-19	19	apt	3	2.875	1	0.8140625		
Lewis-2016-499-20	20	are	3	3.1428571429	0.7154761905	0.7142857143		
Lewis-2016-499-21	21	bed	3	1.95	0.55	0.5	1663	BED
Lewis-2016-499-22	22	bit	3	2.4444444444	0.5555555556	0.5555555556		
Lewis-2016-499-23	23	but	3	1.5555555556	0.5555555556	0.5555555556		
Lewis-2016-499-24	24	can	3	1.7857142857	0.5714285714	0.5		
Lewis-2016-499-25	25	dip	3	2.1666666667	0.75	0.5833333333		
Lewis-2016-499-26	26	eat	3	1.5	0.75	0.5	1336	EAT
Lewis-2016-499-27	27	eel	3	2.3333333333	0.6	0.6	1013	FRESHWATER EEL
Lewis-2016-499-28	28	eye	3	2.8	1.2	1.1	1248	EYE
Lewis-2016-499-29	29	for	3	2.6153846154	0.9230769231	0.7711538462		
Lewis-2016-499-30	30	fur	3	1.6363636364	0.3636363636	0.3636363636	580	FUR
Lewis-2016-499-31	31	gin	3	2.7058823529	0.7647058824	0.7058823529		
Lewis-2016-499-32	32	hay	3	1.8095238095	0.6202380952	0.5238095238	342	HAY
Lewis-2016-499-33	33	hen	3	2.6428571429	0.9285714286	0.8571428571	1514	HEN
Lewis-2016-499-34	34	her	3	1.2666666667	0.2	0.2	2474	HER (GENITIVE OF SHE)
Lewis-2016-499-35	35	hog	3	2.0833333333	0.9166666667	0.6666666667	1337	PIG
Lewis-2016-499-36	36	hot	3	1.7	0.9	0.6	1286	HOT
Lewis-2016-499-37	37	how	3	3.4285714286	1.7142857143	1.5714285714	1239	HOW
Lewis-2016-499-38	38	its	3	2.875	0.9375	0.875		
Lewis-2016-499-39	39	led	3	1.9166666667	0.5	0.5		
Lewis-2016-499-40	40	leg	3	2.4285714286	1.0732142857	1.0714285714	1297	LEG
Lewis-2016-499-41	41	lip	3	1.9230769231	0.7692307692	0.5384615385	478	LIP
Lewis-2016-499-42	42	nor	3	2.7333333333	0.6666666667	0.6666666667		
Lewis-2016-499-43	43	not	3	2.1578947368	0.8421052632	0.6842105263	1240	NOT
Lewis-2016-499-44	44	now	3	1.5833333333	0.5833333333	0.4166666667	1376	NOW
Lewis-2016-499-45	45	off	3	1.68	0.52	0.4		
Lewis-2016-499-46	46	one	3	1.3333333333	0.3333333333	0.2222222222	1493	ONE
Lewis-2016-499-47	47	peg	3	2.1052631579	0.6315789474	0.5263157895	361	PEG
Lewis-2016-499-48	48	rum	3	1.8333333333	0.3888888889	0.3888888889	2833	RUM
Lewis-2016-499-49	49	sin	3	3.875	1.3125	1.1265625		
Lewis-2016-499-50	50	too	3	2.6666666667	0.8666666667	0.9333333333		
Lewis-2016-499-51	51	two	3	1.4210526316	0.5263157895	0.3684210526	1498	TWO
Lewis-2016-499-52	52	was	3	2.1	0.7	0.6		
Lewis-2016-499-53	53	who	3	3.2727272727	1.2727272727	1.1840909091	1235	WHO
Lewis-2016-499-54	54	ache	4	2.8823529412	1	0.8823529412		
Lewis-2016-499-55	55	ally	4	3.2307692308	0.9230769231	0.9230769231		
Lewis-2016-499-56	56	also	4	2.25	1.0020833333	0.75		
Lewis-2016-499-57	57	arch	4	3.0588235294	0.7058823529	0.6470588235		
Lewis-2016-499-58	58	back	4	2.5	1.0020833333	0.9166666667		
Lewis-2016-499-59	59	bang	4	3	0.9230769231	0.9230769231		
Lewis-2016-499-60	60	barn	4	2.1818181818	1.1818181818	0.8181818182		
Lewis-2016-499-61	61	beam	4	3.2	0.85	0.75		
Lewis-2016-499-62	62	beef	4	2.0833333333	0.5	0.4166666667	2570	BEEF
Lewis-2016-499-63	63	been	4	3.125	0.875	0.8125		
Lewis-2016-499-64	64	beer	4	1.4615384615	0.3846153846	0.3076923077	1639	BEER
Lewis-2016-499-65	65	beet	4	2.2857142857	0.7142857143	0.6428571429		
Lewis-2016-499-66	66	bell	4	1.8181818182	0.6363636364	0.5454545455	2246	BELL
Lewis-2016-499-67	67	belt	4	2.3529411765	0.7647058824	0.6470588235	772	BELT
Lewis-2016-499-68	68	bite	4	1.3571428571	0.4303571429	0.3571428571		
Lewis-2016-499-69	69	boar	4	3.2105263158	0.8947368421	0.7894736842	1348	BOAR (MALE PIG)
Lewis-2016-499-70	70	boat	4	3.8571428571	1.7142857143	1.4285714286	1844	BOAT
Lewis-2016-499-71	71	bolt	4	3.3076923077	0.8461538462	0.7711538462	2007	BOLT (OF LIGHTNING)
Lewis-2016-499-72	72	book	4	2.2	0.6	0.5333333333		
Lewis-2016-499-73	73	both	4	2.5	0.7	0.8		
Lewis-2016-499-74	74	bowl	4	1.8571428571	0.6428571429	0.5	1530	BOWL
Lewis-2016-499-75	75	bump	4	2.3333333333	0.5833333333	0.5		
Lewis-2016-499-76	76	came	4	1.9230769231	0.6923076923	0.6153846154		
Lewis-2016-499-77	77	care	4	2.2222222222	0.6666666667	0.6666666667		
Lewis-2016-499-78	78	cast	4	3.7647058824	0.8823529412	0.9426470588		
Lewis-2016-499-79	79	coat	4	2.0666666667	0.8666666667	0.7333333333		
Lewis-2016-499-80	80	code	4	4.25	1.25	1.1666666667		
Lewis-2016-499-81	81	coil	4	3.1666666667	0.8333333333	0.8333333333		
Lewis-2016-499-82	82	come	4	2.6470588235	0.8838235294	0.7647058824	1446	COME
Lewis-2016-499-83	83	cool	4	2.5625	0.8765625	0.75		
Lewis-2016-499-84	84	cowl	4	3.6	0.935	0.8666666667		
Lewis-2016-499-85	85	crab	4	2.3	1.0025	0.9	2348	CRAB
Lewis-2016-499-86	86	dear	4	3.25	1.25	1.125	2470	DEAR
Lewis-2016-499-87	87	diet	4	4.0769230769	1.0769230769	1		
Lewis-2016-499-88	88	drab	4	2.6	0.8	0.8		
