ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	ORIGINAL_NUMBER	ENGLISH	NUMBER
Zgraggen-1980-308-1	1554	MAN	1	man	1
Zgraggen-1980-308-2	962	WOMAN	2	woman	2
Zgraggen-1980-308-3	2112	OLD (AGED)	3	old (of humans)	3
Zgraggen-1980-308-4	2099	CHILD	6	child	4
Zgraggen-1980-308-5	1366	BOY	9	boy	5
Zgraggen-1980-308-6	1646	GIRL	10	girl	6
Zgraggen-1980-308-7	1217	FATHER	11	father	7
Zgraggen-1980-308-8	1216	MOTHER	12	mother	8
Zgraggen-1980-308-9	3037	SAME-SEX OLDER SIBLING	13	sibling same sex, older	9
Zgraggen-1980-308-10	3038	SAME-SEX YOUNGER SIBLING	14	sibling same sex, younger	10
Zgraggen-1980-308-11	3039	DIFFERENT-SEX OLDER SIBLING	15	sibling different sex, older	11
Zgraggen-1980-308-12	3040	DIFFERENT-SEX YOUNGER SIBLING	16	sibling different sex, younger	12
Zgraggen-1980-308-13	1209	I	24	I	13
Zgraggen-1980-308-14	1215	THOU	25	thou	14
Zgraggen-1980-308-15	1211	HE	26	he	15
Zgraggen-1980-308-16	1212	WE	27	we	16
Zgraggen-1980-308-17	1213	YOU	28	ye	17
Zgraggen-1980-308-18	817	THEY	29	they	18
Zgraggen-1980-308-19	98	ALL	4	all	19
Zgraggen-1980-308-20	1040	HAIR	88	hair	20
Zgraggen-1980-308-21	1256	HEAD	33	head	21
Zgraggen-1980-308-22	1583	BRAIN	35	brains	22
Zgraggen-1980-308-23	123	FOREHEAD	37	face (forehead)	23
Zgraggen-1980-308-24	1247	EAR	38	ear	24
Zgraggen-1980-308-25	1248	EYE	39	eye	25
Zgraggen-1980-308-26	674	MOUTH	41	mouth	26
Zgraggen-1980-308-27	1221	NOSE	42	nose	27
Zgraggen-1980-308-28	1205	TONGUE	44	tongue	28
Zgraggen-1980-308-29	1503	SALIVA	45	saliva	29
Zgraggen-1980-308-30	1380	TOOTH	46	tooth	30
Zgraggen-1980-308-31	1510	CHIN	47	chin	31
Zgraggen-1980-308-32	1347	NAPE (OF NECK)	51	nape	32
Zgraggen-1980-308-33	1333	NECK	49	neck	33
Zgraggen-1980-308-34	1346	THROAT	50	throat	34
Zgraggen-1980-308-35	1291	BACK	53	back	35
Zgraggen-1980-308-36	834	BUTTOCKS	54	buttocks	36
Zgraggen-1980-308-37	1673	ARM	55	arm	37
Zgraggen-1980-308-38	981	ELBOW	57	elbow	38
Zgraggen-1980-308-39	1482	SHOULDER	58	shoulder	39
Zgraggen-1980-308-40	1886	ARMPIT	59	armpit	40
Zgraggen-1980-308-41	244	LEFT	60	left (arm)	41
