ID	NUMBER	ENGLISH	CHINESE	CIHUI_ID	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2016-180-1	1	the sun	太陽	1	1	1343	SUN
List-2016-180-2	2	the ice	冰	10	5	617	ICE
List-2016-180-3	3	the fish (one piece of fish)	一條魚	842	421	227	FISH
List-2016-180-4	4	the tree (one exemplar of a tree)	一棵樹	843	422	906	TREE
List-2016-180-5	5	the grass (one tuft of grass)	一叢草	844	422	606	GRASS
List-2016-180-6	6	the flower (one piece of flower)	一朵花兒	845	423	239	FLOWER
List-2016-180-7	7	the frog	靑蛙	105	53	503	FROG
List-2016-180-8	8	the big frog	靑蛙	105	53	503	FROG
List-2016-180-9	9	the male pig	公豬	85	43	2487	MALE PIG
List-2016-180-10	10	the water (one mouth of water)	一口水	850	425	948	WATER
List-2016-180-11	11	the earthworm	蚯蚓	109	55	2350	EARTHWORM
List-2016-180-12	12	the hail	冰雹	11	6	609	HAIL
List-2016-180-13	13	the ant	螞蟻	117	59	587	ANT
List-2016-180-14	14	the mosquito	蚊子	119	60	1509	MOSQUITO
List-2016-180-15	15	the spider	蜘蛛	121	61	843	SPIDER
List-2016-180-16	16	to make a journey	趟(走一趟）	866	433		
List-2016-180-17	17	the snake	蛇	123	62	730	SNAKE
List-2016-180-18	18	the wing	翅膀	125	63	1257	WING
List-2016-180-19	19	the hoof	蹄子	126	63	152	HOOF
List-2016-180-20	20	the male dog	公狗	87	44	2480	MALE DOG
List-2016-180-21	21	the tail	尾巴	128	64	1220	TAIL
List-2016-180-22	22	the rice plant	稻子	137	69	2026	RICE PLANT
List-2016-180-23	23	to rainbow	虹	14	7	1733	RAINBOW
List-2016-180-24	24	the wheat	麥子	141	71	1077	WHEAT
List-2016-180-25	25	all	都	884	443	98	ALL
List-2016-180-26	26	the snow	雪	9	5	784	SNOW
List-2016-180-27	27	the fruit	水果	165	83	1507	FRUIT
List-2016-180-28	28	the goat	羊	91	46	1502	GOAT
List-2016-180-29	29	the sheep	羊	91	46	1331	SHEEP
List-2016-180-30	30	long	長	696	348	1203	LONG
List-2016-180-31	31	the bird	小雞兒	96	48	937	BIRD
List-2016-180-32	32	the sea	海	18	9	1474	SEA
List-2016-180-33	33	the lake	湖	19	10	624	LAKE
List-2016-180-34	34	the moon	月亮	2	1	1313	MOON
List-2016-180-35	35	the meat	豬肉	201	101	634	MEAT
List-2016-180-36	36	the boar (male pig) liver	豬肝	202	101	1224	LIVER
List-2016-180-37	37	the egg	雞蛋	204	102	744	EGG
List-2016-180-38	38	to laugh	笑	616	308	1355	LAUGH
List-2016-180-39	39	the house	房子	243	122	1252	HOUSE
List-2016-180-40	40	the last year	去年	26	13	514	LAST YEAR
List-2016-180-41	41	to see	看	500	250	1409	SEE
List-2016-180-42	42	the axe	木柴	288	144	677	AXE
List-2016-180-43	43	the firewood	木柴	288	144	10	FIREWOOD
List-2016-180-44	44	today	今天	29	15	1283	TODAY
List-2016-180-45	45	the needle (for sewing)	針	293	147	1382	NEEDLE (FOR SEWING)
List-2016-180-46	46	the rope	繩子	296	148	1218	ROPE
List-2016-180-47	47	the star	星	3	2	1430	STAR
List-2016-180-48	48	tomorrow	明天	30	15	1329	TOMORROW
List-2016-180-49	49	the stick	拐杖	301	151	1295	STICK
List-2016-180-50	50	abacus	算盤	312	156	2489	ABACUS
List-2016-180-51	51	to buy cloth	買布	632	316	1869	BUY
List-2016-180-52	52	the small knife	小刀兒	327	164	1352	KNIFE
List-2016-180-53	53	yesterday	昨天	33	17	1174	YESTERDAY
List-2016-180-54	54	the sickle	鐮刀	332	166	341	SICKLE
List-2016-180-55	55	the wood (material)	木頭	336	168	1803	WOOD
