ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	CHINESE	GLOSS	OMEGAWIKI
Chen-1996-200-105	1157	BECAUSE	105	因为	because	514093
Chen-1996-200-106	175	BLOW	106	吹	blow	1375415
Chen-1996-200-107	1407	BREATHE	107	呼吸	breathe	5998
Chen-1996-200-108	1304	CHILD YOUNG HUMAN	108	孩子	child	568
Chen-1996-200-109	1420	COUNT	109	数	count	6026
Chen-1996-200-110	1432	CUT	110	砍	cut	6043
Chen-1996-200-111	1225	DAY OF LIGHT	111	天	day	5477
Chen-1996-200-112	1418	DIG	112	挖	dig	6024
Chen-1996-200-113	1230	DIRTY	113	脏	dirty	5483
Chen-1996-200-114	1518	STUPID	114	呆，笨	dull	6322
Chen-1996-200-115	2	DUST	115	尘土	dust	1009
Chen-1996-200-116	1280	FALL	116	掉	fall	5622
Chen-1996-200-117	1406	FAR	117	元	far	5997
Chen-1996-200-118	1217	FATHER	118	父亲	father	5464
Chen-1996-200-119	1419	FEAR, BE AFRAID	119	怕	fear	6025
Chen-1996-200-120	1242	FEW	120	少	few	5500
Chen-1996-200-121	1423	FIGHT	121	打架	fight	6030
Chen-1996-200-122	493	FIVE	122	五	five	156104
Chen-1996-200-123	1574	FLOAT	123	漂浮	float	6457
Chen-1996-200-124	2003	FLOW	124	流	flow	961244
Chen-1996-200-125	239	FLOWER	125	花	flower	1487
Chen-1996-200-126	249	FOG	126	雾	fog	1502
Chen-1996-200-127	1500	FOUR	127	四	four	6253
Chen-1996-200-128	1431	FREEZE	128	结冰	freeze	6042
Chen-1996-200-129	1507	FRUIT	129	水果	fruit	6280
Chen-1996-200-130	606	GRASS	130	草	grass	1675
Chen-1996-200-131	1334	GUTS	131	肠子	guts	5824
Chen-1996-200-132	1211	HE	132	他	he	5454
Chen-1996-200-133	136	HERE	133	这里	here	1287831
Chen-1996-200-134	1433	HIT	134	打	hit	6044
Chen-1996-200-135	1448	HOLD	135	拿	hold - take	6060
	1749	TAKE	135	拿	hold - take	7077
Chen-1996-200-136	1239	HOW	136	怎么	how	5494
Chen-1996-200-137	1435	HUNT	137	打猎	hunt	6046
Chen-1996-200-138	1200	HUSBAND	138	丈夫	husband	5432
Chen-1996-200-139	617	ICE	139	冰	ice	1837
Chen-1996-200-140	1459	IF	140	如果	if	6076
Chen-1996-200-141	1460	IN	141	在	in	6077
Chen-1996-200-142	624	LAKE	142	湖	lake	2061
Chen-1996-200-143	1355	LAUGH	143	笑	laugh	5876
Chen-1996-200-144	244	LEFT	144	左边	leftside	1499731
Chen-1996-200-145	1297	LEG	145	脚	leg	5665
Chen-1996-200-146	1422	BE ALIVE	146	活的	live(alive)	6028
Chen-1996-200-147	1216	MOTHER	147	母亲	mother	5463
Chen-1996-200-148	1267	NARROW	148	窄	narrow	5566
Chen-1996-200-149	1942	NEAR	149	近	near	869106
Chen-1996-200-150	1229	OLD	150	老	old	5482
Chen-1996-200-151	1413	PLAY	151	玩	play	6010
Chen-1996-200-152	1455	PULL	152	拉	pull	6071
Chen-1996-200-153	1452	PUSH	153	推	push	6068
Chen-1996-200-154	1019	RIGHT	154	右边	rightside	436024
Chen-1996-200-155	1725	CORRECT, RIGHT	155	对	correct	7026
Chen-1996-200-156	666	RIVER	156	江	river	3253
Chen-1996-200-157	1218	ROPE	157	绳子	rope	5465
Chen-1996-200-158	1728	ROTTEN	158	腐烂	rotten	7031
Chen-1996-200-159	1449	RUB	159	擦	rub	6062
Chen-1996-200-160	1274	SALT	160	盐	salt	5599
Chen-1996-200-161	1436	SCRATCH	161	抓	scratch	6047
Chen-1996-200-162	1474	SEA	162	海	sea	6154
Chen-1996-200-163	1457	SEW	163	缝	sew	6073
Chen-1996-200-164	1396	SHARP	164	尖	sharp	5987
Chen-1996-200-165	1645	SHORT	165	短	short	6746
Chen-1996-200-166	1261	SING	166	唱	sing	5540
Chen-1996-200-167	1732	SKY	167	天空	sky	7039
Chen-1996-200-168	1586	SMELL, PERCEIVE	168	闻	smell	6520
Chen-1996-200-169	1234	SMOOTH	169	平	smooth	5487
Chen-1996-200-170	730	SNAKE	170	蛇	snake	3388
Chen-1996-200-171	784	SNOW	171	雪	snow	3455
Chen-1996-200-172	1440	SPIT	172	吐	spit	6051
Chen-1996-200-173	1437	SPLIT	173	撕裂	split	6048
Chen-1996-200-174	1414	SQUEEZE	174	压	squeeze	6017
Chen-1996-200-175	1434	STAB	175	刺	stab	6045
Chen-1996-200-176	1295	STICK	176	棍子	stick	5662
Chen-1996-200-177	1404	STRAIGHT	177	直	straight	5994
Chen-1996-200-178	1421	SUCK	178	吮	suck	6027
Chen-1996-200-179	1573	SWELL	179	肿	swell	6454
Chen-1996-200-180	1937	THERE	180	那儿	there	858309
Chen-1996-200-181	817	THEY	181	他们	they	352331
Chen-1996-200-182	1244	THICK	182	厚	thick	5503
Chen-1996-200-183	1400	THIN	183	薄	thin	5990
Chen-1996-200-184	1415	THINK, REFLECT	184	想	think	6021
Chen-1996-200-185	492	THREE	185	三	three	156096
Chen-1996-200-186	1456	THROW	186	扔	throw	6072
Chen-1996-200-187	1917	TIE	187	捆	tie	844574
Chen-1996-200-188	1588	TURN	188	转	turn	6526
Chen-1996-200-189	1278	VOMIT	189	呕吐	vomit	5617
Chen-1996-200-190	1453	WASH	190	洗	wash	6069
Chen-1996-200-191	1726	WET	191	湿	wet	7027
Chen-1996-200-192	1237	WHERE	192	哪里	where	5492
Chen-1996-200-193	1243	WIDE	193	宽	wide	5502
Chen-1996-200-194	1199	WIFE	194	妻子	wife	5429
Chen-1996-200-195	960	WIND	195	风	wind	4160
Chen-1996-200-196	1257	WING	196	翅膀	wing	5528
Chen-1996-200-197	1210	HEAVY	197	重	heavy	5451
Chen-1996-200-198	420	FOREST	198	森林	woods	1533
Chen-1996-200-199	1219	WORM	199	虫	worm	5466
Chen-1996-200-200	1226	YEAR	200	年	year	5478
