ID	NUMBER	ENGLISH	LOAN	NO_LOAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Carling-2019-100-1	1	APPLE	8.94	91.06	1320	APPLE
Carling-2019-100-2	2	ARMY	39.58	60.42	1561	ARMY
Carling-2019-100-3	3	ARROW	22.09	77.91	977	ARROW
Carling-2019-100-4	4	ASH	1.85	98.15	646	ASH
Carling-2019-100-5	5	AUTUMN	5.43	94.57	1276	AUTUMN
Carling-2019-100-6	6	AXE	14.34	85.66	677	AXE
Carling-2019-100-7	7	AXLE	13.01	86.99	1769	AXLE
Carling-2019-100-8	8	BARLEY	4.20	95.80	932	BARLEY
Carling-2019-100-9	9	BEAR	5.83	94.17	1820	BEAR
Carling-2019-100-10	10	BEE	3.01	96.99	665	BEE
Carling-2019-100-11	11	BEECH	16.67	83.33	1950	BEECH
Carling-2019-100-12	12	BIRCH	5.71	94.29	1855	BIRCH
Carling-2019-100-13	13	BISON	36.84	63.16	3142	BISON
Carling-2019-100-14	14	BOW	8.00	92.00	994	BOW
Carling-2019-100-15	15	BULL	8.96	91.04	1008	BULL
Carling-2019-100-16	16	CALF	6.06	93.94	1989	CALF
Carling-2019-100-17	17	CAT	10.57	89.43	1208	CAT
Carling-2019-100-18	18	CATTLE	8.14	91.86	1153	CATTLE
Carling-2019-100-19	19	CHICKEN	5.92	94.08	1318	CHICKEN
Carling-2019-100-20	20	COPPER	14.62	85.38	1825	COPPER
Carling-2019-100-21	21	COW	2.04	97.96	1007	COW
Carling-2019-100-22	22	CULTIVATED FIELD	4.23	95.77	212	FIELD
Carling-2019-100-23	23	DEER	8.84	91.16	1936	DEER
Carling-2019-100-24	24	DOG	6.63	93.37	2009	DOG
Carling-2019-100-25	25	DONKEY	26.44	73.56	1862	DONKEY
Carling-2019-100-26	26	DUCK	9.16	90.84	1360	DUCK
Carling-2019-100-27	27	EAGLE	8.66	91.34	1905	EAGLE
Carling-2019-100-28	28	ELM	0.00	100.00	3317	ELM
Carling-2019-100-29	29	FLAX	14.38	85.62	3315	FLAX
Carling-2019-100-30	30	FOX	2.68	97.32	1312	FOX
Carling-2019-100-31	31	FUR	13.94	86.06	580	FUR
Carling-2019-100-32	32	FURROW	7.41	92.59	1794	FURROW
Carling-2019-100-33	33	GOAT	6.90	93.10	1502	GOAT
Carling-2019-100-34	34	GOLD	16.67	83.33	1369	GOLD
Carling-2019-100-35	35	GRAIN (GENERIC)	8.30	91.70	605	GRAIN
Carling-2019-100-36	36	GRAPE	9.73	90.27	920	GRAPE
Carling-2019-100-37	37	GREASE	5.28	94.72	323	FAT (ORGANIC SUBSTANCE)
Carling-2019-100-38	38	HARE	4.69	95.31	1190	HARE
Carling-2019-100-39	39	HARVEST	3.57	96.43	3541	HARVEST OR HARVEST SEASON
Carling-2019-100-40	40	HEN	4.24	95.76	1514	HEN
Carling-2019-100-41	41	HONEY	3.39	96.61	942	HONEY
Carling-2019-100-42	42	HOPS	18.42	81.58	3316	HOPS
Carling-2019-100-43	43	HORSE	11.11	88.89	615	HORSE
Carling-2019-100-44	44	HUB	7.41	92.59			
Carling-2019-100-45	45	IRON	9.71	90.29	621	IRON
Carling-2019-100-46	46	JACKAL	41.89	58.11	3313	JACKAL
Carling-2019-100-47	47	KID	10.71	89.29	1972	KID
Carling-2019-100-48	48	KNIFE	6.82	93.18	1352	KNIFE
Carling-2019-100-49	49	LAMB	5.15	94.85	820	LAMB
Carling-2019-100-50	50	LEATHER	4.19	95.81	629	LEATHER
Carling-2019-100-51	51	LEOPARD	50.41	49.59	1139	LEOPARD
Carling-2019-100-52	52	LION	49.58	50.42	1386	LION
Carling-2019-100-53	53	LYNX	24.00	76.00	3314	LYNX
Carling-2019-100-54	54	MEAD	8.55	91.45	941	MEAD
Carling-2019-100-55	55	MEAT	2.12	97.88	634	MEAT
Carling-2019-100-56	56	MILK	4.32	95.68	635	MILK
Carling-2019-100-57	57	OAK	0.00	100.00	644	OAK
Carling-2019-100-58	58	OATS	11.89	88.11	60	OAT
Carling-2019-100-59	59	OWL	7.55	92.45	735	OWL
Carling-2019-100-60	60	OX	8.54	91.46	1169	OX
Carling-2019-100-61	61	PIG	3.82	96.18	1337	PIG
Carling-2019-100-62	62	PIGLET	3.45	96.55	2564	PIGLET
Carling-2019-100-63	63	PLOW (N)	13.57	86.43	2154	PLOUGH (INSTRUMENT)
Carling-2019-100-64	64	RABBIT	35.42	64.58	1136	RABBIT
Carling-2019-100-65	65	RAM	5.05	94.95	1344	RAM
Carling-2019-100-66	66	RAVEN	4.32	95.68	2543	RAVEN
Carling-2019-100-67	67	ROOSTER	12.58	87.42	1511	ROOSTER
Carling-2019-100-68	68	RYE	18.92	81.08	23	RYE
Carling-2019-100-69	69	SALT	3.97	96.03	1274	SALT
Carling-2019-100-70	70	SAW	18.00	82.00	1948	SAW
Carling-2019-100-71	71	SCYTHE	11.11	88.89	20	SCYTHE
Carling-2019-100-72	72	SHEEP	5.12	94.88	1331	SHEEP
Carling-2019-100-73	73	SHIELD	28.95	71.05	1064	SHIELD
Carling-2019-100-74	74	SICKLE	9.09	90.91	341	SICKLE
Carling-2019-100-75	75	SILVER	9.17	90.83	759	SILVER
Carling-2019-100-76	76	SNAKE	7.51	92.49	730	SNAKE
Carling-2019-100-77	77	SPADE	14.34	85.66	1176	SPADE
Carling-2019-100-78	78	SPEAR	9.24	90.76	945	SPEAR
Carling-2019-100-79	79	SPRING	6.18	93.82	1537	SPRINGTIME
Carling-2019-100-80	80	STONE	9.96	90.04	857	STONE
Carling-2019-100-81	81	SUMMER	2.63	97.37	1342	SUMMER
Carling-2019-100-82	82	SWORD	19.29	80.71	1535	SWORD
Carling-2019-100-83	83	TO PLOW	3.16	96.84	1921	PLOUGH
Carling-2019-100-84	84	TO SEW	0.83	99.17	1457	SEW
Carling-2019-100-85	85	TO SOW	0.73	99.27	748	SOW SEEDS
Carling-2019-100-86	86	TO SPIN (THREAD)	1.92	98.08	121	SPIN
Carling-2019-100-87	87	TO WEAVE	0.58	99.42	133	WEAVE
Carling-2019-100-88	88	TURNIP	29.69	70.31	3062	TURNIP
Carling-2019-100-89	89	WAGON	29.01	70.99	122	CART
Carling-2019-100-90	90	WAX (BEES)	20.69	79.31	1931	BEESWAX
Carling-2019-100-91	91	WHEAT	4.74	95.26	1077	WHEAT
Carling-2019-100-92	92	WHEEL	10.45	89.55	710	WHEEL
Carling-2019-100-93	93	WILD BOAR	6.08	93.92	3154	WILD BOAR
Carling-2019-100-94	94	WINE	23.81	76.19	1524	WINE
Carling-2019-100-95	95	WINTER	2.31	97.69	1471	WINTER
Carling-2019-100-96	96	WOLF	6.59	93.41	522	WOLF
Carling-2019-100-97	97	WOOD	6.96	93.04	1803	WOOD
Carling-2019-100-98	98	WOOL	3.08	96.92	964	WOOL
Carling-2019-100-99	99	YOKE	5.84	94.16	14	YOKE
Carling-2019-100-100	100	TOTAL	10.10	89.90	2277	WHOLE
