ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-220-117	117	442	FRONT TOOTH (INCISOR)	FRONT TOOTH (INCISOR)	human body part		
Tjuka-2022-220-118	118	3372	GALL BLADDER	GALL BLADDER	human body part		
Tjuka-2022-220-119	119	198	GENITALIA	GENITALIA	human body part		
Tjuka-2022-220-120	120	139	GUMS	GUMS	human body part		
Tjuka-2022-220-121	121	1334	GUTS	GUTS	human body part	GUTS OR HEART	2436
Tjuka-2022-220-122	122	1277	HAND	HAND	human body part	ARM OR HAND	2121
Tjuka-2022-220-123	123	1256	HEAD	HEAD	human body part		
Tjuka-2022-220-124	124	1223	HEART	HEART	human body part	GUTS OR HEART	2436
Tjuka-2022-220-125	125	1745	HIP	HIP	human body part		
Tjuka-2022-220-126	126	2820	HIP BONE	HIP BONE	human body part		
Tjuka-2022-220-127	127	534	HUMP	HUMP	human body part		
Tjuka-2022-220-128	128	1991	INTESTINES	INTESTINES	human body part		
Tjuka-2022-220-129	129	798	JAW	JAW	human body part		
Tjuka-2022-220-130	130	999	JOINT	JOINT	human body part		
Tjuka-2022-220-131	131	489	KIDNEY	KIDNEY	human body part		
Tjuka-2022-220-132	132	2824	KNUCKLE	KNUCKLE	human body part		
Tjuka-2022-220-133	133	3714	LARYNX	LARYNX	human body part		
Tjuka-2022-220-134	134	1297	LEG	LEG	human body part	FOOT OR LEG	2098
Tjuka-2022-220-135	135	478	LIP	LIP	human body part		
Tjuka-2022-220-136	136	1224	LIVER	LIVER	human body part		
Tjuka-2022-220-137	137	187	LOIN	LOIN	human body part		
Tjuka-2022-220-138	138	444	LONG HAIR	LONG HAIR	human body part		
Tjuka-2022-220-139	139	446	LOWER ARM	LOWER ARM	human body part		
Tjuka-2022-220-140	140	3613	LOWER BACK	LOWER BACK	human body part		
Tjuka-2022-220-141	141	447	LOWER LEG	LOWER LEG	human body part		
Tjuka-2022-220-142	142	688	LUNG	LUNG	human body part		
Tjuka-2022-220-143	143	1049	MOLAR TOOTH	MOLAR TOOTH	human body part		
Tjuka-2022-220-144	144	674	MOUTH	MOUTH	human body part		
Tjuka-2022-220-145	145	1004	MUSCLE	MUSCLE	human body part		
Tjuka-2022-220-146	146	1347	NAPE (OF NECK)	NAPE (OF NECK)	human body part		
Tjuka-2022-220-147	147	1838	NAVEL	NAVEL	human body part		
Tjuka-2022-220-148	148	1333	NECK	NECK	human body part		
Tjuka-2022-220-149	149	2626	NERVE	NERVE	human body part		
Tjuka-2022-220-150	150	796	NIPPLE	NIPPLE	human body part		
Tjuka-2022-220-151	151	1221	NOSE	NOSE	human body part		
Tjuka-2022-220-152	152	1178	NOSTRIL	NOSTRIL	human body part		
Tjuka-2022-220-153	153	2674	ORAL CAVITY	ORAL CAVITY	human body part		
Tjuka-2022-220-154	154	3716	OVARY	OVARY	human body part		
Tjuka-2022-220-155	155	540	PALATE	PALATE	human body part		
Tjuka-2022-220-156	156	3252	PANCREAS	PANCREAS	human body part		
Tjuka-2022-220-157	157	1222	PENIS	PENIS	human body part		
Tjuka-2022-220-158	158	3713	PHARYNX	PHARYNX	human body part		
Tjuka-2022-220-159	159	3388	PLACENTA	PLACENTA	human body part		
Tjuka-2022-220-160	160	1658	PUPIL	PUPIL	human body part		
Tjuka-2022-220-161	161	801	RIB	RIB	human body part		
Tjuka-2022-220-162	162	2834	SCROTUM	SCROTUM	human body part		
Tjuka-2022-220-163	163	186	SHIN	SHIN	human body part		
Tjuka-2022-220-164	164	1482	SHOULDER	SHOULDER	human body part		
Tjuka-2022-220-165	165	172	SHOULDERBLADE	SHOULDERBLADE	human body part		
Tjuka-2022-220-166	166	3344	SIDE (BODY)	SIDE (BODY)	human body part		
Tjuka-2022-220-167	167	2668	SKELETON	SKELETON	human body part		
Tjuka-2022-220-168	168	763	SKIN	SKIN	human body part		
Tjuka-2022-220-169	169	1605	SKULL	SKULL	human body part		
Tjuka-2022-220-170	170	2666	SOLE (FOOT)	SOLE (FOOT)	human body part		
Tjuka-2022-220-171	171	805	SPINE	SPINE	human body part		
Tjuka-2022-220-172	172	1744	SPLEEN	SPLEEN	human body part		
Tjuka-2022-220-173	173	819	STOMACH	STOMACH	human body part	BELLY OR STOMACH	2114
Tjuka-2022-220-174	174	1604	TEMPLES	TEMPLES	human body part		
Tjuka-2022-220-175	175	1137	TENDON	TENDON	human body part		
Tjuka-2022-220-176	176	797	TESTICLES	TESTICLES	human body part		
Tjuka-2022-220-177	177	1346	THROAT	THROAT	human body part		
Tjuka-2022-220-178	178	1781	THUMB	THUMB	human body part		
Tjuka-2022-220-179	179	443	TIP (OF TONGUE)	TIP (OF TONGUE)	human body part		
Tjuka-2022-220-180	180	1389	TOE	TOE	human body part	FINGER OR TOE	2120
Tjuka-2022-220-181	181	1205	TONGUE	TONGUE	human body part		
Tjuka-2022-220-182	182	1380	TOOTH	TOOTH	human body part		
Tjuka-2022-220-183	183	2663	UMBILICAL CORD	UMBILICAL CORD	human body part		
Tjuka-2022-220-184	184	431	UPPER ARM	UPPER ARM	human body part		
Tjuka-2022-220-185	185	445	UPPER BACK	UPPER BACK	human body part		
Tjuka-2022-220-186	186	471	UPPER LEG (THIGH)	UPPER LEG (THIGH)	human body part		
Tjuka-2022-220-187	187	2293	UVULA	UVULA	human body part		
Tjuka-2022-220-188	188	1836	VAGINA	VAGINA	human body part		
Tjuka-2022-220-189	189	1924	VEIN	VEIN	human body part		
Tjuka-2022-220-190	190	804	WOMB	WOMB	human body part		
Tjuka-2022-220-191	191	799	WRIST	WRIST	human body part		
Tjuka-2022-220-192	192	3891	EARHOLE	EARHOLE	human body part		
Tjuka-2022-220-193	193	1552	GLOOMY	GLOOMY	emotion		
Tjuka-2022-220-194	194	1495	HAPPY	HAPPY	emotion		
Tjuka-2022-220-195	195	1607	HATE	HATE	emotion		
Tjuka-2022-220-196	196	1092	HOPE	HOPE	emotion		
Tjuka-2022-220-197	197	923	LOVE	LOVE	emotion		
Tjuka-2022-220-198	198	174	PROUD	PROUD	emotion		
Tjuka-2022-220-199	199	1875	REGRET	REGRET	emotion		
Tjuka-2022-220-200	200	699	SAD	SAD	emotion		
Tjuka-2022-220-201	201	1572	SURPRISED	SURPRISED	emotion		
Tjuka-2022-220-202	202	150	WORRY	WORRY	emotion		
Tjuka-2022-220-203	203	1976	MERRY	MERRY	emotion		
Tjuka-2022-220-204	204	2117	DESIRE	DESIRE	emotion		
Tjuka-2022-220-205	205	1035	GOOD	GOOD	emotion		
Tjuka-2022-220-206	206	1117	LIKE	LIKE	emotion		
Tjuka-2022-220-207	207	1292	BAD	BAD	emotion	BAD OR EVIL	3764
Tjuka-2022-220-208	208	1784	WANT	WANT	emotion		
Tjuka-2022-220-209	209	1826	ANGRY	ANGRY	emotion		
Tjuka-2022-220-210	210	2716	BLAME (SOMEBODY)	BLAME (SOMEBODY)	emotion		
Tjuka-2022-220-211	211	3299	KIND	KIND	emotion		
Tjuka-2022-220-212	212	1308	DOUBT	DOUBT	emotion		
Tjuka-2022-220-213	213	3762	SAFE	SAFE	emotion		
Tjuka-2022-220-214	214	1894	ASHAMED	ASHAMED	emotion		
Tjuka-2022-220-215	215	3885	IMPATIENT	IMPATIENT	emotion		
Tjuka-2022-220-216	216	1572	SURPRISED	ASTONISHED	emotion		
Tjuka-2022-220-217	217	2821	JEALOUS	JEALOUS	emotion		
Tjuka-2022-220-218	218	3033	SCARED	SCARED	emotion		
Tjuka-2022-220-219	219	3884	PATIENT	PATIENT	emotion		
Tjuka-2022-220-220	220	1955	GRIEVE	GRIEVE	emotion		
