ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	ENGLISH
Dolgopolsky-1964-15-1	1209	I	1	1-е лицо	first person marker
Dolgopolsky-1964-15-10	1269	NO	10	не при глаголе	verbal negation
Dolgopolsky-1964-15-11	1896	FINGERNAIL OR TOENAIL	11	ноготь	finger-nail/toe-nail
Dolgopolsky-1964-15-12	1392	LOUSE	12	вошь	louse
Dolgopolsky-1964-15-13	1651	TEAR OF EYE	13	слеза	tear (noun)
Dolgopolsky-1964-15-14	948	WATER	14	вода	water
Dolgopolsky-1964-15-15	1625	DEAD	15	мертвый	dead
Dolgopolsky-1964-15-2	1498	TWO	2	два	two
Dolgopolsky-1964-15-3	1213	YOU	3	2-е лицо	second person marker
Dolgopolsky-1964-15-4	2137	MAGICIAN	4	кто, что	who/what
Dolgopolsky-1964-15-5	1205	TONGUE	5	язык	tongue
Dolgopolsky-1964-15-6	1405	NAME	6	имя	name
Dolgopolsky-1964-15-7	1248	EYE	7	глаз	eye
Dolgopolsky-1964-15-8	1223	HEART	8	сердце	heart
Dolgopolsky-1964-15-9	1380	TOOTH	9	зуб	tooth
