ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-500-1	1	sky	天	1732	SKY
Wang-2004-500-2	2	sun	太阳	1343	SUN
Wang-2004-500-3	3	moon	月亮	1313	MOON
Wang-2004-500-4	4	star	星星	1430	STAR
Wang-2004-500-5	5	cloud	云	1489	CLOUD
Wang-2004-500-6	6	wind	风	960	WIND
Wang-2004-500-7	7	rain	雨	658	RAIN (PRECIPITATION)
Wang-2004-500-8	8	lightning(vb)	闪电	2377	FLASH (VERB)
Wang-2004-500-9	9	thunder(vb)	打雷	2378	THUNDER (VERB)
Wang-2004-500-10	10	hail	冰雹	609	HAIL
Wang-2004-500-11	11	snow	雪	784	SNOW
Wang-2004-500-12	12	frost	霜	2034	FROST
Wang-2004-500-13	13	fog	雾	249	FOG
Wang-2004-500-14	14	water	水	948	WATER
Wang-2004-500-15	15	river	河	666	RIVER
Wang-2004-500-16	16	lake	湖	624	LAKE
Wang-2004-500-17	17	pond	水塘	2035	POND
Wang-2004-500-18	18	wet	水田	140	PADDY FIELD
Wang-2004-500-19	19	field meadow	旱地	212	FIELD
Wang-2004-500-20	20	earth	地	2159	GROUND
Wang-2004-500-21	21	soil	土	1228	EARTH (SOIL)
Wang-2004-500-22	22	mountain	山	639	MOUNTAIN
Wang-2004-500-23	23	stone	石头	857	STONE
Wang-2004-500-24	24	fire	火	221	FIRE
Wang-2004-500-25	25	in front	前面	1883	IN FRONT OF
Wang-2004-500-26	26	behind	后面	1686	BEHIND
Wang-2004-500-27	27	left(side)	左边	244	LEFT
Wang-2004-500-28	28	right(side)	右边	1019	RIGHT
Wang-2004-500-29	29	inside	里边	1606	INSIDE
Wang-2004-500-30	30	outside	外边	762	OUTSIDE
Wang-2004-500-31	31	year	年、岁	1226	YEAR
Wang-2004-500-32	32	this year	今年	513	THIS YEAR
Wang-2004-500-33	33	last year	去年	514	LAST YEAR
Wang-2004-500-34	34	month	月(月份）	1370	MONTH
Wang-2004-500-35	35	first month(lunar)	正月	2036	JANUARY
Wang-2004-500-36	36	second month	二月	2037	FEBRUARY
Wang-2004-500-37	37	day	天（日子）	1260	DAY (24 HOURS)
Wang-2004-500-38	38	today	今天	1283	TODAY
Wang-2004-500-39	39	yesterday	昨天	1174	YESTERDAY
Wang-2004-500-40	40	day before yesterday	前天	1180	DAY BEFORE YESTERDAY
Wang-2004-500-41	41	tomorrow	明天	1329	TOMORROW
Wang-2004-500-42	42	day after tomorrow	后天	1179	DAY AFTER TOMORROW
Wang-2004-500-43	43	morning	早晨	1339	MORNING
Wang-2004-500-44	44	noon	中午	12	MIDDAY
Wang-2004-500-45	45	now	现在	1376	NOW
Wang-2004-500-46	46	cow	牛	1007	COW
Wang-2004-500-47	47	horse	马	615	HORSE
Wang-2004-500-48	48	pig	猪	1337	PIG
Wang-2004-500-49	49	sheep	绵羊	1331	SHEEP
Wang-2004-500-50	50	dog	狗	2009	DOG
Wang-2004-500-51	51	cat	猫	1208	CAT
Wang-2004-500-52	52	hare,rabbit	兔	1136	RABBIT
Wang-2004-500-53	53	dragon	龙	2038	DRAGON
Wang-2004-500-54	54	tiger	虎	846	TIGER
Wang-2004-500-55	55	bear	熊	1820	BEAR
Wang-2004-500-56	56	monkey	猴子	1350	MONKEY
Wang-2004-500-57	57	wolf	狼	522	WOLF
Wang-2004-500-58	58	mouse	老鼠	2139	MUROID (MOUSE OR RAT)
Wang-2004-500-59	59	chicken	鸡	1318	CHICKEN
Wang-2004-500-60	60	turtledove	斑鸠	1853	DOVE
Wang-2004-500-61	61	bird	鸟	937	BIRD
Wang-2004-500-62	62	eagle	老鹰	1905	EAGLE
Wang-2004-500-63	63	crow	乌鸦	913	CROW
Wang-2004-500-64	64	magpie	喜鹊	2039	MAGPIE
Wang-2004-500-65	65	swallow	燕子	3077	SWALLOW (BIRD)
Wang-2004-500-66	66	sparrow	麻雀	1854	SPARROW
Wang-2004-500-67	67	bat	蝙蝠	1793	BAT
Wang-2004-500-68	68	frog	青蛙	503	FROG
Wang-2004-500-69	69	fish	鱼	227	FISH
Wang-2004-500-70	70	snake	蛇	730	SNAKE
Wang-2004-500-71	71	bee	蜜蜂	665	BEE
Wang-2004-500-72	72	butterfly	蝴蝶	1791	BUTTERFLY
Wang-2004-500-73	73	locust	蚂蚱	810	LOCUST
Wang-2004-500-74	74	ant	蚂蚁	587	ANT
Wang-2004-500-75	75	spider	蜘蛛	843	SPIDER
Wang-2004-500-76	76	bedbug	臭虫	1949	BEDBUG
Wang-2004-500-77	77	flea	跳蚤	232	FLEA
