ID	NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gerardi-2022-711-1	1	ABIU			
Gerardi-2022-711-2	2	ABOVE	SPATIAL_RELATIONS	1741	ABOVE
Gerardi-2022-711-3	3	ACAI PALM	AGRICULTURE_AND_VEGETATION	2437	ACAI PALM
Gerardi-2022-711-4	4	AGOUTI	ANIMALS	313	AGOUTI
Gerardi-2022-711-5	5	AIMARA			
Gerardi-2022-711-6	6	ALL	QUANTITY	98	ALL
Gerardi-2022-711-7	7	ALLIGATOR	ANIMALS	1581	ALLIGATOR
Gerardi-2022-711-8	8	AMAZON RIVER DOLPHIN	ANIMALS		
Gerardi-2022-711-9	9	ANACONDA (WATER BOA)	ANIMALS	896	ANACONDA (WATER BOA)
Gerardi-2022-711-10	10	ANGER	EMOTIONS_AND_VALUES	82	ANGER
Gerardi-2022-711-11	11	ANGRY	EMOTIONS_AND_VALUES	1826	ANGRY
Gerardi-2022-711-12	12	ANIMAL	ANIMALS	619	ANIMAL
Gerardi-2022-711-13	13	ANT	ANIMALS	587	ANT
Gerardi-2022-711-14	14	ANT (SPECIES)	ANIMALS		
Gerardi-2022-711-15	15	ANTEATER	ANIMALS	181	ANTEATER
Gerardi-2022-711-16	16	ANUS	THE_BODY	1935	ANUS
Gerardi-2022-711-17	17	APUNÃ			
Gerardi-2022-711-18	18	ARACUÃ	ANIMALS		
Gerardi-2022-711-19	19	ARM	THE_BODY	1673	ARM
Gerardi-2022-711-20	20	ARMADILLO	ANIMALS	1885	ARMADILLO
Gerardi-2022-711-21	21	ARRIVE	MOTION	1387	ARRIVE
Gerardi-2022-711-22	22	ARROW	WARFARE_AND_HUNTING	977	ARROW
Gerardi-2022-711-23	23	ARUANÃ			
Gerardi-2022-711-24	24	ASH	THE_PHYSICAL_WORLD	646	ASH
Gerardi-2022-711-25	25	AWAKE	THE_BODY	825	AWAKE
Gerardi-2022-711-26	26	AXE	BASIC_ACTIONS_AND_TECHNOLOGY	677	AXE
Gerardi-2022-711-27	27	BACK	THE_BODY	1291	BACK
Gerardi-2022-711-28	28	BACURI			
Gerardi-2022-711-29	29	BAD	EMOTIONS_AND_VALUES	1292	BAD
Gerardi-2022-711-30	30	BAMBOO	AGRICULTURE_AND_VEGETATION	1927	BAMBOO
Gerardi-2022-711-31	31	BANANA	AGRICULTURE_AND_VEGETATION	868	BANANA
Gerardi-2022-711-32	32	BARK	AGRICULTURE_AND_VEGETATION	1204	BARK
Gerardi-2022-711-33	33	BAT	ANIMALS	1793	BAT
Gerardi-2022-711-34	34	BATHE	THE_BODY	138	BATHE
Gerardi-2022-711-35	35	BE	MISCELLANEOUS_FUNCTION_WORDS	1579	BE
Gerardi-2022-711-36	36	BE ALIVE	THE_BODY	1422	BE ALIVE
Gerardi-2022-711-37	37	BE ANGRY	EMOTIONS_AND_VALUES	2223	BE ANGRY
Gerardi-2022-711-38	38	BE HUNGRY	FOOD_AND_DRINK	1533	BE HUNGRY
Gerardi-2022-711-39	39	BEAD	CLOTHING_AND_GROOMING	1860	BEAD
Gerardi-2022-711-40	40	BEAK	THE_BODY	73	BEAK
Gerardi-2022-711-41	41	BEAUTIFUL	EMOTIONS_AND_VALUES	1427	BEAUTIFUL
Gerardi-2022-711-42	42	BECAUSE	MISCELLANEOUS_FUNCTION_WORDS	1157	BECAUSE
Gerardi-2022-711-43	43	BED	THE_HOUSE	1663	BED
Gerardi-2022-711-44	44	BEE	ANIMALS	665	BEE
Gerardi-2022-711-45	45	BEETLE	ANIMALS	2242	BEETLE
Gerardi-2022-711-46	46	BELCH	BASIC_ACTIONS_AND_TECHNOLOGY	2245	BELCH
Gerardi-2022-711-47	47	BELLY	THE_BODY	1251	BELLY
Gerardi-2022-711-48	48	BELOW OR UNDER	SPATIAL_RELATIONS	1485	BELOW OR UNDER
Gerardi-2022-711-49	49	BENCH	THE_HOUSE	2584	BENCH
Gerardi-2022-711-50	50	BIG	SPATIAL_RELATIONS	1202	BIG
Gerardi-2022-711-51	51	BIG LEAF CALATHEA	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-52	52	BIRD	ANIMALS	937	BIRD
Gerardi-2022-711-53	53	BIRD (SPECIES)	ANIMALS		
Gerardi-2022-711-54	54	BITE	THE_BODY	1403	BITE
Gerardi-2022-711-55	55	BITTER	SENSE_PERCEPTION	887	BITTER
Gerardi-2022-711-56	56	BITTER MANIOC	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-57	57	BLACK	SENSE_PERCEPTION	163	BLACK
Gerardi-2022-711-58	58	BLACK-FRONTED NUNBIRD	ANIMALS		
Gerardi-2022-711-59	59	BLOOD	THE_BODY	946	BLOOD
Gerardi-2022-711-60	60	BLOW (OF WIND)	MOTION	175	BLOW (OF WIND)
Gerardi-2022-711-61	61	BLOW (WITH MOUTH)	BASIC_ACTIONS_AND_TECHNOLOGY	176	BLOW (WITH MOUTH)
Gerardi-2022-711-62	62	BLOWGUN	WARFARE_AND_HUNTING	432	BLOWGUN
Gerardi-2022-711-63	63	BLUE	SENSE_PERCEPTION	837	BLUE
Gerardi-2022-711-64	64	BLUE OR GREEN	SENSE_PERCEPTION	2382	BLUE OR GREEN
Gerardi-2022-711-65	65	BLUE-AND-YELLOW MACAW (Ara ararauna)	ANIMALS	3927	BLUE-AND-YELLOW MACAW (Ara ararauna)
Gerardi-2022-711-66	66	BONE	THE_BODY	1394	BONE
Gerardi-2022-711-67	67	BOW	WARFARE_AND_HUNTING	994	BOW
Gerardi-2022-711-68	68	BOX	MODERN_WORLD	1465	BOX
Gerardi-2022-711-69	69	BOY	KINSHIP	1366	BOY
Gerardi-2022-711-70	70	BRANCH	AGRICULTURE_AND_VEGETATION	1531	BRANCH
Gerardi-2022-711-71	71	BRAZIL NUT (Bertholletia excelsa)	FOOD_AND_DRINK		
Gerardi-2022-711-72	72	BREAK (DESTROY OR GET DESTROYED)	BASIC_ACTIONS_AND_TECHNOLOGY	680	BREAK (DESTROY OR GET DESTROYED)
Gerardi-2022-711-73	73	BREAST	THE_BODY	1402	BREAST
Gerardi-2022-711-74	74	BREATHE	THE_BODY	1407	BREATHE
Gerardi-2022-711-75	75	BRIGHT	SENSE_PERCEPTION	679	BRIGHT
Gerardi-2022-711-76	76	BRING	MOTION	692	BRING
Gerardi-2022-711-77	77	BROTHER	KINSHIP		
Gerardi-2022-711-78	78	BROTHER-IN-LAW (OF MAN)	KINSHIP	2380	BROTHER-IN-LAW (OF MAN)
