ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	CHINESE	OMEGAWIKI
Hou-2004-180-92	1646	GIRL	92	girl	女孩子	6752
Hou-2004-180-93	406	OLD MAN	93	old man	老人	1526622
Hou-2004-180-94	597	PHYSICIAN	94	doctor	医生	161474
Hou-2004-180-95	1100	COOK	95	cook	厨师	479132
Hou-2004-180-96	1934	BEGGAR	96	beggar	乞丐	853288
Hou-2004-180-97	1104	NURSE	97	nurse	保姆	479578
Hou-2004-180-98	1847	SICK	98	become sick	病了	7800
Hou-2004-180-99	NAN		99	catch a cold	伤风	1248081
Hou-2004-180-100	1177	DIARREA	100	have diarrea	泻肚	527082
Hou-2004-180-101	320	LAME	101	lame person	瘸子	1510490
Hou-2004-180-102	99	HUNCHBACK	102	humpback	驼背	1175443
Hou-2004-180-103	1494	DIE	103	die	死了	6245
Hou-2004-180-104	512	SEE A DOCTOR	104	go to the doctor	看病	1577362
Hou-2004-180-105	1209	I	105	I	我	5450
Hou-2004-180-106	1215	THOU	106	thou	你	5459
Hou-2004-180-107	1211	HE	107	he	他	5454
Hou-2004-180-108	1212	WE	108	we	我们	5455
Hou-2004-180-109	1213	YOU	109	you	你们	5456
Hou-2004-180-110	817	THEY	110	they	他们	352331
Hou-2004-180-111	1131	WE INCLUSIVE	111	we (inclusive)	咱们	496905
Hou-2004-180-112	1993	SELF	112	self	自己	951229
Hou-2004-180-113	1235	WHO	113	who	谁	5490
Hou-2004-180-114	1236	WHAT	114	what	什么	5491
Hou-2004-180-115	136	HERE	115	here	这里	1287831
Hou-2004-180-116	1937	THERE	116	there	那里	858309
Hou-2004-180-117	1237	WHERE	117	where	哪里	5492
Hou-2004-180-118	1214	THIS	118	this	这个	5458
Hou-2004-180-119	78	THAT	119	that	那个	1149393
Hou-2004-180-120	727	WHICH	120	what kind of	哪一个	338269
Hou-2004-180-121	1239	HOW	121	how	怎么样	5494
Hou-2004-180-122	516	CLASSIFIER FOR PERSONS	122	classifier (person)	位	1577378
Hou-2004-180-123	NAN		123	classifier (pair)	双	NAN
Hou-2004-180-124	NAN		124	classifier (pillow)	床	NAN
Hou-2004-180-125	NAN		125	classifier (vehicle)	辆	NAN
Hou-2004-180-126	NAN		126	classifier (cow)	头	NAN
Hou-2004-180-127	NAN		127	classifier (pig)	口	NAN
Hou-2004-180-128	726	WHILE	128	a while	会	338120
Hou-2004-180-129	374	ONE TIME	129	one time	下	1511042
Hou-2004-180-130	1741	ABOVE	130	on	上面	7064
Hou-2004-180-131	1485	BELOW, UNDER	131	under	下面	6199
Hou-2004-180-132	244	LEFT	132	left	左边	1499731
Hou-2004-180-133	1019	RIGHT	133	right	右边	436024
Hou-2004-180-134	1093	MIDDLE	134	in the middle	当中	475332
Hou-2004-180-135	1606	INSIDE	135	inside	里面	6571
Hou-2004-180-136	762	OUTSIDE	136	outside	外面	342558
Hou-2004-180-137	717	SWEET	137	sweet	甜	336426
Hou-2004-180-138	1906	SOUR	138	sour	酸	838324
Hou-2004-180-139	1091	SALTY	139	salty	咸	475116
Hou-2004-180-140	NAN		140	watery	淡	1584020
Hou-2004-180-141	1282	FAT, SUBSTANCE	141	fat	胖	5624
Hou-2004-180-142	1400	THIN	142	thin	瘦	5990
Hou-2004-180-143	1287	COLD OF TEMPERATURE	143	cold	冷	5639
Hou-2004-180-144	1286	HOT	144	hot	热	5637
Hou-2004-180-145	376	FRAGRANT	145	well smelling	香	1511050
Hou-2004-180-146	42	STINKING	146	stinky	臭	1089734
Hou-2004-180-147	1244	THICK	147	thick	粗	5503
Hou-2004-180-148	1246	SMALL	148	tiny	细	5509
Hou-2004-180-149	1203	LONG	149	long	长	5438
