ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE
List-2018-1105-1	1	GET	694	GET	57	197	274	1	1	TAKE	16	115	163
List-2018-1105-2	2	TAKE	1749	TAKE	63	213	282	2	1	TAKE	15	164	264
List-2018-1105-3	3	CATCH	702	CATCH	59	202	240	3	1	TAKE	13	126	273
List-2018-1105-4	4	FATHER-IN-LAW (OF WOMAN)	2254	FATHER-IN-LAW (OF WOMAN)	51	177	204	4	3	MOTHER-IN-LAW (OF WOMAN)	12	118	203
List-2018-1105-5	5	CHILD (YOUNG HUMAN)	1304	CHILD (YOUNG HUMAN)	66	216	287	5	2	CHILD (YOUNG HUMAN)	12	129	226
List-2018-1105-6	6	HOLD	1448	HOLD	58	199	246	6	1	TAKE	12	126	267
List-2018-1105-7	7	CARRY	700	CARRY	65	213	305	7	1	TAKE	12	93	230
List-2018-1105-8	8	MOTHER-IN-LAW (OF WOMAN)	2256	MOTHER-IN-LAW (OF WOMAN)	61	204	236	8	3	MOTHER-IN-LAW (OF WOMAN)	12	120	214
List-2018-1105-9	9	FATHER-IN-LAW (OF MAN)	2255	FATHER-IN-LAW (OF MAN)	59	201	231	9	3	MOTHER-IN-LAW (OF WOMAN)	12	117	212
List-2018-1105-10	10	PICK UP	371	PICK UP	52	188	249	10	1	TAKE	11	82	147
List-2018-1105-11	11	EARTH (SOIL)	1228	EARTH (SOIL)	64	211	293	11	4	EARTH (SOIL)	11	148	283
List-2018-1105-12	12	FEEL	1079	FEEL	56	190	229	12	9	FEEL	11	66	98
List-2018-1105-13	13	GRASP	2021	GRASP	62	211	311	13	1	TAKE	10	111	253
List-2018-1105-14	14	KNOW (SOMETHING)	1410	KNOW (SOMETHING)	66	220	278	14	9	FEEL	10	66	106
List-2018-1105-15	15	CARRY IN HAND	412	CARRY IN HAND	49	170	209	15	1	TAKE	10	72	157
List-2018-1105-16	16	LIGHT (RADIATION)	630	LIGHT (RADIATION)	64	218	290	16	7	LIGHT (RADIATION)	10	74	107
List-2018-1105-17	17	SON	1620	SON	64	216	275	17	2	CHILD (YOUNG HUMAN)	10	91	159
List-2018-1105-18	18	MOTHER-IN-LAW (OF MAN)	2257	MOTHER-IN-LAW (OF MAN)	50	176	200	18	3	MOTHER-IN-LAW (OF WOMAN)	10	105	192
List-2018-1105-19	19	COUSIN	1643	COUSIN	52	178	346	19	37	COUSIN	10	85	105
List-2018-1105-20	20	BULL	1008	BULL	41	158	197	20	11	BULL	10	71	108
List-2018-1105-21	21	BRING	692	BRING	62	215	283	21	1	TAKE	10	50	78
List-2018-1105-22	22	CHILD (DESCENDANT)	1801	CHILD (DESCENDANT)	54	184	253	22	2	CHILD (YOUNG HUMAN)	10	95	157
List-2018-1105-23	23	CUT	1432	CUT	66	216	348	23	6	CUT	9	65	154
List-2018-1105-24	24	AUNT	1272	AUNT	48	175	260	24	3	MOTHER-IN-LAW (OF WOMAN)	9	81	196
List-2018-1105-25	25	LAND	626	LAND	65	215	315	25	4	EARTH (SOIL)	9	145	330
List-2018-1105-26	26	POST	281	POST	56	198	271	26	13	WOOD	9	59	76
List-2018-1105-27	27	BOY	1366	BOY	64	209	278	27	2	CHILD (YOUNG HUMAN)	9	89	167
List-2018-1105-28	28	TOP	1753	TOP	64	208	293	28	86	TOP	9	58	78
List-2018-1105-29	29	TWIST	430	TWIST	58	205	300	29	24	TWIST	9	60	87
List-2018-1105-30	30	STALLION	936	STALLION	42	157	181	30	11	BULL	9	58	72
List-2018-1105-31	31	WOOD	1803	WOOD	60	207	251	31	13	WOOD	9	115	212
List-2018-1105-32	32	COUNTRY	1300	COUNTRY	52	188	238	32	4	EARTH (SOIL)	9	99	208
List-2018-1105-33	33	MAN	1554	MAN	66	216	280	33	11	BULL	9	125	222
List-2018-1105-34	34	SOW (FEMALE PIG)	1351	SOW (FEMALE PIG)	56	200	434	34	43	SOW (FEMALE PIG)	9	73	148
List-2018-1105-35	35	MALE	1553	MALE	62	212	254	35	11	BULL	9	135	244
List-2018-1105-36	36	YOUNG	1207	YOUNG	60	201	265	36	2	CHILD (YOUNG HUMAN)	9	61	87
List-2018-1105-37	37	END (OF SPACE)	742	END (OF SPACE)	58	196	269	37	34	END (OF SPACE)	9	67	123
List-2018-1105-38	38	FUR	580	FUR	58	181	209	38	5	FEATHER	8	109	170
List-2018-1105-39	39	MALE (OF PERSON)	2261	MALE (OF PERSON)	55	186	218	39	11	BULL	8	123	205
List-2018-1105-40	40	TRAP (CATCH)	1170	TRAP (CATCH)	45	164	202	40	1	TAKE	8	68	165
List-2018-1105-41	41	DAUGHTER-IN-LAW (OF MAN)	2265	DAUGHTER-IN-LAW (OF MAN)	57	196	226	41	3	MOTHER-IN-LAW (OF WOMAN)	8	114	223
List-2018-1105-42	42	STRIKE OR BEAT	2133	STRIKE OR BEAT	63	216	368	42	14	STRIKE OR BEAT	8	53	65
List-2018-1105-43	43	RAM	1344	RAM	38	157	186	43	11	BULL	8	52	80
List-2018-1105-44	44	THINK (BELIEVE)	1513	THINK (BELIEVE)	51	183	270	44	9	FEEL	8	66	164
List-2018-1105-45	45	UNDERSTAND	1536	UNDERSTAND	57	204	259	45	9	FEEL	8	72	92
List-2018-1105-46	46	FEATHER	1201	FEATHER	65	218	262	46	5	FEATHER	8	87	130
List-2018-1105-47	47	TREE	906	TREE	65	213	268	47	13	WOOD	8	103	164
List-2018-1105-48	48	SON-IN-LAW (OF MAN)	2267	SON-IN-LAW (OF MAN)	59	204	230	48	3	MOTHER-IN-LAW (OF WOMAN)	8	110	240
List-2018-1105-49	49	FEMALE	1551	FEMALE	58	206	234	49	27	WOMAN	8	128	234
List-2018-1105-50	50	WOMAN	962	WOMAN	66	217	288	50	27	WOMAN	8	124	224
List-2018-1105-51	51	WORLD	965	WORLD	53	192	240	51	4	EARTH (SOIL)	8	83	119
List-2018-1105-52	52	FOAL	1647	FOAL	45	166	189	52	2	CHILD (YOUNG HUMAN)	8	43	49
List-2018-1105-53	53	BOWL	1530	BOWL	49	184	262	53	18	BOWL	8	86	136
List-2018-1105-54	54	PLACE (POSITION)	723	PLACE (POSITION)	66	222	560	54	34	END (OF SPACE)	7	51	83
List-2018-1105-55	55	GO	695	GO	64	220	332	55	15	GO UP (ASCEND)	7	72	150
List-2018-1105-56	56	ANNOUNCE	9	ANNOUNCE	53	188	247	56	10	ANNOUNCE	7	40	47
List-2018-1105-57	57	THINK (REFLECT)	1415	THINK (REFLECT)	62	207	266	57	9	FEEL	7	63	128
List-2018-1105-58	58	RELATIVES	1644	RELATIVES	58	202	257	58	33	RELATIVES	7	49	59
List-2018-1105-59	59	PAY	718	PAY	56	200	230	59	8	PAY	7	29	53
List-2018-1105-60	60	BROTHER	1262	BROTHER	58	190	247	60	37	COUSIN	7	80	163
List-2018-1105-61	61	HUSBAND	1200	HUSBAND	64	220	314	61	11	BULL	7	74	135
List-2018-1105-62	62	BOTTOM	690	BOTTOM	59	193	253	62	28	LOW	7	41	49
List-2018-1105-63	63	SISTER	1263	SISTER	58	190	236	63	37	COUSIN	7	74	154
List-2018-1105-64	64	YOUNGER BROTHER	1760	YOUNGER BROTHER	59	195	227	64	37	COUSIN	7	57	73
List-2018-1105-65	65	BREAK (DESTROY OR GET DESTROYED)	680	BREAK (DESTROY OR GET DESTROYED)	64	213	335	65	6	CUT	7	40	58
