ID	NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Grollemund-2015-100-1	1	animal	animal		
Grollemund-2015-100-2	2	arm	bras		
Grollemund-2015-100-3	3	ashes	cendre		
Grollemund-2015-100-4	4	bark	écorce		
Grollemund-2015-100-5	5	bed	lit		
Grollemund-2015-100-6	6	belly	ventre		
Grollemund-2015-100-7	7	big	grand		
Grollemund-2015-100-8	8	bird	oiseau		
Grollemund-2015-100-9	9	bite	mordre		
Grollemund-2015-100-10	10	blood	sang		
Grollemund-2015-100-11	11	bone	os		
Grollemund-2015-100-12	12	breast	sein		
Grollemund-2015-100-13	13	burn	brûler (tr.)		
Grollemund-2015-100-14	14	child	enfant		
Grollemund-2015-100-15	15	cloud	nuage		
Grollemund-2015-100-16	16	come	venir		
Grollemund-2015-100-17	17	count	compter		
Grollemund-2015-100-18	18	die	mourir		
Grollemund-2015-100-19	19	dog	chien		
Grollemund-2015-100-20	20	drink	boire		
Grollemund-2015-100-21	21	ear	oreille		
Grollemund-2015-100-22	22	eat	manger		
Grollemund-2015-100-23	23	egg	œuf		
Grollemund-2015-100-24	24	elephant	éléphant		
Grollemund-2015-100-25	25	eye	œil		
Grollemund-2015-100-26	26	face	visage		
Grollemund-2015-100-27	27	fall	tomber		
Grollemund-2015-100-28	28	fat, oil	graisse		
Grollemund-2015-100-29	29	feather	plume		
Grollemund-2015-100-30	30	fingernail	ongle		
Grollemund-2015-100-31	31	fire	feu		
Grollemund-2015-100-32	32	fire-wood	bois à brûler		
Grollemund-2015-100-33	33	fish	poisson		
Grollemund-2015-100-34	34	five	cinq		
Grollemund-2015-100-35	35	fly	voler		
Grollemund-2015-100-36	36	four	quatre		
Grollemund-2015-100-37	37	give	donner		
Grollemund-2015-100-38	38	goat	chèvre		
Grollemund-2015-100-39	39	ground, soil	terre/sol		
Grollemund-2015-100-40	40	hair	cheveu		
Grollemund-2015-100-41	41	head	tête		
Grollemund-2015-100-42	42	hear	entendre		
Grollemund-2015-100-43	43	heart	cœur		
Grollemund-2015-100-44	44	horn	corne		
Grollemund-2015-100-45	45	house	maison		
Grollemund-2015-100-46	46	hunger	faim		
Grollemund-2015-100-47	47	intestine	intestin		
Grollemund-2015-100-48	48	kill	tuer		
Grollemund-2015-100-49	49	knee	genou		
Grollemund-2015-100-50	50	knife	couteau		
Grollemund-2015-100-51	51	know	savoir		
Grollemund-2015-100-52	52	leaf	feuille		
Grollemund-2015-100-53	53	leg	jambe		
Grollemund-2015-100-54	54	liver	foie		
Grollemund-2015-100-55	55	louse	pou		
Grollemund-2015-100-56	56	man	homme		
Grollemund-2015-100-57	57	moon	lune		
Grollemund-2015-100-58	58	mouth	bouche		
Grollemund-2015-100-59	59	name	nom		
Grollemund-2015-100-60	60	navel	nombril		
Grollemund-2015-100-61	61	neck	cou		
Grollemund-2015-100-62	62	night	nuit		
Grollemund-2015-100-63	63	nose	nez		
Grollemund-2015-100-64	64	one	un		
Grollemund-2015-100-65	65	person	personne		
Grollemund-2015-100-66	66	rain	pluie		
Grollemund-2015-100-67	67	road	chemin		
Grollemund-2015-100-68	68	root	racine		
Grollemund-2015-100-69	69	salt	sel		
Grollemund-2015-100-70	70	sand	sable		
Grollemund-2015-100-71	71	see	voir		
Grollemund-2015-100-72	72	send	envoyer		
Grollemund-2015-100-73	73	shame	honte		
Grollemund-2015-100-74	74	sing	chanter		
Grollemund-2015-100-75	75	skin	peau		
Grollemund-2015-100-76	76	sky	ciel		
Grollemund-2015-100-77	77	sleep	sommeil		
Grollemund-2015-100-78	78	smoke	fumée		
Grollemund-2015-100-79	79	snake	serpent		
Grollemund-2015-100-80	80	spear	lance		
Grollemund-2015-100-81	81	steal	dérober		
Grollemund-2015-100-82	82	stone	pierre		
Grollemund-2015-100-83	83	sun	soleil		
Grollemund-2015-100-84	84	tail	queue		
Grollemund-2015-100-85	85	ten	dix		
Grollemund-2015-100-86	86	three	trois		
Grollemund-2015-100-87	87	tongue	langue		
Grollemund-2015-100-88	88	tooth	dent		
Grollemund-2015-100-89	89	tree	arbre		
Grollemund-2015-100-90	90	two	deux		
Grollemund-2015-100-91	91	urine	urine		
Grollemund-2015-100-92	92	village	village		
Grollemund-2015-100-93	93	vomit	vomir		
Grollemund-2015-100-94	94	walk	marcher		
Grollemund-2015-100-95	95	war	guerre		
Grollemund-2015-100-96	96	water	eau		
Grollemund-2015-100-97	97	wind	vent		
Grollemund-2015-100-98	98	woman	femme		
Grollemund-2015-100-99	99	dew	rosée		
Grollemund-2015-100-100	100	iron	fer		
