ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Backstrom-1992-210c-1	1	243	body (1st sing. m.)	1480	BODY
Backstrom-1992-210c-2	2	243	head	1256	HEAD
Backstrom-1992-210c-3	3	243	hair	1040	HAIR
Backstrom-1992-210c-4	4	243	face	1560	FACE
Backstrom-1992-210c-5	5	243	eye	1248	EYE
Backstrom-1992-210c-6	6	243	ear	1247	EAR
Backstrom-1992-210c-7	7	244	nose	1221	NOSE
Backstrom-1992-210c-8	8	244	mouth	674	MOUTH
Backstrom-1992-210c-9	9	244	tooth	1380	TOOTH
Backstrom-1992-210c-10	10	244	tongue	1205	TONGUE
Backstrom-1992-210c-11	11	244	chest	1592	CHEST
Backstrom-1992-210c-12	12	244	belly	1251	BELLY
Backstrom-1992-210c-13	13	244	arm	1673	ARM
Backstrom-1992-210c-14	14	244	elbow	981	ELBOW
Backstrom-1992-210c-15	15	244	palm of hand	1183	PALM OF HAND
Backstrom-1992-210c-16	16	244	finger	1303	FINGER
Backstrom-1992-210c-17	17	244	fingernail	1258	FINGERNAIL
Backstrom-1992-210c-18	18	244	leg	1297	LEG
Backstrom-1992-210c-19	19	245	skin	763	SKIN
Backstrom-1992-210c-20	20	245	bone	1394	BONE
Backstrom-1992-210c-21	21	245	heart	1223	HEART
Backstrom-1992-210c-22	22	245	blood	946	BLOOD
Backstrom-1992-210c-23	23	245	urine	1142	URINE
Backstrom-1992-210c-24	24	245	feces	675	FAECES (EXCREMENT)
Backstrom-1992-210c-25	25	245	village	930	VILLAGE
Backstrom-1992-210c-26	26	245	house	1252	HOUSE
Backstrom-1992-210c-27	27	245	roof	769	ROOF
Backstrom-1992-210c-28	28	245	door	1567	DOOR
Backstrom-1992-210c-29	29	245	firewood	10	FIREWOOD
Backstrom-1992-210c-30	30	245	broom	245	BROOM
Backstrom-1992-210c-31	31	246	mortar (bowl)	224	MORTAR CRUSHER
Backstrom-1992-210c-32	32	246	pestle	225	PESTLE
Backstrom-1992-210c-33	33	246	hammer	1481	HAMMER
Backstrom-1992-210c-34	34	246	knife / pocketknife	1352	KNIFE
Backstrom-1992-210c-35	35	246	axe	677	AXE
Backstrom-1992-210c-36	36	246	rope	1218	ROPE
Backstrom-1992-210c-37	37	246	thread	1161	THREAD
Backstrom-1992-210c-38	38	246	needle	1382	NEEDLE (FOR SEWING)
Backstrom-1992-210c-39	39	246	cloth	1616	CLOTH
Backstrom-1992-210c-40	40	246	ring	1374	RING
Backstrom-1992-210c-41	41	246	sun	1343	SUN
Backstrom-1992-210c-42	42	246	moon	1313	MOON
Backstrom-1992-210c-43	43	247	sky	1732	SKY
Backstrom-1992-210c-44	44	247	star	1430	STAR
Backstrom-1992-210c-45	45	247	rain	658	RAIN (PRECIPITATION)
Backstrom-1992-210c-46	46	247	water	948	WATER
Backstrom-1992-210c-47	47	247	river	666	RIVER
Backstrom-1992-210c-48	48	247	cloud	1489	CLOUD
Backstrom-1992-210c-49	49	247	lightning	1654	LIGHTNING
Backstrom-1992-210c-50	50	247	rainbow	1733	RAINBOW
Backstrom-1992-210c-51	51	247	wind	960	WIND
Backstrom-1992-210c-52	52	247	stone	857	STONE
Backstrom-1992-210c-53	53	247	path	2252	PATH
Backstrom-1992-210c-54	54	247	sand	671	SAND
Backstrom-1992-210c-55	55	248	fire	221	FIRE
Backstrom-1992-210c-56	56	248	smoke	778	SMOKE (EXHAUST)
Backstrom-1992-210c-57	57	248	ash	646	ASH
Backstrom-1992-210c-58	58	248	mud	640	MUD
Backstrom-1992-210c-59	59	248	dust	2	DUST
Backstrom-1992-210c-60	60	248	gold	1369	GOLD
Backstrom-1992-210c-61	61	248	tree	906	TREE
Backstrom-1992-210c-62	62	248	leaf	628	LEAF
Backstrom-1992-210c-63	63	248	root	670	ROOT
Backstrom-1992-210c-64	64	248	thorn	124	THORN
Backstrom-1992-210c-65	65	248	flower	239	FLOWER
Backstrom-1992-210c-66	66	248	fruit	1507	FRUIT
Backstrom-1992-210c-67	67	249	mango	2398	MANGO
Backstrom-1992-210c-68	68	249	banana	868	BANANA
Backstrom-1992-210c-69	69	249	wheat	1077	WHEAT
Backstrom-1992-210c-70	70	249	millet	931	MILLET
Backstrom-1992-210c-71	71	249	rice	926	RICE
Backstrom-1992-210c-72	72	249	potato	593	POTATO
Backstrom-1992-210c-73	73	249	eggplant	1146	AUBERGINE
Backstrom-1992-210c-74	74	249	groundnut	2364	PEANUT
Backstrom-1992-210c-75	75	249	chili	919	CHILI PEPPER
Backstrom-1992-210c-76	76	249	turmeric	2842	TURMERIC
Backstrom-1992-210c-77	77	249	garlic	2368	GARLIC
Backstrom-1992-210c-78	78	249	onion	2366	ONION
Backstrom-1992-210c-79	79	250	cauliflower	2843	CAULIFLOWER
Backstrom-1992-210c-80	80	250	tomato	986	TOMATO
Backstrom-1992-210c-81	81	250	cabbage	774	CABBAGE
Backstrom-1992-210c-82	82	250	oil (cooking)	1484	OIL (ORGANIC SUBSTANCE)
Backstrom-1992-210c-83	83	250	salt	1274	SALT
Backstrom-1992-210c-84	84	250	meat	634	MEAT
Backstrom-1992-210c-85	85	250	fat (part of meat)	1282	FAT (FROM ANIMALS)
Backstrom-1992-210c-86	86	250	fish	227	FISH
Backstrom-1992-210c-87	87	250	chicken (hen)	1514	HEN
Backstrom-1992-210c-88	88	250	one egg	744	EGG
Backstrom-1992-210c-89	89	250	cow	1007	COW
Backstrom-1992-210c-90	90	250	buffalo	934	BUFFALO
Backstrom-1992-210c-91	91	251	milk	635	MILK
Backstrom-1992-210c-92	92	251	horn	1393	HORN (ANATOMY)
Backstrom-1992-210c-93	93	251	tail	1220	TAIL
Backstrom-1992-210c-94	94	251	goat	1502	GOAT
Backstrom-1992-210c-95	95	251	dog	2009	DOG
Backstrom-1992-210c-96	96	251	snake	730	SNAKE
Backstrom-1992-210c-97	97	251	monkey	1350	MONKEY
