MERGER	ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	ENGLISH	OCCURRENCES
	Bulakh-2013-870-1	1798	GUNPOWDER	1	5	http://semshifts.iling-ran.ru/show-meaning.html?id=5	(gun)powder	3
	Bulakh-2013-870-10	82	ANGER	10	104	http://semshifts.iling-ran.ru/show-meaning.html?id=104	anger	4
	Bulakh-2013-870-100	1467	CIRCLE	100	330	http://semshifts.iling-ran.ru/show-meaning.html?id=330	circle	7
	Bulakh-2013-870-101	1994	COLLARBONE	101	332	http://semshifts.iling-ran.ru/show-meaning.html?id=332	clavicle	4
38	Bulakh-2013-870-102	704	CLEAN	102	335	http://semshifts.iling-ran.ru/show-meaning.html?id=335	clean (adj.)	8
	Bulakh-2013-870-103	1310	CLEVER	103	336	http://semshifts.iling-ran.ru/show-meaning.html?id=336	clever	17
	Bulakh-2013-870-104	589	CLOSED	104	340	http://semshifts.iling-ran.ru/show-meaning.html?id=340	closed	4
	Bulakh-2013-870-105	1489	CLOUD	105	342	http://semshifts.iling-ran.ru/show-meaning.html?id=342	cloud	6
	Bulakh-2013-870-106	2000	CLOVE	106	344	http://semshifts.iling-ran.ru/show-meaning.html?id=344	clove (of a garlic)	3
	Bulakh-2013-870-107	1525	COAST	107	351	http://semshifts.iling-ran.ru/show-meaning.html?id=351	coast	4
	Bulakh-2013-870-108	1878	COCK	108	352	http://semshifts.iling-ran.ru/show-meaning.html?id=352	cock (of a gun)	5
	Bulakh-2013-870-109	2011	COFFIN	109	355	http://semshifts.iling-ran.ru/show-meaning.html?id=355	coffin	3
12	Bulakh-2013-870-11	1826	ANGRY	11	105	http://semshifts.iling-ran.ru/show-meaning.html?id=105	angry	9
	Bulakh-2013-870-110	1287	COLD OF TEMPERATURE	110	356	http://semshifts.iling-ran.ru/show-meaning.html?id=356	cold (adj.)	17
	Bulakh-2013-870-111	1613	COLOR	111	359	http://semshifts.iling-ran.ru/show-meaning.html?id=359	colour	6
	Bulakh-2013-870-112	1475	COMB	112	361	http://semshifts.iling-ran.ru/show-meaning.html?id=361	comb	4
	Bulakh-2013-870-113	188	COMB OF BIRD	113	362	http://semshifts.iling-ran.ru/show-meaning.html?id=362	comb (of a bird)	5
	Bulakh-2013-870-114	1	CONTEMPTIBLE	114	375	http://semshifts.iling-ran.ru/show-meaning.html?id=375	contemptible	4
	Bulakh-2013-870-115	192	CORNER	115	381	http://semshifts.iling-ran.ru/show-meaning.html?id=381	corner	7
	Bulakh-2013-870-116	1960	CORNFLOWER	116	382	http://semshifts.iling-ran.ru/show-meaning.html?id=382	cornflower (Centaurea)	3
	Bulakh-2013-870-117	767	CORPSE	117	383	http://semshifts.iling-ran.ru/show-meaning.html?id=383	corpse	5
30	Bulakh-2013-870-118	1725	CORRECT, RIGHT	118	384	http://semshifts.iling-ran.ru/show-meaning.html?id=384	correct (adj.)	5
	Bulakh-2013-870-119	1300	COUNTRY	119	387	http://semshifts.iling-ran.ru/show-meaning.html?id=387	country, land	10
	Bulakh-2013-870-12	619	ANIMAL	12	106	http://semshifts.iling-ran.ru/show-meaning.html?id=106	animal	5
	Bulakh-2013-870-120	761	COVER	120	391	http://semshifts.iling-ran.ru/show-meaning.html?id=391	cover, lid	3
	Bulakh-2013-870-121	1319	COWARD	121	392	http://semshifts.iling-ran.ru/show-meaning.html?id=392	coward	6
	Bulakh-2013-870-122	913	CROW	122	405	http://semshifts.iling-ran.ru/show-meaning.html?id=405	crow	3
	Bulakh-2013-870-123	500	CRUEL	123	408	http://semshifts.iling-ran.ru/show-meaning.html?id=408	cruel	3
	Bulakh-2013-870-124	496	CUCUMBER	124	410	http://semshifts.iling-ran.ru/show-meaning.html?id=410	cucumber	3
	Bulakh-2013-870-125	2079	CUNNING PERSON	125	412	http://semshifts.iling-ran.ru/show-meaning.html?id=412	cunning person	5
	Bulakh-2013-870-126	1988	RIBES	126	415	http://semshifts.iling-ran.ru/show-meaning.html?id=415	currant-bush	3
	Bulakh-2013-870-127	1698	CURVED	127	416	http://semshifts.iling-ran.ru/show-meaning.html?id=416	curved	7
	Bulakh-2013-870-128	1800	DANDELION	128	419	http://semshifts.iling-ran.ru/show-meaning.html?id=419	dandelion (Taraxacum)	4
	Bulakh-2013-870-129	706	DARK	129	423	http://semshifts.iling-ran.ru/show-meaning.html?id=423	dark (adj.)	14
	Bulakh-2013-870-13	587	ANT	13	109	http://semshifts.iling-ran.ru/show-meaning.html?id=109	ant	3
	Bulakh-2013-870-130	1225	DAY (NOT NIGHT)	130	429	http://semshifts.iling-ran.ru/show-meaning.html?id=429	day	7
	Bulakh-2013-870-131	996	DEAF	131	433	http://semshifts.iling-ran.ru/show-meaning.html?id=433	deaf	4
	Bulakh-2013-870-132	13	DECEIT	132	434	http://semshifts.iling-ran.ru/show-meaning.html?id=434	deception	3
	Bulakh-2013-870-133	1593	DEEP	133	435	http://semshifts.iling-ran.ru/show-meaning.html?id=435	deep	8
	Bulakh-2013-870-134	1995	DEFECT	134	436	http://semshifts.iling-ran.ru/show-meaning.html?id=436	defect	4
17	Bulakh-2013-870-135	1244	THICK	135	438	http://semshifts.iling-ran.ru/show-meaning.html?id=438	dense, thick (liquid)	4
	Bulakh-2013-870-136	1977	DEW	136	447	http://semshifts.iling-ran.ru/show-meaning.html?id=447	dew	4
	Bulakh-2013-870-137	584	DIFFICULT	137	449	http://semshifts.iling-ran.ru/show-meaning.html?id=449	difficult	12
	Bulakh-2013-870-138	1230	DIRTY	138	452	http://semshifts.iling-ran.ru/show-meaning.html?id=452	dirty	3
	Bulakh-2013-870-139	1986	DISEASE	139	453	http://semshifts.iling-ran.ru/show-meaning.html?id=453	disease	3
	Bulakh-2013-870-14	1320	APPLE	14	113	http://semshifts.iling-ran.ru/show-meaning.html?id=113	apple	3
	Bulakh-2013-870-140	1083	MESS	140	455	http://semshifts.iling-ran.ru/show-meaning.html?id=455	disorder, mess	3
	Bulakh-2013-870-141	2009	DOG	141	459	http://semshifts.iling-ran.ru/show-meaning.html?id=459	dog	10
	Bulakh-2013-870-142	527	DOG-ROSE	142	460	http://semshifts.iling-ran.ru/show-meaning.html?id=460	dog-rose	3
	Bulakh-2013-870-143	1659	DOLL	143	461	http://semshifts.iling-ran.ru/show-meaning.html?id=461	doll	6
	Bulakh-2013-870-144	1862	DONKEY	144	463	http://semshifts.iling-ran.ru/show-meaning.html?id=463	donkey	3
	Bulakh-2013-870-145	1567	DOOR	145	465	http://semshifts.iling-ran.ru/show-meaning.html?id=465	door	9
	Bulakh-2013-870-146	1463	DRUNK	146	476	http://semshifts.iling-ran.ru/show-meaning.html?id=476	drunk	8
	Bulakh-2013-870-147	1398	DRY	147	479	http://semshifts.iling-ran.ru/show-meaning.html?id=479	dry	16
	Bulakh-2013-870-148	1492	DUMB	148	480	http://semshifts.iling-ran.ru/show-meaning.html?id=480	dumb	5
	Bulakh-2013-870-149	2	DUST	149	483	http://semshifts.iling-ran.ru/show-meaning.html?id=483	dust	4
	Bulakh-2013-870-15	1886	ARMPIT	15	117	http://semshifts.iling-ran.ru/show-meaning.html?id=117	armpit	4
	Bulakh-2013-870-150	1247	EAR	150	485	http://semshifts.iling-ran.ru/show-meaning.html?id=485	ear	10
	Bulakh-2013-870-151	1249	SPIKE	151	486	http://semshifts.iling-ran.ru/show-meaning.html?id=486	ear, spike (of a grain plant)	3
	Bulakh-2013-870-152	672	EARLY	152	487	http://semshifts.iling-ran.ru/show-meaning.html?id=487	early	3
21	Bulakh-2013-870-153	626	LAND	153	489	http://semshifts.iling-ran.ru/show-meaning.html?id=489	earth	5
	Bulakh-2013-870-154	1877	EAST	154	492	http://semshifts.iling-ran.ru/show-meaning.html?id=492	east	7
	Bulakh-2013-870-155	863	EDGE	155	495	http://semshifts.iling-ran.ru/show-meaning.html?id=495	edge	10
	Bulakh-2013-870-156	1013	FRESHWATER EEL	156	496	http://semshifts.iling-ran.ru/show-meaning.html?id=496	eel (Anguilla anguilla)	3
	Bulakh-2013-870-157	744	EGG	157	497	http://semshifts.iling-ran.ru/show-meaning.html?id=497	egg	6
	Bulakh-2013-870-158	981	ELBOW	158	498	http://semshifts.iling-ran.ru/show-meaning.html?id=498	elbow	5
	Bulakh-2013-870-159	59	ELECTRICITY	159	502	http://semshifts.iling-ran.ru/show-meaning.html?id=502	electricity	5
