ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-26	26	3048	Jesus	N			Jézus			man/744, @Jesus
Kornai-2018-1400-27	27	2688	Jewish	A			zsidó	Iudaicus	źydowski	@Jew
Kornai-2018-1400-28	28	1203	June	N	2849	JUNE	június	mensis Iunius	czerwiec	month, FOLLOW may/1560, july FOLLOW
Kornai-2018-1400-29	29	3175	Kenya	N			Kenya			country, @Kenya
Kornai-2018-1400-30	30	2853	Korea	N			Korea			country, @Korea
Kornai-2018-1400-31	31	2855	London	N			London			city, @London
Kornai-2018-1400-32	32	1563	March	N	2846	MARCH	március	mensis Martius	marzec	month, FOLLOW february, april FOLLOW
Kornai-2018-1400-33	33	2909	Mississippi	N			Mississippi			river, @Mississippi
Kornai-2018-1400-34	34	1022	Monday	N	1697	MONDAY	hétfő	dies lunae	poniedziałek	day, PART_OF week, FOLLOW sunday, tuesday FOLLOW
Kornai-2018-1400-35	35	35	Mrs	G			-né		Pani	woman, HAS husband
Kornai-2018-1400-36	36	178	Mrs	G			asszony		Pani	mrs/35
Kornai-2018-1400-37	37	2877	Muhammad	N			Mohamed			man/744, @Muhammad
Kornai-2018-1400-38	38	1162	Muslim	A			iszlám	Mohammedanicus	muzułmański	believe, adherent, @Muslim
Kornai-2018-1400-39	39	1899	October	N	2853	OCTOBER	október	October	październik	month, FOLLOW september, november FOLLOW
Kornai-2018-1400-40	40	2861	Pakistan	N			Pakisztán			country, @Pakistan
Kornai-2018-1400-41	41	2881	Paris	N			Párizs			city, @Paris
Kornai-2018-1400-42	42	2862	Poland	N			Lengyelország			country, @Poland
Kornai-2018-1400-43	43	2863	Portugal	N			Portugália			country, @Portugal
Kornai-2018-1400-44	44	2864	Rome	N			Róma			city, @Rome
Kornai-2018-1400-45	45	2865	Russia	N			Oroszország			country, @Russia
Kornai-2018-1400-46	46	2245	Saturday	N	1700	SATURDAY	szombat	dies Saturni	sobota	day, PART_OF week, FOLLOW friday, sunday FOLLOW
Kornai-2018-1400-47	47	2866	Scotland	N			Skócia			country, @Scotland
Kornai-2018-1400-48	48	2903	Somalia	N			Szomália			country, @Somalia
Kornai-2018-1400-49	49	2901	Sudan	N			Szudán			country, @Sudan
Kornai-2018-1400-50	50	2937	Tanzania	N			Tanzánia			country, @Tanzania
Kornai-2018-1400-51	51	436	Thursday	N	1693	THURSDAY	csütörtök	dies Iovis	czwartek	day, PART_OF week, FOLLOW wednesday, friday FOLLOW
Kornai-2018-1400-52	52	1266	Tuesday	N	1695	TUESDAY	kedd	dies Martis	wtorek	day, PART_OF week, FOLLOW monday, wednesday FOLLOW
Kornai-2018-1400-53	53	3202	U-shaped	A			U alakú			HAS shape(bend/1112)
Kornai-2018-1400-54	54	2938	UK	N			Egyesült Királyság			country, @United_Kingdom
Kornai-2018-1400-55	55	2942	Uganda	N			Uganda			country, @Uganda
Kornai-2018-1400-56	56	3162	Ural	N			Urál			@Ural
Kornai-2018-1400-57	57	2870	Wales	N			Wales			country, @Wales
Kornai-2018-1400-58	58	2871	Washington	N			Washington			place/1026, @Washington
Kornai-2018-1400-59	59	1245	able	A			képes	idoneus	w stanie	can/1246[=AGT[=TO]]
Kornai-2018-1400-60	60	1686	about	D			miatt	propter	o	=REL CAUSE
Kornai-2018-1400-61	61	615	accept	V			elfogad	accipio	akceptować	allow, =PAT[lack(good)], =AGT SAY[=PAT[right/1191]], receive, before(=FROM OFFER =PAT)
Kornai-2018-1400-62	62	223	accident	N			baleset	casus adversus	wypadek	event, lack(person PLAN), bad, CAUSE damage
Kornai-2018-1400-63	63	2064	acid	N			sav	acidum	kwas	substance, <burn>, HAS taste[sharp,sour], lack(kind)
Kornai-2018-1400-64	64	98	across	D	2670	ACROSS	át	trans	poprzez	before(ON side), =REL HAS side, after(ON other(side))
Kornai-2018-1400-65	65	1010	act	V			hat	proficio	oddziaływać	
Kornai-2018-1400-66	66	2373	act	V			tesz	ago	działać	do
Kornai-2018-1400-67	67	2379	act	N			tett	factum	akt	
Kornai-2018-1400-68	68	399	action	N			cselekvés	actio	działanie	person DO
Kornai-2018-1400-69	69	2383	activity	N			tevékenység	industria	czynność	act
Kornai-2018-1400-70	70	1727	actual	A			mostani	hic	obecny	exist, now
Kornai-2018-1400-71	71	1859	add	V	2882	ADD	összead	addo	dodawać	=AGT CAUSE[=PAT IN/2758 =TO]
Kornai-2018-1400-72	72	1860	addition	N			összeadás	additio	dodatek	CAUSE[=TO[ER ' ]]
Kornai-2018-1400-73	73	1059	advertise	V			hirdet	proscribo	reklamować	=AGT CAUSE[public KNOW advantage], =PAT HAS advantage, =AGT WANT[sale[increase]]
Kornai-2018-1400-74	74		affect	V			érint			=AGT CAUSE =PAT[change]
Kornai-2018-1400-75	75	2533	after	G	1685	AFTER	után	post	po	follow, IN/2758 order/2739
Kornai-2018-1400-76	76	628	against	G	2469	AGAINST	ellen	contra/adversus	przeciwko	oppose
Kornai-2018-1400-77	77	1429	age	N	1789	AGE	kor	aetas	wiek	time, life IN/2758
Kornai-2018-1400-78	78	646	ago	D			előtt	ante	temu	direction, front, visible
Kornai-2018-1400-79	79	575	agree	V	3643	AGREE	egyezik	consentio	zgadzać sié	=AGT HAS same(opinion)
Kornai-2018-1400-80	80	3405	agreement	N	3644	AGREEMENT	egyezség	consensus	zogda	
Kornai-2018-1400-81	81	363	aim	N			cél	finis	cel	purpose
Kornai-2018-1400-82	82	1540	air	N	27	AIR	levegő	aer	powietrze	gas, FOR/2782 life
Kornai-2018-1400-83	83	3056	aircraft	N			légi jármű			vehicle, fly, <plane/2807>
Kornai-2018-1400-84	84	3194	airforce	N			legierő			PART_OF army, fly
Kornai-2018-1400-85	85	158	alcohol	N	404	ALCOHOL (FERMENTED DRINK)	alkohol	alcohol	alkohol	liquid, <drink>, <CAUSE person[drunk]>
Kornai-2018-1400-86	86	1695	all	N	98	ALL	mind	omnis	wszyscy	
Kornai-2018-1400-87	87	670	allow	V	1003	PERMIT	enged	sino	pozwolić	=AGT SAY =DAT[=PAT[can/1246]], say CAUSE =DAT[=PAT[can/1246]]
Kornai-2018-1400-88	88	380	alone	D	1964	ALONE	csak	solus/modo	sam	only
Kornai-2018-1400-89	89	1669	along	D			mentén	per	wzdłuź	AT/2744 =REL[long]
Kornai-2018-1400-90	90	203	although	G			bár	quamquam	pomimo	though
Kornai-2018-1400-91	91	1696	always	D	1676	ALWAYS	mindig	semper	zawsze	AT/2744 time[all]
Kornai-2018-1400-92	92	1666	amount	N	2987	AMOUNT	mennyiség	numerus	ilość	quantity
Kornai-2018-1400-93	93	1737	amuse	V			mulattat	delecto	bawić	=AGT CAUSE[=PAT[merry]]
Kornai-2018-1400-94	94	558	an	G			egy			a
Kornai-2018-1400-95	95	1881	ancient	A			ősi	antiquissimus	staroźytny	AT/2744 history, far
Kornai-2018-1400-96	96	536	and	G			és	et/-que/atque	i/a	=AGT, =PAT
Kornai-2018-1400-97	97	2054	and	G	1577	AND	s	et/-que	i	
Kornai-2018-1400-98	98	2230	angle	N			szög	angulus	kát	
Kornai-2018-1400-99	99	999	angry	A	1826	ANGRY	haragos	iratus	zły	anger
Kornai-2018-1400-100	100	78	animal	N	619	ANIMAL	állat	animal	zwierzé	live, move
Kornai-2018-1400-101	101	1565	another	A	197	OTHER	más	alius	inny	other
Kornai-2018-1400-102	102	765	answer	V	1275	ANSWER	felel	respondeo	odpowiadać	say, before(question), =PAT ABOUT question
Kornai-2018-1400-103	103	556	any	D			egy	ullus	źaden	
Kornai-2018-1400-104	104	208	anyone	N			bárki	quisquis	ktokolwiek	person
Kornai-2018-1400-105	105	2450	appear	U	1076	EMERGE (APPEAR)	tűnik	pareo	wydawać sié	=DAT THINK [=PAT[=OBL]]
Kornai-2018-1400-106	106	1479	appearance	N	1017	APPEARANCE	látszat	simulacrum	wyglád	
Kornai-2018-1400-107	107	1194	approve	V			jóváhagy	approbo	uznać	consider[=PAT[right/1191]], say[=PAT[right/1191]]
Kornai-2018-1400-108	108	2355	area	N	2980	AREA	terep	area	teren	
Kornai-2018-1400-109	109	2366	area	N	2980	AREA	terület	area	teren	place/2326, IN/2758 country, <HAS border>
Kornai-2018-1400-110	110	2810	argument	N			vita	disputatio	debata	argue
Kornai-2018-1400-111	111	1231	arm	N	1673	ARM	kar	bracchium	ramié	long, human HAS body, body HAS, limb, hand AT/2744, wrist AT/2744, shoulder AT/2744
Kornai-2018-1400-112	112	2084	arms	N			sereg	exercitus	armia	
Kornai-2018-1400-113	113	969	army	N	1561	ARMY	hadsereg	exercitus	wojsko	organization, people[many], work AT/2744 war
Kornai-2018-1400-114	114	1388	around	D			köré	circum	dokoła	AROUND =REL
Kornai-2018-1400-115	115	2011	arrange	V	1568	ARRANGE	rendez	ordino	układać	=AGT CAUSE[=PAT HAS structure]
Kornai-2018-1400-116	116	266	arrangement	N			beosztás	dispositio	uklad	plan, IN/2758 time
Kornai-2018-1400-117	117	1622	arrive	V	1387	ARRIVE	megérkezik	advenio	przyjechać	after(=AGT AT/2744 goal), =AGT[move[lack, after]]
Kornai-2018-1400-118	118	1813	arrow	N	977	ARROW	nyíl	sagitta	strzała	artefact, long, straight/563, HAS pointed(head), move
Kornai-2018-1400-119	119	1735	art	N			művészet	ars	sztuka	MAKE beautiful
Kornai-2018-1400-120	120	1700	as	D			mint	ut	jak	
Kornai-2018-1400-121	121	1253	ask	V	1309	ASK (INQUIRE)	kérdez	quaero	pytać	communicate, =AGT SAY want
