ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG
Tjuka-2021-192-1	1	153	GREY	GREY	color
Tjuka-2021-192-2	2	156	RED	RED	color
Tjuka-2021-192-3	3	163	BLACK	BLACK	color
Tjuka-2021-192-4	4	837	BLUE	BLUE	color
Tjuka-2021-192-5	5	1335	WHITE	WHITE	color
Tjuka-2021-192-6	6	1424	YELLOW	YELLOW	color
Tjuka-2021-192-7	7	1425	GREEN	GREEN	color
Tjuka-2021-192-8	8	2409	BROWN	BROWN	color
Tjuka-2021-192-9	9	2452	PURPLE	PURPLE	color
Tjuka-2021-192-10	10	3045	COPPER (COLOR)	COPPER (COLOR)	color
Tjuka-2021-192-11	11	3328	ORANGE (COLOR)	ORANGE (COLOR)	color
Tjuka-2021-192-12	12	3446	PINK	PINK	color
Tjuka-2021-192-13	13	3604	LIGHT BLUE	LIGHT BLUE	color
Tjuka-2021-192-14	14	3605	LIGHT GREEN	LIGHT GREEN	color
Tjuka-2021-192-15	15	3706	DARK YELLOW	DARK YELLOW	color
Tjuka-2021-192-16	16	3707	BEIGE	BEIGE	color
Tjuka-2021-192-17	17	3750	KHAKI	KHAKI	color
Tjuka-2021-192-18	18	3751	BRIGHT YELLOW	BRIGHT YELLOW	color
Tjuka-2021-192-19	19	3752	LILAC	LILAC	color
Tjuka-2021-192-20	20	3753	MAGENTA	MAGENTA	color
Tjuka-2021-192-21	21	3795	DARK GREEN	DARK GREEN	color
Tjuka-2021-192-22	22	3914	TURQUOISE	TURQUOISE	color
Tjuka-2021-192-23	23	40	ENVY	ENVY	emotion
Tjuka-2021-192-24	24	82	ANGER	ANGER	emotion
Tjuka-2021-192-25	25	781	FEAR (FRIGHT)	FEAR (FRIGHT)	emotion
Tjuka-2021-192-26	26	1000	ANXIETY	ANXIETY	emotion
Tjuka-2021-192-27	27	1141	PITY	PITY	emotion
Tjuka-2021-192-28	28	1668	GRIEF	GRIEF	emotion
Tjuka-2021-192-29	29	1776	SHAME	SHAME	emotion
Tjuka-2021-192-30	30	1783	PAIN	PAIN	emotion
Tjuka-2021-192-31	31	1912	RESPECT (NOUN)	RESPECT (NOUN)	emotion
Tjuka-2021-192-32	32	2016	JEALOUSY	JEALOUSY	emotion
Tjuka-2021-192-33	33	2465	DISGUST	DISGUST	emotion
Tjuka-2021-192-34	34	2524	JOY	JOY	emotion
Tjuka-2021-192-35	35	2553	MISERY	MISERY	emotion
Tjuka-2021-192-36	36	2941	HAPPINESS	HAPPINESS	emotion
Tjuka-2021-192-37	37	2960	LONGING (WISH)	LONGING (WISH)	emotion
Tjuka-2021-192-38	38	3049	COURAGE	COURAGE	emotion
Tjuka-2021-192-39	39	3211	HOPE (FAITH)	HOPE (FAITH)	emotion
Tjuka-2021-192-40	40	3468	KINDNESS	KINDNESS	emotion
Tjuka-2021-192-41	41	3673	MOURNING	MOURNING	emotion
Tjuka-2021-192-42	42	3749	HATE (LOATHING)	HATE (LOATHING)	emotion
Tjuka-2021-192-43	43	3844	CONTEMPT	CONTEMPT	emotion
Tjuka-2021-192-44	44	3845	DISAPPOINTMENT	DISAPPOINTMENT	emotion
Tjuka-2021-192-45	45	3846	EXCITEMENT	EXCITEMENT	emotion
Tjuka-2021-192-46	46	3847	INTEREST (FEELING)	INTEREST (FEELING)	emotion
Tjuka-2021-192-47	47	3848	SURPRISE (FEELING)	SURPRISE (FEELING)	emotion
Tjuka-2021-192-48	48	3849	TRIUMPH	TRIUMPH	emotion
Tjuka-2021-192-49	49	3850	AMUSEMENT	AMUSEMENT	emotion
Tjuka-2021-192-50	50	3851	AWE	AWE	emotion
Tjuka-2021-192-51	51	3853	CONFUSION	CONFUSION	emotion
Tjuka-2021-192-52	52	3854	SADNESS	SADNESS	emotion
Tjuka-2021-192-53	53	3877	DEPRESSION	DEPRESSION	emotion
Tjuka-2021-192-54	54	3915	PRIDE	PRIDE	emotion
Tjuka-2021-192-55	55	3916	PLEASURE	PLEASURE	emotion
Tjuka-2021-192-56	56	3834	LOVE (AFFECTION)	LOVE (AFFECTION)	emotion
Tjuka-2021-192-57	57	802	ADAM'S APPLE	ADAM'S APPLE	human body part
Tjuka-2021-192-58	58	678	BEARD	BEARD	human body part
Tjuka-2021-192-59	59	1402	BREAST	BREAST	human body part
Tjuka-2021-192-60	60	834	BUTTOCKS	BUTTOCKS	human body part
Tjuka-2021-192-61	61	498	CALF OF LEG	CALF OF LEG	human body part
Tjuka-2021-192-62	62	18	EARLOBE	EARLOBE	human body part
Tjuka-2021-192-63	63	1173	EYEBROW	EYEBROW	human body part
Tjuka-2021-192-64	64	1258	FINGERNAIL	FINGERNAIL	human body part
Tjuka-2021-192-65	65	1301	FOOT	FOOT	human body part
Tjuka-2021-192-66	66	1040	HAIR	HAIR	human body part
Tjuka-2021-192-67	67	189	HAIR (BODY)	HAIR (BODY)	human body part
Tjuka-2021-192-68	68	2648	HAIR (HEAD)	HAIR (HEAD)	human body part
Tjuka-2021-192-69	69	980	HEEL	HEEL	human body part
Tjuka-2021-192-70	70	3736	INSTEP	INSTEP	human body part
Tjuka-2021-192-71	71	1371	KNEE	KNEE	human body part
Tjuka-2021-192-72	72	3263	LAP	LAP	human body part
Tjuka-2021-192-73	73	2182	LEFT HAND	LEFT HAND	human body part
Tjuka-2021-192-74	74	2774	LITTLE FINGER	LITTLE FINGER	human body part
Tjuka-2021-192-75	75	3387	MIDDLE FINGER	MIDDLE FINGER	human body part
Tjuka-2021-192-76	76	1165	MOUSTACHE	MOUSTACHE	human body part
Tjuka-2021-192-77	77	1183	PALM OF HAND	PALM OF HAND	human body part
Tjuka-2021-192-78	78	36	PUBIC HAIR	PUBIC HAIR	human body part
Tjuka-2021-192-79	79	2183	RIGHT HAND	RIGHT HAND	human body part
Tjuka-2021-192-80	80	2613	SKIN (HUMAN)	SKIN (HUMAN)	human body part
Tjuka-2021-192-81	81	2662	TOENAIL	TOENAIL	human body part
Tjuka-2021-192-82	82	2667	TORSO	TORSO	human body part
Tjuka-2021-192-83	83	1837	VULVA	VULVA	human body part
Tjuka-2021-192-84	84	1681	WAIST	WAIST	human body part
Tjuka-2021-192-85	85	803	ANKLE	ANKLE	human body part
Tjuka-2021-192-86	86	1935	ANUS	ANUS	human body part
Tjuka-2021-192-87	87	1673	ARM	ARM	human body part
