ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	NUMBER_IN_SOURCE	PAGENUMBER	ENGLISH	CHINESE
SatterthwaitePhillips-2011-423-1	619	ANIMAL	1	14	167	animal	动物
SatterthwaitePhillips-2011-423-2	587	ANT	2	25	167	ant	蚂蚁
SatterthwaitePhillips-2011-423-3	1673	ARM	3	102,6	167	arm	胳膊 [B = 胳毙]
SatterthwaitePhillips-2011-423-4	977	ARROW	4	166	167	arrow	箭
SatterthwaitePhillips-2011-423-5	1894	ASHAMED	5	258	167	ashamed	惭愧
SatterthwaitePhillips-2011-423-6	646	ASH	6	152	168	ashes	烟灰 [B = 灰]
SatterthwaitePhillips-2011-423-7	825	AWAKE	7	300	168	awaken	醒
SatterthwaitePhillips-2011-423-8	1291	BACK	8	114	168	back	背
SatterthwaitePhillips-2011-423-9	1292	BAD	9	320	168	bad	坏
SatterthwaitePhillips-2011-423-10	1927	BAMBOO	10	60	168	bamboo	竹子
SatterthwaitePhillips-2011-423-11	868	BANANA	11	138	169	banana	香蕉；芭蕉 [B = 香蕉]
SatterthwaitePhillips-2011-423-12	1204	BARK	12	55	169	bark	树皮
SatterthwaitePhillips-2011-423-13	932	BARLEY	13	349	169	barley	大麦
SatterthwaitePhillips-2011-423-14	1793	BAT	14	44	169	bat	蝙蝠
SatterthwaitePhillips-2011-423-15	1090	BE BORN	15	251	169	be born, to	出生
SatterthwaitePhillips-2011-423-16	1132	BEAM	16	157	170	beam	横梁 [B = 梁]
SatterthwaitePhillips-2011-423-17	832	BEAN	17	145	170	bean	豆
SatterthwaitePhillips-2011-423-18	1820	BEAR	18	39	170	bear	熊
SatterthwaitePhillips-2011-423-19	1427	BEAUTIFUL	19	358	170	beautiful	漂亮 [B = meili]
SatterthwaitePhillips-2011-423-20	1663	BED	20	159	170	bed	床
SatterthwaitePhillips-2011-423-21	665	BEE	21	29	171	bee	蜜蜂
SatterthwaitePhillips-2011-423-22	2242	BEETLE	22	386	171	beetle	甲虫
SatterthwaitePhillips-2011-423-23	2245	BELCH	23	278	171	belch	打嗝
SatterthwaitePhillips-2011-423-24	2246	BELL	24	169	171	bell	铃
SatterthwaitePhillips-2011-423-25	1251	BELLY	25	110	171	belly	肚子
SatterthwaitePhillips-2011-423-26	1202	BIG	26	404	172	big	大
SatterthwaitePhillips-2011-423-27	1759	OLDER BROTHER	27	401	172	big brother	哥哥
SatterthwaitePhillips-2011-423-28	1758	OLDER SISTER	28	407	172	big sister	姐姐
SatterthwaitePhillips-2011-423-29	937	BIRD	29	15	172	bird	鸟
SatterthwaitePhillips-2011-423-30	1403	BITE	30	325	172	bite	咬
SatterthwaitePhillips-2011-423-31	887	BITTER	31	266	173	bitter	苦
SatterthwaitePhillips-2011-423-32	163	BLACK	32	65	173	black	黑
SatterthwaitePhillips-2011-423-33	946	BLOOD	33	127	173	blood	血
SatterthwaitePhillips-2011-423-34			34	?	173	blow (out)	吹 (灭)
SatterthwaitePhillips-2011-423-35	176	BLOW (WITH MOUTH)	35	?	173	blow [of person]	吹
SatterthwaitePhillips-2011-423-36	175	BLOW (OF WIND)	36	351	174	blow [of wind]	刮
SatterthwaitePhillips-2011-423-37	837	BLUE	37	71	174	blue	蓝
SatterthwaitePhillips-2011-423-38	1844	BOAT	38	169,1	174	boat	船
SatterthwaitePhillips-2011-423-39	2493	BOIL	39	340	174	boil	煮（＝开水）
SatterthwaitePhillips-2011-423-40	1394	BONE	40	126	174	bone	骨头
SatterthwaitePhillips-2011-423-41	994	BOW	41	165	175	bow	弓
SatterthwaitePhillips-2011-423-42	1530	BOWL	42	147	175	bowl	碗
SatterthwaitePhillips-2011-423-43	1366	BOY	43	253	175	boy	男孩 [B = 男青年]
SatterthwaitePhillips-2011-423-44	1583	BRAIN	44	119	175	brain	脑子 [B= 脑髓]
SatterthwaitePhillips-2011-423-45	1531	BRANCH	45	53	175	branch	树枝
SatterthwaitePhillips-2011-423-46	681	DESTROY	46	317	176	break (damage)	弄坏 [B = pohuai]
SatterthwaitePhillips-2011-423-47	2558	BREAK (CLEAVE)	47	361	176	break in two (as a branch)	断（小枝）
SatterthwaitePhillips-2011-423-48	1402	BREAST	48	116	176	breast	奶 [B = 乳房]
SatterthwaitePhillips-2011-423-49	1407	BREATHE	49	242	176	breathe	呼吸
SatterthwaitePhillips-2011-423-50	679	BRIGHT	50	248	176	bright	明亮 [B = liang]
SatterthwaitePhillips-2011-423-51	1840	BUILD	51	375	177	build	建筑
SatterthwaitePhillips-2011-423-52	141	BURN (SOMETHING)	52	247	177	burn	燃烧
SatterthwaitePhillips-2011-423-53	834	BUTTOCKS	53	115	177	butt	屁股
SatterthwaitePhillips-2011-423-54	1869	BUY	54	295	177	buy	买
SatterthwaitePhillips-2011-423-55	1273	CANDLE	55	336	177	candle	蜡烛
SatterthwaitePhillips-2011-423-56	1208	CAT	56	289	177	cat	猫
SatterthwaitePhillips-2011-423-57	702	CATCH	57	?	177	catch	捉
