ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOUND_SYMBOLIC	LEXIBANK_GLOSS
Johansson-2020-344-1	1	ABOVE	1741	ABOVE	0	above
Johansson-2020-344-2	2	AFRAID	3033	SCARED	0	afraid
Johansson-2020-344-3	3	AFTER	1685	AFTER	0	after
Johansson-2020-344-4	4	AIR	27	AIR	0	air
Johansson-2020-344-5	5	ALL	98	ALL	0	all
Johansson-2020-344-6	6	ANGRY	1826	ANGRY	0	angry
Johansson-2020-344-7	7	ANIMAL	619	ANIMAL	0	animal
Johansson-2020-344-8	8	ANT	587	ANT	0	ant
Johansson-2020-344-9	9	ARM (UPPER)	431	UPPER ARM	0	arm (upper)
Johansson-2020-344-10	10	ARM (LOWER)	446	LOWER ARM	0	arm (lower)
Johansson-2020-344-11	11	ASHES	646	ASH	1	ashes
Johansson-2020-344-12	12	BACK	1291	BACK	1	back
Johansson-2020-344-13	13	BAD	1292	BAD	0	bad
Johansson-2020-344-14	14	BARK	1204	BARK	1	bark
Johansson-2020-344-15	15	BEAUTIFUL	1427	BEAUTIFUL	0	beautiful
Johansson-2020-344-16	16	BECAUSE	1157	BECAUSE	0	because
Johansson-2020-344-17	17	BEFORE	1882	BEFORE	0	before
Johansson-2020-344-18	18	BEHIND	1686	BEHIND	0	behind
Johansson-2020-344-19	19	BELLY	1251	BELLY	0	belly
Johansson-2020-344-20	20	BELOW	1485	BELOW OR UNDER	0	below
Johansson-2020-344-21	21	BESIDE	1816	BESIDE	0	beside
Johansson-2020-344-22	22	BETWEEN	689	BETWEEN	0	between
Johansson-2020-344-23	23	BIG	1202	BIG	0	big
Johansson-2020-344-24	24	BIRD	937	BIRD	0	bird
Johansson-2020-344-25	25	BITE	1403	BITE	0	bite
Johansson-2020-344-26	26	BITTER	887	BITTER	0	bitter
Johansson-2020-344-27	27	BLACK	163	BLACK	0	black
Johansson-2020-344-28	28	BLOOD	946	BLOOD	0	blood
Johansson-2020-344-29	29	BLOW	175	BLOW (OF WIND)	1	blow
Johansson-2020-344-30	30	BLUE	837	BLUE	0	blue
Johansson-2020-344-31	31	BLUNT	379	BLUNT	1	blunt
Johansson-2020-344-32	32	BODY	1480	BODY	0	body
Johansson-2020-344-33	33	BONE	1394	BONE	1	bone
Johansson-2020-344-34	34	BOY	1366	BOY	0	boy
Johansson-2020-344-35	35	BRAIN	1583	BRAIN	1	brain
Johansson-2020-344-36	36	BREAST	1402	BREAST	1	breast
Johansson-2020-344-37	37	BREATHE	1407	BREATHE	0	breathe
Johansson-2020-344-38	38	BURN	2102	BURN	0	burn
Johansson-2020-344-39	39	BUTTOCKS	834	BUTTOCKS	1	buttocks
Johansson-2020-344-40	40	CARRY	700	CARRY	0	carry
Johansson-2020-344-41	41	CLEAN	704	CLEAN	0	clean
Johansson-2020-344-42	42	CLOUD	1489	CLOUD	1	cloud
Johansson-2020-344-43	43	COLD	1287	COLD	0	cold
Johansson-2020-344-44	44	COME	1446	COME	0	come
Johansson-2020-344-45	45	CORRECT	1725	CORRECT (RIGHT)	0	correct
Johansson-2020-344-46	46	COUGH	879	COUGH	1	cough
Johansson-2020-344-47	47	CROOKED	297	CROOKED	0	crooked
Johansson-2020-344-48	48	CRUSH	1520	CRUSH	0	crush
Johansson-2020-344-49	49	CRY	1839	CRY	0	cry
