ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luangthongkum-2019-340-103	103	embrace, hug	928	EMBRACE
Luangthongkum-2019-340-104	104	enter	749	ENTER
Luangthongkum-2019-340-105	105	exert forcing to expel		
Luangthongkum-2019-340-106	106	extinguish (t.v.)	127	EXTINGUISH
Luangthongkum-2019-340-107	107	eye, face		
Luangthongkum-2019-340-108	108	fall down	1280	FALL
Luangthongkum-2019-340-109	109	fat (adj)		
Luangthongkum-2019-340-110	110	feather, fur, body hair		
Luangthongkum-2019-340-111	111	feel full (after eating)		
Luangthongkum-2019-340-112	112	female, woman	962	WOMAN
Luangthongkum-2019-340-113	113	female (humans), mother	1216	MOTHER
Luangthongkum-2019-340-114	114	fire	221	FIRE
Luangthongkum-2019-340-115	115	fish	227	FISH
Luangthongkum-2019-340-116	116	five	493	FIVE
Luangthongkum-2019-340-117	117	flank, rib		
Luangthongkum-2019-340-118	118	flat	1633	FLAT
Luangthongkum-2019-340-119	119	flea	232	FLEA
Luangthongkum-2019-340-120	120	flesh, meat	2615	FLESH OR MEAT
Luangthongkum-2019-340-121	121	flower	239	FLOWER
Luangthongkum-2019-340-122	122	forget	1523	FORGET
Luangthongkum-2019-340-123	123	forest, jungle	420	FOREST
Luangthongkum-2019-340-124	124	four	1500	FOUR
Luangthongkum-2019-340-125	125	fox, wolf		
Luangthongkum-2019-340-126	126	frog	503	FROG
Luangthongkum-2019-340-127	127	front	2194	FRONT (PART)
Luangthongkum-2019-340-128	128	fruit	1507	FRUIT
Luangthongkum-2019-340-129	129	full	1429	FULL
Luangthongkum-2019-340-130	130	ginger	2500	GINGER
Luangthongkum-2019-340-131	131	go	695	GO
Luangthongkum-2019-340-132	132	grasshopper	607	GRASSHOPPER
Luangthongkum-2019-340-133	133	grandchild	1617	GRANDCHILD
Luangthongkum-2019-340-134	134	great-grandchild		
Luangthongkum-2019-340-135	135	great-great-gandchild		
Luangthongkum-2019-340-136	136	hair (head~)	2648	HAIR (HEAD)
Luangthongkum-2019-340-137	137	handle	1254	HANDLE
Luangthongkum-2019-340-138	138	hat	771	HAT
Luangthongkum-2019-340-139	139	hawk, eagle	2683	EAGLE OR HAWK
Luangthongkum-2019-340-140	140	have, be, exist, stay, there is		
Luangthongkum-2019-340-141	141	head	1256	HEAD
Luangthongkum-2019-340-142	142	heart	1223	HEART
Luangthongkum-2019-340-143	143	heavy	1210	HEAVY
Luangthongkum-2019-340-144	144	hemp	2041	HEMP
Luangthongkum-2019-340-145	145	hip	1745	HIP
Luangthongkum-2019-340-146	146	hit hard (with a fist)	353	STRIKE
Luangthongkum-2019-340-147	147	horn	1393	HORN (ANATOMY)
Luangthongkum-2019-340-148	148	hornet	3261	HORNET
Luangthongkum-2019-340-149	149	horse	615	HORSE
Luangthongkum-2019-340-150	150	hundred	1634	HUNDRED
Luangthongkum-2019-340-151	151	husband	1200	HUSBAND
Luangthongkum-2019-340-152	152	ill, painful, sick	2103	PAINFUL OR SICK
Luangthongkum-2019-340-153	153	insect	620	INSECT
Luangthongkum-2019-340-154	154	intestines	1991	INTESTINES
Luangthongkum-2019-340-155	155	iron	621	IRON
Luangthongkum-2019-340-156	156	itchy	149	ITCHY
Luangthongkum-2019-340-157	157	kidney	489	KIDNEY
Luangthongkum-2019-340-158	158	leaf	628	LEAF
Luangthongkum-2019-340-159	159	leech (land~)	2273	LEECH
Luangthongkum-2019-340-160	160	leech (water~)	949	WATER LEECH
Luangthongkum-2019-340-161	161	left (side)	244	LEFT
Luangthongkum-2019-340-162	162	leg	1297	LEG
Luangthongkum-2019-340-163	163	lemur (flying~), flying squirrel		
Luangthongkum-2019-340-164	164	lick (v.)	319	LICK
Luangthongkum-2019-340-165	165	lie down, sleep	2116	REST OR SLEEP
Luangthongkum-2019-340-166	166	light (~weight)	1052	LIGHT (WEIGHT)
Luangthongkum-2019-340-167	167	linear measure of about 8-9 inches (a span)		
Luangthongkum-2019-340-168	168	linear measure of about half a yard (closed-hand)		
Luangthongkum-2019-340-169	169	linear measure of about half a yard (open-hand)		
Luangthongkum-2019-340-170	170	linear measure of about two yards		
Luangthongkum-2019-340-171	171	listen to	1608	LISTEN
Luangthongkum-2019-340-172	172	live, stay		
Luangthongkum-2019-340-173	173	liver	1224	LIVER
Luangthongkum-2019-340-174	174	long (of time)	418	FOR A LONG TIME
Luangthongkum-2019-340-175	175	long (of length), tall, high		
Luangthongkum-2019-340-176	176	look after (things)		
Luangthongkum-2019-340-177	177	loris		
Luangthongkum-2019-340-178	178	louse (chicken~), insect	1392	LOUSE
Luangthongkum-2019-340-179	179	louse (head~)	310	HEAD LOUSE
Luangthongkum-2019-340-180	180	lung	688	LUNG
Luangthongkum-2019-340-181	181	maggot		
Luangthongkum-2019-340-182	182	male (of animals), father		
Luangthongkum-2019-340-183	183	man, male	1554	MAN
Luangthongkum-2019-340-184	184	mango	2398	MANGO
Luangthongkum-2019-340-185	185	many, much	1198	MANY
Luangthongkum-2019-340-186	186	mat	195	MAT
Luangthongkum-2019-340-187	187	milipede		
Luangthongkum-2019-340-188	188	mole	1907	MOLE
Luangthongkum-2019-340-189	189	money	1559	MONEY
Luangthongkum-2019-340-190	190	monitor lizard (land~)	3017	MONITOR LIZARD
Luangthongkum-2019-340-191	191	monitor lizard (water~)		
Luangthongkum-2019-340-192	192	monkey	1350	MONKEY
Luangthongkum-2019-340-193	193	moon, month	2463	MOON OR MONTH
Luangthongkum-2019-340-194	194	mother, female (of animals)		
Luangthongkum-2019-340-195	195	mouse, rat	2139	MUROID (MOUSE OR RAT)
Luangthongkum-2019-340-196	196	mynah		
