ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	SPANISH	FRENCH	GERMAN	OMEGAWIKI
Samarin-1969-100-1	85e709f0-ac32-4599-b3bc-9efc76dedd10	I	1	I	yo	je	ich	5450
Samarin-1969-100-2	c33cdbcf-39e4-49d9-9c9d-543712621ccf	THOU	2	thou	tú	tu	du	5459
Samarin-1969-100-3	269e3d1a-7f8f-4d4c-a3a1-d1537636910c	WE	3	we	nosotros	nous	wir	5455
Samarin-1969-100-4	1bfe9b64-bca0-4ca3-9b51-1004c7c3a37e	THIS	4	this	este	celui-ci	dieser	5458
Samarin-1969-100-5	4bd7f1a6-4bc6-459f-aff4-761a2a7623f1	THAT	5	that	aquel	celui-là	jener	1149393
Samarin-1969-100-6	488f72b1-16e0-43ce-aaa3-304bcf88a4dc	WHO	6	who?	quién?	qui?	wer?	5490
Samarin-1969-100-7	ea1ccdce-6c38-4ca3-aa06-07ec9729d21a	WHAT	7	what?	qué?	quoi?	was?	5491
Samarin-1969-100-8	c7642cb8-377d-4db9-877e-32fef84534d7	NOT	8	not	no	ne…pas	nicht	5495
Samarin-1969-100-9	77481f8f-347f-489d-8afd-3e257120a0f6	ALL	9	all	todos	tous	alle	1173416
Samarin-1969-100-10	4e366c47-04e6-40c1-9113-0646108437a6	MANY	10	many	muchos	beaucoup	viele	5423
Samarin-1969-100-11	9ea1fb52-6f31-4514-9ecf-c8af02dc1eb7	ONE	11	one	uno	un	eins	6244
Samarin-1969-100-12	b8c2cf30-4437-42fe-b0d1-1e3d370eb41d	TWO	12	two	dos	deux	zwei	6248
Samarin-1969-100-13	366935cc-961d-4bac-a50b-578041591387	BIG	13	big	grande	grand	gross	5437
Samarin-1969-100-14	8f5d5298-0b47-4877-a522-bdd368d1a3f6	LONG	14	long	largo	long	lang	5438
Samarin-1969-100-15	757b999e-883b-4de8-b6a0-742d2475196b	SMALL	15	small	chico	petit	klein	5509
Samarin-1969-100-16	00068c23-9dec-44df-98ad-82ccefeb7c43	WOMAN	16	woman	mujer	femme	Weib/Frau	4165
Samarin-1969-100-17	b05994fd-36af-44e5-9193-c515ae1bc5d2	MAN	17	man	hombre	homme	Mann	6397
Samarin-1969-100-18	f32ebd1c-cf25-438e-85bb-8c0b1110508e	PERSON	18	person	gente	personne	Mensch	333730
Samarin-1969-100-19	28bff12a-4f3c-47a0-b6fe-018423e741e5	FISH	19	fish	pez	poisson	Fisch	1460
Samarin-1969-100-20	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	20	bird	pájaro	oiseau	Vogel	400
Samarin-1969-100-21	b2f874bc-ab83-4c15-9726-a511aab9e38f	DOG	21	dog	perro	chien	Hund	966
Samarin-1969-100-22	1172db7f-7426-42e0-abe6-566f6651c232	LOUSE	22	louse	piojo	pou	Laus	5980
Samarin-1969-100-23	4327c531-88e0-4368-9730-8614646b242c	TREE	23	tree	árbol	arbre	Baum	3854
Samarin-1969-100-24	32125c3f-70f1-43ed-9663-99b913c1ae4b	SEED	24	seed	semilla	semence	Samen	3361
Samarin-1969-100-25	e762f6b4-988c-40bf-81e3-f116cf2ee61c	LEAF	25	leaf	hoja	feuille	Blatt	2124
Samarin-1969-100-26	bede7711-8bc5-4142-ab29-b97434997e96	ROOT	26	root	raíz	racine	Wurzel	3269
Samarin-1969-100-27	cfa1694b-2377-44bf-836e-48b6429a6d39	BARK	27	bark	corteza	écorce	Rinde	5439
Samarin-1969-100-28	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	28	skin	piel	peau	Haut	3430
Samarin-1969-100-29	1bab3615-7fa1-4a5c-9f4d-6ece5c9a7a88	MEAT	29	flesh	carne	viande	Fleisch	2300	-
Samarin-1969-100-30	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	30	blood	sangre	sang	Blut	411
Samarin-1969-100-31	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	31	bone	hueso	os	Knochen	5983
Samarin-1969-100-32	cb1348b3-2488-4e9d-ab9f-37793d1f91fc	FAT, SUBSTANCE	32	grease	grasa	graisse	Fett	5624
Samarin-1969-100-33	f3ecbe1a-b17f-4e0d-bac8-e8fcd284598a	EGG	33	egg	huevo	oeuf	Ei	340828
Samarin-1969-100-34	43f35ebb-efc7-4cb8-9aa9-46df741b28c2	HORN, KERATINIZED SKIN	34	horn	cuerno	corne	Horn	5981
Samarin-1969-100-35	e77b4dd1-7f64-4312-b3eb-fde79f435bd5	TAIL	35	tail	cola/rabo	queue	Schwanz	5468
Samarin-1969-100-36	e68d0707-000c-40af-ab57-e0b3a02b23a3	FEATHER	36	feather	pluma	plume	Feder	5436
Samarin-1969-100-37	680c0e51-ffd9-4f1e-8922-79573f551a0d	HAIR	37	hair	cabello	cheveu	(Kopf-)Haare	446278
Samarin-1969-100-38	335a32cf-241b-4aec-89a3-addb2c4f3d15	HEAD	38	head	cabeza	tête	Kopf	5527
Samarin-1969-100-39	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	39	ear	oreja	oreille	Ohr	5510
Samarin-1969-100-40	95519ce3-89be-4eab-9d70-e4a66a14679a	EYE	40	eye	ojo	oeil	Auge	5511
Samarin-1969-100-41	23cad4b2-107d-4e9d-87e1-713d85f21963	NOSE	41	nose	nariz	nez	Nase	5471
Samarin-1969-100-42	c780cfa8-2b82-4235-b292-b58476612151	MOUTH	42	mouth	boca	bouche	Mund	332000
Samarin-1969-100-43	930fe9a4-75f0-43b3-83af-80f7edab2d5b	TOOTH	43	tooth	diente	dent	Zahn	5946
Samarin-1969-100-44	19f99c4f-8a24-42a1-9c6d-348f2294ff82	TONGUE	44	tongue	lengua	langue	Zunge	5440
Samarin-1969-100-45	d8627136-db5d-48de-a680-e9a719ff3653	NAIL, KERATIN	45	fingernail	garra/uña	griffe	Nagel	828575
Samarin-1969-100-46	06cd62a9-8918-44a8-969c-0fe5dfecafef	FOOT	46	foot	pie	pied	Fuss	5672
Samarin-1969-100-47	3902ffeb-e290-4791-a373-7d1c320121f1	KNEE	47	knee	rodilla	genou	Knie	5918
Samarin-1969-100-48	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	48	hand	mano	main	Hand	5616
Samarin-1969-100-49	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	49	belly	barriga	ventre	Bauch	5516
Samarin-1969-100-50	634d1187-3a1f-422a-b471-7bd362440466	NECK	50	neck	cuello	cou	Nacken	5823
