ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	SWADESH_100	SWADESH_200	SWADESH_GLOSS	WIKTIONARY	SPANISH	JACHONTOV_35	OMEGAWIKI
Heggarty-2005-150-65	1200	HUSBAND	65	husband	-	77	HUSBAND	husband	esposo	-	5432
Heggarty-2005-150-66	1225	DAY OF LIGHT	66	day	-	26	DAY (NOT NIGHT)	day	día	-	5477
Heggarty-2005-150-67	1233	NIGHT	67	night	92	105	NIGHT	night	noche	-	5486
Heggarty-2005-150-68	1343	SUN	68	sun	72	157	SUN	sun	sol	1	5850
Heggarty-2005-150-69	1313	MOON	69	moon	73	9096,1	MOON	moon	luna	1	5729
Heggarty-2005-150-70	1430	STAR	70	star	74	152	STAR	star	estrella	-	6041
Heggarty-2005-150-71	1388	SHADE	71	shadow	-	-	-	-	sombra	-	5966
Heggarty-2005-150-72	948	WATER	72	water	75	181	WATER	water	agua	1	4118
Heggarty-2005-150-73	666	RIVER	73	river	-	119	RIVER	river	río	-	3253
Heggarty-2005-150-74	639	MOUNTAIN	74	mountain	86	98	MOUNTAIN	mountain	cerro	-	2421
Heggarty-2005-150-75	221	FIRE	75	fire	82	48	FIRE	fire	fuego	1	1446
Heggarty-2005-150-76	778	SMOKE, EXHAUST	76	smoke	81	142	SMOKE	smoke	humo	-	3451
Heggarty-2005-150-77	646	ASH	77	ash	83	4	ASHES	ashes	ceniza	-	264
Heggarty-2005-150-78	857	STONE	78	stone	77	154	STONE	stone	piedra	1	3633
Heggarty-2005-150-79	671	SAND	79	sand	78	126	SAND	sand	arena	-	3305
Heggarty-2005-150-80	1369	GOLD	80	gold	-	-	-	-	oro	-	5912
Heggarty-2005-150-81	1253	RAINING	81	rain	76	115	TO RAIN	rain	lluvia	-	5523
Heggarty-2005-150-82	1489	CLOUD	82	cloud	80	21	CLOUD	cloud	nube	-	623
Heggarty-2005-150-83	960	WIND	83	wind	-	191	WIND (BREEZE)	wind	viento	1	4160
Heggarty-2005-150-84	1368	BREAD	84	bread	-	-	-	-	pan	-	5910
Heggarty-2005-150-85	634	MEAT	85	meat SW flesh	26	96	MEAT (FLESH)	meat	carne	-	2300
Heggarty-2005-150-86	1274	SALT	86	salt	-	125	SALT	salt	sal	1	5599
Heggarty-2005-150-87	1282	FAT, SUBSTANCE	87	fat (grease)	32	42	FAT (SUBSTANCE)	fat (noun)	grasa	-	5624
Heggarty-2005-150-88	714	SEED	88	seed	24	131	SEED	seed	semilla	-	3361
Heggarty-2005-150-89	906	TREE	89	tree	23	174	TREE	tree	árbol	-	3854
Heggarty-2005-150-90	670	ROOT	90	root	26	121	ROOT	root	raíz	-	3269
Heggarty-2005-150-91	1531	BRANCH	91	branch	-	-	-	-	rama	-	6343
Heggarty-2005-150-92	628	LEAF	92	leaf	25	86	LEAF	leaf	hoja	-	2124
Heggarty-2005-150-93	606	GRASS	93	grass	-	62	GRASS	grass	hierba, pasto	-	1675
Heggarty-2005-150-94	239	FLOWER	94	flower	-	53	FLOWER	flower	flor	-	1487
Heggarty-2005-150-95	1218	ROPE	95	rope	-	122	ROPE	rope	soga, cuerda	-	5465
Heggarty-2005-150-96	667	ROAD	96	road	85	120	ROAD	road	camino, carretera	-	3258
Heggarty-2005-150-97	163	BLACK	97	black	91	14	BLACK	black	negro	-	1341728
Heggarty-2005-150-98	1335	WHITE	98	white	90	187	WHITE	white	blanco	-	5825
Heggarty-2005-150-99	156	RED	99	red	87	116	RED	red	rojo	-	1333710
Heggarty-2005-150-100	1425	GREEN	100	green	88	63	GREEN	green	verde (color)	-	6032
Heggarty-2005-150-101	1424	YELLOW	101	yellow	89	200	YELLOW	yellow	amarillo	-	6031
Heggarty-2005-150-102	1202	BIG	102	big	13	11	BIG	big	grande	-	5437
Heggarty-2005-150-103	1265	HIGH	103	high up	-	-	-	-	arriba, en alto	-	5562
	1591	UP	103	high up	-	-	-	-	arriba, en alto	-	6531
Heggarty-2005-150-104	1246	SMALL	104	small	15	140	SMALL	small	pequeño	-	5509
Heggarty-2005-150-105	563	YOUNG OF WOMAN	105	young (female)	-	-	-	-	joven (mujer)	-	1581816
Heggarty-2005-150-106	564	YOUNG OF MAN	106	young (male)	-	-	-	-	joven (varón)	-	1581820
Heggarty-2005-150-107	565	OLD OF MAN	107	old (man)	-	108	-	-	viejo (varón)	-	1581826
Heggarty-2005-150-108	566	OLD OF WOMAN	108	old (woman)	-	108	-	-	vieja (mujer)	-	1581829
Heggarty-2005-150-109	1847	SICK	109	be sick	-	-	-	-	estar enfermo	-	7800
Heggarty-2005-150-110	1996	GET TIRED	110	tire	-	-	-	-	cansar(se)	-	955936
Heggarty-2005-150-111	1198	MANY	111	many	10	95	MANY	many	mucho(s)!!!, harto	-	5423
Heggarty-2005-150-112	1429	FULL	112	full	95	9059,1	FULL	full	lleno	1	6040
Heggarty-2005-150-113	1624	EMPTY	113	empty	-	-	-	-	vacío	-	6659
Heggarty-2005-150-114	1210	HEAVY	114	heavy	-	71	HEAVY	heavy	pesado	-	5451
Heggarty-2005-150-115	1052	LIGHT WEIGHT	115	light (not heavy)	-	-	-	-	liviano, ligero (que pesa poco)	-	452743
Heggarty-2005-150-116	1406	FAR	116	far (away)	-	41	FAR	far	lejos	-	5997
Heggarty-2005-150-117	1232	WARM	117	warm / hot SW	93	179	WARM (WEATHER)	warm	caliente	-	5485
	1286	HOT	117	warm / hot SW	93	179	WARM (WEATHER)	warm	caliente	-	5637
Heggarty-2005-150-118	1287	COLD OF TEMPERATURE	118	cold	94	22	COLD (WEATHER)	cold	fría	-	5639
Heggarty-2005-150-119	1398	DRY	119	dry	99	32	DRY (SUBSTANCE)	dry	seco	-	5989
Heggarty-2005-150-120	717	SWEET	120	sweet	-	-	-	-	dulce	-	336426
Heggarty-2005-150-121	1495	HAPPY	121	happy (be)	-	-	-	-	feliz, alegre	-	6246
Heggarty-2005-150-122	1231	NEW	122	new	96	104	NEW	new	nuevo	1	5484
Heggarty-2005-150-123	695	GO	123	go, to	-	-	-	-	ir	-	334831
Heggarty-2005-150-124	1446	COME	124	come, to	66	23	TO COME	come	venir	-	6056
Heggarty-2005-150-125	1443	WALK	125	walk, to	65	178	TO WALK	walk	caminar, andar	-	6054
Heggarty-2005-150-126	1442	STAND	126	stand, to	69	151	TO STAND	stand	estar en pie	-	6053
Heggarty-2005-150-127	1416	SIT	127	sit, to	68	136	TO SIT	sit	estar sentado	-	6022
Heggarty-2005-150-128	1439	SWIM	128	swim, to	63	159	TO SWIM	swim	nadar	-	6050
Heggarty-2005-150-129	1441	FLY, MOVE THROUGH AIR	129	fly, to	64	54	TO FLY	fly (v.)	volar	-	6052
Heggarty-2005-150-130	602	HIDE, CONCEAL	130	hide, to	-	-	-	-	esconder (algo)	-	161806
Heggarty-2005-150-131	1336	EAT	131	eat, to	55	37	TO EAT	eat	comer	-	5827
Heggarty-2005-150-132	1401	DRINK ACTION	132	drink, to	54	31	TO DRINK	drink	tomar, beber	-	5991
Heggarty-2005-150-133	1403	BITE	133	bite, to	56	13	TO BITE	bite	morder	-	5993
Heggarty-2005-150-134	1421	SUCK	134	suck, to	-	156	TO SUCK	suck	chupar, mamar	-	6027
Heggarty-2005-150-135	319	LICK	135	lick, to	-	-	-	-	lamer	-	1510483
Heggarty-2005-150-136	1440	SPIT	136	spit, to	-	147	TO SPIT	spit	escupir	-	6051
Heggarty-2005-150-137	1585	SLEEP	137	sleep, to	60	139	TO SLEEP	sleep	dormir	-	6519
Heggarty-2005-150-138	1422	BE ALIVE	138	live, to	-	90	TO LIVE	live	vivir	-	6028
Heggarty-2005-150-139	1494	DIE	139	die, to	61	27	TO DIE	die	morir	1	6245
Heggarty-2005-150-140	1409	SEE	140	see, to	57	130	TO SEE	see	ver	-	6003
Heggarty-2005-150-141	1408	HEAR	141	hear, to	58	69	TO HEAR	hear	oír	-	5999
Heggarty-2005-150-142	1410	KNOW	142	know, to	59	83	KNOW (FACTS)	know	saber	1	6004
Heggarty-2005-150-143	1415	THINK, REFLECT	143	think (over, about), to	-	166	TO THINK	think	pensar (cogitar)	-	6021
Heggarty-2005-150-144	1623	SPEAK	144	speak, to	-	-	-	-	hablar	-	6656
Heggarty-2005-150-145	1355	LAUGH	145	laugh, to	-	85	TO LAUGH	laugh	reír	-	5876
Heggarty-2005-150-146	1839	CRY	146	cry, to	-	-	-	-	llorar	-	7709
Heggarty-2005-150-147	1447	GIVE	147	give, to	70	60	TO GIVE	give	dar	1	6059
Heggarty-2005-150-148	1457	SEW	148	sew, to	-	132	TO SEW	sew	coser	-	6073
Heggarty-2005-150-149	1433	HIT	149	hit, to	-	73	TO HIT	hit	golpear	-	6044
Heggarty-2005-150-150	1452	PUSH	150	push, to	-	114	TO PUSH	push	empujar	-	6068
