ID	NUMBER	ENGLISH	CHINESE	WANG_2006_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2016-57-1	1	ash	灰	2	646	ASH
List-2016-57-2	2	back	背	103	1291	BACK
List-2016-57-3	3	belly	腹	4	1251	BELLY
List-2016-57-4	4	bird	鸟	6	937	BIRD
List-2016-57-5	5	bone	骨	10	1394	BONE
List-2016-57-6	6	claw	爪	13	72	CLAW
List-2016-57-7	7	cloud	云	14	1489	CLOUD
List-2016-57-8	8	day	天	111	1225	DAY (NOT NIGHT)
List-2016-57-9	9	dog	犬	18	2009	DOG
List-2016-57-10	10	ear	耳	21	1247	EAR
List-2016-57-11	11	earth	地	22	1228	EARTH (SOIL)
List-2016-57-12	12	eat	食	23	1336	EAT
List-2016-57-13	13	egg	卵	24	744	EGG
List-2016-57-14	14	eye	目	25	1248	EYE
List-2016-57-15	15	fire	火	27	221	FIRE
List-2016-57-16	16	flesh	肉	29	2615	FLESH OR MEAT
List-2016-57-17	17	flower	花	125	239	FLOWER
List-2016-57-18	18	fog	雾	126	249	FOG
List-2016-57-19	19	fruit	果	129	1507	FRUIT
List-2016-57-20	20	guts	肠	131	1334	GUTS
List-2016-57-21	21	hand	手	38	1277	HAND
List-2016-57-22	22	heart	心	41	1223	HEART
List-2016-57-23	23	horn	角	42	1393	HORN (ANATOMY)
List-2016-57-24	24	ice	冰	139	617	ICE
List-2016-57-25	25	knee	膝	46	1371	KNEE
List-2016-57-26	26	lake	湖	142	624	LAKE
List-2016-57-27	27	leaf	叶	48	628	LEAF
List-2016-57-28	28	leg	脚	145	1297	LEG
List-2016-57-29	29	liver	肝	50	1224	LIVER
List-2016-57-30	30	louse	虱	52	1392	LOUSE
List-2016-57-31	31	man	男	53	1554	MAN
List-2016-57-32	32	moon	月	55	1313	MOON
List-2016-57-33	33	mouth	口	57	674	MOUTH
List-2016-57-34	34	name	名	58	1405	NAME
List-2016-57-35	35	neck	颈	59	1333	NECK
List-2016-57-36	36	night	夜	61	1233	NIGHT
List-2016-57-37	37	nose	鼻	62	1221	NOSE
List-2016-57-38	38	path	路	65	2252	PATH
List-2016-57-39	39	person	人	66	683	PERSON
List-2016-57-40	40	river	江	156	666	RIVER
List-2016-57-41	41	rope	索, 绳	157	1218	ROPE
List-2016-57-42	42	sand	沙	71	671	SAND
List-2016-57-43	43	seed	种	74	714	SEED
List-2016-57-44	44	skin	皮	76	763	SKIN
List-2016-57-45	45	sky	天	167	1732	SKY
List-2016-57-46	46	smoke	烟	79	778	SMOKE (EXHAUST)
List-2016-57-47	47	snake	蛇	170	730	SNAKE
List-2016-57-48	48	star	星	81	1430	STAR
List-2016-57-49	49	stone	石	82	857	STONE
List-2016-57-50	50	sun	日	83	1343	SUN
List-2016-57-51	51	tail	尾	85	1220	TAIL
List-2016-57-52	52	tongue	舌	88	1205	TONGUE
List-2016-57-53	53	tooth	牙	89	1380	TOOTH
List-2016-57-54	54	water	水	93	948	WATER
List-2016-57-55	55	wing	翼	196	1257	WING
List-2016-57-56	56	woman	女	98	962	WOMAN
List-2016-57-57	57	worm	虫	199	1219	WORM
