ID	NUMBER	ID_IN_SOURCE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Migliazza-1972-714-1	1	1	able to be	972	BE ABLE
Migliazza-1972-714-2	2	2	above on top	57	ATOP
Migliazza-1972-714-3	3	3	accept tr. take	3898	ACCEPT
Migliazza-1972-714-4	4	4	accompany	1542	ACCOMPANY
Migliazza-1972-714-5	5	5	across over river	2670	ACROSS
Migliazza-1972-714-6	6	6	afraid fear	1419	FEAR (BE AFRAID)
Migliazza-1972-714-7	7	7	afternoon	1807	AFTERNOON
Migliazza-1972-714-8	8	8,9	again	204	AGAIN
Migliazza-1972-714-9	9	10	agouti	313	AGOUTI
Migliazza-1972-714-10	10	11	alert clever		
Migliazza-1972-714-11	11	12	alive	1422	BE ALIVE
Migliazza-1972-714-12	12	13,14	all	98	ALL
Migliazza-1972-714-13	13	15	almost		
Migliazza-1972-714-14	14	16	alone	1964	ALONE
Migliazza-1972-714-15	15	17	alright already		
Migliazza-1972-714-16	16	18	also		
Migliazza-1972-714-17	17	19	always	1676	ALWAYS
Migliazza-1972-714-18	18	20	always habitually		
Migliazza-1972-714-19	19	21	and (nouns)	1577	AND
Migliazza-1972-714-20	20	22	angry	1826	ANGRY
Migliazza-1972-714-21	21	23	animal edible		
Migliazza-1972-714-22	22	24,25	ant sp.	587	ANT
Migliazza-1972-714-23	23	26	argue	3302	QUARREL (VERB)
Migliazza-1972-714-24	24	27	arm branch		
Migliazza-1972-714-25	25	28	armadillo	1885	ARMADILLO
Migliazza-1972-714-26	26	29	arrive or go (home)		
Migliazza-1972-714-27	27	30	arrive	1387	ARRIVE
Migliazza-1972-714-28	28	31	arrow	977	ARROW
Migliazza-1972-714-29	29	32	as same as		
Migliazza-1972-714-30	30	33	ashes	646	ASH
Migliazza-1972-714-31	31	34	ask question	1309	ASK (INQUIRE)
Migliazza-1972-714-32	32	35	ask for beg	1828	ASK (REQUEST)
Migliazza-1972-714-33	33	36	assemble gather	7	GATHER
Migliazza-1972-714-34	34	37	avenge	495	REVENGE
Migliazza-1972-714-35	35	38	back	1291	BACK
Migliazza-1972-714-36	36	39	bad ugly		
Migliazza-1972-714-37	37	40	bake	183	BAKE
Migliazza-1972-714-38	38	41	bald	1125	BALD
Migliazza-1972-714-39	39	42	banana plantain	399	PLANTAIN
Migliazza-1972-714-40	40	43	bark of tree	1204	BARK
Migliazza-1972-714-41	41	44	basket most common	1539	BASKET
Migliazza-1972-714-42	42	45	bathe	138	BATHE
Migliazza-1972-714-43	43	46	be exist	1579	BE
Migliazza-1972-714-44	44	47	beard	678	BEARD
Migliazza-1972-714-45	45	48,49	become	1990	BECOME
Migliazza-1972-714-46	46	50	bee	665	BEE
Migliazza-1972-714-47	47	51	begin	1806	BEGIN
Migliazza-1972-714-48	48	52	behind	1686	BEHIND
Migliazza-1972-714-49	49	53	belch	2245	BELCH
Migliazza-1972-714-50	50	54	belly	1251	BELLY
Migliazza-1972-714-51	51	55	bend V.	2004	BEND
Migliazza-1972-714-52	52	56,57	bent	297	CROOKED
Migliazza-1972-714-53	53	58	beside	1816	BESIDE
Migliazza-1972-714-54	54	59	betray	1902	BETRAY
Migliazza-1972-714-55	55	60	big animate		
Migliazza-1972-714-56	56	61	big	1202	BIG
Migliazza-1972-714-57	57	62	bird	937	BIRD
Migliazza-1972-714-58	58	63	bite	1403	BITE
Migliazza-1972-714-59	59	64	bitter	887	BITTER
Migliazza-1972-714-60	60	65	black	163	BLACK
Migliazza-1972-714-61	61	66	blind	1653	BLIND
Migliazza-1972-714-62	62	67	blood	946	BLOOD
Migliazza-1972-714-63	63	68	blow	175	BLOW (OF WIND)
Migliazza-1972-714-64	64	69	boil	2492	BOIL (SOMETHING)
Migliazza-1972-714-65	65	70	bone	1394	BONE
Migliazza-1972-714-66	66	71	borrow	1823	BORROW
Migliazza-1972-714-67	67	72	bow	994	BOW
Migliazza-1972-714-68	68	73	brave ready fight		
Migliazza-1972-714-69	69	74	break	680	BREAK (DESTROY OR GET DESTROYED)
Migliazza-1972-714-70	70	75	breast	1402	BREAST
Migliazza-1972-714-71	71	76	breathe	1407	BREATHE
Migliazza-1972-714-72	72	77	bring	692	BRING
Migliazza-1972-714-73	73	78	burn V.	2102	BURN
Migliazza-1972-714-74	74	79	cacao	2442	COCOA BEAN
Migliazza-1972-714-75	75	80	calabash	3918	CALABASH
Migliazza-1972-714-76	76	81	call	1084	CALL
Migliazza-1972-714-77	77	82	calm still	258	CALM
Migliazza-1972-714-78	78	83	capybara	314	CAPYBARA
Migliazza-1972-714-79	79	84	carry in hands	412	CARRY IN HAND
