ID	NUMBER	MITTERHOFER_2013_300	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-94-1	1		ant	587	ANT
Mitterhofer-2013-94-2	2	20	arm	1673	ARM
Mitterhofer-2013-94-3	3	124	ash(es) (ma)	646	ASH
Mitterhofer-2013-94-4	4		ball	1845	BALL
Mitterhofer-2013-94-5	5		bamboo	1927	BAMBOO
Mitterhofer-2013-94-6	6	80	bark (of tree)	1204	BARK
Mitterhofer-2013-94-7	7		basket	1539	BASKET
Mitterhofer-2013-94-8	8		bean	832	BEAN
Mitterhofer-2013-94-9	9	77	bee	665	BEE
Mitterhofer-2013-94-10	10	38	honey	942	HONEY
Mitterhofer-2013-94-11	11		begin	1806	BEGIN
Mitterhofer-2013-94-12	12	28	blood	946	BLOOD
Mitterhofer-2013-94-13	13		book	963	BOOK
Mitterhofer-2013-94-14	14	51	son/boy	2391	BOY OR SON
Mitterhofer-2013-94-15	15		case	1465	BOX
Mitterhofer-2013-94-16	16	63	cat	1208	CAT
Mitterhofer-2013-94-17	17	99	chair	1476	CHAIR
Mitterhofer-2013-94-18	18	72	chicken	1318	CHICKEN
Mitterhofer-2013-94-19	19	161	cold (weather)	2483	COLD (OF WEATHER)
Mitterhofer-2013-94-20	20		corn	506	MAIZE
Mitterhofer-2013-94-21	21	69	cow	1007	COW
Mitterhofer-2013-94-22	22		door	1567	DOOR
Mitterhofer-2013-94-23	23	37	egg	744	EGG
Mitterhofer-2013-94-24	24	64	elephant	1290	ELEPHANT
Mitterhofer-2013-94-25	25	1	eye	1248	EYE
Mitterhofer-2013-94-26	26	2	eyebrow	1173	EYEBROW
Mitterhofer-2013-94-27	27		eyelid	17	EYELID
Mitterhofer-2013-94-28	28	90	field	212	FIELD
Mitterhofer-2013-94-29	29	23	finger	1303	FINGER
Mitterhofer-2013-94-30	30		(n) forest	420	FOREST
Mitterhofer-2013-94-31	31		fox	1312	FOX
Mitterhofer-2013-94-32	32		frog	503	FROG
Mitterhofer-2013-94-33	33	52	daughter/girl	2392	DAUGHTER OR GIRL
Mitterhofer-2013-94-34	34	68	goat	1502	GOAT
Mitterhofer-2013-94-35	35		goodness	1035	GOOD
Mitterhofer-2013-94-36	36		grandmother	1496	GRANDMOTHER
Mitterhofer-2013-94-37	37		happiness	1495	HAPPY
Mitterhofer-2013-94-38	38		hate	1607	HATE
Mitterhofer-2013-94-39	39	160	hot (weather)	1286	HOT
Mitterhofer-2013-94-40	40		help (N)	1897	HELP
Mitterhofer-2013-94-41	41		herd	1143	OVEN
Mitterhofer-2013-94-42	42		here	136	HERE
Mitterhofer-2013-94-43	43	91	house	1252	HOUSE
Mitterhofer-2013-94-44	44		hundred	1634	HUNDRED
Mitterhofer-2013-94-45	45		thousand	1843	THOUSAND
Mitterhofer-2013-94-46	46	104	hunger	1864	HUNGER
Mitterhofer-2013-94-47	47	43	husband	1200	HUSBAND
Mitterhofer-2013-94-48	48		insect	620	INSECT
Mitterhofer-2013-94-49	49		journey	2393	JOURNEY
Mitterhofer-2013-94-50	50		Bena		
Mitterhofer-2013-94-51	51		grain	605	GRAIN
Mitterhofer-2013-94-52	52	111	knife	1352	KNIFE
Mitterhofer-2013-94-53	53	141	lake	624	LAKE
Mitterhofer-2013-94-54	54	81	leaf	628	LEAF
Mitterhofer-2013-94-55	55	65	lion	1386	LION
Mitterhofer-2013-94-56	56		locust	810	LOCUST
Mitterhofer-2013-94-57	57	42	man	1554	MAN
Mitterhofer-2013-94-58	58		money	1559	MONEY
