ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Backstrom-1992-210a-105	105	212	father	1217	FATHER
Backstrom-1992-210a-106	106	212	mother	1216	MOTHER
Backstrom-1992-210a-107	107	212	older brother	1759	OLDER BROTHER
Backstrom-1992-210a-108	108	212	younger brother	1760	YOUNGER BROTHER
Backstrom-1992-210a-109	109	212	older sister	1758	OLDER SISTER
Backstrom-1992-210a-110	110	212	younger sister	1761	YOUNGER SISTER
Backstrom-1992-210a-111	111	212	son	1620	SON
Backstrom-1992-210a-112	112	212	daughter	1357	DAUGHTER
Backstrom-1992-210a-113	113	212	husband	1200	HUSBAND
Backstrom-1992-210a-114	114	212	wife	1199	WIFE
Backstrom-1992-210a-115	115	212	boy	1366	BOY
Backstrom-1992-210a-116	116	212	girl	1646	GIRL
Backstrom-1992-210a-117	117	212	day	1225	DAY (NOT NIGHT)
Backstrom-1992-210a-118	118	212	night	1233	NIGHT
Backstrom-1992-210a-119	119	212	morning	1339	MORNING
Backstrom-1992-210a-120	120	212	noon	12	MIDDAY
Backstrom-1992-210a-121	121	212	evening	1629	EVENING
Backstrom-1992-210a-122	122	212	yesterday	1174	YESTERDAY
Backstrom-1992-210a-123	123	212	today	1283	TODAY
Backstrom-1992-210a-124	124	212	tomorrow	1329	TOMORROW
Backstrom-1992-210a-125	125	212	week	1469	WEEK
Backstrom-1992-210a-126	126	212	month	1370	MONTH
Backstrom-1992-210a-127	127	212	year	1226	YEAR
Backstrom-1992-210a-128	128	212	old	1229	OLD
Backstrom-1992-210a-129	129	212	new	1231	NEW
Backstrom-1992-210a-130	130	212	good	1035	GOOD
Backstrom-1992-210a-131	131	212	bad	1292	BAD
Backstrom-1992-210a-132	132	212	wet	1726	WET
Backstrom-1992-210a-133	133	212	dry	1398	DRY
Backstrom-1992-210a-134	134	212	long	1203	LONG
Backstrom-1992-210a-135	135	212	short	1645	SHORT
Backstrom-1992-210a-136	136	212	hot	1286	HOT
Backstrom-1992-210a-137	137	212	cold	1287	COLD
Backstrom-1992-210a-138	138	212	right	1019	RIGHT
Backstrom-1992-210a-139	139	212	left	244	LEFT
Backstrom-1992-210a-140	140	212	near	1942	NEAR
Backstrom-1992-210a-141	141	212	far	1406	FAR
Backstrom-1992-210a-142	142	212	big	1202	BIG
Backstrom-1992-210a-143	143	212	small	1246	SMALL
Backstrom-1992-210a-144	144	212	heavy	1210	HEAVY
Backstrom-1992-210a-145	145	212	light	1052	LIGHT (WEIGHT)
Backstrom-1992-210a-146	146	212	above	1741	ABOVE
Backstrom-1992-210a-147	147	212	below	1485	BELOW OR UNDER
Backstrom-1992-210a-148	148	212	white	1335	WHITE
Backstrom-1992-210a-149	149	212	black	163	BLACK
Backstrom-1992-210a-150	150	212	red	156	RED
Backstrom-1992-210a-151	151	213	one	1493	ONE
Backstrom-1992-210a-152	152	213	two	1498	TWO
Backstrom-1992-210a-153	153	213	three	492	THREE
Backstrom-1992-210a-154	154	213	four	1500	FOUR
Backstrom-1992-210a-155	155	213	five	493	FIVE
Backstrom-1992-210a-156	156	213	six	1703	SIX
Backstrom-1992-210a-157	157	213	seven	1704	SEVEN
Backstrom-1992-210a-158	158	213	eight	1705	EIGHT
Backstrom-1992-210a-159	159	213	nine	1483	NINE
Backstrom-1992-210a-160	160	213	ten	1515	TEN
Backstrom-1992-210a-161	161	213	eleven	1706	ELEVEN
Backstrom-1992-210a-162	162	213	twelve	1707	TWELVE
Backstrom-1992-210a-163	163	213	twenty	1710	TWENTY
Backstrom-1992-210a-164	164	213	one hundred	1634	HUNDRED
Backstrom-1992-210a-165	165	213	who	1235	WHO
Backstrom-1992-210a-166	166	213	what	1236	WHAT
Backstrom-1992-210a-167	167	213	where	1237	WHERE
Backstrom-1992-210a-168	168	213	when	1238	WHEN
Backstrom-1992-210a-169	169	213	how many	822	HOW MANY
Backstrom-1992-210a-170	170	213	which	727	WHICH
Backstrom-1992-210a-171	171	213	this	1214	THIS
Backstrom-1992-210a-172	172	213	that	78	THAT
Backstrom-1992-210a-173	173	213	these	1214	THIS
Backstrom-1992-210a-174	174	213	those	78	THAT
Backstrom-1992-210a-175	175	213	same	200	SAME
Backstrom-1992-210a-176	176	213	different	2504	DIFFERENT
Backstrom-1992-210a-177	177	213	whole	2277	WHOLE
Backstrom-1992-210a-178	178	213	broken	588	BROKEN
Backstrom-1992-210a-179	179	213	few	1242	FEW
Backstrom-1992-210a-180	180	213	many	1198	MANY
Backstrom-1992-210a-181	181	213	all	98	ALL
Backstrom-1992-210a-182	182	213	to eat / eat!	1336	EAT
Backstrom-1992-210a-183	183	213	to bite / the dog bites / bit	1403	BITE
Backstrom-1992-210a-184	184	213	to be hungry / you are hungry	1533	BE HUNGRY
Backstrom-1992-210a-185	185	213	to drink / drink!	1401	DRINK
Backstrom-1992-210a-186	186	213	to be thirsty / you are thirsty	3474	BE THIRSTY
Backstrom-1992-210a-187	187	213	to sleep / sleep!	1585	SLEEP
Backstrom-1992-210a-188	188	213	to lie / lie down!	1411	LIE (REST)
Backstrom-1992-210a-189	189	213	to sit / sit!	1416	SIT
Backstrom-1992-210a-190	190	213	to give / give!	1447	GIVE
Backstrom-1992-210a-191	191	213	burn (the wood)!	141	BURN (SOMETHING)
Backstrom-1992-210a-192	192	213	to die / he died	1494	DIE
Backstrom-1992-210a-193	193	213	to kill / kill the bird	1417	KILL
Backstrom-1992-210a-194	194	213	to fly / the bird flies / flew	1441	FLY (MOVE THROUGH AIR)
Backstrom-1992-210a-195	195	213	walk!	1443	WALK
Backstrom-1992-210a-196	196	214	to run / run!	1519	RUN
Backstrom-1992-210a-197	197	214	to go / go!	695	GO
Backstrom-1992-210a-198	198	214	to come / come!	1446	COME
Backstrom-1992-210a-199	199	214	to speak / speak!	1623	SPEAK
Backstrom-1992-210a-200	200	214	to hear / hear! / listen!	3862	HEAR OR LISTEN
Backstrom-1992-210a-201	201	214	to look / look!	1819	LOOK
Backstrom-1992-210a-202	202	214	I	1209	I
Backstrom-1992-210a-203	203	214	you (informal)	1215	THOU
Backstrom-1992-210a-204	204	214	you (formal)	2844	YOU (FORMAL ADDRESS)
Backstrom-1992-210a-205	205	214	he	1211	HE
Backstrom-1992-210a-206	206	214	she	1834	SHE
Backstrom-1992-210a-207	207	214	we (inclusive)	1131	WE (INCLUSIVE)
Backstrom-1992-210a-208	208	214	we (exclusive)	1130	WE (EXCLUSIVE)
Backstrom-1992-210a-209	209	214	you (plural)	1213	YOU
Backstrom-1992-210a-210	210	214	they	817	THEY
