ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TOTAL	CORE
Chan-2019-133-1	1	1	1493	ONE	6393	true
Chan-2019-133-2	2	2	1498	TWO	5958	true
Chan-2019-133-3	3	3	492	THREE	5821	true
Chan-2019-133-4	4	4	1500	FOUR	5678	true
Chan-2019-133-5	5	5	493	FIVE	5601	true
Chan-2019-133-6	6	6	1703	SIX	5410	true
Chan-2019-133-7	7	7	1704	SEVEN	5350	true
Chan-2019-133-8	8	8	1705	EIGHT	5322	true
Chan-2019-133-9	9	9	1483	NINE	5312	true
Chan-2019-133-10	10	10	1515	TEN	5465	true
Chan-2019-133-11	11	11	1706	ELEVEN	4733	true
Chan-2019-133-12	12	12	1707	TWELVE	4627	true
Chan-2019-133-13	13	13	1708	THIRTEEN	4533	true
Chan-2019-133-14	14	14	2451	FOURTEEN	4515	true
Chan-2019-133-15	15	15	1709	FIFTEEN	4556	true
Chan-2019-133-16	16	16	2454	SIXTEEN	4468	true
Chan-2019-133-17	17	17	2453	SEVENTEEN	4455	true
Chan-2019-133-18	18	18	1713	EIGHTEEN	4446	true
Chan-2019-133-19	19	19	1714	NINETEEN	4462	true
Chan-2019-133-20	20	20	1710	TWENTY	4925	true
Chan-2019-133-21	21	21	1734	TWENTY ONE	4211	true
Chan-2019-133-22	22	22	3166	TWENTY TWO	4052	true
Chan-2019-133-23	23	23	3165	TWENTY THREE	3926	true
Chan-2019-133-24	24	24	1736	TWENTY FOUR	3955	true
Chan-2019-133-25	25	25	1738	TWENTY FIVE	3952	true
Chan-2019-133-26	26	26	3476	TWENTY SIX	3901	true
Chan-2019-133-27	27	27	3477	TWENTY SEVEN	3917	true
Chan-2019-133-28	28	28	3478	TWENTY EIGHT	3897	true
Chan-2019-133-29	29	29	3479	TWENTY NINE	3898	true
Chan-2019-133-30	30	30	1715	THIRTY	4342	true
Chan-2019-133-31	31	31	3480	THIRTY ONE	28	false
Chan-2019-133-32	32	32	3481	THIRTY TWO	9	false
Chan-2019-133-33	33	33	3482	THIRTY THREE	7	false
Chan-2019-133-34	34	34	3483	THIRTY FOUR	3	false
Chan-2019-133-35	35	35	3484	THIRTY FIVE	4	false
Chan-2019-133-36	36	36	3485	THIRTY SIX	6	false
Chan-2019-133-37	37	37	3486	THIRTY SEVEN	2	false
Chan-2019-133-38	38	38	3487	THIRTY EIGHT	1	false
Chan-2019-133-39	39	39	3488	THIRTY NINE	6	false
Chan-2019-133-40	40	40	1716	FORTY	4351	true
Chan-2019-133-41	41	41	3556	FORTY ONE	7	false
Chan-2019-133-42	43	43	3489	FORTY THREE	3	false
Chan-2019-133-43	44	44	3490	FORTY FOUR	1	false
Chan-2019-133-44	45	45	3491	FORTY FIVE	1	false
Chan-2019-133-45	46	46	3558	FORTY SIX	1	false
Chan-2019-133-46	48	48	3492	FORTY EIGHT	2	false
Chan-2019-133-47	49	49	3560	FORTY NINE	2	false
Chan-2019-133-48	50	50	1717	FIFTY	4239	true
Chan-2019-133-49	51	51	3561	FIFTY ONE	2	false
Chan-2019-133-50	52	52	3562	FIFTY TWO	1	false
Chan-2019-133-51	53	53	3493	FIFTY THREE	2	false
Chan-2019-133-52	55	55	3494	FIFTY FIVE	3	false
Chan-2019-133-53	60	60	1718	SIXTY	4235	true
Chan-2019-133-54	61	61	3568	SIXTY ONE	2	false
Chan-2019-133-55	62	62	3569	SIXTY TWO	1	false
Chan-2019-133-56	63	63	3495	SIXTY THREE	1	false
Chan-2019-133-57	65	65	3571	SIXTY FIVE	1	false
Chan-2019-133-58	66	66	3572	SIXTY SIX	1	false
Chan-2019-133-59	70	70	1721	SEVENTY	4202	true
Chan-2019-133-60	71	71	3576	SEVENTY ONE	3	false
Chan-2019-133-61	72	72	3496	SEVENTY TWO	3	false
Chan-2019-133-62	73	73	3497	SEVENTY THREE	2	false
Chan-2019-133-63	75	75	3578	SEVENTY FIVE	1	false
Chan-2019-133-64	77	77	3580	SEVENTY SEVEN	1	false
Chan-2019-133-65	79	79	3582	SEVENTY NINE	1	false
Chan-2019-133-66	80	80	1722	EIGHTY	4233	true
Chan-2019-133-67	81	81	3583	EIGHTY ONE	3	false
Chan-2019-133-68	83	83	3498	EIGHTY THREE	2	false
Chan-2019-133-69	87	87	3588	EIGHTY SEVEN	1	false
Chan-2019-133-70	88	88	3589	EIGHTY EIGHT	1	false
Chan-2019-133-71	89	89	3590	EIGHTY NINE	1	false
Chan-2019-133-72	90	90	1724	NINETY	4170	true
Chan-2019-133-73	91	91	3499	NINETY ONE	6	false
Chan-2019-133-74	96	96	3500	NINETY SIX	1	false
Chan-2019-133-75	98	98	3596	NINETY EIGHT	1	false
Chan-2019-133-76	99	99	3501	NINETY NINE	7	false
Chan-2019-133-77	100	100	1634	HUNDRED	4778	true
Chan-2019-133-78	101	101	3502	ONE HUNDRED AND ONE	21	false
Chan-2019-133-79	102	102	3770	ONE HUNDRED AND TWO	3	false
Chan-2019-133-80	103	103	3783	ONE HUNDRED AND THREE	3	false
Chan-2019-133-81	108	108	3784	ONE HUNDRED AND EIGHT	1	false
Chan-2019-133-82	110	110	3503	ONE HUNDRED AND TEN	3	false
Chan-2019-133-83	111	111	3771	ONE HUNDRED AND ELEVEN	1	false
Chan-2019-133-84	120	120	3504	ONE HUNDRED AND TWENTY	16	false
Chan-2019-133-85	123	123	3164	ONE HUNDRED AND TWENTY THREE	4	false
Chan-2019-133-86	133	133	3505	ONE HUNDRED AND THIRTY THREE	1	false
