ID	NUMBER	ENGLISH	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	DEFINITION
List-2015-250-1	1	above	location, adjective or noun	731	1741	ABOVE	In or to a higher place; higher than; on or over the upper surface.
List-2015-250-2	2	all	characterisation, quantity	962	98	ALL	The totality of.
List-2015-250-3	3	the ant	animal	365	587	ANT	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.
List-2015-250-4	4	the armpit	body	92	1886	ARMPIT	The hollow under the upper part of the arm at the shoulder.
List-2015-250-5	5	bad	characterisation, character	1053	1292	BAD	Not good; unfavorable; negative.
List-2015-250-6	6	the bamboo	plant, food	389	1927	BAMBOO	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.
List-2015-250-7	7	the barley (tibetan or highland)	plant	411	932	BARLEY	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.
List-2015-250-8	8	to be alive	process	1087	1422	BE ALIVE	To be alive; to have a life.
List-2015-250-9	9	the belly	body	96	1251	BELLY	The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.
List-2015-250-10	10	below, under	location, adjective or noun	732	1485	BELOW OR UNDER	Lower in spatial position than.
List-2015-250-11	11	big	characterisation, quantity	964	1202	BIG	Of a great size; the weakest sense of great size.
List-2015-250-12	12	the bird	animal	326	937	BIRD	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.
List-2015-250-13	13	to bite	action	1753	1403	BITE	To cut off a piece by clamping the teeth.
List-2015-250-14	14	black	characterization, color	1005	163	BLACK	Dark and colourless; not reflecting visible light.
List-2015-250-15	15	the blood	body	129	946	BLOOD	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.
List-2015-250-16	16	to blow (of wind)	process	1738	175	BLOW (OF WIND)	(Of the wind or a current of air) To move.
List-2015-250-17	17	the body hair (hair or fur)		266	189	BODY HAIR	The terminal hair that develops on the human body during and after puberty.
List-2015-250-18	18	the bone	body	133	1394	BONE	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.
List-2015-250-19	19	the branch	body, plant	374	1513	THINK (BELIEVE)	To have as opinion, belief, or idea.
List-2015-250-20	20	the breast (female)	body	94	1402	BREAST	The fleshy organ on the chest of a sexually mature human female containing mammary glands.
List-2015-250-21	21	to burn [intransitive]	process	1269	1428	BURNING	To be consumed by fire.
List-2015-250-22	22	to buy	action	1516	1869	BUY	To obtain in exchange for money or goods.
List-2015-250-23	23	to chew	action	1424	321	CHEW	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.
List-2015-250-24	24	the child (young human)	kinship	169	1304	CHILD (YOUNG HUMAN)	A person below the age of puberty.
List-2015-250-25	25	the cloud	nature	7	1489	CLOUD	Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.
List-2015-250-26	26	cold (of temperature)	characterization, weather	1063	1287	COLD	Having a low temperature.
List-2015-250-27	27	to come	action	1491	1446	COME	To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.
List-2015-250-28	28	correct (right)	characterization, character	1045	1725	CORRECT (RIGHT)	That are in accordance with fact.
List-2015-250-29	29	to count	action	1640	1420	COUNT	To enumerate the digits of one's numeral system.
List-2015-250-30	30	to cry (weep)	action	1485	1839	CRY	To shed tears due to the impact of an emotion.
List-2015-250-31	31	dark	characterisation, state	1013	706	DARK	Having an absolute or (more often) relative lack of light.
List-2015-250-32	32	the daughter	kinship	222	1357	DAUGHTER	An animal's female offspring (including that of a human).
List-2015-250-33	33	the dew	nature	15	1977	DEW	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.
List-2015-250-34	34	to die	process	1651	1494	DIE	To cease to live.
List-2015-250-35	35	to dig	action	1698	1418	DIG	To move earth, rocks, etc. out of the way, usually to create a hole.
List-2015-250-36	36	dirty	characterisation, state	1086	1230	DIRTY	Covered with or containing unpleasant substances such as dirt or grime.
List-2015-250-37	37	the dog	nature	289	2009	DOG	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.
List-2015-250-38	38	the dream	mind	699	2374	DREAM	Successions of images, ideas, emotions, and sensations that occur usually involuntarily in the mind during certain stages of sleep. [W]
List-2015-250-39	39	to drink	action	1370	1401	DRINK	To consume a liquid through the mouth.
List-2015-250-40	40	dry	characterisation, state	1028	1398	DRY	(Almost) free from liquid or moisture.
List-2015-250-41	41	the dust	nature	45	2	DUST	Any kind of solid material divided in particles of very small size.
List-2015-250-42	42	the ear	body	81	1247	EAR	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.
List-2015-250-43	43	early	time	1018	672	EARLY	Before the expected time.
List-2015-250-44	44	the earth (soil)	nature	40	1228	EARTH (SOIL)	The soft and loose material forming a great part of the Earth surface.
List-2015-250-45	45	the earthworm	animal	363	2350	EARTHWORM	A tube-shaped, segmented worm found in the phylum Annelida. [W]
List-2015-250-46	46	to eat	action	1198	1336	EAT	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.
List-2015-250-47	47	the egg	animal, product	450	744	EGG	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.
List-2015-250-48	48	eight	number	804	1705	EIGHT	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.
List-2015-250-49	49	the eye	body	79	1248	EYE	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.
List-2015-250-50	50	far	characterisation, location	974	1406	FAR	Having a large intervening distance with regard to something.
List-2015-250-51	51	the father	kinship	218	1217	FATHER	A male parent.
List-2015-250-52	52	the feather	animal, product	299	1201	FEATHER	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.
List-2015-250-53	53	to fight	action	1234	1423	FIGHT	To be involved in a physical confrontation.
List-2015-250-54	54	the fire	nature	18	221	FIRE	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
List-2015-250-55	55	firewood	object, utility	534	10	FIREWOOD	Wood intended to be burned.
List-2015-250-56	56	the fish	animal	351	227	FISH	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).
List-2015-250-57	57	five	number	801	493	FIVE	The fifth natural number (5).
List-2015-250-58	58	the flea	animal	355	232	FLEA	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)
List-2015-250-59	59	to float	process	1553	1574	FLOAT	To move or run smoothly and continously as a fluid.
List-2015-250-60	60	to flow	process	1502	2003	FLOW	To move as a fluid from one position to another (e.g. of people).
List-2015-250-61	61	the flower	plant	377	239	FLOWER	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.
List-2015-250-62	62	to fly (move through air)	action	1318	1441	FLY (MOVE THROUGH AIR)	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.
List-2015-250-63	63	the fog	nature	16	249	FOG	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.
List-2015-250-64	64	the foot	body	103	1301	FOOT	The part of a human’s body below the ankle that is used in order to stand and walk.
