ID	NUMBER	ENGLISH	ANNOTATION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ringe-2002-333-137	135	say		1458	SAY
Ringe-2002-333-138	136	scratch		1436	SCRATCH
Ringe-2002-333-139	137	sea		1474	SEA
Ringe-2002-333-140	138	see		1409	SEE
Ringe-2002-333-141	139	seed		714	SEED
Ringe-2002-333-142	140	sew		1457	SEW
Ringe-2002-333-143	141	sharp		1396	SHARP
Ringe-2002-333-144	142	short		1645	SHORT
Ringe-2002-333-145	143	sing		1261	SING
Ringe-2002-333-146	144	sit	stative	1416	SIT
Ringe-2002-333-147	145	skin	human: inner skin; outer skin	763	SKIN
Ringe-2002-333-148	146	sky		1732	SKY
Ringe-2002-333-149	147	sleep		1585	SLEEP
Ringe-2002-333-150	148	small		1246	SMALL
Ringe-2002-333-151	149	smell (intr.)		1587	SMELL (STINK)
Ringe-2002-333-152	150	smoke		778	SMOKE (EXHAUST)
Ringe-2002-333-153	151	smooth		1234	SMOOTH
Ringe-2002-333-154	152	snake		730	SNAKE
Ringe-2002-333-155	153	snow (nn.)		784	SNOW
Ringe-2002-333-156	154	some (pl.)		1241	SOME
Ringe-2002-333-157	155	spit (vb.)		1440	SPIT
Ringe-2002-333-158	156	split		1437	SPLIT
Ringe-2002-333-159	157	squeeze		1414	SQUEEZE
Ringe-2002-333-160	158	stand	stative	1442	STAND
Ringe-2002-333-161	159	star		1430	STAR
Ringe-2002-333-162	160	stick		1295	STICK
Ringe-2002-333-163	161	stone		857	STONE
Ringe-2002-333-164	162	straight		1404	STRAIGHT
Ringe-2002-333-165	163	suck		1421	SUCK
Ringe-2002-333-166	164	sun		1343	SUN
Ringe-2002-333-167	165	swell		1573	SWELL
Ringe-2002-333-168	166	swim		1439	SWIM
Ringe-2002-333-169	167	tail		1220	TAIL
Ringe-2002-333-170	168	that		78	THAT
Ringe-2002-333-171	169	there		1937	THERE
Ringe-2002-333-172	170	they		817	THEY
Ringe-2002-333-173	171	thick	dimension (not density)	1244	THICK
Ringe-2002-333-174	172	thin	dimension (not density)	2308	THIN
Ringe-2002-333-175	173	think	ratocinate, not opine	1415	THINK (REFLECT)
Ringe-2002-333-176	174	this		1214	THIS
Ringe-2002-333-177	175	thou		1215	THOU
Ringe-2002-333-178	175a	thee (acc.)		2304	THEE (OBLIQUE CASE OF YOU)
Ringe-2002-333-179	176	three		492	THREE
Ringe-2002-333-180	177	throw		1456	THROW
Ringe-2002-333-181	178	tie		1917	TIE
Ringe-2002-333-182	179	tongue		1205	TONGUE
Ringe-2002-333-183	180	tooth		1380	TOOTH
Ringe-2002-333-184	181	tree		906	TREE
Ringe-2002-333-185	182	turn (intr.)		1588	TURN
Ringe-2002-333-186	183	two		1498	TWO
Ringe-2002-333-187	184	vomit		1278	VOMIT
Ringe-2002-333-188	185	walk		1443	WALK
Ringe-2002-333-189	186	warm		1232	WARM
Ringe-2002-333-190	187	wash	body or body parts; clothes	1453	WASH
Ringe-2002-333-191	188	water		948	WATER
Ringe-2002-333-192	189	we		1130	WE (EXCLUSIVE)
Ringe-2002-333-193	189a	us (acc.)		2310	US (OBLIQUE CASE OF WE)
Ringe-2002-333-194	190	wet		1726	WET
Ringe-2002-333-195	191	what		1236	WHAT
Ringe-2002-333-196	192	when		1238	WHEN
Ringe-2002-333-197	193	where		1237	WHERE
Ringe-2002-333-198	194	white		1335	WHITE
Ringe-2002-333-199	195	who		1235	WHO
Ringe-2002-333-200	196	wide		1243	WIDE
Ringe-2002-333-201	197	wife		1199	WIFE
Ringe-2002-333-202	198	wind (nn.)		960	WIND
Ringe-2002-333-203	199	wing		1257	WING
Ringe-2002-333-204	200	wipe		1454	WIPE
Ringe-2002-333-205	201	with		1340	WITH
Ringe-2002-333-206	202	woman		962	WOMAN
Ringe-2002-333-207	203	woods		420	FOREST
Ringe-2002-333-208	204	worm		1219	WORM
Ringe-2002-333-209	205	ye		1213	YOU
Ringe-2002-333-210	205a	you (acc.)		2312	YOU (OBLIQUE CASE OF YOU)
Ringe-2002-333-211	206	year		1226	YEAR
Ringe-2002-333-212	207	yellow		1424	YELLOW
Ringe-2002-333-213	301	arm		1673	ARM
Ringe-2002-333-214	302	arrow		977	ARROW
Ringe-2002-333-215	303	ask	ask questions (rather than request)	1828	ASK, REQUEST
Ringe-2002-333-216	304	autumn		1276	AUTUMN
Ringe-2002-333-217	305	be awake		825	AWAKE
Ringe-2002-333-218	306	ax		677	AXE
Ringe-2002-333-219	307	axle		1769	AXLE
Ringe-2002-333-220	308	be		1579	BE
Ringe-2002-333-221	309	bear (nn.)		1820	BEAR
Ringe-2002-333-222	310	beard		678	BEARD
Ringe-2002-333-223	311	bee		665	BEE
Ringe-2002-333-224	312	be born		1090	BE BORN
Ringe-2002-333-225	313	bow	weapon for shooting	994	BOW
Ringe-2002-333-226	314	branch		1531	BRANCH
Ringe-2002-333-227	315	break (tr.)		2558	BREAK (CLEAVE)
Ringe-2002-333-228	316	bronze		2313	BRONZE
Ringe-2002-333-229	317	brother		1262	BROTHER
Ringe-2002-333-230	318	brother-in-law	husband's brother	2314	BROTHER-IN-LAW
Ringe-2002-333-231	319	bull		1008	BULL
Ringe-2002-333-232	320	buy		1869	BUY
Ringe-2002-333-233	321	carry		700	CARRY
Ringe-2002-333-234	322	cattle (pl.)		1153	CATTLE
Ringe-2002-333-235	323	collect (tr.)		7	GATHER
Ringe-2002-333-236	324	comb (nn.)		1475	COMB
Ringe-2002-333-237	325	cook (vb.)		1100	COOK (SOMETHING)
Ringe-2002-333-238	326	cow		1007	COW
Ringe-2002-333-239	327	darkness		11	DARKNESS
Ringe-2002-333-240	328	daughter		1357	DAUGHTER
Ringe-2002-333-241	329	daughter-in-law		1057	DAUGHTER-IN-LAW
Ringe-2002-333-242	330	door		1567	DOOR
Ringe-2002-333-243	331	drive (tr.)		741	DRIVE
Ringe-2002-333-244	332	duck		1360	DUCK
Ringe-2002-333-245	333	eight		1705	EIGHT
Ringe-2002-333-246	334	elbow		981	ELBOW
Ringe-2002-333-247	335	eyebrow		1173	EYEBROW
Ringe-2002-333-248	336	father-in-law	husband's father	1055	FATHER-IN-LAW
Ringe-2002-333-249	337	field [plowed]		212	FIELD
Ringe-2002-333-250	338	finger		1303	FINGER
Ringe-2002-333-251	339	fly (nn.)		1504	FLY (INSECT)
Ringe-2002-333-252	340	follow		1085	FOLLOW
Ringe-2002-333-253	341	free		2316	FREE
Ringe-2002-333-254	342	furrow		1794	FURROW
Ringe-2002-333-255	343	go		695	GO
Ringe-2002-333-256	344	goat		1502	GOAT
Ringe-2002-333-257	345	gold		1369	GOLD
Ringe-2002-333-258	346	goose		1187	GOOSE
Ringe-2002-333-259	347	grain (coll.)		605	GRAIN
Ringe-2002-333-260	348	grind		1033	GRIND
Ringe-2002-333-261	349	half (adj.)		816	HALF
Ringe-2002-333-262	350	have		773	HAVE
Ringe-2002-333-263	351	hide (vb.)		602	HIDE (CONCEAL)
Ringe-2002-333-264	352	honey		942	HONEY
Ringe-2002-333-265	353	horse		615	HORSE
Ringe-2002-333-266	354	house		1252	HOUSE
Ringe-2002-333-267	355	hundred		1634	HUNDRED
Ringe-2002-333-268	356	jaw		798	JAW
Ringe-2002-333-269	357	join		1743	JOIN
Ringe-2002-333-270	358	king		1508	KING
Ringe-2002-333-271	359	knot		760	KNOT
Ringe-2002-333-272	360	lamb		820	LAMB
Ringe-2002-333-273	361	lead (vb.)		43	LEAD (GUIDE)
Ringe-2002-333-274	362	leave (tr.)		1752	LEAVE
Ringe-2002-333-275	363	lick		319	LICK
Ringe-2002-333-276	364	lift		501	LIFT
Ringe-2002-333-277	365	light (nn.)		630	LIGHT (RADIATION)
Ringe-2002-333-278	366	lip		478	LIP
Ringe-2002-333-279	367	livestock		631	LIVESTOCK
Ringe-2002-333-280	368	make		734	MAKE
Ringe-2002-333-281	369	middle (adj.)		1093	MIDDLE
Ringe-2002-333-282	370	milk		635	MILK (FLUID)
Ringe-2002-333-283	371	mother-in-law	husband's mother	1050	MOTHER-IN-LAW
Ringe-2002-333-284	372	mouse		1491	MOUSE
Ringe-2002-333-285	373	nail [of finger]		1258	FINGERNAIL
Ringe-2002-333-286	374	naked		590	NAKED
Ringe-2002-333-287	375	navel		1838	NAVEL
Ringe-2002-333-288	376	nine		1483	NINE
Ringe-2002-333-289	377	now		1376	NOW
Ringe-2002-333-290	378	orphan		1149	ORPHAN
Ringe-2002-333-291	379	ox	draft bovine (usually castrated)	1169	OX
Ringe-2002-333-292	380	pig		1337	PIG
Ringe-2002-333-293	381	plow (vb.)		1921	PLOUGH
Ringe-2002-333-294	382	pour		1487	POUR
Ringe-2002-333-295	383	put		998	PUT
Ringe-2002-333-296	384	remember		707	REMEMBER
Ringe-2002-333-297	385	roof		769	ROOF
Ringe-2002-333-298	386	row (vb.)		1849	ROW
Ringe-2002-333-299	387	send		1127	SEND
Ringe-2002-333-300	388	seven		1704	SEVEN
Ringe-2002-333-301	389	shadow		1388	SHADE
Ringe-2002-333-302	390	sheep		1331	SHEEP
Ringe-2002-333-303	391	ship		740	SHIP
Ringe-2002-333-304	392	shoulder		1482	SHOULDER
Ringe-2002-333-305	393	silver		759	SILVER
Ringe-2002-333-306	394	sister		1263	SISTER
Ringe-2002-333-307	395	sister-in-law	husband's sister	2317	SISTER-IN-LAW
Ringe-2002-333-308	396	six		1703	SIX
Ringe-2002-333-309	397	son		1620	SON
Ringe-2002-333-310	398	son-in-law		1056	SON-IN-LAW
Ringe-2002-333-311	399	spin		121	SPIN
Ringe-2002-333-312	400	spring [season]		1537	SPRINGTIME
Ringe-2002-333-313	401	stay	stay in a place (not continue to exist)	987	REMAIN
Ringe-2002-333-314	402	steal		713	STEAL
Ringe-2002-333-315	403	summer		1342	SUMMER
Ringe-2002-333-316	404	sweat (vb.)		126	SWEAT (PERSPIRE)
Ringe-2002-333-317	405	sweet		717	SWEET
Ringe-2002-333-318	406	ten		1515	TEN
Ringe-2002-333-319	407	thousand		1843	THOUSAND
Ringe-2002-333-320	408	twenty		1710	TWENTY
Ringe-2002-333-321	409	udder		154	UDDER
Ringe-2002-333-322	410	wasp		1517	WASP
Ringe-2002-333-323	411	wear [clothes]		976	WEAR
Ringe-2002-333-324	412	weave		133	WEAVE
Ringe-2002-333-325	413	wheel		710	WHEEL
Ringe-2002-333-326	414	widow		1756	WIDOW
Ringe-2002-333-327	415	winter		1471	WINTER
Ringe-2002-333-328	416	wolf		522	WOLF
Ringe-2002-333-329	417	wood		1803	WOOD
Ringe-2002-333-330	418	wool		964	WOOL
Ringe-2002-333-331	419	yoke		14	YOKE
Ringe-2002-333-332	420	young		1207	YOUNG
Ringe-2002-333-333	421	tear [noun]		1651	TEAR (OF EYE)
