ID	NUMBER	ENGLISH	ANNOTATION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ringe-2002-333-1	1	all (pl.)		98	ALL
Ringe-2002-333-2	2	and		1577	AND
Ringe-2002-333-3	3	animal		619	ANIMAL
Ringe-2002-333-4	4	ashes		646	ASH
Ringe-2002-333-5	5	at		1461	AT
Ringe-2002-333-6	6	back (nn.)		1291	BACK
Ringe-2002-333-7	7	bad		1292	BAD
Ringe-2002-333-8	8	bark (nn.)		1204	BARK
Ringe-2002-333-9	9	because		1157	BECAUSE
Ringe-2002-333-10	10	belly	external; internal	1251	BELLY
Ringe-2002-333-11	11	big		1202	BIG
Ringe-2002-333-12	12	bird		937	BIRD
Ringe-2002-333-13	13	bite		1403	BITE
Ringe-2002-333-14	14	black		163	BLACK
Ringe-2002-333-15	15	blood		946	BLOOD
Ringe-2002-333-16	16	blow [wind]		175	BLOW (OF WIND)
Ringe-2002-333-17	17	bone		1394	BONE
Ringe-2002-333-18	18	breast [wmn's]		1402	BREAST
Ringe-2002-333-19	19	breathe	breathe in; breathe out	1407	BREATHE
Ringe-2002-333-20	20	burn (intr.)		1428	BURNING
Ringe-2002-333-21	21	child		2099	CHILD
Ringe-2002-333-22	22	claw		72	CLAW
Ringe-2002-333-23	23	cloud		1489	CLOUD
Ringe-2002-333-24	24	cold		1287	COLD
Ringe-2002-333-25	25	come		1446	COME
Ringe-2002-333-26	26	count		1420	COUNT
Ringe-2002-333-27	27	cut		1432	CUT
Ringe-2002-333-28	28	day [24 hrs]		1260	DAY (24 HOURS)
Ringe-2002-333-29	28a	day	period of daylight	1225	DAY (NOT NIGHT)
Ringe-2002-333-30	29	die		1494	DIE
Ringe-2002-333-31	30	dig		1418	DIG
Ringe-2002-333-32	31	dirty		1230	DIRTY
Ringe-2002-333-33	32	dog		2009	DOG
Ringe-2002-333-34	33	drink		1401	DRINK
Ringe-2002-333-35	34	dry		1398	DRY
Ringe-2002-333-36	35	dull		379	BLUNT
Ringe-2002-333-37	36	dust		2	DUST
Ringe-2002-333-38	37	ear		1247	EAR
Ringe-2002-333-39	38	earth	most general term available	2159	GROUND
Ringe-2002-333-40	39	eat		1336	EAT
Ringe-2002-333-41	40	egg		744	EGG
Ringe-2002-333-42	41	eye		1248	EYE
Ringe-2002-333-43	42	fall		1280	FALL
Ringe-2002-333-44	43	far (adv.)		1406	FAR
Ringe-2002-333-45	44	fat (nn.)		323	FAT (ORGANIC SUBSTANCE)
Ringe-2002-333-46	45	father		1217	FATHER
Ringe-2002-333-47	46	fear (vb.)		1419	FEAR (BE AFRAID)
Ringe-2002-333-48	47	feather		1201	FEATHER
Ringe-2002-333-49	48	few		1242	FEW
Ringe-2002-333-50	49	fight		1423	FIGHT
Ringe-2002-333-51	50	fire		221	FIRE
Ringe-2002-333-52	51	fish		227	FISH
Ringe-2002-333-53	52	five		493	FIVE
Ringe-2002-333-54	53	float		1574	FLOAT
Ringe-2002-333-55	54	flow		2003	FLOW
Ringe-2002-333-56	55	flower		239	FLOWER
Ringe-2002-333-57	56	fly (vb.)		1441	FLY (MOVE THROUGH AIR)
Ringe-2002-333-58	57	fog		249	FOG
Ringe-2002-333-59	58	foot		1301	FOOT
Ringe-2002-333-60	59	four		1500	FOUR
Ringe-2002-333-61	60	freeze (intr.)		1431	FREEZE
Ringe-2002-333-62	61	fruit		1507	FRUIT
Ringe-2002-333-63	62	full		1429	FULL
Ringe-2002-333-64	63	give		1447	GIVE
Ringe-2002-333-65	64	good		1035	GOOD
Ringe-2002-333-66	65	grass		606	GRASS
Ringe-2002-333-67	66	green		1425	GREEN
Ringe-2002-333-68	67	guts		1334	GUTS
Ringe-2002-333-69	68	hair [head]		1040	HAIR
Ringe-2002-333-70	69	hand		1277	HAND
Ringe-2002-333-71	70	he		1211	HE
Ringe-2002-333-72	71	head		1256	HEAD
Ringe-2002-333-73	72	hear		1408	HEAR
Ringe-2002-333-74	73	heart		1223	HEART
Ringe-2002-333-75	74	heavy		1210	HEAVY
Ringe-2002-333-76	75	here		136	HERE
Ringe-2002-333-77	76	hit		1433	HIT
Ringe-2002-333-78	77	hold		1448	HOLD
Ringe-2002-333-79	78	horn		1393	HORN (KERATINIZED SKIN)
Ringe-2002-333-80	79	how		1239	HOW
Ringe-2002-333-81	80	hunt		1435	HUNT
Ringe-2002-333-82	81	husband		1200	HUSBAND
Ringe-2002-333-83	82	I		1209	I
Ringe-2002-333-84	82a	me (acc.)		2301	ME
Ringe-2002-333-85	83	ice		617	ICE
Ringe-2002-333-86	84	if		1459	IF
Ringe-2002-333-87	85	in		1460	IN
Ringe-2002-333-88	86	kill		1417	KILL
Ringe-2002-333-89	87	knee		1371	KNEE
Ringe-2002-333-90	88	know [facts]		1410	KNOW (SOMETHING)
Ringe-2002-333-91	89	lake		624	LAKE
Ringe-2002-333-92	90	laugh		1355	LAUGH
Ringe-2002-333-93	91	leaf		628	LEAF
Ringe-2002-333-94	92	left (hand)		244	LEFT
Ringe-2002-333-95	93	leg		1297	LEG
Ringe-2002-333-96	94	lie [recline]	stative	1411	LIE (REST)
Ringe-2002-333-97	95	live (vb.)		1422	BE ALIVE
Ringe-2002-333-98	96	liver		1224	LIVER
Ringe-2002-333-99	97	long		1203	LONG
Ringe-2002-333-100	98	louse		1392	LOUSE
Ringe-2002-333-101	99	man [male]		1554	MAN
Ringe-2002-333-102	100	many		1198	MANY
Ringe-2002-333-103	101	meat		634	MEAT
Ringe-2002-333-104	102	moon		1313	MOON
Ringe-2002-333-105	103	mother		1216	MOTHER
Ringe-2002-333-106	104	mountain		639	MOUNTAIN
Ringe-2002-333-107	105	mouth		674	MOUTH
Ringe-2002-333-108	106	name		1405	NAME
Ringe-2002-333-109	107	narrow		1267	NARROW
Ringe-2002-333-110	108	near (adv.)		1942	NEAR
Ringe-2002-333-111	109	neck		1333	NECK
Ringe-2002-333-112	110	new		1231	NEW
Ringe-2002-333-113	111	night		1233	NIGHT
Ringe-2002-333-114	112	nose		1221	NOSE
Ringe-2002-333-115	113	not		1240	NOT
Ringe-2002-333-116	114	old	of things (rather then people), if a distinction is made	1229	OLD
Ringe-2002-333-117	115	one		1493	ONE
Ringe-2002-333-118	116	other	of more than two	197	OTHER
Ringe-2002-333-119	117	person	human being (most general term)	683	PERSON
Ringe-2002-333-120	118	pierce	by stabbing (or the like)	398	PIERCE
Ringe-2002-333-121	119	play		1413	PLAY
Ringe-2002-333-122	120	pull		1455	PULL
Ringe-2002-333-123	121	push		1452	PUSH
Ringe-2002-333-124	122	rain (nn.)		658	RAIN (PRECIPITATION)
Ringe-2002-333-125	123	red		156	RED
Ringe-2002-333-126	124	right (hand)		1019	RIGHT
Ringe-2002-333-127	125	right	correct	1725	CORRECT (RIGHT)
Ringe-2002-333-128	126	river		666	RIVER
Ringe-2002-333-129	127	road		667	ROAD
Ringe-2002-333-130	128	root		670	ROOT
Ringe-2002-333-131	129	rope		1218	ROPE
Ringe-2002-333-132	130	rotten		1728	ROTTEN
Ringe-2002-333-133	131	round	spherical (rather than circular), if a distinction is made	1395	ROUND
Ringe-2002-333-134	132	rub		1449	RUB
Ringe-2002-333-135	133	salt		1274	SALT
Ringe-2002-333-136	134	sand		671	SAND
