ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH
Hantgan-2022-348-1	1	GUEST OR STRANGER	2908	GUEST OR STRANGER	étranger
Hantgan-2022-348-2	2	AGE	1789	AGE	(être vivant) devenir vieux, âgé
Hantgan-2022-348-3	3	ANCESTORS	1669	ANCESTORS	aïeul, ancêtre
Hantgan-2022-348-4	4	ANIMAL	619	ANIMAL	animal
Hantgan-2022-348-5	5	ANSWER	1275	ANSWER	répondre
Hantgan-2022-348-6	6	ARMPIT	1886	ARMPIT	aisselle
Hantgan-2022-348-7	7	ARRIVE	1387	ARRIVE	arriver
Hantgan-2022-348-8	8	ASH	646	ASH	cendre
Hantgan-2022-348-9	9	BACK	1291	BACK	dos
Hantgan-2022-348-10	10	BAD	1292	BAD	mauvais
Hantgan-2022-348-11	11	BARK	1204	BARK	coque (de noix); écorce
Hantgan-2022-348-12	12	BE ALIVE	1422	BE ALIVE	ê. vivant, vivre (ne pas ê. décédé)
Hantgan-2022-348-13	13	BEARD	678	BEARD	barbe
Hantgan-2022-348-14	14	BEAUTIFUL	1427	BEAUTIFUL	beau
Hantgan-2022-348-15	15	BEGIN	1806	BEGIN	commencer
Hantgan-2022-348-16	16	BELLY	1251	BELLY	estomac
Hantgan-2022-348-17	17	BELT	772	BELT	ceinture
Hantgan-2022-348-18	18	BESIDE	1816	BESIDE	à côté de (qch)
Hantgan-2022-348-19	19	BIG	1202	BIG	grand
Hantgan-2022-348-20	20	BIRD	937	BIRD	(tout) oiseau
Hantgan-2022-348-21	21	BITE	1403	BITE	(qn, mammifère) mordre (qch, qn)
Hantgan-2022-348-22	22	BITTER	887	BITTER	(goût) amer
Hantgan-2022-348-23	23	BLACKSMITH	1001	BLACKSMITH	forgeron
Hantgan-2022-348-24	24	BLANKET	806	BLANKET	couverture
Hantgan-2022-348-25	25	BLINK	1655	BLINK	cligner des yeux
Hantgan-2022-348-26	26	BLOOD	946	BLOOD	sang
Hantgan-2022-348-27	27	BLUNT	379	BLUNT	(lame) émoussé
