ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Dyen-1964-154-117	117	cold	1287	COLD	117
Dyen-1964-154-118	118	many	1198	MANY	118
Dyen-1964-154-119	119	good	1035	GOOD	119
Dyen-1964-154-120	120	near	1942	NEAR	120
Dyen-1964-154-121	121	to hunt	1435	HUNT	121
Dyen-1964-154-122	122	to split	1437	SPLIT	122
Dyen-1964-154-123	123	grass	606	GRASS	123
Dyen-1964-154-124	124	to play	1413	PLAY	124
Dyen-1964-154-125	125	woods	420	FOREST	125
Dyen-1964-154-126	126	to hit	1433	HIT	126
Dyen-1964-154-127	127	leg	1297	LEG	127
Dyen-1964-154-128	128	dust	2	DUST	128
Dyen-1964-154-129	129	mouth	674	MOUTH	129
Dyen-1964-154-130	130	child	2099	CHILD	130
Dyen-1964-154-131	131	to fight	1423	FIGHT	131
Dyen-1964-154-132	132	to think	2271	THINK	132
Dyen-1964-154-133	134	wet	1726	WET	134
Dyen-1964-154-134	135	rope	1218	ROPE	135
Dyen-1964-154-135	136	dull	379	BLUNT	136
Dyen-1964-154-136	137	to pull	1455	PULL	137
Dyen-1964-154-137	138	thick	1244	THICK	138
Dyen-1964-154-138	139	road	667	ROAD	139
Dyen-1964-154-139	140	belly	1251	BELLY	140
Dyen-1964-154-140	141	big	1202	BIG	141
Dyen-1964-154-141	142	left (side)	244	LEFT	142
Dyen-1964-154-142	143	far	1406	FAR	143
Dyen-1964-154-143	144	cloud	1489	CLOUD	144
Dyen-1964-154-144	145	back	1291	BACK	145
Dyen-1964-154-145	146	to vomit	1278	VOMIT	146
Dyen-1964-154-146	147	fruit	1507	FRUIT	147
Dyen-1964-154-147	148	to push	1452	PUSH	148
Dyen-1964-154-148	149	to smell	2124	SMELL	149
Dyen-1964-154-149	150	bad	1292	BAD	150
Dyen-1964-154-150	151	tail	1220	TAIL	151
Dyen-1964-154-151	152	dirty	1230	DIRTY	152
Dyen-1964-154-152	153	to throw	1456	THROW	153
Dyen-1964-154-153	154	to turn	1588	TURN	154
