ID	NUMBER	CHINESE	CHINESE_TRADITIONAL	CHINESE_PINYIN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	SEMANTIC_RADICAL_1	CHARACTER_TYPE_1	SEMANTIC_RADICAL_2	CHARACTER_TYPE_2	VISUAL_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	INTEROCEPTIVE_MEAN	PERCEPTUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_AGGREGATED	PERCEPTUAL_STRENGTH_SUM	PERCEPTUAL_EXCLUSIVITY	FOOT_ACTION_MEAN	HAND_ACTION_MEAN	MOUTH_ACTION_MEAN	HEAD_ACTION_MEAN	TORSO_ACTION_MEAN	ACTION_STRENGTH_MEAN	ACTION_STRENGTH_SUM	ACTION_STRENGTH_MAX	ACTION_STRENGTH_AGGREGATED	ACTION_EXCLUSIVITY	ACTION_DOMINANT	SENSORIMOTOR_STRENGTH_MAX	SENSORIMOTOR_DOMINANT	SENSORIMOTOR_STRENGTH_AGGREGATED	SENSORIMOTOR_STRENGTH_SUM	SENSORIMOTOR_EXCLUSIVITY	CONCRETE_ABSTRACT
Zhong-2022-664-52	52	讲座	講座	jiǎngzuò	lecture			N	言	phono-semantic	广	phono-semantic	4.272727273	4.454545455	0.5	0.6363636364	1.227272727	2.772727273	2.310606061	auditory	4.454545455	5.748323966	13.86363636	0.2852459016	1.090909091	2.090909091	3.181818182	2.818181818	2.318181818	2.3	11.5	3.181818182	4.263369991	0.1818181818	mouth/throat	4.454545455	auditory	6.442776399	25.36363636	0.1559139785	concrete
Zhong-2022-664-53	53	电视	電視	diànshì	TV	1788	TELEVISION	N	雨	phono-semantic	礻	phono-semantic	4.818181818	4.318181818	0.6818181818	0.6363636364	1.909090909	2.727272727	2.515151515	visual	4.818181818	6.038560881	15.09090909	0.2771084337	2.454545455	2.590909091	2.090909091	2.818181818	2.454545455	2.481818182	12.40909091	2.818181818	4.281627127	0.05860805861	head	4.818181818	visual	6.68452359	27.5	0.1520661157	concrete
Zhong-2022-664-54	54	钢琴	鋼琴	gāngqín	piano	3994	PIANO (INSTRUMENT)	N	釒	phono-semantic	王(玉)	pictograph	4.19047619	4.80952381	0.5714285714	0.619047619	4.047619048	3.380952381	2.936507937	auditory	4.80952381	6.620784725	17.61904762	0.2405405405	3.285714286	4.19047619	1.904761905	2.80952381	2.666666667	2.971428571	14.85714286	4.19047619	5.395925959	0.1538461538	hand/arm	4.80952381	auditory	7.647900272	32.47619048	0.1304985337	concrete
Zhong-2022-664-55	55	表白	表白	biǎobái	confession			Nv	一	compound_ideograph	白	pictograph	3.866666667	3.8	0.8	1.066666667	2.666666667	4.333333333	2.755555556	interoceptive	4.333333333	5.988328477	16.53333333	0.2137096774	2.133333333	2.266666667	2.733333333	2.8	2.333333333	2.453333333	12.26666667	2.8	4.243823229	0.05434782609	head	4.333333333	interoceptive	6.628020852	28.8	0.1226851852	concrete
Zhong-2022-664-56	56	印象	印象	yìnxiàng	impression			N	卩	compound_ideograph	豕	pictograph	3.894736842	3.263157895	2.684210526	2.789473684	2.842105263	3.578947368	3.175438596	visual	3.894736842	5.883594239	19.05263158	0.0635359116	1.842105263	2	1.947368421	2.789473684	2.105263158	2.136842105	10.68421053	2.789473684	3.74852004	0.08866995074	head	3.894736842	visual	6.352434388	29.73684211	0.06902654867	abstract
Zhong-2022-664-57	57	电影	電影	diànyǐng	film	216	MOVIE	N	雨	phono-semantic	彡	phono-semantic	4.611111111	4.333333333	0.9444444444	1.111111111	1.444444444	3.166666667	2.601851852	visual	4.611111111	6.00366368	15.61111111	0.2348754448	1.666666667	1.722222222	1.555555556	2.777777778	1.888888889	1.922222222	9.611111111	2.777777778	3.467029869	0.1271676301	head	4.611111111	visual	6.366677755	25.22222222	0.1453744493	concrete
Zhong-2022-664-58	58	台词	台詞	táicí	actor's lines			N	口	phono-semantic	言	phono-semantic	2.952380952	4.047619048	0.5238095238	0.7142857143	0.9047619048	3.19047619	2.055555556	auditory	4.047619048	5.010281547	12.33333333	0.2857142857	1.380952381	2.333333333	3.333333333	2.761904762	1.761904762	2.314285714	11.57142857	3.333333333	4.289244593	0.1687242798	mouth/throat	4.047619048	auditory	5.893342978	23.9047619	0.1474103586	concrete
Zhong-2022-664-59	59	秋波	秋波	qiūbō	bright eyes of a beautiful woman			N	禾	pictograph	氵	phono-semantic	3.782608696	1.47826087	0.6956521739	0.9130434783	1.565217391	2.956521739	1.898550725	visual	3.782608696	4.45011382	11.39130435	0.2709923664	1.391304348	1.869565217	1.434782609	2.739130435	1.565217391	1.8	9	2.739130435	3.319182866	0.1497584541	head	3.782608696	visual	4.995933243	20.39130435	0.1513859275	abstract
Zhong-2022-664-60	60	精神	精神	jīngshen	spirit			N	米	phono-semantic	礻	phono-semantic	3.045454545	2	0.7727272727	1.045454545	1.590909091	4.181818182	2.106060606	interoceptive	4.181818182	4.863036793	12.63636364	0.2697841727	1.954545455	2.045454545	2.136363636	2.727272727	2.545454545	2.281818182	11.40909091	2.727272727	3.969637299	0.06772908367	head	4.181818182	interoceptive	5.620589587	24.04545455	0.1417769376	abstract
Zhong-2022-664-61	61	宣传	宣傳	xuānchuán	propaganda			Nv	宀	phono-semantic	亻	phono-semantic	3.952380952	4.476190476	0.9523809524	0.8095238095	1.142857143	3.285714286	2.436507937	visual	4.476190476	5.74674756	14.61904762	0.2508143322	1.952380952	2.952380952	3.714285714	2.714285714	2.095238095	2.685714286	13.42857143	3.714285714	4.843326843	0.1312056738	mouth/throat	4.476190476	visual	6.719530307	28.04761905	0.1307300509	concrete
Zhong-2022-664-62	62	锣鼓	鑼鼓	luógǔ	gongs and drums			N	釒	phono-semantic	鼓	compound_ideograph	3.523809524	4.952380952	0.4285714286	0.7142857143	2.761904762	2.904761905	2.547619048	auditory	4.952380952	5.955589381	15.28571429	0.2959501558	2.666666667	3.80952381	2.285714286	2.714285714	2.952380952	2.885714286	14.42857143	3.80952381	5.090639381	0.1056105611	hand/arm	4.952380952	auditory	7.001095051	29.71428571	0.1522435897	concrete
Zhong-2022-664-63	63	芬芳	芬芳	fēnfāng	fragrance			Nadj	艹	phono-semantic	艹	phono-semantic	2.352941176	1.294117647	2.176470588	4.588235294	1.764705882	3.235294118	2.568627451	olfactory	4.588235294	5.445240808	15.41176471	0.213740458	1.235294118	1.764705882	2.058823529	2.705882353	1.647058824	1.882352941	9.411764706	2.705882353	3.430961242	0.15625	head	4.588235294	olfactory	5.865938553	24.82352941	0.13507109	concrete
Zhong-2022-664-64	64	感觉	感覺	gǎnjué	feeling			Nv	心	phono-semantic	見	phono-semantic	2.652173913	2.652173913	2.52173913	2.347826087	2.173913043	3.086956522	2.572463768	interoceptive	3.086956522	4.732314006	15.43478261	0.05915492958	2.391304348	2.434782609	2.434782609	2.695652174	2.391304348	2.469565217	12.34782609	2.695652174	4.232183306	0.02464788732	head	3.086956522	interoceptive	5.664802396	27.7826087	0.03286384977	abstract
Zhong-2022-664-65	65	梦想	夢想	mèngxiǎng	dream	2374	DREAM	N	夕	compound_ideograph	心	phono-semantic	3.3125	2.8125	1.5625	1.75	1.625	3.5625	2.4375	interoceptive	3.5625	4.894766882	14.625	0.1367521368	2.5625	2.875	2.9375	2.6875	2.9375	2.8	14	2.9375	4.801501278	0.02678571429	mouth/throat+torso	3.5625	interoceptive	6.108831262	28.625	0.06986899563	abstract
Zhong-2022-664-66	66	荣华	榮華	rónghuá	glory and splendor			N	木	phono-semantic	艹	phono-semantic	4.375	3	1.9375	1.625	2.3125	3.25	2.75	visual	4.375	5.528764164	16.5	0.1666666667	1.75	2.3125	3.0625	2.6875	2.625	2.4875	12.4375	3.0625	4.37860672	0.1055276382	mouth/throat	4.375	visual	6.324257976	28.9375	0.09503239741	abstract
Zhong-2022-664-67	67	感情	感情	gǎnqíng	affection			N	心	phono-semantic	忄	phono-semantic	3.052631579	2.842105263	1.684210526	1.526315789	2.263157895	4.578947368	2.657894737	interoceptive	4.578947368	5.510545804	15.94736842	0.1914191419	1.789473684	2.684210526	2.894736842	2.684210526	2.473684211	2.505263158	12.52631579	2.894736842	4.376090816	0.08823529412	mouth/throat	4.578947368	interoceptive	6.309138955	28.47368421	0.1072088725	abstract
Zhong-2022-664-68	68	字幕	字幕	zìmù	subtitle			N	子	phono-semantic	巾	phono-semantic	4.954545455	3.090909091	0.6818181818	0.5454545455	1.454545455	2.454545455	2.196969697	visual	4.954545455	5.534181001	13.18181818	0.3344827586	0.7727272727	1.272727273	1.227272727	2.681818182	0.9090909091	1.372727273	6.863636364	2.681818182	2.900866775	0.2781456954	head	4.954545455	visual	5.788036365	20.04545455	0.2199546485	concrete
Zhong-2022-664-69	69	神圣	神聖	shénshèng	sacred	1702	HOLY	Nadj	礻	phono-semantic	耳	phono-semantic	3.333333333	2.857142857	0.7619047619	0.8571428571	1.476190476	4.238095238	2.253968254	interoceptive	4.238095238	5.202018926	13.52380952	0.2570422535	1.285714286	1.761904762	1.857142857	2.666666667	1.619047619	1.838095238	9.19047619	2.666666667	3.338427585	0.1502590674	head	4.238095238	interoceptive	5.625004512	22.71428571	0.1530398323	abstract
Zhong-2022-664-70	70	脸颊	臉頰	liǎnjiá	cheek	1730	CHEEK	N	月(肉)	phono-semantic	頁	phono-semantic	3.761904762	1.476190476	1.380952381	1.238095238	3.476190476	3	2.388888889	visual	3.761904762	5.065697435	14.33333333	0.1760797342	0.6666666667	1.714285714	2.333333333	2.666666667	1.238095238	1.723809524	8.619047619	2.666666667	3.388273182	0.2320441989	head	3.761904762	visual	5.527586455	22.95238095	0.1348547718	concrete
Zhong-2022-664-71	71	法术	法術	fǎshù	magic arts			N	氵	compound_ideograph	行	phono-semantic	4.117647059	3.529411765	1.941176471	1.941176471	2.588235294	3.411764706	2.921568627	visual	4.117647059	5.702748462	17.52941176	0.1241610738	2.176470588	2.647058824	2.705882353	2.647058824	2.352941176	2.505882353	12.52941176	2.705882353	4.313246449	0.04225352113	mouth/throat	4.117647059	visual	6.428849803	30.05882353	0.07240704501	abstract
Zhong-2022-664-72	72	称赞	稱讚	chēngzàn	praise	3455	COMMEND	Nv	禾	phono-semantic	言	compound_ideograph	3.176470588	4.117647059	1.058823529	0.9411764706	1	3.705882353	2.333333333	auditory	4.117647059	5.380692241	14	0.2268907563	1.352941176	3.176470588	3.470588235	2.647058824	1.352941176	2.4	12	3.470588235	4.600289301	0.1764705882	mouth/throat	4.117647059	auditory	6.325831249	26	0.1221719457	concrete
Zhong-2022-664-73	73	身材	身材	shēncái	body figure			N	身	pictograph	木	phono-semantic	4.727272727	1	0.4545454545	0.4545454545	3.181818182	3.454545455	2.212121212	visual	4.727272727	5.649011424	13.27272727	0.3219178082	2.5	2.863636364	2.181818182	2.636363636	2.545454545	2.545454545	12.72727273	2.863636364	4.384914878	0.05357142857	hand/arm	4.727272727	visual	6.419749577	26	0.1643356643	concrete
Zhong-2022-664-74	74	影像	影像	yǐngxiàng	image			N	彡	phono-semantic	亻	phono-semantic	4.526315789	3.736842105	1	0.8947368421	0.9473684211	2.947368421	2.342105263	visual	4.526315789	5.57296236	14.05263158	0.2584269663	1.631578947	1.736842105	1.578947368	2.631578947	1.947368421	1.905263158	9.526315789	2.631578947	3.39492607	0.1104972376	head	4.526315789	visual	5.964726921	23.57894737	0.1540178571	concrete
