ID	NUMBER	CHINESE	CHINESE_TRADITIONAL	CHINESE_PINYIN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	SEMANTIC_RADICAL_1	CHARACTER_TYPE_1	SEMANTIC_RADICAL_2	CHARACTER_TYPE_2	VISUAL_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	INTEROCEPTIVE_MEAN	PERCEPTUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_AGGREGATED	PERCEPTUAL_STRENGTH_SUM	PERCEPTUAL_EXCLUSIVITY	FOOT_ACTION_MEAN	HAND_ACTION_MEAN	MOUTH_ACTION_MEAN	HEAD_ACTION_MEAN	TORSO_ACTION_MEAN	ACTION_STRENGTH_MEAN	ACTION_STRENGTH_SUM	ACTION_STRENGTH_MAX	ACTION_STRENGTH_AGGREGATED	ACTION_EXCLUSIVITY	ACTION_DOMINANT	SENSORIMOTOR_STRENGTH_MAX	SENSORIMOTOR_DOMINANT	SENSORIMOTOR_STRENGTH_AGGREGATED	SENSORIMOTOR_STRENGTH_SUM	SENSORIMOTOR_EXCLUSIVITY	CONCRETE_ABSTRACT
Zhong-2022-664-33	33	京剧	京劇	jīngjù	Peking Opera			N	亠	pictograph	刂	phono-semantic	4.315789474	4	0.7894736842	0.8421052632	1.842105263	2.894736842	2.447368421	visual	4.315789474	5.603894512	14.68421053	0.2401433692	3.157894737	3.315789474	3.315789474	3	3.105263158	3.178947368	15.89473684	3.315789474	5.444005912	0.01986754967	mouth/throat	4.315789474	visual	6.961198547	30.57894737	0.1153184165	concrete
Zhong-2022-664-34	34	身体	身體	shēntǐ	body	1480	BODY	N	身	pictograph	骨	compound_ideograph	3.842105263	2.368421053	1.736842105	1.842105263	3.157894737	2.894736842	2.640350877	visual	3.842105263	5.158144986	15.84210526	0.1328903654	3.315789474	3.157894737	2.631578947	3	3.578947368	3.136842105	15.68421053	3.578947368	5.417652193	0.06040268456	torso	3.842105263	visual	6.666343758	31.52631579	0.06677796327	concrete
Zhong-2022-664-35	35	议论	議論	yìlùn	discuss			Nv	言	phono-semantic	言	phono-semantic	3	4.590909091	0.7272727273	0.6818181818	1.227272727	3.5	2.287878788	auditory	4.590909091	5.530793651	13.72727273	0.2847682119	1.818181818	2.227272727	3.318181818	2.954545455	1.590909091	2.381818182	11.90909091	3.318181818	4.369268165	0.1450381679	mouth/throat	4.590909091	auditory	6.321341345	25.63636364	0.1524822695	concrete
Zhong-2022-664-36	36	解说	解說	jiěshuō	commentary			Nv	角	compound_ideograph	言	phono-semantic	3.238095238	4.476190476	0.4761904762	0.380952381	0.7619047619	3.952380952	2.214285714	auditory	4.476190476	5.708118346	13.28571429	0.3082437276	1.571428571	3.047619048	4.19047619	2.952380952	2.19047619	2.79047619	13.95238095	4.19047619	5.21730841	0.1877133106	mouth/throat	4.476190476	auditory	6.896449616	27.23809524	0.1503496503	concrete
Zhong-2022-664-37	37	足球	足球	zúqiú	football			N	足	compound_ideograph	王(玉)	phono-semantic	4.157894737	2.894736842	0.6315789474	0.7894736842	3.210526316	2	2.280701754	visual	4.157894737	5.167336222	13.68421053	0.2576923077	4.789473684	3.157894737	1.684210526	2.947368421	3.947368421	3.305263158	16.52631579	4.789473684	6.155608791	0.1878980892	leg/foot	4.789473684	leg/foot	7.186938088	30.21052632	0.137630662	concrete
Zhong-2022-664-38	38	对话	對話	duìhuà	dialogue			Nv	寸	compound_ideograph	言	phono-semantic	3.6875	4.5	0.375	0.625	1.1875	3	2.229166667	auditory	4.5	5.542239978	13.375	0.308411215	1.1875	2.8125	3.5625	2.9375	1.875	2.475	12.375	3.5625	4.658149946	0.1919191919	mouth/throat	4.5	auditory	6.473756209	25.75	0.1601941748	concrete
Zhong-2022-664-39	39	信念	信念	xìnniàn	belief	3333	BELIEF (RELIGIOUS)	N	亻	compound_ideograph	心	phono-semantic	2.933333333	2.333333333	0.9333333333	0.8666666667	1.733333333	4.6	2.233333333	interoceptive	4.6	5.216504649	13.4	0.2786069652	3.066666667	3.466666667	2.866666667	2.933333333	2.666666667	3	15	3.466666667	5.170920303	0.05333333333	hand/arm	4.6	interoceptive	6.543793693	28.4	0.1314553991	abstract
Zhong-2022-664-40	40	美食	美食	měishí	delicacy			N	羊	compound_ideograph	食	compound_ideograph	4.666666667	2.866666667	4.933333333	4.933333333	3.333333333	4	4.122222222	gustatory/olfactory	4.933333333	7.754840054	24.73333333	0.08355795148	2	3.266666667	4.2	2.933333333	2.266666667	2.933333333	14.66666667	4.2	5.358162012	0.15	mouth/throat	4.933333333	gustatory/olfactory	8.527886878	39.4	0.0744500846	concrete
Zhong-2022-664-41	41	构思	構思	gòusī	conceive	1087	CONCEIVE	Nv	木	phono-semantic	心	compound_ideograph	2.363636364	2	0.4090909091	0.5909090909	1.363636364	4.181818182	1.818181818	interoceptive	4.181818182	4.596998156	10.90909091	0.3458333333	1.136363636	1.954545455	1.772727273	2.909090909	1.454545455	1.845454545	9.227272727	2.909090909	3.481580351	0.1921182266	head	4.181818182	interoceptive	5.184410923	20.13636364	0.1873589165	abstract
Zhong-2022-664-42	42	微笑	微笑	wéixiào	smile	1451	SMILE	Nv	彳	phono-semantic	竹	phono-semantic	4.636363636	1.818181818	0.7272727273	0.4545454545	1.136363636	3.227272727	2	visual	4.636363636	5.207682877	12	0.3484848485	0.5454545455	1.045454545	3.318181818	2.909090909	0.8636363636	1.736363636	8.681818182	3.318181818	3.981213163	0.3193717277	mouth/throat	4.636363636	visual	5.889982204	20.68181818	0.2021978022	concrete
Zhong-2022-664-43	43	花招	花招	huāzhāo	tricks			N	艹	phono-semantic	扌	phono-semantic	3.125	2.3125	0.4375	0.8125	1.0625	3.125	1.8125	interoceptive	3.125	4.221305037	10.875	0.2471264368	2.4375	2.6875	2.1875	2.875	2.625	2.5625	12.8125	2.875	4.4176317	0.05365853659	head	3.125	interoceptive	5.444998353	23.6875	0.1134564644	abstract
Zhong-2022-664-44	44	点心	點心	diǎnxīn	dessert			N	黑	phono-semantic	心	pictograph	4.625	2	4.8125	4.4375	3.375	3.4375	3.78125	gustatory	4.8125	7.273732855	22.6875	0.1239669421	1.375	3.3125	3.9375	2.875	2.5	2.8	14	3.9375	5.184840413	0.1830357143	mouth/throat	4.8125	gustatory	8.063118405	36.6875	0.0936967632	concrete
Zhong-2022-664-45	45	剧本	劇本	jùběn	script			N	刂	phono-semantic	木	ideograph	4.4375	2.875	0.625	0.875	1.875	2.75	2.239583333	visual	4.4375	5.185648563	13.4375	0.2837209302	1.875	3.4375	3.25	2.875	2.3125	2.75	13.75	3.4375	4.900276887	0.1136363636	hand/arm	4.4375	visual	6.358817327	27.1875	0.1402298851	concrete
Zhong-2022-664-46	46	日出	日出	rìchū	sunrise	2296	SUNRISE	Nv	日	pictograph	凵	compound_ideograph	5	2.5625	1.0625	2.125	1.5625	3.25	2.59375	visual	5	5.75659638	15.5625	0.2530120482	2.25	2.6875	2.0625	2.875	2.6875	2.5125	12.5625	2.875	4.357682392	0.06467661692	head	5	visual	6.491224134	28.125	0.14	concrete
Zhong-2022-664-47	47	音乐	音樂	yīnyuè	music	642	MUSIC	N	音	ideograph	木	pictograph	2.545454545	4.909090909	1	0.7727272727	1.136363636	3.409090909	2.295454545	auditory	4.909090909	5.618337271	13.77272727	0.300330033	2.136363636	3.045454545	3.5	2.863636364	2.727272727	2.854545455	14.27272727	3.5	4.995194481	0.09554140127	mouth/throat	4.909090909	auditory	6.709074791	28.04545455	0.1474878444	concrete
Zhong-2022-664-48	48	忏悔	懺悔	chànhuǐ	confession			Nv	忄	phono-semantic	忄	phono-semantic	2.428571429	2.904761905	0.5714285714	0.7619047619	1	3.904761905	1.928571429	interoceptive	3.904761905	4.641563774	11.57142857	0.2880658436	1.523809524	2.571428571	3.19047619	2.857142857	1.666666667	2.361904762	11.80952381	3.19047619	4.326227613	0.1411290323	mouth/throat	3.904761905	interoceptive	5.656331095	23.38095238	0.1425661914	concrete
Zhong-2022-664-49	49	料理	料理	liàolǐ	cuisine			N	米	compound_ideograph	王(玉)	phono-semantic	4.238095238	2.238095238	4.523809524	4.285714286	3	3.19047619	3.579365079	gustatory	4.523809524	6.826380456	21.47619048	0.1064301552	2	3.19047619	3.666666667	2.857142857	2.380952381	2.819047619	14.0952381	3.666666667	5.021159296	0.1182432432	mouth/throat	4.523809524	gustatory	7.632887172	35.57142857	0.07095046854	concrete
Zhong-2022-664-50	50	气势	氣勢	qìshì	momentum			N	气	pictograph	力	pictograph	3.526315789	3.263157895	1.315789474	1.210526316	1.421052632	3.526315789	2.377192982	visual/interoceptive	3.526315789	5.057562879	14.26315789	0.1623616236	2.947368421	3.157894737	2.368421053	2.842105263	3.105263158	2.884210526	14.42105263	3.157894737	4.976973381	0.05474452555	hand/arm	3.526315789	visual/interoceptive	6.321769434	28.68421053	0.08073394495	abstract
Zhong-2022-664-51	51	图书	圖書	túshū	book	963	BOOK	N	囗	compound_ideograph	曰	phono-semantic	4.684210526	2.157894737	0.4210526316	1.789473684	3.684210526	2.947368421	2.614035088	visual	4.684210526	5.791389825	15.68421053	0.2718120805	0.7894736842	3.263157895	1.210526316	2.842105263	1.736842105	1.968421053	9.842105263	3.263157895	4.025037948	0.2513368984	hand/arm	4.684210526	visual	6.378031042	25.52631579	0.1670103093	concrete
