ID	NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE_SIMPLIFIED
BeijingDaxue-1964-905-29	29	今天	15	noun	time, season	二、時間、節令	名 詞	today	jīn tiān	1283	TODAY	今天
BeijingDaxue-1964-905-30	30	明天	15	noun	time, season	二、時間、節令	名 詞	tomorrow	míng tiān	1329	TOMORROW	明天
BeijingDaxue-1964-905-31	31	後天	16	noun	time, season	二、時間、節令	名 詞	the day after tomorrow	hòu tiān	1179	DAY AFTER TOMORROW	后天
BeijingDaxue-1964-905-32	32	大後天	16	noun	time, season	二、時間、節令	名 詞	three days from now	dà hòu tiān	2332	THREE DAYS FROM NOW	大后天
BeijingDaxue-1964-905-33	33	昨天	17	noun	time, season	二、時間、節令	名 詞	yesterday	zuó tiān	1174	YESTERDAY	昨天
BeijingDaxue-1964-905-34	34	前天	17	noun	time, season	二、時間、節令	名 詞	the day before yesterday	qián tiān	1180	DAY BEFORE YESTERDAY	前天
BeijingDaxue-1964-905-35	35	大前天	18	noun	time, season	二、時間、節令	名 詞	three days before	dà qián tiān			大前天
BeijingDaxue-1964-905-36	36	白天	18	noun	time, season	二、時間、節令	名 詞	day (opposed to night)	bái tiān	1225	DAY (NOT NIGHT)	白天
BeijingDaxue-1964-905-37	37	夜間	19	noun	time, season	二、時間、節令	名 詞	night (opposed to day)	yè jiān	1233	NIGHT	夜间
BeijingDaxue-1964-905-38	38	早晨	19	noun	time, season	二、時間、節令	名 詞	morning	zǎo chén	1339	MORNING	早晨
BeijingDaxue-1964-905-39	39	上午	20	noun	time, season	二、時間、節令	名 詞	forenoon	shàng wǔ	2775	FORENOON	上午
BeijingDaxue-1964-905-40	40	中午	20	noun	time, season	二、時間、節令	名 詞	noon	zhōng wǔ	12	MIDDAY	中午
BeijingDaxue-1964-905-41	41	下午	21	noun	time, season	二、時間、節令	名 詞	afternoon	xià wǔ	1807	AFTERNOON	下午
BeijingDaxue-1964-905-42	42	傍晚	21	noun	time, season	二、時間、節令	名 詞	at dusk (nightfall)	bàng wǎn	2297	DUSK	傍晚
BeijingDaxue-1964-905-43	43	晚上	22	noun	time, season	二、時間、節令	名 詞	evening	wǎn shàng	1629	EVENING	晚上
BeijingDaxue-1964-905-44	44	元旦	22	noun	time, season	二、時間、節令	名 詞	new year	yuán dàn			元旦
BeijingDaxue-1964-905-45	45	端午節	23	noun	time, season	二、時間、節令	名 詞	the Dragon Boat Festival	duān wǔ jié	2186	DRAGON BOAT FESTIVAL	端午节
BeijingDaxue-1964-905-46	46	中秋節	23	noun	time, season	二、時間、節令	名 詞	the Mid-autumn Festival (15th day of the 8th lunar month)	zhōng qiū jié	2187	MID-AUTUMN FESTIVAL	中秋节
BeijingDaxue-1964-905-47	47	重陽節	24	noun	time, season	二、時間、節令	名 詞	the Double-Nine Festival	zhòng yáng jié			重阳节
BeijingDaxue-1964-905-48	48	除夕	24	noun	time, season	二、時間、節令	名 詞	Chinese New Year's Eve	chú xī	2188	NEW YEAR'S EVE	除夕
BeijingDaxue-1964-905-49	49	金子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	gold	jīn zi	1369	GOLD	金子
BeijingDaxue-1964-905-50	50	銀子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	silver	yín zi	759	SILVER	银子
BeijingDaxue-1964-905-51	51	銅	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	copper	tóng	1825	COPPER	铜
BeijingDaxue-1964-905-52	52	鉄	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	iron	zhí	621	IRON	鉄
BeijingDaxue-1964-905-53	53	鋼	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	steel	gāng	2343	STEEL	钢
BeijingDaxue-1964-905-54	54	鉛	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	lead	qiān	627	LEAD (CHEMICAL ELEMENT)	铅
BeijingDaxue-1964-905-55	55	錫	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	tin	xī	893	TIN (METAL)	锡
BeijingDaxue-1964-905-56	56	煤	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	coal	méi	2658	COAL	煤
BeijingDaxue-1964-905-57	57	煤油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	kerosine	méi yóu			煤油
BeijingDaxue-1964-905-58	58	汽油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	petrol	qì yóu	2344	PETROL	汽油
BeijingDaxue-1964-905-59	59	石頭	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	stone	shí tóu	857	STONE	石头
BeijingDaxue-1964-905-60	60	泥	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	mud, earth	ní	640	MUD	泥
BeijingDaxue-1964-905-61	61	土	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	soil, earth	tǔ	1228	EARTH (SOIL)	土
BeijingDaxue-1964-905-62	62	灰塵	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	dust	huī chén	2	DUST	灰尘
BeijingDaxue-1964-905-63	63	老虎	32	noun	animals	四、動物	名 詞	tiger	lǎo hǔ	846	TIGER	老虎
BeijingDaxue-1964-905-64	64	獅子	32	noun	animals	四、動物	名 詞	lion	shī zi	1386	LION	狮子
BeijingDaxue-1964-905-65	65	豹子	33	noun	animals	四、動物	名 詞	leopard // panther	bào zi	1139	LEOPARD	豹子
BeijingDaxue-1964-905-66	66	狼	33	noun	animals	四、動物	名 詞	wolf	láng	522	WOLF	狼
BeijingDaxue-1964-905-67	67	鹿	34	noun	animals	四、動物	名 詞	deer	lù	1936	DEER	鹿
BeijingDaxue-1964-905-68	68	猴子	34	noun	animals	四、動物	名 詞	monkey	hóu zi	1350	MONKEY	猴子
BeijingDaxue-1964-905-69	69	兔子	35	noun	animals	四、動物	名 詞	rabbit, hare	tù zi	2345	LEPORID (RABBIT OR HARE)	兔子
BeijingDaxue-1964-905-70	70	老鼠	35	noun	animals	四、動物	名 詞	rat, mouse	lǎo shǔ	2139	MUROID (MOUSE OR RAT)	老鼠
BeijingDaxue-1964-905-71	71	老鷹	36	noun	animals	四、動物	名 詞	hawk, eagle	lǎo yīng	2683	EAGLE OR HAWK	老鹰
BeijingDaxue-1964-905-72	72	貓頭鷹	36	noun	animals	四、動物	名 詞	owl	māo tóu yīng	735	OWL	猫头鹰
BeijingDaxue-1964-905-73	73	雁	37	noun	animals	四、動物	名 詞	wild goose	yàn	2776	WILD GOOSE	雁
BeijingDaxue-1964-905-74	74	燕子	37	noun	animals	四、動物	名 詞	swallow	yàn zi	3077	SWALLOW (BIRD)	燕子
BeijingDaxue-1964-905-75	75	烏鴉	38	noun	animals	四、動物	名 詞	crow	wū yā	913	CROW	乌鸦
BeijingDaxue-1964-905-76	76	喜鵲	38	noun	animals	四、動物	名 詞	magpie	xǐ què	2039	MAGPIE	喜鹊
BeijingDaxue-1964-905-77	77	麻雀	39	noun	animals	四、動物	名 詞	sparrow	má què	1854	SPARROW	麻雀
BeijingDaxue-1964-905-78	78	鴿子	39	noun	animals	四、動物	名 詞	pigeon, dove	gē zi	1853	DOVE	鸽子
BeijingDaxue-1964-905-79	79	八哥	40	noun	animals	四、動物	名 詞	crested myna	bā gē	2346	CRESTED MYNA	八哥
BeijingDaxue-1964-905-80	80	牲口	40	noun	animals	四、動物	名 詞	cattle	shēng kǒu	1153	CATTLE	牲口
BeijingDaxue-1964-905-81	81	公牛	41	noun	animals	四、動物	名 詞	bull	gōng niú	1008	BULL	公牛
BeijingDaxue-1964-905-82	82	母牛	41	noun	animals	四、動物	名 詞	cow	mǔ niú	1007	COW	母牛
