ID	NUMBER	ICONICITY	GLOSS	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
He-2010-207-70	70	strong iconicity	to hunt	打猎	1435	HUNT
He-2010-207-71	71	strong iconicity	to beat	打	1665	BEAT
He-2010-207-72	72	strong iconicity	to cut	割, 切, 剪	1432	CUT
He-2010-207-73	73	strong iconicity	to split	劈开	1437	SPLIT
He-2010-207-74	74	strong iconicity	to stab	刺	1434	STAB
He-2010-207-75	75	strong iconicity	to scratch	搔	1436	SCRATCH
He-2010-207-76	76	strong iconicity	to dig	挖	1418	DIG
He-2010-207-77	77	strong iconicity	to swim	游泳	1439	SWIM
He-2010-207-78	78	strong iconicity	to fly	飞	1441	FLY (MOVE THROUGH AIR)
He-2010-207-79	79	strong iconicity	to walk, go	走	1443	WALK
He-2010-207-80	80	strong iconicity	to come	来	1446	COME
He-2010-207-81	81	strong iconicity	to stand	站	1442	STAND
He-2010-207-82	82	strong iconicity	to turn (around)	转	1588	TURN
He-2010-207-83	83	strong iconicity	to fall	落下	1280	FALL
He-2010-207-84	84	strong iconicity	to give	给	1447	GIVE
He-2010-207-85	85	strong iconicity	to take	拿	1749	TAKE
He-2010-207-86	86	strong iconicity	to squeeze	挤	1414	SQUEEZE
He-2010-207-87	87	strong iconicity	to knead	揉	274	KNEAD
He-2010-207-88	88	strong iconicity	to wash	洗	1453	WASH
He-2010-207-89	89	strong iconicity	to wipe	擦	1454	WIPE
He-2010-207-90	90	strong iconicity	to pull	拉	1455	PULL
He-2010-207-91	91	strong iconicity	to push	推	1452	PUSH
He-2010-207-92	92	strong iconicity	to throw	扔	1456	THROW
He-2010-207-93	93	strong iconicity	to tie	绑	1917	TIE
He-2010-207-94	94	strong iconicity	to sew	缝	1457	SEW
He-2010-207-95	95	strong iconicity	to sing	唱	1261	SING
He-2010-207-96	96	strong iconicity	to float	浮	1574	FLOAT
He-2010-207-97	97	strong iconicity	to flow	流	2003	FLOW
He-2010-207-98	98	strong iconicity	to swell	膨胀	1573	SWELL
He-2010-207-99	99	strong iconicity	sun	太阳	1343	SUN
He-2010-207-100	100	strong iconicity	moon	月亮	1313	MOON
He-2010-207-101	101	strong iconicity	water	水	948	WATER
He-2010-207-102	102	strong iconicity	river	河	666	RIVER
He-2010-207-103	103	strong iconicity	lake	湖	624	LAKE
He-2010-207-104	104	strong iconicity	sea, ocean	海	645	OCEAN
He-2010-207-105	105	strong iconicity	fire	火	221	FIRE
He-2010-207-106	106	strong iconicity	burn (something)	烧	141	BURN (SOMETHING)
He-2010-207-107	107	strong iconicity	road	路	667	ROAD
He-2010-207-108	108	strong iconicity	sky	天	1732	SKY
He-2010-207-109	109	strong iconicity	cold	冷	1287	COLD (OF TEMPERATURE)
He-2010-207-110	110	strong iconicity	full	满	1429	FULL
He-2010-207-111	111	strong iconicity	old	老	2112	OLD (AGED)
He-2010-207-112	112	strong iconicity	good	好	1035	GOOD
He-2010-207-113	113	strong iconicity	bad	坏	1292	BAD
He-2010-207-114	114	strong iconicity	straight	直	1404	STRAIGHT
He-2010-207-115	115	strong iconicity	round	圆	1395	ROUND
He-2010-207-116	116	strong iconicity	sharp	尖	1396	SHARP
He-2010-207-117	117	strong iconicity	blunt	钝	379	BLUNT
He-2010-207-118	118	strong iconicity	right (side)	右	1019	RIGHT
He-2010-207-119	119	strong iconicity	left (side)	左	244	LEFT
He-2010-207-120	120	weak iconicity	he	他	1211	HE
He-2010-207-121	121	weak iconicity	they	他们	817	THEY
He-2010-207-122	122	weak iconicity	this	这	1214	THIS
He-2010-207-123	123	weak iconicity	that	那	78	THAT
He-2010-207-124	124	weak iconicity	here	这里	136	HERE
He-2010-207-125	125	weak iconicity	there	那里	1937	THERE
He-2010-207-126	126	weak iconicity	who	谁	1235	WHO
He-2010-207-127	127	weak iconicity	what	什么	1236	WHAT
He-2010-207-128	128	weak iconicity	where	哪里	1237	WHERE
He-2010-207-129	129	weak iconicity	when	什么时候	1238	WHEN
He-2010-207-130	130	weak iconicity	all	全部	98	ALL
He-2010-207-131	131	weak iconicity	many	多	1198	MANY
He-2010-207-132	132	weak iconicity	some	几个	1241	SOME
He-2010-207-133	133	weak iconicity	few	少	1242	FEW
He-2010-207-134	134	weak iconicity	woman	女人	962	WOMAN
He-2010-207-135	135	weak iconicity	man	男人	1554	MAN
He-2010-207-136	136	weak iconicity	person	人	683	PERSON
He-2010-207-137	137	weak iconicity	child	孩	1304	CHILD (YOUNG HUMAN)
He-2010-207-138	138	weak iconicity	wife	妻子	1199	WIFE
He-2010-207-139	139	weak iconicity	husband	丈夫	1200	HUSBAND
He-2010-207-140	140	weak iconicity	earthworm	蚯蚓	2350	EARTHWORM
He-2010-207-141	141	weak iconicity	stick	棍	1295	STICK
He-2010-207-142	142	weak iconicity	bark	树皮	1204	BARK
He-2010-207-143	143	weak iconicity	grass	草	606	GRASS
He-2010-207-144	144	weak iconicity	rope	绳	1218	ROPE
He-2010-207-145	145	weak iconicity	fat	脂肪	323	GREASE
He-2010-207-146	146	weak iconicity	tail	尾巴	1220	TAIL
He-2010-207-147	147	weak iconicity	feather	羽毛	1201	FEATHER
He-2010-207-148	148	weak iconicity	leg	脚	1297	LEG
He-2010-207-149	149	weak iconicity	to suck	啜	1421	SUCK
He-2010-207-150	150	weak iconicity	to spit	吐	1440	SPIT
He-2010-207-151	151	weak iconicity	to vomit	呕吐	1278	VOMIT
He-2010-207-152	152	weak iconicity	to live	活着	1422	BE ALIVE
He-2010-207-153	153	weak iconicity	to die	死	1494	DIE
He-2010-207-154	154	weak iconicity	to lie (down)	躺	1411	LIE (REST)
He-2010-207-155	155	weak iconicity	to sit	坐	1416	SIT
He-2010-207-156	156	weak iconicity	to count	数	1420	COUNT
He-2010-207-157	157	weak iconicity	to say	说	1458	SAY
He-2010-207-158	158	weak iconicity	to play	玩	1413	PLAY
He-2010-207-159	159	weak iconicity	to freeze	结冰	1431	FREEZE
He-2010-207-160	160	weak iconicity	star	星星	1430	STAR
He-2010-207-161	161	weak iconicity	rain	雨	658	RAIN (PRECIPATION)
He-2010-207-162	162	weak iconicity	salt	盐	1274	SALT
He-2010-207-163	163	weak iconicity	stone	石	857	STONE
He-2010-207-164	164	weak iconicity	sand	沙	671	SAND
He-2010-207-165	165	weak iconicity	dust	尘土	2	DUST
He-2010-207-166	166	weak iconicity	earth ball	地球	2158	EARTH (WET SUBSTANCE)
He-2010-207-167	167	weak iconicity	cloud	云	1489	CLOUD
He-2010-207-168	168	weak iconicity	fog	雾	249	FOG
He-2010-207-169	169	weak iconicity	sky	天空	1732	SKY
He-2010-207-170	170	weak iconicity	wind	风	960	WIND
He-2010-207-171	171	weak iconicity	snow	雪	784	SNOW
He-2010-207-172	172	weak iconicity	ice	冰	617	ICE
He-2010-207-173	173	weak iconicity	smoke	烟	778	SMOKE (EXHAUST)
He-2010-207-174	174	weak iconicity	dust	灰尘	2	DUST
He-2010-207-175	175	weak iconicity	mountain	山	639	MOUNTAIN
He-2010-207-176	176	weak iconicity	red	红	156	RED
He-2010-207-177	177	weak iconicity	green	绿	1425	GREEN
He-2010-207-178	178	weak iconicity	yellow	黄	1424	YELLOW
He-2010-207-179	179	weak iconicity	white	白	1335	WHITE
He-2010-207-180	180	weak iconicity	black	黑	163	BLACK
He-2010-207-181	181	weak iconicity	evening	晚上	1629	EVENING
He-2010-207-182	182	weak iconicity	warm	温暖	1232	WARM
He-2010-207-183	183	weak iconicity	new	新	1231	NEW
He-2010-207-184	184	weak iconicity	rotten	烂	1728	ROTTEN
He-2010-207-185	185	weak iconicity	dirty	脏	1230	DIRTY
He-2010-207-186	186	weak iconicity	soft	光滑	1856	SOFT
He-2010-207-187	187	weak iconicity	wet	湿	1726	WET
He-2010-207-188	188	weak iconicity	dry	干	1398	DRY
He-2010-207-189	189	weak iconicity	right, correct	对	1725	CORRECT (RIGHT)
He-2010-207-190	190	weak iconicity	near	近	1942	NEAR
He-2010-207-191	191	weak iconicity	far	远	1406	FAR
He-2010-207-192	192	weak iconicity	in	在	1460	IN
He-2010-207-193	193	weak iconicity	in	在···里	1460	IN
He-2010-207-194	194	weak iconicity	follow	跟	1085	FOLLOW
He-2010-207-195	195	weak iconicity	and	和	1577	AND
He-2010-207-196	196	weak iconicity	if	如果	1459	IF
He-2010-207-197	197	weak iconicity	because	因为	1157	BECAUSE
He-2010-207-198	198	no iconicity	how	如何	1239	HOW
He-2010-207-199	199	no iconicity	other	其他	197	OTHER
He-2010-207-200	200	no iconicity	mother	妈妈	1216	MOTHER
He-2010-207-201	201	no iconicity	father	爸爸	1217	FATHER
He-2010-207-202	202	no iconicity	animal	动物	619	ANIMAL
He-2010-207-203	203	no iconicity	louse	虱	1392	LOUSE
He-2010-207-204	204	no iconicity	fruit	水果	1507	FRUIT
He-2010-207-205	205	no iconicity	horn	角	1393	HORN (KERATINIZED SKIN)
He-2010-207-206	206	no iconicity	year	年	1226	YEAR
He-2010-207-207	207	no iconicity	name	姓名	1405	NAME
