ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Brinton-1891-21-1	1554	MAN	1	man
Brinton-1891-21-2	962	WOMAN	2	woman
Brinton-1891-21-3	1343	SUN	3	sun
Brinton-1891-21-4	1313	MOON	4	moon
Brinton-1891-21-5	221	FIRE	5	fire
Brinton-1891-21-6	948	WATER	6	water
Brinton-1891-21-7	1256	HEAD	7	head
Brinton-1891-21-8	1248	EYE	8	eye
Brinton-1891-21-9	1247	EAR	9	ear
Brinton-1891-21-10	674	MOUTH	10	mouth
Brinton-1891-21-11	1221	NOSE	11	nose
Brinton-1891-21-12	1205	TONGUE	12	tongue
Brinton-1891-21-13	1380	TOOTH	13	teeth
Brinton-1891-21-14	1277	HAND	14	hand
Brinton-1891-21-15	1301	FOOT	15	foot
Brinton-1891-21-16	1493	ONE	16	one
Brinton-1891-21-17	1498	TWO	17	two
Brinton-1891-21-18	492	THREE	18	three
Brinton-1891-21-19	1500	FOUR	19	four
Brinton-1891-21-20	493	FIVE	20	five
Brinton-1891-21-21	1252	HOUSE	21	house
