ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PAGE	CHINESE
Wang-2015-62-1	1	hundred	1634	HUNDRED	170	百
Wang-2015-62-2	2	pain	1783	PAIN	170	痛
Wang-2015-62-3	3	sell	1571	SELL	170	卖
Wang-2015-62-4	4	taro	351	TARO	170	芋头
Wang-2015-62-5	5	sleep	1585	SLEEP	170	睡
Wang-2015-62-6	6	flower	239	FLOWER	170	花
Wang-2015-62-7	7	two	1498	TWO	170f	二
Wang-2015-62-8	8	fruit	1507	FRUIT	170f	水果
Wang-2015-62-9	9	three	492	THREE	170f	三
Wang-2015-62-10	10	full	1429	FULL	170f	满
Wang-2015-62-11	11	hand	1277	HAND	170f	手
Wang-2015-62-12	12	snow	784	SNOW	170f	雪
Wang-2015-62-13	13	five	493	FIVE	171	五
Wang-2015-62-14	14	fish	227	FISH	171	鱼
Wang-2015-62-15	15	bamboo shoot	2494	BAMBOO SHOOT	171	竹笋
Wang-2015-62-16	16	spicy	544	SPICY	171	辣
Wang-2015-62-17	17	urine	1142	URINE	171	尿
Wang-2015-62-18	18	four	1500	FOUR	171	四
Wang-2015-62-19	19	drink	1401	DRINK	171f	喝
Wang-2015-62-20	20	tongue	1205	TONGUE	171f	舌头
Wang-2015-62-21	21	hair	1040	HAIR	171f	毛
Wang-2015-62-22	22	sour	1906	SOUR	171f	酸
Wang-2015-62-23	23	lacquer	647	PAINT (PIGMENTS)	171f	漆
Wang-2015-62-24	24	bone	1394	BONE	171f	骨头
Wang-2015-62-25	25	wash (hands)	1453	WASH	172	洗(洗手)
Wang-2015-62-26	26	wing	1257	WING	172	翅膀
Wang-2015-62-27	27	charcoal	1188	CHARCOAL	172	炭(木炭)
Wang-2015-62-28	28	fire	221	FIRE	172	火
Wang-2015-62-29	29	die	1494	DIE	172	死
Wang-2015-62-30	30	long	1203	LONG	172	长
Wang-2015-62-31	31	wear (cap)	976	WEAR	172f	戴(戴帽)
Wang-2015-62-32	32	this	1214	THIS	172f	这
Wang-2015-62-33	33	classifier (bowl)	2080	BOWL (CLASSIFIER)	172f	个(这个碗)
Wang-2015-62-34	34	cross (river)	574	TRANSIT	172f	过(过河)
Wang-2015-62-35	35	bird	937	BIRD	172f	鸟
Wang-2015-62-36	36	moon	1313	MOON	172f	月亮
Wang-2015-62-37	37	tail	1220	TAIL	173	尾巴
Wang-2015-62-38	38	cucumber	496	CUCUMBER	173	黄瓜
Wang-2015-62-39	39	chicken	1318	CHICKEN	173	鸡
Wang-2015-62-40	40	chopsticks	1987	CHOPSTICKS	173	筷子
Wang-2015-62-41	41	six	1703	SIX	173	六
Wang-2015-62-42	42	laugh	1355	LAUGH	173	笑
Wang-2015-62-43	43	fat	1279	FAT (OBESE)	174	肥
Wang-2015-62-44	44	high	1265	HIGH	174	高
Wang-2015-62-45	45	new	1231	NEW	174	新
Wang-2015-62-46	46	ash	646	ASH	174	灰(草木灰)
Wang-2015-62-47	47	blood	946	BLOOD	174	血
Wang-2015-62-48	48	heavy	1210	HEAVY	174	重
Wang-2015-62-49	49	steal	713	STEAL	174	偷
Wang-2015-62-50	50	silver	759	SILVER	174	银子
Wang-2015-62-51	51	eight	1705	EIGHT	174	八
Wang-2015-62-52	52	nine	1483	NINE	174	九
Wang-2015-62-53	53	itchy	149	ITCHY	174	痒
Wang-2015-62-54	54	ten	1515	TEN	174	十
Wang-2015-62-55	55	mushroom	641	MUSHROOM	175	菌子
Wang-2015-62-56	56	a unit of weight	2647	CATTY (MASS UNIT)	175	斤
Wang-2015-62-57	57	worm	1219	WORM	175	虫
Wang-2015-62-58	58	road	667	ROAD	175	路
Wang-2015-62-59	59	buffalo	934	BUFFALO	175	水牛
Wang-2015-62-60	60	horn	1393	HORN (ANATOMY)	175	角
Wang-2015-62-61	61	vegetable	924	VEGETABLES	175	菜
Wang-2015-62-62	62	stone	857	STONE	175	石头
