ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN	SUBLIST
Yakhontov-1991-100-1	646	ASH	1	ashes	пепел	Yakhontov-1991-65
Yakhontov-1991-100-2	1251	BELLY	2	belly	живот	Yakhontov-1991-65
Yakhontov-1991-100-3	1202	BIG	3	big	большой	Yakhontov-1991-65
Yakhontov-1991-100-4	937	BIRD	4	bird	птица	Yakhontov-1991-65
Yakhontov-1991-100-5	163	BLACK	5	black	черный	Yakhontov-1991-65
Yakhontov-1991-100-6	946	BLOOD	6	blood	кровь	Yakhontov-1991-35
Yakhontov-1991-100-7	1394	BONE	7	bone	кость	Yakhontov-1991-35
Yakhontov-1991-100-8	1402	BREAST	8	breast	грудь	Yakhontov-1991-65
Yakhontov-1991-100-9	1489	CLOUD	9	cloud	облака	Yakhontov-1991-65
Yakhontov-1991-100-10	1287	COLD	10	cold	холодный	Yakhontov-1991-65
Yakhontov-1991-100-11	1446	COME	11	come	приходить	Yakhontov-1991-65
Yakhontov-1991-100-12	1494	DIE	12	die	умирать	Yakhontov-1991-35
Yakhontov-1991-100-13	2009	DOG	13	dog	собака	Yakhontov-1991-35
Yakhontov-1991-100-14	1401	DRINK	14	drink	пить	Yakhontov-1991-65
Yakhontov-1991-100-15	1398	DRY	15	dry	сухой	Yakhontov-1991-65
Yakhontov-1991-100-16	1247	EAR	16	ear	ухо	Yakhontov-1991-35
Yakhontov-1991-100-17	1228	EARTH (SOIL)	17	earth	земль	Yakhontov-1991-65
Yakhontov-1991-100-18	1336	EAT	18	eat	есть	Yakhontov-1991-65
Yakhontov-1991-100-19	744	EGG	19	egg	яйцо	Yakhontov-1991-35
Yakhontov-1991-100-20	1248	EYE	20	eye	глаз	Yakhontov-1991-35
Yakhontov-1991-100-21	1406	FAR	21	far	далекий	Yakhontov-1991-65
Yakhontov-1991-100-22	1282	FAT (FROM ANIMALS)	22	fat n.	жир	Yakhontov-1991-65
Yakhontov-1991-100-23	221	FIRE	23	fire	огонь	Yakhontov-1991-35
Yakhontov-1991-100-24	227	FISH	24	fish	перо	Yakhontov-1991-35
Yakhontov-1991-100-25	1441	FLY (MOVE THROUGH AIR)	25	fly v.	лететь	Yakhontov-1991-65
Yakhontov-1991-100-26	1301	FOOT	26	foot	нога	Yakhontov-1991-65
Yakhontov-1991-100-27	1429	FULL	27	full	полны	Yakhontov-1991-35
Yakhontov-1991-100-28	1447	GIVE	28	give	давать	Yakhontov-1991-35
Yakhontov-1991-100-29	1035	GOOD	29	good	хороший	Yakhontov-1991-65
Yakhontov-1991-100-30	1425	GREEN	30	green	зеленый	Yakhontov-1991-65
Yakhontov-1991-100-31	2648	HAIR (HEAD)	31	hair	волос	Yakhontov-1991-65
Yakhontov-1991-100-32	1277	HAND	32	hand	рука	Yakhontov-1991-35
Yakhontov-1991-100-33	1256	HEAD	33	head	голова	Yakhontov-1991-65
Yakhontov-1991-100-34	1408	HEAR	34	hear	слышать	Yakhontov-1991-65
Yakhontov-1991-100-35	1223	HEART	35	heart	сердце	Yakhontov-1991-65
Yakhontov-1991-100-36	1210	HEAVY	36	heavy	тяжелый	Yakhontov-1991-65
Yakhontov-1991-100-37	1393	HORN (ANATOMY)	37	horn	рог	Yakhontov-1991-35
Yakhontov-1991-100-38	1209	I	38	I	я	Yakhontov-1991-35
Yakhontov-1991-100-39	1417	KILL	39	kill	убивать	Yakhontov-1991-65
Yakhontov-1991-100-40	1371	KNEE	40	knee	колено	Yakhontov-1991-65
Yakhontov-1991-100-41	1410	KNOW (SOMETHING)	41	know	знать	Yakhontov-1991-35
Yakhontov-1991-100-42	628	LEAF	42	leaf	лист	Yakhontov-1991-65
Yakhontov-1991-100-43	1224	LIVER	43	liver	печень	Yakhontov-1991-65
Yakhontov-1991-100-44	1203	LONG	44	long	длинний	Yakhontov-1991-65
Yakhontov-1991-100-45	1392	LOUSE	45	louse	вошь	Yakhontov-1991-35
Yakhontov-1991-100-46	1554	MAN	46	man	мужчина	Yakhontov-1991-65
Yakhontov-1991-100-47	1198	MANY	47	many	много	Yakhontov-1991-65
Yakhontov-1991-100-48	634	MEAT	48	meat	мясо	Yakhontov-1991-65
Yakhontov-1991-100-49	1313	MOON	49	moon	луна	Yakhontov-1991-35
Yakhontov-1991-100-50	639	MOUNTAIN	50	mountain	гора	Yakhontov-1991-65
Yakhontov-1991-100-51	674	MOUTH	51	mouth	рот	Yakhontov-1991-65
Yakhontov-1991-100-52	1405	NAME	52	name	имя	Yakhontov-1991-35
Yakhontov-1991-100-53	1942	NEAR	53	near	блиский	Yakhontov-1991-65
Yakhontov-1991-100-54	1333	NECK	54	neck	шея	Yakhontov-1991-65
Yakhontov-1991-100-55	1231	NEW	55	new	новый	Yakhontov-1991-35
Yakhontov-1991-100-56	1233	NIGHT	56	night	ночь	Yakhontov-1991-65
Yakhontov-1991-100-57	1221	NOSE	57	nose	нос	Yakhontov-1991-35
Yakhontov-1991-100-58	1240	NOT	58	not	не	Yakhontov-1991-65
Yakhontov-1991-100-59	1493	ONE	59	one	один	Yakhontov-1991-35
Yakhontov-1991-100-60	683	PERSON	60	person	человек	Yakhontov-1991-65
Yakhontov-1991-100-61	658	RAIN (PRECIPITATION)	61	rain	дождь	Yakhontov-1991-65
Yakhontov-1991-100-62	156	RED	62	red	красный	Yakhontov-1991-65
Yakhontov-1991-100-63	667	ROAD	63	road	дорога	Yakhontov-1991-65
Yakhontov-1991-100-64	670	ROOT	64	root	корень	Yakhontov-1991-65
Yakhontov-1991-100-65	1395	ROUND	65	round	круглый	Yakhontov-1991-65
