ID	CONCEPTICON_ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS
Shevoroshkin-1991-23-1	1209	1	I/me [first person sg. pronoun]	I
Shevoroshkin-1991-23-2	1498	2	two/pair	TWO
Shevoroshkin-1991-23-3	1215	3	thou/thee [second person sg. pronoun]	THOU
Shevoroshkin-1991-23-4	2147	4	who/what	WHO OR WHAT
Shevoroshkin-1991-23-5	1205	5	tongue	TONGUE
Shevoroshkin-1991-23-6	1405	6	name	NAME
Shevoroshkin-1991-23-7	1248	7	eye	EYE
Shevoroshkin-1991-23-8	1223	8	heart	HEART
Shevoroshkin-1991-23-9	1380	9	tooth	TOOTH
Shevoroshkin-1991-23-10	2279	10	no/not [negative and prohibitive particles]	NO OR NOT
Shevoroshkin-1991-23-11	1896	11	fingernail/toenail	FINGERNAIL OR TOENAIL
Shevoroshkin-1991-23-12	2280	12	louse/nit	LOUSE OR NIT
Shevoroshkin-1991-23-13	1651	13	tear(drop)	TEAR (OF EYE)
Shevoroshkin-1991-23-14	948	14	water	WATER
Shevoroshkin-1991-23-15	1625	15	dead	DEAD
Shevoroshkin-1991-23-16	1277	16	hand	HAND
Shevoroshkin-1991-23-17	1233	17	night	NIGHT
Shevoroshkin-1991-23-18	946	18	blood	BLOOD
Shevoroshkin-1991-23-19	1393	19	horn	HORN (KERATINIZED SKIN)
Shevoroshkin-1991-23-20	1429	20	full	FULL
Shevoroshkin-1991-23-21	1343	21	sun	SUN
Shevoroshkin-1991-23-22	1247	22	ear	EAR
Shevoroshkin-1991-23-23	1274	23	salt	SALT
