ID	NUMBER	ENGLISH	SUBLIST	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
SIL-2002-436-1	1	sky	◇	-	1732	SKY
SIL-2002-436-2	2	sun	•	-	1343	SUN
SIL-2002-436-3	3	moon	•	-	1313	MOON
SIL-2002-436-4	4	star	•	-	1430	STAR
SIL-2002-436-5	5	cloud	•	-	1489	CLOUD
SIL-2002-436-6	6	mist	◇	-	249	FOG
SIL-2002-436-7	7	rain	•	-	658	RAIN (PRECIPITATION)
SIL-2002-436-8	8	rainbow	◇	-	1733	RAINBOW
SIL-2002-436-9	9	lightning		-	1654	LIGHTNING
SIL-2002-436-10	10	thunder		-	1150	THUNDER
SIL-2002-436-11	11	wind		-	960	WIND
SIL-2002-436-12	12	night	•	-	1233	NIGHT
SIL-2002-436-13	13	day	◇	-	1225	DAY (NOT NIGHT)
SIL-2002-436-14	14	morning		-	1339	MORNING
SIL-2002-436-15	15	noon		-	12	MIDDAY
SIL-2002-436-16	16	yesterday		-	1174	YESTERDAY
SIL-2002-436-17	17	tomorrow		-	1329	TOMORROW
SIL-2002-436-18	18	year	•	-	1226	YEAR
SIL-2002-436-19	19	east		-	1877	EAST
SIL-2002-436-20	20	west		-	1817	WEST
SIL-2002-436-21	21	north		-	1598	NORTH
SIL-2002-436-22	22	south		-	1595	SOUTH
SIL-2002-436-23	23	water	•	-	948	WATER
SIL-2002-436-24	24	river	◇	-	666	RIVER
SIL-2002-436-25	25	sea	◇	-	1474	SEA
SIL-2002-436-26	26	earth, soil	•	-	1228	EARTH (SOIL)
SIL-2002-436-27	27	mud	◇	-	640	MUD
SIL-2002-436-28	28	dust	◇	-	2	DUST
SIL-2002-436-29	29	stone	•	-	857	STONE
SIL-2002-436-30	30	sand	•	-	671	SAND
SIL-2002-436-31	31	lime (for betel chew)		-	982	LIME (FRUIT)
SIL-2002-436-32	32	gold	◇	-	1369	GOLD
SIL-2002-436-33	33	silver	◇	-	759	SILVER
SIL-2002-436-34	34	iron		-	621	IRON
SIL-2002-436-35	35	mountain	•	-	639	MOUNTAIN
SIL-2002-436-36	36	cave	-	-	1155	CAVE
SIL-2002-436-37	37	forest	◇	Plants, Food	420	FOREST
SIL-2002-436-38	38	tree	•	Plants, Food	906	TREE
SIL-2002-436-39	39	branch	◇	Plants, Food	1531	BRANCH
SIL-2002-436-40	40	tree bark	◇	Plants, Food	1204	BARK
SIL-2002-436-41	41	thorn		Plants, Food	124	THORN
SIL-2002-436-42	42	root	◇	Plants, Food	670	ROOT
SIL-2002-436-43	43	leaf	◇	Plants, Food	628	LEAF
SIL-2002-436-44	44	flower	•	Plants, Food	239	FLOWER
SIL-2002-436-45	45	fruit	◇	Plants, Food	1507	FRUIT
SIL-2002-436-46	46	seed	•	Plants, Food	714	SEED
SIL-2002-436-47	47	grass	◇	Plants, Food	606	GRASS
SIL-2002-436-48	48	bamboo		Plants, Food	1927	BAMBOO
SIL-2002-436-49	49	bamboo shoot		Plants, Food	2494	BAMBOO SHOOT
SIL-2002-436-50	50	mushroom		Plants, Food	641	MUSHROOM
SIL-2002-436-51	51	cane/rattan	-	Plants, Food	2497	RATTAN
SIL-2002-436-52	52	kapok		Plants, Food	2499	KAPOK TREE
SIL-2002-436-53	53	sugarcane		Plants, Food	146	SUGAR CANE
SIL-2002-436-54	54	betelnut	◇	Plants, Food	217	BETELNUT
SIL-2002-436-55	55	opium		Plants, Food	2498	OPIUM
SIL-2002-436-56	56	liquor		Plants, Food	842	LIQUOR
SIL-2002-436-57	57	banana (fruit)	◇	Plants, Food	868	BANANA
SIL-2002-436-58	58	papaya (fruit)	◇	Plants, Food	2445	PAPAYA
SIL-2002-436-59	59	mango (fruit)		Plants, Food	2398	MANGO
SIL-2002-436-60	60	jackfruit (fruit)		Plants, Food		
SIL-2002-436-61	61	coconut (fruit)	◇	Plants, Food	970	COCONUT
SIL-2002-436-62	62	eggplant (fruit)		Plants, Food	1146	AUBERGINE
SIL-2002-436-63	63	peanut		Plants, Food	2364	PEANUT
SIL-2002-436-64	64	ginger		Plants, Food	2500	GINGER
SIL-2002-436-65	65	garlic		Plants, Food	2368	GARLIC
SIL-2002-436-66	66	corn	◇	Plants, Food	506	MAIZE
SIL-2002-436-67	67	red pepper, chili	◇	Plants, Food	919	CHILI PEPPER
SIL-2002-436-68	68	paddy rice	◇	Plants, Food	2026	RICE PLANT
SIL-2002-436-69	69	cooked rice	◇	Plants, Food	1191	COOKED RICE
SIL-2002-436-70	70	*rice husk	◇	Plants, Food	2501	RICE HUSK
SIL-2002-436-71	71	salt	◇	Plants, Food	1274	SALT
SIL-2002-436-72	72	animal	◇	Animals	619	ANIMAL
SIL-2002-436-73	73	tiger	◇	Animals	846	TIGER
SIL-2002-436-74	74	bear		Animals	1820	BEAR
SIL-2002-436-75	75	deer	◇	Animals	1936	DEER
SIL-2002-436-76	76	monkey	◇	Animals	1350	MONKEY
SIL-2002-436-77	77	gibbon	-	Animals	2511	GIBBON
SIL-2002-436-78	78	rabbit	◇	Animals	1136	RABBIT
SIL-2002-436-79	79	porcupine		Animals	2510	PORCUPINE
SIL-2002-436-80	80	rat	◇	Animals	1490	RAT
SIL-2002-436-81	81	dog	•	Animals	2009	DOG
SIL-2002-436-82	82	to bark		Animals	1204	BARK
SIL-2002-436-83	83	to bite	•	Animals	1403	BITE
SIL-2002-436-84	84	cat		Animals	1208	CAT
SIL-2002-436-85	85	pig	◇	Animals	1337	PIG
SIL-2002-436-86	86	cow	◇	Animals	1007	COW
SIL-2002-436-87	87	milk		Animals	635	MILK
SIL-2002-436-88	88	buffalo	◇	Animals	934	BUFFALO
SIL-2002-436-89	89	horn	•	Animals	1393	HORN (ANATOMY)
SIL-2002-436-90	90	tail	•	Animals	1220	TAIL
SIL-2002-436-91	91	elephant	◇	Animals	1290	ELEPHANT
SIL-2002-436-92	92	elephant tusk	◇	Animals	2495	ELEPHANT TUSK
SIL-2002-436-93	93	bird	•	Animals	937	BIRD
SIL-2002-436-94	94	bird's nest		Animals	539	NEST
SIL-2002-436-95	95	wing	◇	Animals	1257	WING
SIL-2002-436-96	96	feather	•	Animals	1201	FEATHER
SIL-2002-436-97	97	to fly	•	Animals	1441	FLY (MOVE THROUGH AIR)
SIL-2002-436-98	98	egg	•	Animals	744	EGG
SIL-2002-436-99	99	chicken	◇	Animals	1318	CHICKEN
SIL-2002-436-100	100	duck	◇	Animals	1360	DUCK
SIL-2002-436-101	101	fish	•	Animals	227	FISH
SIL-2002-436-102	102	snake	◇	Animals	730	SNAKE
SIL-2002-436-103	103	house lizard		Animals	632	LIZARD
SIL-2002-436-104	104	turtle		Animals	112	TURTLE
SIL-2002-436-105	105	crocodile		Animals	1857	CROCODILE
SIL-2002-436-106	106	frog		Animals	503	FROG
SIL-2002-436-107	107	insect		Animals	620	INSECT
SIL-2002-436-108	108	spider	◇	Animals	843	SPIDER
SIL-2002-436-109	109	spider web		Animals	1065	SPIDER WEB
SIL-2002-436-110	110	louse (head)	•	Animals	310	HEAD LOUSE
SIL-2002-436-111	111	termite		Animals	883	TERMITE
SIL-2002-436-112	112	cockroach		Animals	1575	COCKROACH
SIL-2002-436-113	113	snail		Animals	1543	SNAIL
SIL-2002-436-114	114	mosquito	◇	Animals	1509	MOSQUITO
SIL-2002-436-115	115	bee		Animals	665	BEE
SIL-2002-436-116	116	fly	◇	Animals	1504	FLY (INSECT)
SIL-2002-436-117	117	butterfly		Animals	1791	BUTTERFLY
SIL-2002-436-118	118	scorpion	◇	Animals	1538	SCORPION
SIL-2002-436-119	119	head	•	Body	1256	HEAD
SIL-2002-436-120	120	face		Body	1560	FACE
SIL-2002-436-121	121	brain		Body	1583	BRAIN
SIL-2002-436-122	122	hair	•	Body	1040	HAIR
SIL-2002-436-123	123	forehead		Body	123	FOREHEAD
SIL-2002-436-124	124	eyebrow		Body	1173	EYEBROW
SIL-2002-436-125	125	eye	•	Body	1248	EYE
SIL-2002-436-126	126	eyelid		Body	17	EYELID
SIL-2002-436-127	127	nose	•	Body	1221	NOSE
SIL-2002-436-128	128	cheek		Body	1730	CHEEK
SIL-2002-436-129	129	ear	•	Body	1247	EAR
SIL-2002-436-130	130	mouth	•	Body	674	MOUTH
SIL-2002-436-131	131	tongue	•	Body	1205	TONGUE
SIL-2002-436-132	132	saliva		Body	1503	SALIVA
SIL-2002-436-133	133	tooth	•	Body	1380	TOOTH
SIL-2002-436-134	134	gums		Body	139	GUMS
SIL-2002-436-135	135	chin		Body	1510	CHIN
SIL-2002-436-136	136	beard		Body	678	BEARD
SIL-2002-436-137	137	to shave (beard)		Body	231	SHAVE
SIL-2002-436-138	138	back	◇	Body	1291	BACK
SIL-2002-436-139	139	abdomen	•	Body	1251	BELLY
SIL-2002-436-140	140	navel		Body	1838	NAVEL
SIL-2002-436-141	141	heart	•	Body	1223	HEART
SIL-2002-436-142	142	lungs		Body	688	LUNG
SIL-2002-436-143	143	liver	•	Body	1224	LIVER
SIL-2002-436-144	144	intestines	◇	Body	1991	INTESTINES
SIL-2002-436-145	145	hand	•	Body	1277	HAND
SIL-2002-436-146	146	elbow		Body	981	ELBOW
SIL-2002-436-147	147	armpit		Body	1886	ARMPIT
SIL-2002-436-148	148	palm	◇	Body	1181	PALM TREE
SIL-2002-436-149	149	finger		Body	1303	FINGER
SIL-2002-436-150	150	fingernail	•	Body	1258	FINGERNAIL
SIL-2002-436-151	151	buttocks		Body	834	BUTTOCKS
SIL-2002-436-152	152	leg	◇	Body	1297	LEG
SIL-2002-436-153	153	thigh	◇	Body	800	THIGH
SIL-2002-436-154	154	knee	•	Body	1371	KNEE
SIL-2002-436-155	155	calf	◇	Body	1989	CALF
