ID	NUMBER	Mann-2004-500	ENGLISH	Matisoff-1978-200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-210-1	1	1	afraid	fear/frighten	1419	FEAR (BE AFRAID)
Mann-2004-210-2	2	2	alive	alive	1422	BE ALIVE
Mann-2004-210-3	3	6	animal	meat/animal	619	ANIMAL
Mann-2004-210-4	4	8	ant	ant	587	ANT
Mann-2004-210-5	5	11	arrow	arrow	977	ARROW
Mann-2004-210-6	6	12	ashamed	ashamed	1894	ASHAMED
Mann-2004-210-7	7	13	ashes	ashes	646	ASH
Mann-2004-210-8	8	15	awaken	awaken	825	AWAKE
Mann-2004-210-9	9	19	bamboo	bamboo	1927	BAMBOO
Mann-2004-210-10	10	21	banana/plantain	banana	868	BANANA
Mann-2004-210-11	11	25	bear	bear	1820	BEAR
Mann-2004-210-12	12	28	bee	bee	665	BEE
Mann-2004-210-13	13	29	belly	belly	1251	BELLY
Mann-2004-210-14	14	33	bird	bird	937	BIRD
Mann-2004-210-15	15	35	bite	bite	1403	BITE
Mann-2004-210-16	16	36	bitter	bitter	887	BITTER
Mann-2004-210-17	17	37	black	black	163	BLACK
Mann-2004-210-18	18	40	blood	blood	946	BLOOD
Mann-2004-210-19	19	41	blow	blow	175	BLOW (OF WIND)
Mann-2004-210-20	20	42	boat	boat	1844	BOAT
Mann-2004-210-21	21	44	bone	bone	1394	BONE
Mann-2004-210-22	22	45	born	born	1090	BE BORN
Mann-2004-210-23	23	46	bow	bow	994	BOW
Mann-2004-210-24	24	47	brain	brain	1583	BRAIN
Mann-2004-210-25	25	48	branch	branch	826	BRANCH (BIFURCATION)
Mann-2004-210-26	26	50	breast/milk	vagina/breast/milk	2129	BREAST OR MILK
Mann-2004-210-27	27	51	breath	breath/life	870	BREATH
Mann-2004-210-28	28	58	burn	burn	2102	BURN
Mann-2004-210-29	29	62	buy	buy	1869	BUY
Mann-2004-210-30	30	70	child	child/son	2099	CHILD
Mann-2004-210-31	31	73	claw	nail/claw	72	CLAW
Mann-2004-210-32	32	74	climb/ascend	climb/ascend	1102	CLIMB
Mann-2004-210-33	33	76	cloud	cloud	1489	CLOUD
Mann-2004-210-34	34	79	cold	cold	1287	COLD
Mann-2004-210-35	35	82	cook/boil	cook/boil	1100	COOK (SOMETHING)
Mann-2004-210-36	36	86	cough	cough	879	COUGH
Mann-2004-210-37	37	92	cut	cut	1432	CUT
Mann-2004-210-38	38	99	descend	descend	2014	GO DOWN (DESCEND)
Mann-2004-210-39	39	100	die	die	1494	DIE
Mann-2004-210-40	40	102	dig	dig	1418	DIG
Mann-2004-210-41	41	107	dog	dog	2009	DOG
Mann-2004-210-42	42	110	dove	dove	1853	DOVE
Mann-2004-210-43	43	111	dream	dream	1920	DREAM (SOMETHING)
Mann-2004-210-44	44	112	drink	drink	1401	DRINK
Mann-2004-210-45	45	120	ear	ear/hear	1247	EAR
Mann-2004-210-46	46	121	earth/soil	earth	1228	EARTH (SOIL)
Mann-2004-210-47	47	124	eat	eat	1336	EAT
Mann-2004-210-48	48	125	egg	egg	744	EGG
Mann-2004-210-49	49	127	eight	eight	1705	EIGHT
Mann-2004-210-50	50	130	emerge	emerge	1076	EMERGE, APPEAR
Mann-2004-210-51	51	133	excrement	shit	675	FAECES
Mann-2004-210-52	52	134	extinguish	extinguish	127	EXTINGUISH
Mann-2004-210-53	53	135	eye	eye	1248	EYE
Mann-2004-210-54	54	139	fall	fall	2234	FALL (SNOW, RAIN)
Mann-2004-210-55	55	140	far	far	1406	FAR
Mann-2004-210-56	56	142	fat (n.)	fat/grease	323	FAT (ORGANIC SUBSTANCE)
Mann-2004-210-57	57	143	fat (adj.)	fat	1279	FAT (OBESE)
Mann-2004-210-58	58	145	feather	hair (body)	1201	FEATHER
Mann-2004-210-59	59	147	field	field	212	FIELD
Mann-2004-210-60	60	149	finger	finger/toe	1303	FINGER
Mann-2004-210-61	61	150	fire	fire	221	FIRE
Mann-2004-210-62	62	152	fish	fish	227	FISH
Mann-2004-210-63	63	153	five	five	493	FIVE
Mann-2004-210-64	64	157	flower	flower	239	FLOWER
Mann-2004-210-65	65	158	fly	fly	1504	FLY (INSECT)
Mann-2004-210-66	66	161	foot	foot	1301	FOOT
Mann-2004-210-67	67	163	forget	forget	1523	FORGET
Mann-2004-210-68	68	164	four	four	1500	FOUR
Mann-2004-210-69	69	165	fowl	fowl	265	FOWL
Mann-2004-210-70	70	168	frog	frog	503	FROG
Mann-2004-210-71	71	169	fruit	fruit	1507	FRUIT
Mann-2004-210-72	72	170	full	full	1429	FULL
Mann-2004-210-73	73	176	give	give	1447	GIVE
Mann-2004-210-74	74	180	grandchild (nephew)	grandchild	1617	GRANDCHILD
Mann-2004-210-75	75	181	grass	grass	606	GRASS
Mann-2004-210-76	76	184	grind	grind	1033	GRIND
Mann-2004-210-77	77	186	hair	hair (head)	1040	HAIR
Mann-2004-210-78	78	189	hand	hand/arm	1277	HAND
Mann-2004-210-79	79	193	head	head	1256	HEAD
Mann-2004-210-80	80	195	heart	heart	1223	HEART
Mann-2004-210-81	81	196	heavy	heavy	1210	HEAVY
Mann-2004-210-82	82	199	hide	hide	602	HIDE (CONCEAL)
Mann-2004-210-83	83	202	horn	horn	1393	HORN (KERATINIZED SKIN)
Mann-2004-210-84	84	203	horse	horse	615	HORSE
Mann-2004-210-85	85	205	house	house	1252	HOUSE
Mann-2004-210-86	86	207	hundred	hundred	1634	HUNDRED
Mann-2004-210-87	87	209	hunt	hunt/drive	1435	HUNT
Mann-2004-210-88	88	212	I (1sg.)	I	1209	I
Mann-2004-210-89	89	215	ill	ill	1847	SICK
Mann-2004-210-90	90	217	insect	insect/bug/vermin	620	INSECT
Mann-2004-210-91	91	218	intestine	guts	1334	GUTS
Mann-2004-210-92	92	219	iron	iron	621	IRON
Mann-2004-210-93	93	220	irrigated paddy field	irrigated paddy field	140	PADDY FIELD
Mann-2004-210-94	94	221	itchy	itchy	149	ITCHY
Mann-2004-210-95	95	223	joint	joint	999	JOINT
Mann-2004-210-96	96	225	kick	kick	1135	KICK
Mann-2004-210-97	97	226	kill	kill	1417	KILL
Mann-2004-210-98	98	230	know	know	2248	KNOW (SOMEBODY)
Mann-2004-210-99	99	233	laugh	laugh	1355	LAUGH
Mann-2004-210-100	100	235	leaf	leaf	628	LEAF
Mann-2004-210-101	101	236	leech (land)	leech (land)	2273	LEECH
Mann-2004-210-102	102	237	left (hand)	Left side	244	LEFT
Mann-2004-210-103	103	239	lick	lick	319	LICK
Mann-2004-210-104	104	244	lightweight	lightweight	1052	LIGHT (WEIGHT)
Mann-2004-210-105	105	246	liquor	liquor	842	LIQUOR
Mann-2004-210-106	106	248	liver	liver	1224	LIVER
Mann-2004-210-107	107	250	long	long/tall	1203	LONG
Mann-2004-210-108	108	251	loose	let go/set free/loosen	1933	LOOSEN
Mann-2004-210-109	109	252	louse	louse	1392	LOUSE
Mann-2004-210-110	110	257	many	many	1198	MANY
Mann-2004-210-111	111	258	marrow	marrow	1835	MARROW
Mann-2004-210-112	112	260	medicine	medicine/juice	1372	MEDICINE
Mann-2004-210-113	113	261	monkey	monkey	1350	MONKEY
Mann-2004-210-114	114	263	moon	moon	1313	MOON
Mann-2004-210-115	115	265	mortar	mortar	224	MORTAR CRUSHER
Mann-2004-210-116	116	268	mountain	mountain	639	MOUNTAIN
Mann-2004-210-117	117	269	mouth	mouth	674	MOUTH
Mann-2004-210-118	118	271	mushroom/fungus	mushroom/fungus	641	MUSHROOM
Mann-2004-210-119	119	273	name	name	1405	NAME
Mann-2004-210-120	120	276	navel	navel	1838	NAVEL
Mann-2004-210-121	121	277	near	near	1942	NEAR
Mann-2004-210-122	122	278	neck	neck	1333	NECK
Mann-2004-210-123	123	279	needle	needle	1382	NEEDLE (FOR SEWING)
Mann-2004-210-124	124	280	new	new	1231	NEW
Mann-2004-210-125	125	281	night	night	1233	NIGHT
Mann-2004-210-126	126	282	nine	nine	1483	NINE
Mann-2004-210-127	127	285	nose	nose	1221	NOSE
Mann-2004-210-128	128	287	old	old	2113	OLD (USED)
Mann-2004-210-129	129	288	one	one	1493	ONE
Mann-2004-210-130	130	291	otter	otter	15	OTTER
Mann-2004-210-131	131	292	palm	palm	2372	SAGO PALM
Mann-2004-210-132	132	298	peas, beans	peas, beans	832	BEAN
Mann-2004-210-133	133	299	penis	penis	1222	PENIS
Mann-2004-210-134	134	300	person	person	683	PERSON
Mann-2004-210-135	135	304	pig	pig	1337	PIG
Mann-2004-210-136	136	309	poison	poison	655	POISON
Mann-2004-210-137	137	316	put/place	put/place	998	PUT
Mann-2004-210-138	138	318	rain	rain (n.)	2108	RAINING OR RAIN
Mann-2004-210-139	139	320	rat	rat/rodent	1490	RAT
Mann-2004-210-140	140	321	red	red	156	RED
Mann-2004-210-141	141	325	rice (cooked)	rice (cooked)	926	RICE
Mann-2004-210-142	142	326	rice (in fields)	rice (in fields)	925	CASSAVA
Mann-2004-210-143	143	329	right(hand)	right side	1019	RIGHT
Mann-2004-210-144	144	331	ripe	ripe/well-cooked	178	RIPE
Mann-2004-210-145	145	332	river	river/valley	666	RIVER
Mann-2004-210-146	146	333	road (path)	road	667	ROAD
Mann-2004-210-147	147	335	root	root	670	ROOT
Mann-2004-210-148	148	338	round	round	1395	ROUND
Mann-2004-210-149	149	339	rub	rub	1449	RUB
Mann-2004-210-150	150	340	run/flee	run/flee	2142	RUN AWAY
Mann-2004-210-151	151	342	salt	salt	1274	SALT
Mann-2004-210-152	152	347	scratch	scratch/scrape	1436	SCRATCH
Mann-2004-210-153	153	349	see	see	1409	SEE
Mann-2004-210-154	154	351	sell	sell	1571	SELL
Mann-2004-210-155	155	352	seven	seven	1704	SEVEN
Mann-2004-210-156	156	353	sew	sew	1457	SEW
Mann-2004-210-157	157	354	shade/shadow	shade/shadow	1388	SHADE
Mann-2004-210-158	158	356	sharp	sharp	1396	SHARP
Mann-2004-210-159	159	360	shoot	shoot	1172	SHOOT
Mann-2004-210-160	160	364	silver	silver	759	SILVER
Mann-2004-210-161	161	371	sit	sit	1416	SIT
Mann-2004-210-162	162	372	six	six	1703	SIX
Mann-2004-210-163	163	373	skin	skin/bark	763	SKIN
Mann-2004-210-164	164	375	sky	sky	1732	SKY
Mann-2004-210-165	165	376	sleep	sleep/lie down	1585	SLEEP
Mann-2004-210-166	166	380	smell	smell	2124	SMELL
