ID	NUMBER	EXCLUDED	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2011-204-1	1		*above	1741	ABOVE
Bowern-2011-204-2	2		*again	204	AGAIN
Bowern-2011-204-3	3		all	98	ALL
Bowern-2011-204-4	4		and	1577	AND
Bowern-2011-204-5	5		*ankle	803	ANKLE
Bowern-2011-204-6	6		*ant	587	ANT
Bowern-2011-204-7	7		*armpit	1886	ARMPIT
Bowern-2011-204-8	8		ash	646	ASH
Bowern-2011-204-9	9		at	1461	AT
Bowern-2011-204-10	10		back	1291	BACK
Bowern-2011-204-11	11		bad/evil	45	EVIL
Bowern-2011-204-12	12		belly	1251	BELLY
Bowern-2011-204-13	13		*below	2094	DOWN OR BELOW
Bowern-2011-204-14	14		big	1202	BIG
Bowern-2011-204-15	15		bird	937	BIRD
Bowern-2011-204-16	16		bite	1403	BITE
Bowern-2011-204-17	17		black	163	BLACK
Bowern-2011-204-18	18		blood	946	BLOOD
Bowern-2011-204-19	19		blow	175	BLOW (OF WIND)
Bowern-2011-204-20	20		*blowfly/housefly	1504	FLY (INSECT)
Bowern-2011-204-21	21		*boil/pimple	1809	PIMPLE
Bowern-2011-204-22	22		bone	1394	BONE
Bowern-2011-204-23	23		*boomerang/throwing stick	135	BOOMERANG
Bowern-2011-204-24	24		bottom grinding stone	2459	GRINDSTONE
Bowern-2011-204-25	25		breast	1402	BREAST
Bowern-2011-204-26	26		breathe	1407	BREATHE
Bowern-2011-204-27	27		burn	2102	BURN
Bowern-2011-204-28	28	x	chew	321	CHEW
Bowern-2011-204-29	29		child	2099	CHILD
Bowern-2011-204-30	30		*climb	1102	CLIMB
Bowern-2011-204-31	31		cloud	1489	CLOUD
Bowern-2011-204-32	32		cold	1287	COLD
Bowern-2011-204-33	33		come	1446	COME
Bowern-2011-204-34	34		cook	2315	COOK (PERSON)
Bowern-2011-204-35	35		*correct/true	1725	CORRECT (RIGHT)
Bowern-2011-204-36	36	x	count	1420	COUNT
Bowern-2011-204-37	37		*cry	1839	CRY
Bowern-2011-204-38	38		cut/hack	1432	CUT
Bowern-2011-204-39	39		day	1225	DAY (NOT NIGHT)
Bowern-2011-204-40	40		die/be dead	1494	DIE
Bowern-2011-204-41	41		dig	1418	DIG
Bowern-2011-204-42	42		*digging stick	339	DIGGING STICK
Bowern-2011-204-43	43		*dingo/wolf	2461	WOLF-LIKE ANIMAL
Bowern-2011-204-44	44		dirty	1230	DIRTY
Bowern-2011-204-45	45		dog	2009	DOG
Bowern-2011-204-46	46		*dream	2455	DREAMING OR DREAM
Bowern-2011-204-47	47		drink	1401	DRINK
Bowern-2011-204-48	48		dry	1398	DRY
Bowern-2011-204-49	49		dull/blunt	379	BLUNT
Bowern-2011-204-50	50		dust	2	DUST
Bowern-2011-204-51	51		ear	1247	EAR
Bowern-2011-204-52	52		earth/soil	1228	EARTH (SOIL)
Bowern-2011-204-53	53		eat	1336	EAT
Bowern-2011-204-54	54		egg	744	EGG
Bowern-2011-204-55	55		eye	1248	EYE
Bowern-2011-204-56	56		*feces	675	FAECES
Bowern-2011-204-57	57		fall	2234	FALL (SNOW, RAIN)
Bowern-2011-204-58	58		far	1406	FAR
Bowern-2011-204-59	59		fat/grease	323	GREASE
Bowern-2011-204-60	60		father	1217	FATHER
Bowern-2011-204-61	61		fear	1419	FEAR (BE AFRAID)
Bowern-2011-204-62	62		feather	1201	FEATHER
Bowern-2011-204-63	63		fire	221	FIRE
Bowern-2011-204-64	64		fish	227	FISH
Bowern-2011-204-65	65		flow	2003	FLOW
Bowern-2011-204-66	66	x	flower	239	FLOWER
Bowern-2011-204-67	67	x	fly	1441	FLY (MOVE THROUGH AIR)
Bowern-2011-204-68	68		fog	249	FOG
Bowern-2011-204-69	69		foot	1301	FOOT
Bowern-2011-204-70	70	x	fruit	1507	FRUIT
Bowern-2011-204-71	71		good	1035	GOOD
Bowern-2011-204-72	72		grass	606	GRASS
Bowern-2011-204-73	73		*grow	479	GROW
Bowern-2011-204-74	74		hair	1040	HAIR
Bowern-2011-204-75	75		hand	1277	HAND
Bowern-2011-204-76	76		he/she	262	HE OR SHE OR IT
Bowern-2011-204-77	77		head	1256	HEAD
Bowern-2011-204-78	78		hear	1408	HEAR
Bowern-2011-204-79	79		heavy	1210	HEAVY
Bowern-2011-204-80	80		*hide	602	HIDE, CONCEAL
Bowern-2011-204-81	81	x	hit (with hand)	1433	HIT
Bowern-2011-204-82	82		hold	1448	HOLD
Bowern-2011-204-83	83	x	house	1252	HOUSE
Bowern-2011-204-84	84		how	1239	HOW
Bowern-2011-204-85	85		I	1209	I
Bowern-2011-204-86	86	x	if	1459	IF
Bowern-2011-204-87	87		in/inside	1606	INSIDE
Bowern-2011-204-88	88		intestines	1991	INTESTINES
Bowern-2011-204-89	89		*itch	148	ITCH
Bowern-2011-204-90	90		*kangaroo/deer	2456	LARGE WILD HERBIVORE
Bowern-2011-204-91	91		kill	1417	KILL
Bowern-2011-204-92	92		know/be knowledgeable	1410	KNOW (SOMETHING)
Bowern-2011-204-93	93		lake	624	LAKE
Bowern-2011-204-94	94		laugh	1355	LAUGH
Bowern-2011-204-95	95		leaf	628	LEAF
Bowern-2011-204-96	96		left	244	LEFT
Bowern-2011-204-97	97		leg	1297	LEG
Bowern-2011-204-98	98		lie down	215	LIE DOWN
Bowern-2011-204-99	99		*lightning	1654	LIGHTNING
Bowern-2011-204-100	100		live/be alive	1422	BE ALIVE
Bowern-2011-204-101	101		liver	1224	LIVER
Bowern-2011-204-102	102		long	1203	LONG
Bowern-2011-204-103	103		louse	1392	LOUSE
Bowern-2011-204-104	104		*lung	688	LUNG
Bowern-2011-204-105	105	x	man/male	2106	MALE PERSON
Bowern-2011-204-106	106		meat/flesh	634	MEAT
Bowern-2011-204-107	107		moon	1313	MOON
Bowern-2011-204-108	108		*mosquito	1509	MOSQUITO
Bowern-2011-204-109	109		mother	1216	MOTHER
Bowern-2011-204-110	110		mouth	674	MOUTH
Bowern-2011-204-111	111		name	1405	NAME
Bowern-2011-204-112	112		*nape	1347	NAPE (OF NECK)
Bowern-2011-204-113	113		near/close	1942	NEAR
Bowern-2011-204-114	114		neck	1333	NECK
Bowern-2011-204-115	115		new	1231	NEW
Bowern-2011-204-116	116		night	1233	NIGHT
Bowern-2011-204-117	117		no/not	2279	NO OR NOT
Bowern-2011-204-118	118		nose	1221	NOSE
Bowern-2011-204-119	119		old	1229	OLD
Bowern-2011-204-120	120		one	1493	ONE
Bowern-2011-204-121	121		*open/uncover	1156	OPEN
Bowern-2011-204-122	122		other	197	OTHER
Bowern-2011-204-123	123		*painful/sick	2103	PAINFUL OR SICK
Bowern-2011-204-124	124	x	person/human being	683	PERSON
Bowern-2011-204-125	125		*pound/beat	1665	BEAT
Bowern-2011-204-126	126		rain	658	RAIN (PRECIPATION)
Bowern-2011-204-127	127		red	156	RED
Bowern-2011-204-128	128		right	1019	RIGHT
Bowern-2011-204-129	129		road/path	2457	PATH OR ROAD
Bowern-2011-204-130	130	x	roof	769	ROOF
Bowern-2011-204-131	131		root	670	ROOT
Bowern-2011-204-132	132		rope	1218	ROPE
Bowern-2011-204-133	133		rotten	1728	ROTTEN
Bowern-2011-204-134	134		sand	671	SAND
Bowern-2011-204-135	135		say	1458	SAY
Bowern-2011-204-136	136		scratch	1436	SCRATCH
Bowern-2011-204-137	137		see	1409	SEE
Bowern-2011-204-138	138		sharp	1396	SHARP
Bowern-2011-204-139	139		shoot	1172	SHOOT
Bowern-2011-204-140	140		short	1645	SHORT
Bowern-2011-204-141	141		*shoulder	1482	SHOULDER
Bowern-2011-204-142	142		*shy/ashamed	487	SHY
Bowern-2011-204-143	143		sit	1416	SIT
Bowern-2011-204-144	144		skin	763	SKIN
Bowern-2011-204-145	145		sky	1732	SKY
Bowern-2011-204-146	146		sleep	1585	SLEEP
Bowern-2011-204-147	147		small	1246	SMALL
Bowern-2011-204-148	148		smoke	778	SMOKE (EXHAUST)
Bowern-2011-204-149	149		snake	730	SNAKE
Bowern-2011-204-150	150		sniff/smell	1586	SMELL (PERCEIVE)
Bowern-2011-204-151	151		spear	945	SPEAR
Bowern-2011-204-152	152		*spearthrower		
Bowern-2011-204-153	153		*spider	843	SPIDER
Bowern-2011-204-154	154		spit	1440	SPIT
Bowern-2011-204-155	155		split	1437	SPLIT
Bowern-2011-204-156	156		squeeze	1414	SQUEEZE
Bowern-2011-204-157	157		stab/pierce	1434	STAB
Bowern-2011-204-158	158		stand	1442	STAND
Bowern-2011-204-159	159		star	1430	STAR
Bowern-2011-204-160	160		*steal	713	STEAL
Bowern-2011-204-161	161		*stick/wood	1295	STICK
Bowern-2011-204-162	162		stone	857	STONE
Bowern-2011-204-163	163		suck	1421	SUCK
Bowern-2011-204-164	164		*sweat	2458	PERSPIRE OR SWEAT
Bowern-2011-204-165	165		swell	1573	SWELL
Bowern-2011-204-166	166		swim	1439	SWIM
Bowern-2011-204-167	167		tail	1220	TAIL
Bowern-2011-204-168	168		that	78	THAT
Bowern-2011-204-169	169	x	thatch/roof	2100	THATCH OR ROOF
Bowern-2011-204-170	170		they	817	THEY
Bowern-2011-204-171	171	x	thick	1244	THICK
Bowern-2011-204-172	172		thin	2308	THIN
Bowern-2011-204-173	173		think	1415	THINK (REFLECT)
Bowern-2011-204-174	174		this	1214	THIS
Bowern-2011-204-175	175		thou	1215	THOU
Bowern-2011-204-176	176		three	492	THREE
Bowern-2011-204-177	177		*throat	1346	THROAT
Bowern-2011-204-178	178		throw	1456	THROW
Bowern-2011-204-179	179		*thunder	1150	THUNDER
Bowern-2011-204-180	180		tie up/fasten	1094	FASTEN
Bowern-2011-204-181	181		tongue	1205	TONGUE
Bowern-2011-204-182	182		tooth	1380	TOOTH
Bowern-2011-204-183	183	x	top grinding stone	2459	GRINDSTONE
Bowern-2011-204-184	184		turn	1588	TURN
