ID	ENGLISH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Heggarty-2020-200-1	ANT	1	587	ANT
Heggarty-2020-200-2	ASH	2	646	ASH
Heggarty-2020-200-3	BACK (BODY PART)	3	1291	BACK
Heggarty-2020-200-4	BAD	4	1292	BAD
Heggarty-2020-200-5	(TREE) BARK	5	1204	BARK
Heggarty-2020-200-6	BELLY	6	1251	BELLY
Heggarty-2020-200-7	BIG	7	1202	BIG
Heggarty-2020-200-8	BIRD	8	937	BIRD
Heggarty-2020-200-9	BITE	9	1403	BITE
Heggarty-2020-200-10	BITTER	10	887	BITTER
Heggarty-2020-200-11	BLACK	11	163	BLACK
Heggarty-2020-200-12	BLOOD	12	946	BLOOD
Heggarty-2020-200-13	BLOW	13	176	BLOW (WITH MOUTH)
Heggarty-2020-200-14	BONE	14	1394	BONE
Heggarty-2020-200-15	BREATHE	15	1407	BREATHE
Heggarty-2020-200-16	BURN	16	2102	BURN
Heggarty-2020-200-17	CARRY	17	700	CARRY
Heggarty-2020-200-18	CHEST	18	1592	CHEST
Heggarty-2020-200-19	CHILD	19	1801	CHILD (DESCENDANT)
Heggarty-2020-200-20	CLAW	20	72	CLAW
Heggarty-2020-200-21	CLOUD	21	1489	CLOUD
Heggarty-2020-200-22	COLD	22	1287	COLD
Heggarty-2020-200-23	COME	23	1446	COME
Heggarty-2020-200-24	COUNT	24	1420	COUNT
Heggarty-2020-200-25	CRY	25	1839	CRY
Heggarty-2020-200-26	CUT	26	1432	CUT
Heggarty-2020-200-27	DAY	27	1225	DAY (NOT NIGHT)
Heggarty-2020-200-28	DIE	28	1494	DIE
Heggarty-2020-200-29	DIG	29	1418	DIG
Heggarty-2020-200-30	DIRTY	30	1230	DIRTY
Heggarty-2020-200-31	DO	31	813	DO
Heggarty-2020-200-32	DOG	32	2009	DOG
Heggarty-2020-200-33	DRINK	33	1401	DRINK
Heggarty-2020-200-34	DRY	34	1398	DRY
Heggarty-2020-200-35	DUST	35	2	DUST
Heggarty-2020-200-36	EAR	36	1247	EAR
Heggarty-2020-200-37	EARTH	37	1228	EARTH (SOIL)
