ID	NUMBER	ENGLISH	SATURATION	PROPENSITY	CONCEPTICON_ID	CONCEPTICON_GLOSS	X
Youn-2016-22-1	1	STAR	1234.2	0.025	1430	STAR	
Youn-2016-22-2	2	SUN	25.0	0.126	1343	SUN	
Youn-2016-22-3	3	YEAR	1234.2	0.021	1226	YEAR	
Youn-2016-22-4	4	SKY	1234.2	0.080	1732	SKY	
Youn-2016-22-5	5	SEA/OCEAN	1234.2	0.026	2282	SEA OR OCEAN	
Youn-2016-22-6	6	STONE/ROCK	1234.2	0.041	2125	STONE OR ROCK	
Youn-2016-22-7	7	MOUNTAIN	1085.9	0.049	639	MOUNTAIN	
Youn-2016-22-8	8	DAY/DAYTIME	195.7	0.087	1225	DAY (NOT NIGHT)	
Youn-2016-22-9	9	SAND	1234.2	0.026	671	SAND	
Youn-2016-22-10	10	ASH(ES)	13.8	0.068	646	ASH	
Youn-2016-22-11	11	SALT	1234.2	0.007	1274	SALT	
Youn-2016-22-12	12	FIRE	1234.2	0.065	221	FIRE	
Youn-2016-22-13	13	SMOKE	1234.2	0.031	778	SMOKE (EXHAUST)	
Youn-2016-22-14	14	NIGHT	89.3	0.034	1233	NIGHT	
Youn-2016-22-15	15	DUST	246.8	0.065	2	DUST	
Youn-2016-22-16	16	RIVER	336.8	0.048	666	RIVER	
Youn-2016-22-17	17	WATER	1234.2	0.073	948	WATER	
Youn-2016-22-18	18	LAKE	1234.2	0.047	624	LAKE	
Youn-2016-22-19	19	MOON	1.2	0.997	1313	MOON	
Youn-2016-22-20	20	EARTH/SOIL	1234.2	0.116	1228	EARTH (SOIL)	
Youn-2016-22-21	21	CLOUD(S)	53.4	0.033	1489	CLOUD	
Youn-2016-22-22	22	WIND	1234.2	0.051	960	WIND	
