ID	NUMBER	ENGLISH	CATEGORY	STABILITY_SWADESH_1955	STABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Thomas-1960-1968-88	88	woman	persons	71	71	962	WOMAN
Thomas-1960-1968-89	89	child	persons	50	14	2099	CHILD
Thomas-1960-1968-90	90	man	persons	45	50	1554	MAN
Thomas-1960-1968-91	91	blood	body parts & substances	100	100	946	BLOOD
Thomas-1960-1968-92	92	ear	body parts & substances	100	64	1247	EAR
Thomas-1960-1968-93	93	hand	body parts & substances	100	43	1277	HAND
Thomas-1960-1968-94	94	tongue	body parts & substances	100	86	1205	TONGUE
Thomas-1960-1968-95	95	tooth	body parts & substances	100	86	1380	TOOTH
Thomas-1960-1968-96	96	foot	body parts & substances	90	100	1301	FOOT
Thomas-1960-1968-97	97	egg	body parts & substances	84	100	744	EGG
Thomas-1960-1968-98	98	back	body parts & substances	83	50	1291	BACK
Thomas-1960-1968-99	99	tail	body parts & substances	83	71	1220	TAIL
Thomas-1960-1968-100	100	flesh	body parts & substances	77	36	634	MEAT
Thomas-1960-1968-101	101	eye	body parts & substances	74	100	1248	EYE
Thomas-1960-1968-102	102	feather	body parts & substances	74	71	1201	FEATHER
Thomas-1960-1968-103	103	skin	body parts & substances	74	86	763	SKIN
Thomas-1960-1968-104	104	bone	body parts & substances	71	100	1394	BONE
Thomas-1960-1968-105	105	head	body parts & substances	71	71	1256	HEAD
Thomas-1960-1968-106	106	mouth	body parts & substances	68	57	674	MOUTH
Thomas-1960-1968-107	107	nose	body parts & substances	66	100	1221	NOSE
Thomas-1960-1968-108	108	wing	body parts & substances	66	100	1257	WING
Thomas-1960-1968-109	109	heart	body parts & substances	65	79	1223	HEART
Thomas-1960-1968-110	110	fat	body parts & substances	56	50	323	GREASE
Thomas-1960-1968-111	111	guts	body parts & substances	55	86	1334	GUTS
Thomas-1960-1968-112	112	belly	body parts & substances	50	64	1251	BELLY
Thomas-1960-1968-113	113	neck	body parts & substances	49	71	1333	NECK
Thomas-1960-1968-114	114	hair	body parts & substances	48	100	1040	HAIR
Thomas-1960-1968-115	115	liver	body parts & substances	40	100	1224	LIVER
Thomas-1960-1968-116	116	leg	body parts & substances	17	86	1297	LEG
Thomas-1960-1968-117	117	drink	body sensation and activities	92	86	1401	DRINK
Thomas-1960-1968-118	118	die	body sensation and activities	92	79	1494	DIE
Thomas-1960-1968-119	119	hear	body sensation and activities	85	64	1408	HEAR
Thomas-1960-1968-120	120	see	body sensation and activities	82	43	1409	SEE
Thomas-1960-1968-121	121	sleep	body sensation and activities	82	57	1585	SLEEP
Thomas-1960-1968-122	122	live	body sensation and activities	75	64	1422	BE ALIVE
Thomas-1960-1968-123	123	eat	body sensation and activities	68	64	1336	EAT
Thomas-1960-1968-124	124	know	body sensation and activities	59	57	1410	KNOW (SOMETHING)
Thomas-1960-1968-125	125	bite	body sensation and activities	57	100	1403	BITE
Thomas-1960-1968-126	126	fear	body sensation and activities	43	50	1419	FEAR (BE AFRAID)
Thomas-1960-1968-127	127	think	body sensation and activities	33	21	2271	THINK
Thomas-1960-1968-128	128	breathe	body sensation and activities	25	86	1407	BREATHE
Thomas-1960-1968-129	129	vomit	body sensation and activities	19	100	1278	VOMIT
Thomas-1960-1968-130	130	smell	body sensation and activities	0	29	2124	SMELL
Thomas-1960-1968-131	131	laugh	oral activities	92	50	1355	LAUGH
Thomas-1960-1968-132	132	suck	oral activities	75	64	1421	SUCK
Thomas-1960-1968-133	133	spit	oral activities	56	71	1440	SPIT
Thomas-1960-1968-134	134	speak	oral activities	51	41	1623	SPEAK
Thomas-1960-1968-135	135	black	colors	83	36	163	BLACK
Thomas-1960-1968-136	136	green	colors	83	71	1425	GREEN
Thomas-1960-1968-137	137	red	colors	66	86	156	RED
Thomas-1960-1968-138	138	white	colors	51	50	1335	WHITE
Thomas-1960-1968-139	139	old	descriptives	100	86	1229	OLD
Thomas-1960-1968-140	140	dry	descriptives	89	71	1398	DRY
Thomas-1960-1968-141	141	good	descriptives	83	100	1035	GOOD
Thomas-1960-1968-142	142	new	descriptives	82	86	1231	NEW
Thomas-1960-1968-143	143	warm(hot)	descriptives	79	79	2272	HOT OR WARM
Thomas-1960-1968-144	144	rotten	descriptives	66	86	1728	ROTTEN
Thomas-1960-1968-145	145	cold	descriptives	65	64	1287	COLD
Thomas-1960-1968-146	146	sharp	descriptives	58	36	1396	SHARP
Thomas-1960-1968-147	147	straight	descriptives	49	50	1404	STRAIGHT
Thomas-1960-1968-148	148	smooth	descriptives	41	14	1234	SMOOTH
Thomas-1960-1968-149	149	bad	descriptives	40	67	1292	BAD
Thomas-1960-1968-150	150	wet	descriptives	33	100	1726	WET
Thomas-1960-1968-151	151	dull	descriptives	20	29	379	BLUNT
Thomas-1960-1968-152	152	dirty	descriptives	10	100	1230	DIRTY
Thomas-1960-1968-153	153	father	kinship	83	100	1217	FATHER
Thomas-1960-1968-154	154	mother	kinship	83	64	1216	MOTHER
Thomas-1960-1968-155	155	husband	kinship	57	50	1200	HUSBAND
Thomas-1960-1968-156	156	wife	kinship	51	71	1199	WIFE
Thomas-1960-1968-157	157	sew	cultural objects & activities	100	57	1457	SEW
Thomas-1960-1968-158	158	rope	cultural objects & activities	85	86	1218	ROPE
Thomas-1960-1968-159	159	hunt	cultural objects & activities	59	21	1435	HUNT
Thomas-1960-1968-160	160	count	cultural objects & activities	51	43	1420	COUNT
Thomas-1960-1968-161	161	play	cultural objects & activities	50	21	1413	PLAY
Thomas-1960-1968-162	162	fight	cultural objects & activities	9	57	1423	FIGHT
Thomas-1960-1968-163	163	name	miscellaneous	100	43	1405	NAME
Thomas-1960-1968-164	164	burn	miscellaneous	67	64	2102	BURN
Thomas-1960-1968-165	165	blow	miscellaneous	66	100	175	BLOW (OF WIND)
Thomas-1960-1968-166	166	swell	miscellaneous	51	50	1573	SWELL
Thomas-1960-1968-167	167	road	miscellaneous	33	86	667	ROAD
Thomas-1960-1968-168	168	kill	miscellaneous	25	21	1417	KILL
