ID	NUMBER	ENGLISH	VIETNAMESE	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sidwell-2015-200-1	1	alcohol/liquor	rượu			404	ALCOHOL (FERMENTED DRINK)
Sidwell-2015-200-2	2	alive/live	sống		x	1422	BE ALIVE
Sidwell-2015-200-3	3	ant	kiến			587	ANT
Sidwell-2015-200-4	4	arrow	căm			977	ARROW
Sidwell-2015-200-5	5	ashes	mun	x	x	646	ASH
Sidwell-2015-200-6	6	bamboo	tre			1927	BAMBOO
Sidwell-2015-200-7	7	banana	chuối			868	BANANA
Sidwell-2015-200-8	8	beans/peas	đậu			2574	BEAN OR PEA
Sidwell-2015-200-9	9	bear	gấu			1820	BEAR
Sidwell-2015-200-10	10	bee/honeybee	ong			665	BEE
Sidwell-2015-200-11	11	belly/stomach	bụng	x	x	2114	BELLY OR STOMACH
Sidwell-2015-200-12	12	bird	chim	x	x	937	BIRD
Sidwell-2015-200-13	13	bitter	đắng			887	BITTER
Sidwell-2015-200-14	14	black	đen			163	BLACK
Sidwell-2015-200-15	15	blood	máu			946	BLOOD
Sidwell-2015-200-16	16	boat	nốc			1844	BOAT
Sidwell-2015-200-17	17	body hair/feathers	tóc			2381	FEATHER OR FUR OR HAIR
Sidwell-2015-200-18	18	bone	xương	x	x	1394	BONE
Sidwell-2015-200-19	19	bow, crossbow	ná			3228	BOW OR CROSSBOW
Sidwell-2015-200-20	20	brain	óc			1583	BRAIN
Sidwell-2015-200-21	21	branch	cành / ngành			1531	BRANCH
Sidwell-2015-200-22	22	breast	vú	x		1402	BREAST
Sidwell-2015-200-23	23	chicken/fowl	gà			1318	CHICKEN
Sidwell-2015-200-24	24	child/son	con	x	x	2391	BOY OR SON
Sidwell-2015-200-25	25	cloud	mây	x	x	1489	CLOUD
Sidwell-2015-200-26	26	cold	lạnh	x	x	1287	COLD
Sidwell-2015-200-27	27	dog	chó	x	x	2009	DOG
Sidwell-2015-200-28	28	dry	khô	x	x	1398	DRY
Sidwell-2015-200-29	29	ear	tai	x	x	1247	EAR
Sidwell-2015-200-30	30	earth (soil)	đất	x	x	1228	EARTH (SOIL)
Sidwell-2015-200-31	31	egg	trứng	x	x	744	EGG
Sidwell-2015-200-32	32	eight	tám			1705	EIGHT
Sidwell-2015-200-33	33	eye	mắt	x	x	1248	EYE
Sidwell-2015-200-34	34	far/distant	ngái		x	1406	FAR
Sidwell-2015-200-35	35	fat/oil/grease	mỡ	x	x	2551	ORGANIC FAT OR OIL
Sidwell-2015-200-36	36	fear/afraid	phạ		x	1419	FEAR (BE AFRAID)
Sidwell-2015-200-37	37	feces/excrement/shit	iả			675	FAECES (EXCREMENT)
Sidwell-2015-200-38	38	field (irrigated)	ruộng			140	PADDY FIELD
Sidwell-2015-200-39	39	field (swidden/hill)	du canh du cư			429	SWIDDEN FIELD
Sidwell-2015-200-40	40	finger	ngón			1303	FINGER
Sidwell-2015-200-41	41	fire	lửa	x	x	221	FIRE
Sidwell-2015-200-42	42	fish	cá	x	x	227	FISH
Sidwell-2015-200-43	43	five	năm		x	493	FIVE
Sidwell-2015-200-44	44	flesh/meat	thịt	x	x	2615	FLESH OR MEAT
Sidwell-2015-200-45	45	flower	bống		x	239	FLOWER
Sidwell-2015-200-46	46	foot	chân	x	x	1301	FOOT
Sidwell-2015-200-47	47	four	bốn		x	1500	FOUR
Sidwell-2015-200-48	48	frog	ếch			503	FROG
Sidwell-2015-200-49	49	fruit	trái		x	1507	FRUIT
Sidwell-2015-200-50	50	full	lăm	x		1429	FULL
Sidwell-2015-200-51	51	grandchild	cháu trai			1617	GRANDCHILD
Sidwell-2015-200-52	52	grass	cỏ		x	606	GRASS
Sidwell-2015-200-53	53	green	xanh	x	x	1425	GREEN
Sidwell-2015-200-54	54	hair (head)	tóc	x	x	2648	HAIR (HEAD)
Sidwell-2015-200-55	55	hand	tay	x	x	1277	HAND
Sidwell-2015-200-56	56	head	đầu	x	x	1256	HEAD
Sidwell-2015-200-57	57	heart	tim	x	x	1223	HEART
Sidwell-2015-200-58	58	heavy	nặng		x	1210	HEAVY
Sidwell-2015-200-59	59	horn	sừng	x		1393	HORN (ANATOMY)
Sidwell-2015-200-60	60	hot/warm	nóng	x	x	2272	HOT OR WARM
Sidwell-2015-200-61	61	house	nhà			1252	HOUSE
Sidwell-2015-200-62	62	hundred	trăm			1634	HUNDRED
Sidwell-2015-200-63	63	I, me	tôi	x	x	1209	I
Sidwell-2015-200-64	64	intestine/gut	ruột		x	1991	INTESTINES
Sidwell-2015-200-65	65	iron	sắt			621	IRON
Sidwell-2015-200-66	66	leaf	lá	x	x	628	LEAF
Sidwell-2015-200-67	67	leech (land)	con đỉa			2273	LEECH
Sidwell-2015-200-68	68	left (side)	trái		x	244	LEFT
Sidwell-2015-200-69	69	light (weight)	nhẹ			1052	LIGHT (WEIGHT)
Sidwell-2015-200-70	70	liver	gan		x	1224	LIVER
Sidwell-2015-200-71	71	long	dài	x	x	1203	LONG
Sidwell-2015-200-72	72	louse	chấy	x	x	1392	LOUSE
Sidwell-2015-200-73	73	man (male human)	đàn ông	x	x	2106	MALE PERSON
Sidwell-2015-200-74	74	many	nhiều	x	x	1198	MANY
Sidwell-2015-200-75	75	medicine/juice	thuốc			2268	POTION
Sidwell-2015-200-76	76	monkey/ape	khi			3298	APE OR MONKEY
Sidwell-2015-200-77	77	moon	trăng	x	x	1313	MOON
Sidwell-2015-200-78	78	mortar	cối			224	MORTAR
Sidwell-2015-200-79	79	mountain	núi	x	x	639	MOUNTAIN
Sidwell-2015-200-80	80	mouth	miệng	x	x	674	MOUTH
Sidwell-2015-200-81	81	mushroom/fungus	nâm			641	MUSHROOM
Sidwell-2015-200-82	82	nail/claw	móng		x	2128	CLAW OR NAIL
Sidwell-2015-200-83	83	name	tên	x	x	1405	NAME
Sidwell-2015-200-84	84	navel	rốn			1838	NAVEL
Sidwell-2015-200-85	85	near	gần		x	1942	NEAR
Sidwell-2015-200-86	86	neck	cổ	x	x	1333	NECK
Sidwell-2015-200-87	87	needle	kim			1382	NEEDLE (FOR SEWING)
Sidwell-2015-200-88	88	new	mới	x	x	1231	NEW
Sidwell-2015-200-89	89	night	đêm	x	x	1233	NIGHT
Sidwell-2015-200-90	90	nine	chín			1483	NINE
Sidwell-2015-200-91	91	nose	mũi	x	x	1221	NOSE
Sidwell-2015-200-92	92	old	trẻ		x	1229	OLD
Sidwell-2015-200-93	93	one	một	x	x	1493	ONE
Sidwell-2015-200-94	94	palm (of hand)	lòng bàn			1183	PALM OF HAND
Sidwell-2015-200-95	95	penis	dương vật			1222	PENIS
Sidwell-2015-200-96	96	person	người	x	x	683	PERSON
Sidwell-2015-200-97	97	pig	heo cúi			1337	PIG
Sidwell-2015-200-98	98	pigeon/dove	cu			1853	DOVE
Sidwell-2015-200-99	99	rain	mưa	x	x	658	RAIN (PRECIPITATION)
Sidwell-2015-200-100	100	rat/mouse	chuột			2139	MUROID (MOUSE OR RAT)
Sidwell-2015-200-101	101	red	đỏ	x	x	156	RED
Sidwell-2015-200-102	102	rice (cooked)	cơm			1191	COOKED RICE
Sidwell-2015-200-103	103	rice (unhusked)	lúa			2749	UNHUSKED RICE
Sidwell-2015-200-104	104	right (side)	đăm			1019	RIGHT
Sidwell-2015-200-105	105	ripe/cooked	chín			3806	RIPE OR COOKED
Sidwell-2015-200-106	106	river	sông		x	666	RIVER
Sidwell-2015-200-107	107	road/path	sá			2457	PATH OR ROAD
Sidwell-2015-200-108	108	root	rễ	x	x	670	ROOT
Sidwell-2015-200-109	109	round	tròn	x	x	1395	ROUND
Sidwell-2015-200-110	110	salt	muối	x		1274	SALT
Sidwell-2015-200-111	111	sand	cát		x	671	SAND
Sidwell-2015-200-112	112	seed	hạt	x	x	714	SEED
Sidwell-2015-200-113	113	seven	bảy	x	x	1704	SEVEN
Sidwell-2015-200-114	114	shade/shadow	bóng			1388	SHADE
Sidwell-2015-200-115	115	shame/ashamed	xâu hổ			1894	ASHAMED
Sidwell-2015-200-116	116	sharp (edged)	vót		x	1396	SHARP
Sidwell-2015-200-117	117	sick/ill	bệnh			1847	SICK
Sidwell-2015-200-118	118	six	sáu			1703	SIX
