ID	NUMBER	GLOSS	SEMANTIC_FIELD
Bowern-2007-207-1	1	big	adjective
Bowern-2007-207-2	2	long	adjective
Bowern-2007-207-3	3	wide	adjective
Bowern-2007-207-4	4	thick	adjective
Bowern-2007-207-5	5	heavy	adjective
Bowern-2007-207-6	6	small	adjective
Bowern-2007-207-7	7	short	adjective
Bowern-2007-207-8	8	narrow	adjective
Bowern-2007-207-9	9	thin	adjective
Bowern-2007-207-10	10	warm	adjective
Bowern-2007-207-11	11	cold	adjective
Bowern-2007-207-12	12	full	adjective
Bowern-2007-207-13	13	new	adjective
Bowern-2007-207-14	14	old	adjective
Bowern-2007-207-15	15	good	adjective
Bowern-2007-207-16	16	bad	adjective
Bowern-2007-207-17	17	rotten	adjective
Bowern-2007-207-18	18	dirty	adjective
Bowern-2007-207-19	19	straight	adjective
Bowern-2007-207-20	20	round	adjective
Bowern-2007-207-21	21	sharp	adjective
Bowern-2007-207-22	22	dull	adjective
Bowern-2007-207-23	23	smooth	adjective
Bowern-2007-207-24	24	wet	adjective
Bowern-2007-207-25	25	dry	adjective
Bowern-2007-207-26	26	correct	adjective
Bowern-2007-207-27	27	near	adjective
Bowern-2007-207-28	28	far	adjective
Bowern-2007-207-29	29	right	adjective
Bowern-2007-207-30	30	left	adjective
Bowern-2007-207-31	31	animal	animal
Bowern-2007-207-32	32	fish	animal
Bowern-2007-207-33	33	bird	animal
Bowern-2007-207-34	34	dog	animal
Bowern-2007-207-35	35	louse	animal
Bowern-2007-207-36	36	snake	animal
Bowern-2007-207-37	37	worm	animal
Bowern-2007-207-38	38	skin	animal	product
Bowern-2007-207-39	39	meat	animal	product
Bowern-2007-207-40	40	blood	animal	product
Bowern-2007-207-41	41	bone	animal	product
Bowern-2007-207-42	42	fat (n.)	animal	product
Bowern-2007-207-43	43	egg	animal	product
Bowern-2007-207-44	44	horn	animal	product
Bowern-2007-207-45	45	tail	animal	product
Bowern-2007-207-46	46	feather	animal	product
Bowern-2007-207-47	47	hair	body part
Bowern-2007-207-48	48	head	body part
Bowern-2007-207-49	49	ear	body part
Bowern-2007-207-50	50	eye	body part
Bowern-2007-207-51	51	nose	body part
Bowern-2007-207-52	52	mouth	body part
Bowern-2007-207-53	53	tooth	body part
Bowern-2007-207-54	54	tongue	body part
Bowern-2007-207-55	55	fingernail	body part
Bowern-2007-207-56	56	foot	body part
Bowern-2007-207-57	57	leg	body part
Bowern-2007-207-58	58	knee	body part
Bowern-2007-207-59	59	hand	body part
Bowern-2007-207-60	60	wing	body part
Bowern-2007-207-61	61	belly	body part
Bowern-2007-207-62	62	guts	body part
Bowern-2007-207-63	63	neck	body part
Bowern-2007-207-64	64	back	body part
Bowern-2007-207-65	65	breast	body part
Bowern-2007-207-66	66	heart	body part
Bowern-2007-207-67	67	liver	body part
Bowern-2007-207-68	68	drink	body verb
Bowern-2007-207-69	69	eat	body verb
Bowern-2007-207-70	70	bite	body verb
Bowern-2007-207-71	71	suck	body verb
Bowern-2007-207-72	72	spit	body verb
Bowern-2007-207-73	73	vomit	body verb
Bowern-2007-207-74	74	blow	body verb
Bowern-2007-207-75	75	breathe	body verb
Bowern-2007-207-76	76	laugh	body verb
Bowern-2007-207-77	77	live	body verb
Bowern-2007-207-78	78	die	body verb
Bowern-2007-207-79	79	red	colour
Bowern-2007-207-80	80	green	colour
Bowern-2007-207-81	81	yellow	colour
Bowern-2007-207-82	82	white	colour
Bowern-2007-207-83	83	black	colour
Bowern-2007-207-84	84	with	conj
Bowern-2007-207-85	85	and	conj
Bowern-2007-207-86	86	if	conj
Bowern-2007-207-87	87	because	conj
Bowern-2007-207-88	88	tree	environment
Bowern-2007-207-89	89	forest	environment
Bowern-2007-207-90	90	stick	environment
Bowern-2007-207-91	91	fruit	environment
Bowern-2007-207-92	92	seed	environment
Bowern-2007-207-93	93	leaf	environment
Bowern-2007-207-94	94	root	environment
Bowern-2007-207-95	95	bark	environment
Bowern-2007-207-96	96	flower	environment
Bowern-2007-207-97	97	grass	environment
Bowern-2007-207-98	98	freeze	environment
Bowern-2007-207-99	99	sun	environment
Bowern-2007-207-100	100	moon	environment
Bowern-2007-207-101	101	star	environment
Bowern-2007-207-102	102	water	environment
Bowern-2007-207-103	103	rain	environment
Bowern-2007-207-104	104	river	environment
Bowern-2007-207-105	105	lake	environment
Bowern-2007-207-106	106	sea	environment
Bowern-2007-207-107	107	salt	environment
Bowern-2007-207-108	108	stone	environment
Bowern-2007-207-109	109	sand	environment
Bowern-2007-207-110	110	dust	environment
Bowern-2007-207-111	111	earth	environment
Bowern-2007-207-112	112	cloud	environment
Bowern-2007-207-113	113	fog	environment
Bowern-2007-207-114	114	sky	environment
Bowern-2007-207-115	115	wind	environment
Bowern-2007-207-116	116	snow	environment
Bowern-2007-207-117	117	ice	environment
Bowern-2007-207-118	118	smoke	environment
Bowern-2007-207-119	119	fire	environment
Bowern-2007-207-120	120	ashes	environment
Bowern-2007-207-121	121	burn	environment
Bowern-2007-207-122	122	road	environment
Bowern-2007-207-123	123	mountain	environment
Bowern-2007-207-124	124	woman	human
Bowern-2007-207-125	125	man (adult male)	human
Bowern-2007-207-126	126	man (human being)	human
Bowern-2007-207-127	127	child	human
Bowern-2007-207-128	128	wife	human
Bowern-2007-207-129	129	husband	human
Bowern-2007-207-130	130	mother	human
Bowern-2007-207-131	131	father	human
Bowern-2007-207-132	132	name	human
Bowern-2007-207-133	133	sing	human verb
Bowern-2007-207-134	134	play	human verb
Bowern-2007-207-135	135	swell	human verb
Bowern-2007-207-136	136	kill	impact
Bowern-2007-207-137	137	fight	impact
Bowern-2007-207-138	138	hunt	impact
Bowern-2007-207-139	139	hit	impact
Bowern-2007-207-140	140	cut	impact
Bowern-2007-207-141	141	split	impact
Bowern-2007-207-142	142	stab	impact
Bowern-2007-207-143	143	scratch	impact
Bowern-2007-207-144	144	dig	impact
Bowern-2007-207-145	145	at	location
Bowern-2007-207-146	146	in	location
Bowern-2007-207-147	147	sew	misc verb
Bowern-2007-207-148	148	count	misc verb
Bowern-2007-207-149	149	swim	motion
Bowern-2007-207-150	150	fly (v.)	motion
Bowern-2007-207-151	151	walk	motion
Bowern-2007-207-152	152	come	motion
Bowern-2007-207-153	153	lie	motion
Bowern-2007-207-154	154	sit	motion
Bowern-2007-207-155	155	stand	motion
Bowern-2007-207-156	156	turn	motion
Bowern-2007-207-157	157	fall	motion
Bowern-2007-207-158	158	float	motion
Bowern-2007-207-159	159	flow	motion
Bowern-2007-207-160	160	see	perception verb
Bowern-2007-207-161	161	hear	perception verb
Bowern-2007-207-162	162	know	perception verb
Bowern-2007-207-163	163	think	perception verb
Bowern-2007-207-164	164	smell	perception verb
Bowern-2007-207-165	165	fear	perception verb
Bowern-2007-207-166	166	sleep	perception verb
Bowern-2007-207-167	167	say	perception verb
Bowern-2007-207-168	168	I	pro
Bowern-2007-207-169	169	you (singular)	pro
Bowern-2007-207-170	170	he	pro
Bowern-2007-207-171	171	we	pro
Bowern-2007-207-172	172	you (plural)	pro
Bowern-2007-207-173	173	they	pro
Bowern-2007-207-174	174	this	pro
Bowern-2007-207-175	175	that	pro
Bowern-2007-207-176	176	here	pro
Bowern-2007-207-177	177	there	pro
Bowern-2007-207-178	178	who	pro
Bowern-2007-207-179	179	what	pro
Bowern-2007-207-180	180	where	pro
Bowern-2007-207-181	181	when	pro
Bowern-2007-207-182	182	how	pro
Bowern-2007-207-183	183	not	quant
Bowern-2007-207-184	184	all	quant
Bowern-2007-207-185	185	many	quant
Bowern-2007-207-186	186	some	quant
Bowern-2007-207-187	187	few	quant
Bowern-2007-207-188	188	other	quant
Bowern-2007-207-189	189	one	quant
Bowern-2007-207-190	190	two	quant
Bowern-2007-207-191	191	three	quant
Bowern-2007-207-192	192	four	quant
Bowern-2007-207-193	193	five	quant
Bowern-2007-207-194	194	night	time
Bowern-2007-207-195	195	day	time
Bowern-2007-207-196	196	year	time
Bowern-2007-207-197	197	rope	tool
Bowern-2007-207-198	198	give	transfer
Bowern-2007-207-199	199	hold	transfer
Bowern-2007-207-200	200	squeeze	transfer
Bowern-2007-207-201	201	rub	transfer
Bowern-2007-207-202	202	wash	transfer
Bowern-2007-207-203	203	wipe	transfer
Bowern-2007-207-204	204	pull	transfer
Bowern-2007-207-205	205	push	transfer
Bowern-2007-207-206	206	throw	transfer
Bowern-2007-207-207	207	tie	transfer
