NUMBER	GLOSS	Cognate_class_size	I-E_rate	Half-life_1,000s_of_years	Frequency_of_use	Part_of_Speech
1	Thou	7	64	10.83	2,524	Pronoun
2	I	6	9	77	4,332	Pronoun
3	Not	5	82	8.45	7,602	Adverb
4	That	5	188	3.69	5,846	Adjective
5	We	5	37	18.73	2,956	Pronoun
6	To give	5	76	9.12	1,606	Verb
7	Who	5	9	77	1,172	Pronoun
8	This	4	218	3.18	11,185	Adjective
9	What	4	69	10.04	3,058	Adverb
10	Man/male	4	338	2.05	2,8	Noun
11	Ye	4	132	5.25	1,459	Pronoun
12	Old	4	253	2.74	746	Adjective
13	Mother	4	236	2.94	717	Noun
14	To hear	4	235	2.95	680	Verb
15	Hand	4	82	8.45	658	Noun
16	Fire	4	175	3.96	398	Noun
17	To pull	4	453	1.71	279	Verb
18	Black	4	191	3.62	135	Adjective
19	To flow	4	0.34	2.04	91	Verb
20	Bark	4	379	1.82	49	Noun
21	Ashes	4	265	2.62	23	Noun
22	To spit	4	204	3.38	23	Verb
23	Worm 	4	216	3.19 	21	Noun
