ID	CATEGORY	GLOSS	URL
1	Numbers	        one	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        one/Lgs_All
2	Numbers	        two	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        two/Lgs_All
3	Numbers	        three	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        three/Lgs_All
4	Numbers	        four	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        four/Lgs_All
5	Numbers	        five	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        five/Lgs_All
6	Numbers	        six	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        six/Lgs_All
7	Numbers	        seven	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        seven/Lgs_All
8	Numbers	        eight	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        eight/Lgs_All
9	Numbers	        nine	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        nine/Lgs_All
10	Numbers	        ten	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        ten/Lgs_All
11	Numbers	        twenty	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        twenty/Lgs_All
12	Numbers	        hundred	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        hundred/Lgs_All
13	Numbers	        thousand	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        thousand/Lgs_All
14	Numbers	        all (fem. sg.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        all /Lgs_All
15	Numbers	        few	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        few/Lgs_All
16	Numbers	        part	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        part/Lgs_All
17	Colors	colour	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/colour/Lgs_All
18	Colors	green	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/green/Lgs_All
19	Adjectives	        straight	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        straight/Lgs_All
20	Adjectives	        broad	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        broad/Lgs_All
21	Adjectives	        full	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        full/Lgs_All
22	Adjectives	        young	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        young/Lgs_All
23	Adjectives	        new	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        new/Lgs_All
24	Adjectives	        sweet	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        sweet/Lgs_All
25	Adjectives	        raw (fem.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        raw /Lgs_All
26	Adjectives	        fast	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        fast/Lgs_All
27	Adjectives	        alive	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        alive/Lgs_All
28	Adjectives	        good	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        good/Lgs_All
29	Adjectives	        sad	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        sad/Lgs_All
