NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
1	all	98	ALL	2

2	and	1577	AND	2

3	animal	619	ANIMAL (noun)	3

4	ashes	0	???	8

5	at	1461	AT	2

6	back	1291	BACK (noun)	3

7	bad	1292	BAD (adjective)	3

8	bark	1204	BARK (noun)	3

9	because	1157	BECAUSE	2

10	belly	1251	BELLY (noun)	3

11	big	1202	BIG (adjective)	3

12	bird	937	BIRD (noun)	3

13	bite	1403	BITE (verb)	3

14	black	163	BLACK (adjective)	3

15	blood	946	BLOOD (noun)	3

16	blow	175	BLOW (OF WIND) (verb)	3

17	bone	1394	BONE (noun)	3

18	breathe	1407	BREATHE (verb)	3

19	burn	141	BURN (SOMETHING) (verb)	3

20	child	2099	CHILD (noun)	3

21	cloud	1489	CLOUD (noun)	3

22	cold	102	COLD (DISEASE) (noun)	3

23	come	1446	COME (verb)	3

24	count	1420	COUNT (verb)	3

25	cut	1432	CUT (verb)	3

26	day	1225	DAY (NOT NIGHT) (noun)	3

27	die	1494	DIE (verb)	3

28	dig	1418	DIG (verb)	3

29	dirty	1230	DIRTY (adjective)	3

30	dog	2009	DOG (noun)	3

31	drink	1401	DRINK (verb)	3

32	dry	1398	DRY (adjective)	3

33	dull	1397	DULL (adjective)	3

34	dust	2	DUST (noun)	3

35	ear	1247	EAR (noun)	3

36	earth	1228	EARTH (SOIL) (noun)	3

37	eat	1336	EAT (verb)	3

38	egg	744	EGG (noun)	3

39	eye	1248	EYE (noun)	3

40	fall	2234	FALL (SNOW, RAIN) (verb)	2

41	far	1406	FAR (adjective)	3

42	fat-grease	0	???	8

43	father	1217	FATHER (noun)	3

44	fear	781	FEAR (FRIGHT) (noun)	3

45	fear	781	FEAR (FRIGHT) (noun)	3

46	few	1242	FEW	2

47	fight	1423	FIGHT (verb)	3

48	fire	221	FIRE (noun)	3

49	fish	227	FISH (noun)	3

50	five	493	FIVE	2

51	float	1574	FLOAT (verb)	3

52	flow	2003	FLOW (verb)	3

53	flower	239	FLOWER (noun)	3

54	fly	1441	FLY (MOVE THROUGH AIR) (verb)	3

55	fog	249	FOG (noun)	3

56	foot	1301	FOOT (noun)	3

57	four	1500	FOUR	2

58	freeze	1431	FREEZE (verb)	3

59	fruit	1507	FRUIT (noun)	3

60	give	1447	GIVE (verb)	3

61	good	1035	GOOD (adjective)	3

62	grass	606	GRASS (noun)	3

63	green	1425	GREEN (adjective)	3

64	guts	1334	GUTS (noun)	3

65	hair	1040	HAIR (noun)	3

66	hand	1277	HAND (noun)	3

67	he	1211	HE	2

68	head	1256	HEAD (noun)	3

69	hear	1408	HEAR (verb)	3

70	heart	1223	HEART (noun)	3

71	heavy	1210	HEAVY (adjective)	3

72	here	136	HERE	2

73	hit	1433	HIT (verb)	3

