NUMBER	GLOSS
1	all
2	ashes
3	bark
4	belly
5	big
6	black
7	blood
8	bone
9	burn
10	cloud
11	cold
12	come
13	die
14	drink
15	ear
16	earth
17	eat
18	egg
19	eye
20	fat
21	feather
22	fire
23	fish
24	five
25	fly
26	foot
27	give
28	good
29	green
30	hair
31	hand
32	head
33	hear
34	heart
35	heavy
36	I
37	ice
38	know
39	leaf
40	lie
41	liver
42	long
43	man
44	many
45	meat
46	mountain
47	mouth
48	name
49	neck
50	new
51	night
52	nose
53	not
54	one
55	person
56	rain
57	red
58	river
59	road
60	root
61	sand
62	say
63	see
64	seed
65	short
66	sit
67	skin
68	sleep
69	small
70	smoke
71	snake
72	stab
73	stand
74	star
75	stone
76	sun
77	swim
78	tail
79	that
80	this
81	thouh
82	three
83	tongue
84	tooth
85	tree
86	two
87	walk
88	warm
89	wash
90	water
91	what
92	where
93	white
94	who
95	wing
96	woman
97	yellow
