NUMBER	LONGLIST	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
42		here	136	HERE	2

44		hundred	1634	HUNDRED	2

45		thousand	1843	THOUSAND	2

72		us	2310	US (OBLIQUE CASE OF WE)	2

86		you	1213	YOU	2

1		ant	587	ANT (noun)	3

2	20	arm	1673	ARM (noun)	3

3	124	ash(es) (ma)	646	ASH (noun)	3

4		ball	1845	BALL (noun)	3

5		bamboo	1927	BAMBOO (noun)	3

6	80	bark (of tree)	1204	BARK (noun)	3

7		basket	1539	BASKET (noun)	3

8		bean	832	BEAN (noun)	3

9	77	bee	665	BEE (noun)	3

10	38	honey	942	HONEY (noun)	3

11		begin	1806	BEGIN (verb)	3

12	28	blood	946	BLOOD (noun)	3

13		book	963	BOOK (noun)	3

14	51	son/boy	0	SON OR BOY:<CHILD,>BOY,>SON	3

16	63	cat	1208	CAT (noun)	3

17	99	chair	1476	CHAIR (noun)	3

18	72	chicken	1318	CHICKEN (noun)	3

19	161	cold (weather)	1287	COLD (OF TEMPERATURE) (adjective)	3

21	69	cow	1007	COW (noun)	3

22		door	1567	DOOR (noun)	3

23	37	egg	744	EGG (noun)	3

24	64	elephant	1290	ELEPHANT (noun)	3

25	1	eye	1248	EYE (noun)	3

26	2	eyebrow	1173	EYEBROW (noun)	3

27		eyelid	17	EYELID (noun)	3

28	90	field	212	FIELD (noun)	3

29	23	finger	1303	FINGER (noun)	3

30		(n) forest	420	FOREST (noun)	3

31		fox	1312	FOX (noun)	3

32		frog	503	FROG (noun)	3

33	52	daughter/girl	0	DAUGHTER OR GIRL:>GIRL,>DAUGHTER,<CHILD (noun)	3

34	68	goat	1502	GOAT (noun)	3

36		grandmother	1496	GRANDMOTHER (noun)	3

38		hate	1607	HATE (verb)	3

39	160	hot (weather)	1286	HOT (adjective)	3

40		help (N)	1897	HELP (verb)	3

43	91	house	1252	HOUSE (noun)	3

46	104	hunger	1864	HUNGER (noun)	3

47	43	husband	1200	HUSBAND (noun)	3

48		insect	620	INSECT (noun)	3

51		grain	605	GRAIN (noun)	3

52	111	knife	2082	KNIFE (CLASSIFIER) (classifier)	3

53	141	lake	624	LAKE (noun)	3

54	81	leaf	2250	LEAF (LEAFLIKE OBJECT) (noun)	3

55	65	lion	1386	LION (noun)	3

56		locust	810	LOCUST (noun)	3

57	42	man	1554	MAN (noun)	3

58		money	1559	MONEY (noun)	3

59		mosquito	1509	MOSQUITO (noun)	3

60	179	near	1942	NEAR (adjective)	3

61	125	night (time)	1233	NIGHT (noun)	3

63	48	brother (older, same sex)	560	BROTHER (OF WOMAN) (noun)	3
64		pain	1783	PAIN (noun)	3

65		pity	1141	PITY (noun)	3

67		potato	593	POTATO (noun)	3

68	145	stone (fistsized)/rock	0	STONE OR ROCK	3

69	86	seed	714	SEED (noun)	3

70		sheep	1331	SHEEP (noun)	3

71		shoe	1381	SHOE (noun)	3

73a	196a	stand up (3rd Sg)	570	STAND UP (verb)	3

73b	196b	stand up (Imp)	570	STAND UP (verb)	3

73		song	1096	SONG (noun)	3

75	100	stool	2058	STOOL (noun)	3

76		sunflower	1956	SUNFLOWER (noun)	3

77		sweet potato	159	SWEET POTATO (noun)	3

78		teacher	1038	TEACHER (noun)	3

80		town	1391	TOWN (noun)	3

81	79	tree	906	TREE (noun)	3

82		truth	1638	TRUTH (noun)	3

83	135	sky	1732	SKY (noun)	3

84	44	woman	962	WOMAN (noun)	3

85		wasp	1517	WASP (noun)	3

87		all the people	789	PEOPLE (noun)	5

88		our cow	1007	COW (noun)	5

90		our chair	1476	CHAIR (noun)	5

15		case	0	BOX	8

20		corn	0	MAIZE	8

35		goodness	0	GOODNESS:~GOOD	8

37		happiness	0	HAPPYNESS:~HAPPY	8

41		herd	0	OVEN	8

49		journey	0	JOURNEY	8

50		Bena	0	BENA:~UNRESOLVED	8

62		Njombe	0	NJOMBE:~UNRESOLVED	8

63	48	brother (older, same sex)	0	OLDER BROTHER (OF MAN)	8

66	107	cooking	0	COOKING:~COOK (SOMETHING)	8

79		trick (V)	0	BETRAY	8

89		our fields	0	FIELD	8

91		our chairs	0	CHAIR	8

92		our trees	0	TREE	8

