I (1s)	416	?
abdomen	139	?
all	335	3
animal	72	6
area under house	190	9
armpit	147	10
arrow	219	11
ashes	213	13
back	138	16
bald	396	18
bamboo	48	19
bamboo shoot	49	20
banana (fruit)	57	?
bear	74	25
beard	136	26
bee	115	28
betelnut	54	?
bird	93	33
bird's nest	94	?
black	362	37
blanket	194	38
blood	164	40
blow	240	?
boat	185	42
bone	159	44
bow, crossbow	218	46
brain	121	47
branch	39	48
brother	180b	?
brother (elder of f)	179a	?
brother (elder of m)	179b	?
brother (younger of f)	180a	?
buffalo	88	57
butterfly	117	60
buttocks	151	61
calf	155	63
candle	215	64
cane/rattan	51	65
cat	84	66
cave	36	67
cheek	128	68
chicken	99	69
child	174	70
chin	135	71
clothing	195	75
cloud	5	76
cockroach	112	77
coconot (fruit)	61	?
coconutshell ladle	206	?
comb	202	80
cooked rice	69	325
cool	433	83
corn	66	84
cow	86	88
crested	412	90
crocodile	105	91
day	13	95
deer	75	98
difficult	434	101
disgusting	431	105
dog	81	107
don't do it	429	108
door	187	109
drum	216	113
duck	100	116
dust	28	118
ear	129	120
earth, soil	26	?
earthworm	415	493
east	19	122
easy	435	123
egg	98	125
eggplant (fruit)	62	?
eight (persons)	329	?
elbow	146	128
elephant	91	129
elephant tusk	92	?
excrement	167	133
eye	125	135
eyebrow	124	136
eyelid	126	137
face	120	138
fat	162	143
father	172	144
feather	96	145
finger	149	149
fingernail	150	?
fire	212	150
firewood	211	151
fish	101	152
five (persons)	326	?
flesh	161	154
flower	44	157
fly	116	159
foot	157	161
forehead	123	162
forest	37	491
four (persons)	325	?
friend	181	167
frog	106	168
fruit	45	169
garlic	65	172
ghost	270	173
gibbon	77	174
ginger	64	175
gold	32	177
gong	217	178
grass	47	181
green	365	183
gums	134	185
hair	122	186
half	430	?
half a unit	338	187
hand	145	?
he/she/it	418	?
head	119	193
heart	141	195
heel	158	197
horn	89	202
house	186	205
house lizard	103	?
how many	406	206
hundred (persons)	332	?
husband	176	211
insect	107	217
intestines	144	?
iron	34	219
jackfruit (fruit)	60	222
kapok	52	224
knee	154	227
knife	221	229
land leech	414	236
leaf	43	235
left side	356	?
leg	152	238
lightning	9	243
lime (for betel chew)	31	?
liquor	56	246
liver	143	248
loincloth	198	?
loose	436	251
louse (head)	110	?
lungs	142	254
man	169	255
mango (fruit)	59	256
mat	192	259
medicine	265	260
milk	87	50
mist	6	160
monkey	76	262
moon	3	263
morning	14	264
mortar	207	265
mosquito	114	266
mother	173	267
mountain	35	268
mouth	130	269
mud	27	?
mushroom	50	271
naked	397	272
name	182	273
navel	140	275
needle	201	279
night	12	281
nine (persons)	330	?
noon	15	283
north	21	284
nose	127	285
one (person)	322	?
opium	55	289
paddy rice	68	326
palm	148	292
pangolin	411	302
papaya (fruit)	58	?
paper, cord	204	?
peanut	63	297
person	171	300
pestle	208	301
pig	85	304
pillow	193	305
plate	210	307
porcupine	79	310
pot (cooking-)	205	?
pus	166	314
rabbit	78	317
rain	7	318
rainbow	8	319
rat	80	320
red	364	321
red pepper, chili	67	?
rib	160	324
rice husk	70	?
rice seedling	410	328
right side	355	?
ring (finger-)	203	?
river	24	332
road	184	?
roof	189	334
root	42	335
saliva	132	341
salt	71	342
sand	30	344
scorpion	118	346
sea	25	348
seed	46	350
seven (persons)	328	?
shin	156	358
silver	33	364
sister (elder of f)	179c	?
sister (elder of m)	179d	368
sister (younger of f)	180c	?
sister (younger of m)	180d	?
six (persons)	327	?
skin	163	373
sky	1	375
sleeping area	422	377
smell	223	380
smoke	214	382
snail	113	384
snake	102	385
some	336	391
son-in-law	175	392
south	22	394
spear	220	396
spider	108	398
spider web	109	399
spoon	209	403
star	4	407
stone	29	410
stream	407	412
sugarcane	53	415
sun	2	416
sweat	165	418
tail	90	423
ten (persons)	331	?
termite	111	428
that	361	429
they	421	431
